'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
59:47.0,00:00.0,100,2,94,43,68,5428,82466,23149,15547,10893,26722,19955,8253,,
59:48.0,00:00.0,100,2,100,35,67,157319,17943,1262,3764,10767,7465,3075,1540,,13553.22167
59:49.0,00:00.0,100,2,91,14,52,400480,60544,5176,7172,10070,18576,18853,6156,,27149.19212
59:50.0,00:00.0,100,2,78,7,42,41308,51836,3249,9794,16266,17801,6576,5169,,13078.00985
59:51.0,00:00.0,100,2,80,20,50,123912,8080,9812,3705,3195,5859,1884,1595,,6480.953202
59:52.0,00:00.0,100,2,74,13,43,387400,113420,7064,4840,16252,24273,21372,5774,,
59:53.0,00:00.0,100,2,78,11,44,660802,64097,3361,9172,13781,36151,15983,6774,,
59:54.0,00:00.0,100,2,77,30,53,86841,17073,9736,9893,8998,8128,2784,1261,,
59:55.0,00:00.0,100,2,81,29,55,643241,18332,25596,20753,22700,25712,19758,11701,,
59:56.0,00:00.0,100,2,97,51,74,8131,15532,10202,6741,10537,23694,18856,5782,,
59:57.0,00:00.0,100,2,90,78,84,91690,7010,4433,4065,2131,3849,1665,837,,
59:58.0,00:00.0,100,2,100,56,78,14784,16188,201,6407,6003,30822,14306,6838,,
59:59.0,00:00.0,100,2,100,41,70,10791,20620,9416,1697,8830,22143,6064,9704,,
00:00.0,00:00.0,100,2,97,47,72,19249,32708,6624,35202,17274,37366,7811,7265,,
00:01.0,00:00.0,100,2,100,27,63,2991,6657,3071,4271,8345,18318,9872,4668,,
00:02.0,00:00.0,100,2,97,47,72,28062,44189,12644,28830,16014,32982,7707,9290,,
00:03.0,00:00.0,100,2,100,60,80,35421,5944,19785,14603,25816,35156,9445,8254,,
00:04.0,00:00.0,100,2,100,51,75,26248,9924,10774,3942,5760,35006,15820,9647,,
00:05.0,00:00.0,100,2,90,64,77,632965,76393,25766,32693,18278,19492,12828,6354,,
00:06.0,00:00.0,100,2,69,47,58,751717,74636,7765,2195,4434,5411,2071,1217,,
00:07.0,00:00.0,100,2,66,40,53,98138,16397,7547,6052,9868,17293,1801,2255,,
00:08.0,00:00.0,100,2,57,43,50,14361,19583,22409,5757,16733,30570,10257,14287,,
00:09.0,00:00.0,100,2,70,34,52,24066,26207,8788,8177,18831,20523,8085,3341,,
00:10.0,00:00.0,100,2,93,43,68,28605,23541,11300,4828,24759,20876,6673,8080,,
00:11.0,00:00.0,100,2,83,51,67,479349,49462,25190,36178,22940,24239,16756,5228,,
00:12.0,00:00.0,100,2,78,51,64,20454,31607,8164,19405,12885,23805,5394,1875,,
00:13.0,00:00.0,100,2,78,50,64,5121,32500,8031,6982,10188,25722,6763,5036,,
00:14.0,00:00.0,100,2,69,41,55,18698,53567,4321,7719,11799,18109,10779,4265,,
00:15.0,00:00.0,100,2,78,34,56,16873,39727,8285,19608,11735,29829,10206,3039,,
00:16.0,00:00.0,100,2,84,23,53,28158,16397,2629,5443,12540,19110,12740,8189,,
00:17.0,00:00.0,100,2,87,35,61,14689,22455,19299,15664,8413,36351,12344,5390,,
00:18.0,00:00.0,100,2,93,64,78,6470,13503,59250,4275,6319,38534,5111,5021,,
00:19.0,00:00.0,100,2,100,48,74,839,7762,1043,5030,17164,24334,12250,5725,,
00:20.0,00:00.0,100,2,97,66,81,518709,20046,14504,28185,15805,28828,4443,6793,,
00:21.0,00:00.0,100,2,81,56,68,76864,56827,13258,4550,2753,9692,4156,1831,,
00:22.0,00:00.0,100,2,80,41,60,16860,12364,11308,6776,20441,14328,7223,4217,,
00:23.0,00:00.0,100,2,69,51,60,27245,42925,12856,9224,5925,44914,7701,2268,,
00:24.0,00:00.0,100,2,80,48,64,17991,4271,10143,11129,4896,31815,8206,3643,,
00:25.0,00:00.0,100,2,94,54,74,31379,25053,27024,1964,17697,27003,6539,5521,,
00:26.0,00:00.0,100,2,97,54,75,4574,19949,15703,4760,6506,27871,7419,5244,,
00:27.0,00:00.0,100,2,100,64,82,40762,16211,6250,34096,20291,43619,5292,2021,,
00:28.0,00:00.0,100,2,84,53,68,7333,64130,2336,17632,4303,22167,5755,3459,,
00:29.0,00:00.0,100,2,83,60,71,6755,10768,2780,27401,20058,16935,4921,5093,,
