'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
59:09.0,00:00.0,100,2,66,60,63,34322,3800,4933,19222,9876,5511,4831,1279,,,,,
59:10.0,00:00.0,100,2,47,57,52,242356,57932,20469,14824,7448,6520,1367,753,,14712.11357,11640.55752,5703.880531,2975.224189
59:11.0,00:00.0,100,2,51,64,57,10085,49251,23228,9925,5808,12266,13579,7402,,,,,
59:12.0,00:00.0,100,2,48,61,54,56673,37946,16045,2459,13815,7677,3594,1833,,,,,
59:13.0,00:00.0,100,2,47,51,49,680083,66751,19598,19911,17327,15431,3564,3343,,,,,
59:14.0,00:00.0,100,2,56,54,55,56310,30901,15248,27698,9677,13922,5306,1953,,,,,
59:15.0,00:00.0,100,2,60,57,58,1256138,54667,26735,27004,11702,19909,6054,1952,,,,,
59:16.0,00:00.0,100,2,63,54,58,98783,45760,14385,2562,9136,11627,2822,1399,,,,,
59:17.0,00:00.0,100,2,61,54,57,180915,122133,9947,49762,29887,28132,4357,1747,,,,,
59:18.0,00:00.0,100,2,70,54,62,373416,39960,42250,23690,9340,42379,6311,1754,,,,,
59:19.0,00:00.0,100,2,67,53,60,220909,113159,42701,59681,37915,28981,3416,5951,,,,,
59:20.0,00:00.0,100,2,61,56,58,833808,179533,39204,55242,45825,26723,11618,2520,,,,,
59:21.0,00:00.0,100,2,57,53,55,204988,73822,6372,20175,18665,11307,8048,4082,,,,,
59:22.0,00:00.0,100,2,54,51,52,514108,52715,36896,12735,10223,28785,9865,1438,,,,,
59:23.0,00:00.0,100,2,47,47,47,390567,171482,24780,48539,5711,15337,12845,2786,,,,,
59:24.0,00:00.0,100,2,54,51,52,164911,39436,19760,29300,18253,18544,8543,3680,,,,,
59:25.0,00:00.0,100,2,61,53,57,155519,13029,1718,4892,6096,4051,1943,883,,,,,
59:26.0,00:00.0,100,2,38,37,37,276146,130947,7666,4653,8745,4988,1650,701,,,,,
59:27.0,00:00.0,100,2,47,38,42,822942,54539,27577,7604,14815,11975,6035,2168,,,,,
59:28.0,00:00.0,100,2,30,38,34,214178,40487,26702,7188,8023,4605,3925,1969,,,,,
59:29.0,00:00.0,100,2,43,44,43,29231,20539,13812,13027,6368,26070,5176,3625,,,,,
59:30.0,00:00.0,100,2,43,57,50,56815,64148,13864,12951,3786,3300,1753,1146,,,,,
59:31.0,00:00.0,100,2,35,66,50,351245,69244,93651,19097,12874,12761,17534,2998,,,,,
59:32.0,00:00.0,100,2,34,61,47,192791,81941,27683,22466,51790,6764,6697,7092,,,,,
59:33.0,00:00.0,100,2,8,47,27,108829,63357,3378,4146,3171,3585,6069,6317,,,,,
59:34.0,00:00.0,100,2,26,44,35,213385,105072,19646,31686,33819,27869,8509,10462,,,,,
59:35.0,00:00.0,100,2,30,30,30,102705,48111,11376,8206,14591,7348,3731,1799,,,,,
59:36.0,00:00.0,100,2,35,29,32,98583,223372,32974,51293,12803,20854,8187,3941,,,,,
59:37.0,00:00.0,100,2,34,29,31,1190683,278424,8780,22829,28999,15102,25603,11625,,,,,
59:38.0,00:00.0,100,2,34,38,36,7046,22143,10772,22294,17405,10147,3071,798,,,,,
59:39.0,00:00.0,100,2,29,43,36,42892,42520,29384,2090,13068,5546,2201,1257,,,,,
59:40.0,00:00.0,100,2,30,50,40,47725,39449,19388,31614,29110,7226,3080,1025,,,,,
59:41.0,00:00.0,100,2,38,69,53,377082,40893,37651,52013,41271,13103,2202,3717,,,,,
59:42.0,00:00.0,100,1,23,63,43,207856,164029,15206,46551,25921,9492,2175,1468,,,,,
59:43.0,00:00.0,100,1,11,60,35,417275,79002,32048,4540,5707,2927,1801,485,,,,,
59:44.0,00:00.0,100,1,11,60,35,63853,47316,22936,29516,22246,8885,15479,11528,,,,,
59:45.0,00:00.0,100,1,11,53,32,19347,65779,26666,16457,29277,11251,4614,1964,,,,,
59:46.0,00:00.0,100,1,17,69,43,32198,14006,47104,12601,7435,5415,9282,3761,,,,,
59:47.0,00:00.0,100,1,37,64,50,24089,47275,10482,3670,5150,7571,7117,3261,,,,,
59:48.0,00:00.0,100,1,26,67,46,121815,19497,18340,4835,4634,1630,1375,411,,,,,
59:49.0,00:00.0,100,1,27,69,48,172729,117842,68271,19251,24291,21971,10002,4246,,,,,
59:50.0,00:00.0,100,1,21,51,36,2736804,272900,40263,51985,22235,15881,8810,4182,,,,,
59:51.0,00:00.0,100,1,23,66,44,4505,3158,22063,12526,19493,5983,1984,2614,,,,,
59:52.0,00:00.0,100,1,20,48,34,129487,152963,10901,6064,7123,4290,3295,2719,,,,,
59:53.0,00:00.0,100,1,30,54,42,71925,13092,38193,18251,17119,20532,10025,4982,,,,,
59:54.0,00:00.0,100,1,41,57,49,392207,17127,2482,6038,2581,2656,2372,819,,,,,
59:55.0,00:00.0,100,1,44,50,47,41704,21764,7768,8937,4951,8956,5468,3313,,,,,
