'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
11:38.0,00:00.0,100,2,35,41,38,57962,20516,20287,4472,4021,1808,1086,384,,,,,
11:39.0,00:00.0,100,2,30,43,36,497469,51086,23048,19079,36046,35613,3027,3644,,15738.77265,12432.40855,6017.904274,3079.357265
11:40.0,00:00.0,100,2,37,51,44,571117,175305,60824,132310,29859,23987,19048,4167,,,,,
11:41.0,00:00.0,100,2,30,54,42,181981,257111,11422,48990,42992,24414,10322,6352,,,,,
11:42.0,00:00.0,100,2,44,63,53,29851,11797,31254,25206,3670,9718,4775,2515,,,,,
11:43.0,00:00.0,100,2,30,69,49,264943,14568,12459,13215,15839,4420,1404,467,,,,,
11:44.0,00:00.0,100,2,29,70,49,566845,72663,91267,5976,8988,9085,1695,2865,,,,,
11:45.0,00:00.0,100,2,27,83,55,3879,32241,13224,31000,24875,4491,3829,2359,,,,,
11:46.0,00:00.0,100,2,26,70,48,296113,50710,34340,45120,39738,16082,2099,2425,,,,,
11:47.0,00:00.0,100,2,27,69,48,128255,69684,41189,18487,26829,15603,4394,5104,,,,,
11:48.0,00:00.0,100,2,43,63,53,149120,50038,29685,19623,23540,26325,7226,3013,,,,,
11:49.0,00:00.0,100,2,43,53,48,311497,139905,27970,15563,19875,11137,4290,2872,,,,,
11:50.0,00:00.0,100,2,34,56,45,65199,40999,33762,15429,5733,4041,3721,3032,,,,,
11:51.0,00:00.0,100,2,35,56,45,194153,14975,13963,1440,10566,3882,877,520,,,,,
11:52.0,00:00.0,100,2,20,57,38,262060,97564,27620,36403,3896,9671,4879,4394,,,,,
11:53.0,00:00.0,100,2,27,69,48,8575,19610,18549,11856,7714,6636,4887,2564,,,,,
11:54.0,00:00.0,100,2,35,83,59,69526,22455,141409,4613,4025,14393,3414,2023,,,,,
11:55.0,00:00.0,100,2,37,84,60,567853,24977,26096,16337,22214,10737,3315,1151,,,,,
11:56.0,00:00.0,100,2,47,87,67,8999,30724,24106,11269,10778,11273,12077,861,,,,,
11:57.0,00:00.0,100,2,50,81,65,94453,17440,4577,7456,3081,5169,1559,533,,,,,
11:58.0,00:00.0,100,2,48,63,55,167557,72505,26247,24571,9333,10804,3763,4423,,,,,
11:59.0,00:00.0,100,2,51,51,51,238571,177379,16124,44548,31424,46304,6955,4616,,,,,
12:00.0,00:00.0,100,2,53,60,56,17245,19030,75440,8358,13210,18452,2201,1209,,,,,
12:01.0,00:00.0,100,2,51,57,54,125868,68344,10994,27833,19800,16069,8720,6486,,,,,
12:02.0,00:00.0,100,2,56,61,58,578749,27312,3552,29497,11796,7899,2941,2451,,,,,
12:03.0,00:00.0,100,2,47,66,56,57332,68255,25623,5526,16349,7005,4603,4581,,,,,
12:04.0,00:00.0,100,2,34,50,42,860816,540965,126681,99420,73328,41351,11969,6914,,,,,
12:05.0,00:00.0,100,2,37,61,49,50178,24208,45516,27038,14324,17549,5181,3778,,,,,
12:06.0,00:00.0,100,2,40,64,52,17282,10526,20589,18406,15278,11087,4105,2454,,,,,
12:07.0,00:00.0,100,2,29,51,40,264707,47031,3361,1041,4861,1312,922,343,,,,,
12:08.0,00:00.0,100,2,43,57,50,83613,18726,42929,9449,34718,14606,5137,2075,,,,,
12:09.0,00:00.0,100,2,37,48,42,215362,23978,11130,3026,4353,3745,1220,680,,,,,
12:10.0,00:00.0,100,2,41,44,42,71144,10516,24902,3802,14092,13801,11708,5826,,,,,
12:11.0,00:00.0,100,2,56,66,61,157639,12501,12887,5719,8069,3706,951,962,,,,,
12:12.0,00:00.0,100,2,51,60,55,509521,67363,12134,14564,5521,10904,1828,2659,,,,,
12:13.0,00:00.0,100,2,41,56,48,335912,55291,12537,11322,14866,3215,3133,1653,,,,,
12:14.0,00:00.0,100,2,27,35,31,90046,74253,5003,1850,2853,6817,3293,1400,,,,,
12:15.0,00:00.0,100,2,27,43,35,15240,23212,36292,31019,6184,10673,5576,2113,,,,,
12:16.0,00:00.0,100,2,37,44,40,105588,14140,4522,3177,2172,5697,2307,1025,,,,,
12:17.0,00:00.0,100,2,37,53,45,183999,88953,30029,95048,52586,9093,14320,5386,,,,,
12:18.0,00:00.0,100,2,30,64,47,781000,149116,31128,12058,8713,11239,3155,2431,,,,,
12:19.0,00:00.0,100,2,47,50,48,70623,20847,4338,15306,12221,16484,3061,1252,,,,,
12:20.0,00:00.0,100,2,43,51,47,371176,17083,6672,9961,12271,7039,3024,826,,,,,
12:21.0,00:00.0,100,2,54,44,49,111781,13471,5192,3320,4293,2758,2432,820,,,,,
12:22.0,00:00.0,100,2,60,53,56,386836,42395,18791,8712,1853,6975,3316,4019,,,,,
12:23.0,00:00.0,100,2,44,56,50,96447,61235,66506,23145,61029,15684,15973,6239,,,,,
12:24.0,00:00.0,100,2,38,56,47,752263,66678,14144,41428,29938,12263,9836,7309,,,,,
12:25.0,00:00.0,100,2,40,54,47,87505,21466,6866,2227,1750,4434,2341,916,,,,,
