'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:06.0,00:00.0,100,2,60,70,65,23811,13117,44841,3920,15915,18667,8044,4661,,,,,
07:07.0,00:00.0,100,2,66,69,67,94741,36770,16356,9038,10594,19838,6831,3691,,,,,
07:08.0,00:00.0,100,2,66,63,64,44198,48835,27629,19810,8212,33679,15147,4016,,,,,
07:09.0,00:00.0,100,2,54,56,55,913824,168666,28335,7991,17905,14405,11693,2474,,15855.29577,19850.29401,10795.57218,5865.932218
07:10.0,00:00.0,100,2,48,54,51,23561,28137,27667,8384,9070,7498,18532,4270,,,,,
07:11.0,00:00.0,100,2,40,66,53,887689,50151,89015,22901,14461,16898,7829,3335,,,,,
07:12.0,00:00.0,100,2,29,69,49,940763,187642,65539,141912,56283,32960,44903,13837,,,,,
07:13.0,00:00.0,100,2,41,77,59,23659,16456,6135,8229,10026,11934,2381,5412,,,,,
07:14.0,00:00.0,100,2,47,70,58,211362,34469,15644,12481,12691,15132,7449,3861,,,,,
07:15.0,00:00.0,100,2,54,67,60,4312,16841,16756,58873,18451,31164,6265,6119,,,,,
07:16.0,00:00.0,100,2,57,66,61,26959,74763,34276,17570,10200,15884,3760,2264,,,,,
07:17.0,00:00.0,100,2,53,67,60,278479,33851,9816,17118,11822,10903,11655,1483,,,,,
07:18.0,00:00.0,100,2,43,67,55,10643,62809,22286,11489,9850,6339,3217,2394,,,,,
07:19.0,00:00.0,100,2,43,67,55,17846,9010,15702,18980,11256,13335,3923,3157,,,,,
07:20.0,00:00.0,100,2,43,67,55,252412,41221,19600,15578,11347,10142,2571,1800,,,,,
07:21.0,00:00.0,100,2,47,70,58,21399,17873,4879,18789,2910,11852,9839,8926,,,,,
07:22.0,00:00.0,100,2,51,80,65,433760,20058,28570,19376,10571,8718,3687,2198,,,,,
07:23.0,00:00.0,100,2,54,75,64,3102,12946,25084,9455,23148,23987,3835,3253,,,,,
07:24.0,00:00.0,100,2,54,67,60,54529,54021,16272,6629,25041,11138,11770,2795,,,,,
07:25.0,00:00.0,100,2,47,57,52,550220,80386,12065,6727,13426,8338,5265,1653,,,,,
07:26.0,00:00.0,100,2,48,54,51,70349,42527,45026,10283,6664,13060,5307,4150,,,,,
07:27.0,00:00.0,100,2,34,51,42,56731,95017,12445,32934,14942,11818,27185,8147,,,,,
07:28.0,00:00.0,100,2,35,56,45,38006,79791,57322,9723,33719,24497,10597,3219,,,,,
07:29.0,00:00.0,100,2,26,63,44,580464,216124,60023,43459,20006,9994,8908,3511,,,,,
07:30.0,00:00.0,100,2,21,66,43,63448,15617,13690,14251,1896,3160,1123,1425,,,,,
07:31.0,00:00.0,100,2,26,66,46,168645,97879,30975,29642,34652,23630,13107,2669,,,,,
07:32.0,00:00.0,100,2,26,60,43,152452,93520,23418,10218,31301,20840,8254,5788,,,,,
07:33.0,00:00.0,100,2,29,53,41,1884984,393866,64679,24189,43433,25706,13630,4771,,,,,
07:34.0,00:00.0,100,2,34,40,37,98121,169248,41740,6889,14991,22633,9210,6330,,,,,
