'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
27:16.0,00:00.0,100,2,63,40,51,61685,57765,14446,7771,28095,14875,13460,5686,,,,,
27:17.0,00:00.0,100,2,63,56,59,1102581,111993,94381,22449,37145,55498,11340,9939,,,,,
27:18.0,00:00.0,100,2,57,63,60,33063,20754,33237,13052,16303,37393,31703,15673,,17025.67313,26917.39552,15684.88657,8368.992537
27:19.0,00:00.0,100,2,57,51,54,468473,186507,13470,27184,24375,36955,8420,10387,,,,,
27:20.0,00:00.0,100,2,53,51,52,220623,47540,2259,9149,3507,6083,3100,1118,,,,,
27:21.0,00:00.0,100,2,50,38,44,143122,194043,28181,11975,27750,44708,47392,11675,,,,,
27:22.0,00:00.0,100,2,50,38,44,95100,10041,10202,5695,3009,13936,3409,714,,,,,
27:23.0,00:00.0,100,2,51,43,47,64113,26373,4343,7525,7527,7832,3749,1072,,,,,
27:24.0,00:00.0,100,2,60,61,60,379379,29891,14877,112732,17657,40415,13056,9482,,,,,
27:25.0,00:00.0,100,2,60,70,65,228733,125716,43160,24473,9180,39125,8534,6821,,,,,
27:26.0,00:00.0,100,2,64,54,59,321137,11060,104,2312,3568,11769,3450,3802,,,,,
27:27.0,00:00.0,100,2,66,66,66,15691,16238,25640,27422,20860,17997,15945,4840,,,,,
27:28.0,00:00.0,100,2,69,47,58,369995,16694,2900,2106,2831,8900,2282,1351,,,,,
27:29.0,00:00.0,100,2,66,41,53,106935,33536,4666,5083,4820,5497,2323,1282,,,,,
27:30.0,00:00.0,100,2,61,54,57,51150,40560,19518,18652,13377,41835,13380,7218,,,,,
27:31.0,00:00.0,100,2,64,43,53,61546,23665,7533,6065,12633,14425,16412,8650,,,,,
27:32.0,00:00.0,100,2,60,53,56,454712,3981,3380,4299,9678,2558,3906,762,,,,,
27:33.0,00:00.0,100,2,53,54,53,49411,144309,12318,31196,7796,9386,14875,8399,,,,,
27:34.0,00:00.0,100,2,44,57,50,52153,26208,20536,11791,9161,12058,7114,5036,,,,,
27:35.0,00:00.0,100,2,30,67,48,134261,13946,12804,4623,5472,2908,5496,2695,,,,,
27:36.0,00:00.0,100,2,34,64,49,50150,34584,4910,13993,9572,14242,13615,10624,,,,,
27:37.0,00:00.0,100,2,41,74,57,94094,52198,46920,18057,23893,16849,8304,1114,,,,,
27:38.0,00:00.0,100,2,27,60,43,70529,45998,4078,3389,2868,2155,848,775,,,,,
27:39.0,00:00.0,100,2,38,54,46,28024,20119,7913,10020,7254,11513,8702,2763,,,,,
27:40.0,00:00.0,100,2,37,61,49,19946,17900,12742,15594,12047,9683,5076,2903,,,,,
27:41.0,00:00.0,100,2,27,54,40,193680,49596,15489,4304,2241,3656,1258,638,,,,,
27:42.0,00:00.0,100,2,44,66,55,28569,17914,6536,11783,7732,9177,10332,3721,,,,,
27:43.0,00:00.0,100,2,41,69,55,42698,21473,16680,15925,13266,12547,6305,1988,,,,,
27:44.0,00:00.0,100,2,38,51,44,55124,16832,193,1490,761,2556,879,284,,,,,
27:45.0,00:00.0,100,2,35,41,38,205454,70369,5961,3251,1919,2916,5313,3097,,,,,
27:46.0,00:00.0,100,2,29,26,27,762405,354975,37842,6320,31785,53894,32440,9742,,,,,
27:47.0,00:00.0,100,2,29,23,26,75241,61291,8758,37370,12439,24453,11226,4277,,,,,
27:48.0,00:00.0,100,2,43,35,39,29634,49423,26810,13261,9432,61080,17044,7933,,,,,
27:49.0,00:00.0,100,2,64,51,57,9116,10939,15515,17705,18367,21079,17800,7146,,,,,
27:50.0,00:00.0,100,2,61,61,61,391521,172266,20533,35335,11701,24190,8731,6858,,,,,
27:51.0,00:00.0,100,2,80,54,67,117358,15365,1105,19402,14258,59821,21592,7345,,,,,
27:52.0,00:00.0,100,2,67,53,60,184427,13500,920,4678,1947,3499,3249,3145,,,,,
27:53.0,00:00.0,100,2,54,43,48,147549,34597,6502,2805,5775,4578,3017,2387,,,,,
27:54.0,00:00.0,100,2,67,53,60,28715,12983,8508,27359,6360,23094,14189,6046,,,,,
27:55.0,00:00.0,100,2,57,57,57,6454,5310,7719,9539,19732,12217,17612,4622,,,,,
27:56.0,00:00.0,100,2,61,64,62,416993,56425,35786,14950,8522,30798,8198,4417,,,,,
27:57.0,00:00.0,100,2,69,64,66,236797,39466,11187,11911,35865,17460,13733,7888,,,,,
27:58.0,00:00.0,100,2,67,61,64,160565,38489,35448,19973,24684,31331,15602,10430,,,,,
27:59.0,00:00.0,100,2,44,56,50,428358,105414,16624,13110,4416,5070,3117,1799,,,,,
28:00.0,00:00.0,100,2,40,57,48,165054,72898,13742,58725,15866,19333,17897,7739,,,,,
28:01.0,00:00.0,100,2,27,53,40,156612,251489,13704,35396,37411,20614,21979,23537,,,,,
28:02.0,00:00.0,100,2,16,51,33,79534,143554,22620,71261,41557,23861,15391,3328,,,,,
28:03.0,00:00.0,100,2,35,50,42,670363,114114,17005,23001,22962,44889,20247,12464,,,,,
28:04.0,00:00.0,100,2,35,44,39,204443,32370,8732,6567,4044,6346,5653,2075,,,,,
28:05.0,00:00.0,100,2,35,44,39,2173704,361467,22283,41546,29574,28289,31053,18336,,,,,
28:06.0,00:00.0,100,2,44,41,42,918295,69344,37877,4347,23589,37478,74199,11745,,,,,
28:07.0,00:00.0,100,2,47,41,44,653462,103878,14541,17214,27726,43875,18292,6091,,,,,
28:08.0,00:00.0,100,2,47,44,45,588770,49187,21730,12175,5900,14229,13563,3811,,,,,
28:09.0,00:00.0,100,2,63,50,56,29659,27284,12032,9148,30270,22832,10664,6665,,,,,
28:10.0,00:00.0,100,2,50,48,49,682079,545173,86950,93914,86105,50784,23179,14181,,,,,
28:11.0,00:00.0,100,2,50,56,53,1996315,47811,18077,49135,49376,36986,14298,15059,,,,,
28:12.0,00:00.0,100,2,56,53,54,18873,30292,9912,13075,13171,17964,8518,4204,,,,,
28:13.0,00:00.0,100,2,56,54,55,12921,21323,10454,9457,11274,22074,10048,2435,,,,,
28:14.0,00:00.0,100,2,74,57,65,352921,70038,51257,15129,13932,67645,11644,19071,,,,,
28:15.0,00:00.0,100,2,74,47,60,24987,36615,1509,8439,17409,17942,10064,7367,,,,,
28:16.0,00:00.0,100,2,69,51,60,376301,13589,5209,12292,9137,6937,1659,1383,,,,,
28:17.0,00:00.0,100,2,56,57,56,211178,46852,36587,8081,6984,9087,4308,2595,,,,,
28:18.0,00:00.0,100,2,50,61,55,64358,36671,16944,24616,15260,15884,7732,6460,,,,,
28:19.0,00:00.0,100,2,54,70,62,8706,11592,5221,17909,19159,27731,10466,8748,,,,,
28:20.0,00:00.0,100,2,53,61,57,415559,81179,16793,9002,9466,18131,7533,8763,,,,,
28:21.0,00:00.0,100,2,53,54,53,233914,153625,33410,35633,60475,19731,29263,5701,,,,,
28:22.0,00:00.0,100,2,50,53,51,204172,41858,15726,9212,2729,11617,7342,1371,,,,,
28:23.0,00:00.0,100,2,53,47,50,94770,47220,5834,23947,12446,79429,10690,9343,,,,,
28:24.0,00:00.0,100,2,63,40,51,57351,64057,12502,3053,27847,47627,18198,11044,,,,,
28:25.0,00:00.0,100,2,67,38,52,279316,28407,1933,7474,2669,5817,13169,2246,,,,,
28:26.0,00:00.0,100,1,74,47,60,379647,28656,50001,36490,12436,40788,60203,10684,,,,,
28:27.0,00:00.0,100,1,66,53,59,15572,32647,16097,16738,23603,28377,10113,15823,,,,,
28:28.0,00:00.0,100,1,47,57,52,87497,28255,3527,2650,2193,1883,1534,527,,,,,
28:29.0,00:00.0,100,1,30,47,38,61662,58721,4045,1067,1393,1761,1391,999,,,,,
28:30.0,00:00.0,100,1,23,41,32,135929,32417,30143,2246,10905,6872,4482,8902,,,,,
28:31.0,00:00.0,100,1,23,40,31,28988,42289,39043,4197,44451,35420,31071,6538,,,,,
28:32.0,00:00.0,100,1,34,50,42,51004,27870,21234,1984,9783,8289,9258,10581,,,,,
28:33.0,00:00.0,100,1,51,69,60,24318,35636,38955,11188,13286,24182,13722,4022,,,,,
28:34.0,00:00.0,100,1,54,60,57,297038,228242,27039,37174,15558,37739,22300,15844,,,,,
28:35.0,00:00.0,100,2,40,50,45,576151,262949,12177,21073,23864,21407,35358,7689,,,,,
28:36.0,00:00.0,100,2,34,40,37,1572049,153973,20426,9839,6685,16274,12852,3172,,,,,
28:37.0,00:00.0,100,1,20,30,25,3035044,518372,75251,104872,41043,36480,59208,13637,,,,,
28:38.0,00:00.0,100,1,26,35,30,85389,38542,6526,21171,17636,23109,12579,7143,,,,,
28:39.0,00:00.0,100,1,38,48,43,820789,112206,38045,42600,28306,47359,22203,4055,,,,,
28:40.0,00:00.0,100,1,24,44,34,320864,581105,61289,21666,24429,12224,45311,9712,,,,,
28:41.0,00:00.0,100,1,38,47,42,600860,47766,21715,7958,14240,24373,16033,4269,,,,,
28:42.0,00:00.0,100,1,43,44,43,6940,41316,19501,3003,12342,35882,12529,6364,,,,,
28:43.0,00:00.0,100,1,43,43,43,253740,24295,9879,4494,4286,12239,6015,4848,,,,,
28:44.0,00:00.0,100,1,69,63,66,19020,19141,87486,7633,19488,46348,15637,13095,,,,,
28:45.0,00:00.0,100,1,75,54,64,20124,50415,5801,7905,9537,29154,18128,13982,,,,,
28:46.0,00:00.0,100,1,67,54,60,158207,41531,6185,8311,4704,13859,11263,3824,,,,,
28:47.0,00:00.0,100,1,69,51,60,555678,50994,16828,9023,28152,27735,15540,12968,,,,,
28:48.0,00:00.0,100,1,67,41,54,79104,128271,70157,27989,22002,69592,8937,12882,,,,,
28:49.0,00:00.0,100,1,56,41,48,638982,380330,38517,34441,44192,50162,27699,10449,,,,,
28:50.0,00:00.0,100,2,64,43,53,150922,29429,18570,31920,81348,59097,6467,3555,,,,,
28:51.0,00:00.0,100,2,61,53,57,60349,26726,22493,16716,11056,15972,6550,6283,,,,,
28:52.0,00:00.0,100,2,60,61,60,72167,5222,17301,6020,9530,7142,2890,1565,,,,,
28:53.0,00:00.0,100,2,61,67,64,15759,36110,12649,9643,31823,9764,11001,4385,,,,,
28:54.0,00:00.0,100,3,43,87,65,690598,4475,8441,7652,956,1614,410,457,,,,,
28:55.0,00:00.0,100,3,47,90,68,621888,13213,26626,12406,9883,17810,7748,12447,,,,,
28:56.0,00:00.0,100,3,50,81,65,152385,9979,6351,2346,4446,7552,7515,365,,,,,
28:57.0,00:00.0,100,3,51,90,70,37823,33916,48976,9403,30278,17893,14395,5160,,,,,
28:58.0,00:00.0,100,3,50,64,57,1855579,775143,73865,72031,19865,57342,24506,11105,,,,,
28:59.0,00:00.0,100,3,40,53,46,271091,82072,18995,13347,35973,12398,7705,4255,,,,,
29:00.0,00:00.0,100,3,26,60,43,34916,61903,48331,51591,29901,12983,10370,4552,,,,,
29:01.0,00:00.0,100,3,16,51,33,253032,64978,17577,2421,2285,4211,3990,2316,,,,,
29:02.0,00:00.0,100,3,30,67,48,73081,4384,15324,4157,7704,8479,12532,2920,,,,,
29:03.0,00:00.0,100,3,34,78,56,8087,43691,25891,19841,4410,10574,8200,3772,,,,,
29:04.0,00:00.0,100,3,47,81,64,59363,7663,15340,44096,4558,32411,4135,5742,,,,,
29:05.0,00:00.0,100,2,44,81,62,472995,237423,42333,25851,35464,12784,25026,12119,,,,,
