'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
21:26.0,00:00.0,100,2,61,75,68,1133463,183205,146162,44302,17331,37887,9849,5406,,,,,
21:27.0,00:00.0,100,2,53,81,67,562221,64320,29658,22027,15128,9286,5103,5025,,,,,
21:28.0,00:00.0,100,2,54,64,59,1193257,51436,6161,5240,1538,5576,3192,4676,,36027.76585,34990.68814,19744.47137,29418.08793
21:29.0,00:00.0,100,2,63,56,59,127124,17019,1526,573,7085,2346,2493,2886,,,,,
21:30.0,00:00.0,100,2,64,43,53,2450301,62551,9668,6606,8122,8275,2415,1775,,,,,
21:31.0,00:00.0,100,1,53,41,47,1520587,60351,17205,14048,1907,2404,1668,895,,,,,
21:32.0,00:00.0,100,1,60,50,55,138981,125218,36593,39313,12746,34711,11066,4117,,,,,
21:33.0,00:00.0,100,2,57,63,60,418594,58950,16328,11119,7492,7736,2807,1916,,,,,
21:34.0,00:00.0,100,2,53,61,57,1056431,82402,10692,5073,12767,7210,1731,1263,,,,,
21:35.0,00:00.0,100,2,57,50,53,2708717,352219,30861,23026,17018,16201,13167,5319,,,,,
21:36.0,00:00.0,100,2,44,38,41,743799,685337,62084,40041,24354,37977,23613,5370,,,,,
21:37.0,00:00.0,100,2,51,41,46,812293,25882,6237,12297,3078,7492,2678,1818,,,,,
21:38.0,00:00.0,100,2,47,37,42,92296,55625,2992,2310,1689,3170,1157,1792,,,,,
21:39.0,00:00.0,100,1,53,38,45,495200,73993,11590,4748,8268,7504,2810,1449,,,,,
21:40.0,00:00.0,100,1,48,41,44,1711935,205359,18671,20875,10475,6629,2235,2937,,,,,
21:41.0,00:00.0,100,1,37,29,33,310696,95812,4372,14413,10938,6161,2466,2000,,,,,
21:42.0,00:00.0,100,1,37,21,29,1249816,74793,2399,826,7090,3988,3601,3130,,,,,
21:43.0,00:00.0,100,1,24,26,25,1221193,505072,143562,21769,64791,16672,15269,8280,,,,,
21:44.0,00:00.0,100,1,30,24,27,175406,6620,189,1256,1970,422,480,247,,,,,
21:45.0,00:00.0,100,1,35,48,41,110723,31174,56989,19181,4023,8617,3150,1615,,,,,
21:46.0,00:00.0,100,1,26,66,46,900328,68995,8982,9608,4986,1891,2856,2551,,,,,
21:47.0,00:00.0,100,1,37,64,50,460531,75054,15723,10327,7952,7184,3485,5904,,,,,
21:48.0,00:00.0,100,1,47,74,60,326886,51588,15747,8201,1964,9578,1674,2127,,,,,
