'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:35.0,00:00.0,100,2,51,47,49,2137758,106356,36136,17264,39419,24734,10227,3932,,,,,
07:36.0,00:00.0,100,2,51,54,52,197801,8914,3219,6627,4691,2213,2716,2642,,20161.60162,15198.09302,7882.798787,3537.870576
07:37.0,00:00.0,100,1,60,48,54,79997,33014,5621,5450,6986,8807,1933,520,,,,,
07:38.0,00:00.0,100,2,64,48,56,1082225,151014,40485,17960,52899,32280,4732,5751,,,,,
07:39.0,00:00.0,100,3,75,53,64,104346,24171,24295,11134,18829,27458,2348,751,,,,,
07:40.0,00:00.0,100,2,80,53,66,211897,36418,18629,26385,15628,13643,4471,399,,,,,
07:41.0,00:00.0,100,2,84,53,68,1961237,51001,7970,22787,56116,25089,8273,5599,,,,,
07:42.0,00:00.0,100,2,84,56,70,2036863,166475,32131,41121,18090,37712,19852,2193,,,,,
07:43.0,00:00.0,100,3,69,44,56,1155868,983046,181455,56998,205410,140612,192424,75497,,,,,
07:44.0,00:00.0,87,2,69,44,56,228996,28249,12373,5207,17766,3951,1478,1945,,,,,
07:45.0,00:00.0,100,2,69,30,49,92501,87203,12199,8946,6440,19038,7050,2197,,,,,
07:46.0,00:00.0,100,2,66,26,46,76050,316047,22649,38793,39462,77024,21941,6944,,,,,
07:47.0,00:00.0,100,2,75,27,51,1205499,96050,30796,59396,79949,68300,12297,5997,,,,,
07:48.0,00:00.0,100,2,75,43,59,397163,52732,22377,24165,7934,11680,5499,1435,,,,,
07:49.0,00:00.0,100,2,70,44,57,51613,8901,1027,1365,1842,1422,512,405,,,,,
07:50.0,00:00.0,100,1,66,51,58,1877776,499693,33492,130517,41624,83486,75186,20892,,,,,
07:51.0,00:00.0,100,2,50,50,50,1039227,105509,32430,5700,4496,12019,8031,3431,,,,,
07:52.0,00:00.0,100,2,43,34,38,1003287,331410,31611,27067,19237,18834,10911,5635,,,,,
07:53.0,00:00.0,100,2,41,40,40,330396,337435,50410,93685,21219,56597,61940,5202,,,,,
07:54.0,00:00.0,100,2,47,44,45,1024742,51596,31207,37008,73364,26167,7799,3751,,,,,
07:55.0,00:00.0,100,2,50,43,46,348154,56355,3230,16675,3801,8085,2450,1632,,,,,
07:56.0,00:00.0,100,2,57,48,52,456661,114072,17021,15817,17839,15396,8523,1054,,,,,
07:57.0,00:00.0,100,2,53,56,54,410542,26181,23651,3665,4833,4292,1250,475,,,,,
07:58.0,00:00.0,100,2,44,51,47,596117,74618,14813,13374,18916,8300,9800,2434,,,,,
07:59.0,00:00.0,100,1,29,47,38,2246847,362545,61368,15323,28276,11165,13599,4389,,,,,
08:00.0,00:00.0,100,2,14,40,27,580927,89039,10555,1324,4083,2808,5390,1041,,,,,
08:01.0,00:00.0,100,3,20,37,28,1624155,27976,9660,13253,4953,6472,1296,406,,,,,
08:02.0,00:00.0,100,3,11,29,20,165018,178832,21321,11971,34101,7491,5040,3452,,,,,
08:03.0,00:00.0,100,2,11,50,30,605677,162398,107444,138331,58554,11072,51211,15538,,,,,
08:04.0,00:00.0,100,2,20,50,35,81283,34765,3986,494,2108,2016,858,636,,,,,
