'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
25:13.0,00:00.0,100,2,29,50,39,158874,107875,23988,10117,16159,10594,8708,3414,,,,,
25:14.0,00:00.0,100,2,35,53,44,99579,16638,12945,6474,2039,4814,2104,543,,,,,
25:15.0,00:00.0,100,2,29,57,43,516508,118024,48333,89690,55038,8344,6101,3008,,16104.9658,12131.57655,7426.758958,3607.737785
25:16.0,00:00.0,100,2,24,50,37,315825,412585,13399,23329,46903,16883,10471,4819,,,,,
25:17.0,00:00.0,100,2,29,41,35,206050,95150,3465,12973,23598,13356,5671,4303,,,,,
25:18.0,00:00.0,100,2,30,30,30,68553,29895,8525,11323,25773,7638,2816,6127,,,,,
25:19.0,00:00.0,100,2,37,7,22,21458,150680,6893,4947,10565,7872,4223,4427,,,,,
25:20.0,00:00.0,100,2,43,30,36,149874,20153,8430,13551,1632,3159,1604,419,,,,,
25:21.0,00:00.0,100,2,47,23,35,146051,16060,261,1390,5477,3292,1253,1245,,,,,
25:22.0,00:00.0,100,2,43,29,36,133844,47681,21992,11817,7915,7934,6959,2190,,,,,
25:23.0,00:00.0,100,2,47,54,50,11741,63143,38452,22397,11095,9420,12428,1292,,,,,
25:24.0,00:00.0,100,2,50,47,48,164240,20147,2519,7248,2003,3258,1308,683,,,,,
25:25.0,00:00.0,100,2,54,80,67,37760,3060,15371,20608,11507,10168,1372,2687,,,,,
25:26.0,00:00.0,100,2,61,69,65,1379668,94163,19034,15558,33638,27902,9394,6027,,,,,
25:27.0,00:00.0,100,2,70,80,75,80782,3962,18468,5167,4136,5544,4335,1189,,,,,
25:28.0,00:00.0,100,2,77,84,80,1323113,69911,67770,11409,20364,23886,5182,3782,,,,,
25:29.0,00:00.0,100,2,61,69,65,446389,104567,22712,19992,31585,9449,3655,2585,,,,,
25:30.0,00:00.0,100,2,64,78,71,172224,23817,5566,22876,12016,13630,6609,3688,,,,,
25:31.0,00:00.0,100,2,63,53,58,35474,91352,12107,8714,18129,19722,5850,5547,,,,,
25:32.0,00:00.0,100,2,43,47,45,191854,22704,3844,4439,1572,818,549,374,,,,,
25:33.0,00:00.0,100,2,53,43,48,194012,54026,11748,5501,19371,11679,2940,2735,,,,,
25:34.0,00:00.0,100,2,43,47,45,250237,13512,12911,2121,4838,3278,1578,923,,,,,
25:35.0,00:00.0,100,2,30,56,43,55471,76915,26593,21261,18945,7253,3690,1445,,,,,
25:36.0,00:00.0,100,2,43,56,49,206025,26653,8203,3449,5378,3042,831,463,,,,,
25:37.0,00:00.0,100,2,27,67,47,115406,250203,162878,20318,14135,16459,6448,3428,,,,,
25:38.0,00:00.0,100,2,37,64,50,34760,44436,19909,26064,19949,22888,5800,3176,,,,,
25:39.0,00:00.0,100,2,47,63,55,71508,57183,12929,17224,17659,11699,7108,2556,,,,,
25:40.0,00:00.0,100,2,37,63,50,66795,33151,6000,7994,6016,1532,1028,643,,,,,
25:41.0,00:00.0,100,2,41,54,47,39836,60977,8501,14906,17864,5545,8061,2592,,,,,
25:42.0,00:00.0,100,2,34,51,42,184695,49633,15279,14631,13802,8067,4255,1272,,,,,
25:43.0,00:00.0,100,2,23,63,43,157368,10445,9445,5795,1563,1472,4341,943,,,,,
25:44.0,00:00.0,100,2,21,60,40,588889,205306,33786,23950,19130,8016,9161,7281,,,,,
25:45.0,00:00.0,100,2,29,69,49,382505,15454,13669,17984,24157,5964,11132,3790,,,,,
25:46.0,00:00.0,100,2,14,67,40,235451,237098,93215,12346,32352,9708,11052,13689,,,,,
25:47.0,00:00.0,100,2,17,61,39,1659562,164409,100434,43366,28650,26251,16990,5868,,,,,
25:48.0,00:00.0,100,2,35,60,47,1253855,321391,56984,25243,35697,45569,20600,7466,,,,,
25:49.0,00:00.0,100,2,29,50,39,1294852,227939,53192,23075,40505,27593,21926,10183,,,,,
25:50.0,00:00.0,100,2,26,44,35,676847,82623,12175,5497,3893,2016,1074,965,,,,,
25:51.0,00:00.0,100,2,24,35,29,555831,55491,8379,9801,11582,4608,3105,672,,,,,
25:52.0,00:00.0,100,2,8,43,25,2096228,251285,84318,57850,31227,10691,3817,3499,,,,,
25:53.0,00:00.0,100,2,1,41,21,172919,169779,37178,1510,8563,9879,6304,2097,,,,,
25:54.0,00:00.0,100,2,14,47,30,1998198,351611,76192,62783,47867,30187,14898,6354,,,,,
25:55.0,00:00.0,100,2,21,44,32,159322,65926,11725,10151,19516,12240,10684,3102,,,,,
