'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
42:31.0,00:00.0,100,3,27,53,40,1036440,61106,40202,26775,18485,11321,3980,1449,,,,,
42:32.0,00:00.0,100,3,34,61,47,213276,7204,5485,810,2214,847,697,214,,10918.93452,9060.787698,5376.810516,2653.480159
42:33.0,00:00.0,100,2,50,70,60,1236073,42289,25064,46905,28119,13646,3935,3634,,,,,
42:34.0,00:00.0,100,2,44,81,62,134492,25309,9539,2769,2740,886,1069,227,,,,,
42:35.0,00:00.0,100,2,30,63,46,804767,102736,15856,2938,6156,3349,2712,730,,,,,
42:36.0,00:00.0,100,2,30,50,40,602438,87188,13944,5695,11915,7148,1953,2241,,,,,
42:37.0,00:00.0,100,2,17,35,26,82812,11751,1572,1946,384,579,110,196,,,,,
42:38.0,00:00.0,100,2,21,37,29,456072,38100,14199,7113,7325,1701,722,629,,,,,
42:39.0,00:00.0,100,2,17,38,27,1692517,856105,153392,31217,25399,20685,6881,7243,,,,,
42:40.0,00:00.0,100,2,30,53,41,154290,13254,11449,5958,8157,6523,1736,2518,,,,,
42:41.0,00:00.0,100,2,37,63,50,564149,22220,1276,13020,1439,2278,2209,1509,,,,,
42:42.0,00:00.0,100,2,50,53,51,191186,115549,7051,24774,29472,13223,12736,3004,,,,,
42:43.0,00:00.0,100,2,69,66,67,76476,44561,17857,23904,10783,9305,6287,3570,,,,,
42:44.0,00:00.0,100,2,44,51,47,769827,94351,17271,3164,6826,3171,1823,2198,,,,,
42:45.0,00:00.0,100,1,35,41,38,602537,71316,7263,10266,3898,2212,563,305,,,,,
42:46.0,00:00.0,100,1,23,54,38,1444347,150421,32175,72935,13274,7837,2728,4857,,,,,
42:47.0,00:00.0,100,2,20,56,38,817059,10717,7224,4070,2772,1759,1190,134,,,,,
42:48.0,00:00.0,100,1,21,83,52,774248,12514,25619,737,1598,1300,463,424,,,,,
42:49.0,00:00.0,100,1,29,96,62,64330,11949,6971,1389,1059,960,577,361,,,,,
42:50.0,00:00.0,100,1,17,67,42,111667,251299,6904,1299,2650,2399,1240,1470,,,,,
42:51.0,00:00.0,100,1,8,61,34,143483,16765,6129,715,626,707,332,263,,,,,
42:52.0,00:00.0,100,1,7,40,23,658563,195215,31668,6930,12745,5912,1091,3976,,,,,
42:53.0,00:00.0,100,1,1,40,20,1391977,177610,59657,34065,9714,3505,2153,5972,,,,,
42:54.0,00:00.0,100,1,10,60,35,535848,79705,7455,13719,9818,5551,1310,1343,,,,,
42:55.0,00:00.0,87,2,10,60,35,772053,105837,13942,14655,3927,2861,2572,379,,,,,
42:56.0,00:00.0,100,2,27,56,41,328759,38219,10914,13190,31475,10265,3460,5767,,,,,
42:57.0,00:00.0,100,2,37,54,45,429976,339901,38814,15236,19404,19400,7605,2394,,,,,
42:58.0,00:00.0,100,2,50,35,42,266018,80163,5523,1112,1821,3508,530,1475,,,,,
42:59.0,00:00.0,100,2,37,24,30,19699,27482,2649,344,756,455,307,615,,,,,
43:00.0,00:00.0,100,2,20,20,20,154427,19629,2610,1120,1685,772,627,1600,,,,,
43:01.0,00:00.0,100,2,13,23,18,142420,51076,10257,1134,1240,1690,686,393,,,,,
43:02.0,00:00.0,100,1,20,41,30,207579,12113,3564,3247,2188,1469,823,668,,,,,
43:03.0,00:00.0,100,1,44,43,43,127063,20248,1758,1122,2461,3803,1064,705,,,,,
43:04.0,00:00.0,100,1,47,64,55,105445,11396,4627,12022,1485,1150,1033,418,,,,,
43:05.0,00:00.0,100,1,48,60,54,170700,66165,5954,5213,9280,2242,1706,917,,,,,
43:06.0,00:00.0,100,1,57,64,60,48299,19612,9369,13602,9408,7977,3077,1908,,,,,
43:07.0,00:00.0,100,1,38,63,50,515351,663346,66592,4775,57541,18714,7781,3901,,,,,
43:08.0,00:00.0,100,1,29,54,41,984968,57238,7677,30301,3323,1868,1091,553,,,,,
43:09.0,00:00.0,100,1,17,48,32,116929,275954,18095,6250,3301,2514,1909,1284,,,,,
43:10.0,00:00.0,100,1,1,27,14,41524,34678,3286,426,1395,945,269,357,,,,,
43:11.0,00:00.0,100,1,4,37,20,1922761,98863,4390,16795,7272,5843,1208,2540,,,,,
43:12.0,00:00.0,100,2,14,26,20,838709,185868,36453,18115,18117,10561,2108,1967,,,,,
43:13.0,00:00.0,100,2,29,35,32,207543,136558,17575,5649,4186,5694,1655,974,,,,,
43:14.0,00:00.0,100,2,20,50,35,7185,10067,3881,336,484,124,66,85,,,,,
43:15.0,00:00.0,100,5,14,74,44,1176571,61955,81276,81189,36473,6345,2925,2178,,,,,
43:16.0,00:00.0,87,4,14,74,44,585618,4329,528,749,612,448,49,79,,,,,
43:17.0,00:00.0,100,4,21,91,56,678065,11609,18013,4823,2621,3089,2167,2245,,,,,
43:18.0,00:00.0,100,4,27,97,62,465413,84503,15821,16431,13702,7736,4510,2108,,,,,
43:19.0,00:00.0,100,4,43,100,71,339847,112410,67373,62831,7168,9176,7291,4424,,,,,
43:20.0,00:00.0,100,4,48,81,64,81113,121361,10199,8973,14997,6676,6572,3203,,,,,
43:21.0,00:00.0,100,2,43,67,55,1148154,115246,41676,11402,6015,8677,1676,1229,,,,,
43:22.0,00:00.0,100,2,53,78,65,32640,12815,13089,6041,5644,6386,2056,6218,,,,,
43:23.0,00:00.0,100,2,56,56,56,424365,63826,6135,5540,7347,3799,3309,2334,,,,,
43:24.0,00:00.0,100,2,38,63,50,206535,205999,31626,20622,2396,1836,1528,2554,,,,,
43:25.0,00:00.0,100,2,40,50,45,401080,142287,8570,7271,4348,9393,6308,1730,,,,,
43:26.0,00:00.0,100,2,23,44,33,772943,124738,58110,23370,16687,7146,17285,2036,,,,,
43:27.0,00:00.0,100,2,26,57,41,195955,26398,14674,2703,5400,2611,1457,757,,,,,
43:28.0,00:00.0,100,2,50,57,53,43787,26780,3883,5142,3112,2200,1310,918,,,,,
43:29.0,00:00.0,100,2,54,83,68,17543,22188,13733,24951,11621,5916,3514,4518,,,,,
43:30.0,00:00.0,100,2,78,91,84,16825,8929,5109,22745,7158,11378,2577,2470,,,,,
43:31.0,00:00.0,100,2,69,81,75,177120,43188,4426,5534,1631,1604,1161,763,,,,,
43:32.0,00:00.0,100,2,66,100,83,23173,32837,41762,27534,7479,4683,2616,2755,,,,,
43:33.0,00:00.0,100,2,64,83,73,230148,20973,2733,1960,2418,2043,468,719,,,,,
43:34.0,00:00.0,100,2,60,74,67,29858,35056,19749,6125,14436,11561,2831,2073,,,,,
