'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
42:19.0,00:00.0,100,2,21,30,25,230286,74270,2569,12910,23760,5597,3200,992,,,,,
42:20.0,00:00.0,100,2,29,41,35,2471734,366972,258738,266211,26288,65013,11664,21894,,16505.69086,12155.71065,5535.770028,4596.292177
42:21.0,00:00.0,100,2,37,64,50,61609,13967,11702,931,662,442,321,242,,,,,
42:22.0,00:00.0,100,2,43,63,53,394759,47851,4091,3888,4611,4221,1531,2234,,,,,
42:23.0,00:00.0,87,1,43,63,53,455458,102877,5972,6473,3791,3878,2369,1357,,,,,
42:24.0,00:00.0,100,1,30,75,52,1197812,374065,194257,130718,89525,10037,9856,14392,,,,,
42:25.0,00:00.0,100,2,26,63,44,824752,242876,26969,64782,5150,14867,7026,3754,,,,,
42:26.0,00:00.0,100,1,34,54,44,69263,52989,12855,11575,4925,2919,846,410,,,,,
42:27.0,00:00.0,100,2,17,75,46,1565171,294940,68739,362026,21861,8862,12830,16103,,,,,
42:28.0,00:00.0,100,2,16,70,43,783045,474835,145328,65785,13292,8074,7274,7320,,,,,
42:29.0,00:00.0,100,2,17,70,43,1019452,431746,32975,122392,20765,28696,8368,18440,,,,,
42:30.0,00:00.0,87,2,17,70,43,24055,10111,5863,10283,4620,2325,1736,1126,,,,,
42:31.0,00:00.0,87,3,17,70,43,1068530,66155,30386,31339,42729,9865,3859,1679,,,,,
42:32.0,00:00.0,100,3,23,78,50,1689561,116267,93744,33510,27729,17148,2447,5776,,,,,
42:33.0,00:00.0,100,2,37,60,48,867496,331624,34519,30563,17851,20514,5781,3397,,,,,
42:34.0,00:00.0,100,2,56,64,60,1296348,73805,39902,32911,11337,20164,5575,2385,,,,,
42:35.0,00:00.0,100,2,54,67,60,172069,232181,102567,17192,12109,15338,7287,5325,,,,,
42:36.0,00:00.0,100,2,41,63,52,897790,348150,116634,55576,19896,7429,4083,10123,,,,,
42:37.0,00:00.0,100,1,30,61,45,459132,101226,9344,6756,5315,2029,1387,873,,,,,
42:38.0,00:00.0,100,2,21,57,39,1938364,335527,170044,31333,33474,20966,7663,9319,,,,,
42:39.0,00:00.0,100,2,14,60,37,1645651,96230,34110,20520,13932,3296,1351,922,,,,,
42:40.0,00:00.0,100,2,24,56,40,1156620,78954,23023,7925,8525,5564,5829,2502,,,,,
42:41.0,00:00.0,100,1,35,64,49,783228,124282,24008,33290,9657,10277,3478,1518,,,,,
42:42.0,00:00.0,87,2,35,64,49,1135352,136392,38287,12465,14641,13994,1940,2155,,,,,
42:43.0,00:00.0,100,2,37,67,52,1218108,163931,56889,67289,8774,14186,4207,3693,,,,,
42:44.0,00:00.0,100,2,51,75,63,813832,583891,719423,602951,255833,234855,17671,27481,,,,,
42:45.0,00:00.0,87,2,51,75,63,846247,260809,96990,86849,73667,6985,4294,2667,,,,,
42:46.0,00:00.0,87,2,51,75,63,1226463,288190,45461,51451,15718,30224,7795,5793,,,,,
42:47.0,00:00.0,100,2,57,81,69,478094,773043,684067,63040,88324,156410,15628,19525,,,,,
42:48.0,00:00.0,100,2,53,70,61,1019026,347240,23451,20461,17361,10941,3859,3999,,,,,
42:49.0,00:00.0,100,2,51,74,62,1184716,636660,404610,211345,50397,54788,25744,8511,,,,,
42:50.0,00:00.0,100,2,47,67,57,1515120,109140,97192,6686,5889,15127,3065,2615,,,,,
42:51.0,00:00.0,87,2,47,67,57,663680,96985,32839,13604,15170,4712,2002,1450,,,,,
42:52.0,00:00.0,100,2,48,80,64,1713929,82915,436120,108032,52955,77560,36780,27742,,,,,
42:53.0,00:00.0,87,2,48,80,64,601097,87701,39560,35165,15739,10266,4016,6245,,,,,
42:54.0,00:00.0,100,2,54,97,75,572594,150590,142862,45774,47719,18916,9385,7974,,,,,
42:55.0,00:00.0,100,1,56,90,73,269707,390060,56625,81983,23122,28829,4535,3590,,,,,
42:56.0,00:00.0,100,2,48,80,64,778761,333648,75853,37740,61326,11721,5694,6986,,,,,
42:57.0,00:00.0,100,2,37,66,51,56892,88692,41103,16559,7719,4494,1640,2567,,,,,
42:58.0,00:00.0,87,3,37,66,51,191396,14258,39550,27418,2018,8300,2684,3424,,,,,
42:59.0,00:00.0,87,3,37,66,51,617828,50321,27574,16256,7848,5480,2756,3288,,,,,
43:00.0,00:00.0,100,3,30,66,48,297805,294646,104692,184557,27727,20311,3676,6100,,,,,
43:01.0,00:00.0,87,1,30,66,48,1834898,419725,101168,73520,23704,30917,15702,4913,,,,,
43:02.0,00:00.0,87,1,30,66,48,1207198,214123,164756,122759,61317,51069,16616,9233,,,,,
43:03.0,00:00.0,87,1,30,66,48,383170,131516,40562,14028,7740,2689,2047,1043,,,,,
43:04.0,00:00.0,87,1,30,66,48,35997,1290,13082,3844,4222,2878,365,428,,,,,
43:05.0,00:00.0,100,1,24,78,51,278969,108107,73170,97801,21102,6695,6851,5473,,,,,
