'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
35:06.0,00:00.0,100,2,88,57,72,105189,8268,1530,2073,6055,6637,1375,159,,,,,
35:07.0,00:00.0,100,2,78,40,59,455926,210405,23832,20114,21738,20649,7948,5647,,18047.35505,16773.82385,13334.76881,6485.851376
35:08.0,00:00.0,100,2,77,51,64,953690,13450,1958,6490,1892,2654,2784,929,,,,,
35:09.0,00:00.0,100,2,74,53,63,314670,55985,34267,19113,16065,11053,20543,13730,,,,,
35:10.0,00:00.0,100,2,48,57,52,704867,39235,12007,1714,11547,3041,6185,5164,,,,,
35:11.0,00:00.0,100,2,34,51,42,693711,161024,6187,11506,17898,4057,16901,7452,,,,,
35:12.0,00:00.0,100,2,51,44,47,15580,11010,9919,2896,17551,20228,31976,31960,,,,,
35:13.0,00:00.0,100,2,67,34,50,653759,29557,3924,13706,27621,28610,26696,12380,,,,,
35:14.0,00:00.0,100,2,67,35,51,425407,127762,10565,35063,22534,12149,33490,19752,,,,,
35:15.0,00:00.0,100,2,67,38,52,344854,69526,8261,1845,2380,1976,2671,746,,,,,
35:16.0,00:00.0,100,2,51,34,42,290673,24526,4779,1228,6835,4601,2261,911,,,,,
35:17.0,00:00.0,100,2,47,34,40,65801,48293,7525,13383,23871,26882,40280,12197,,,,,
35:18.0,00:00.0,100,2,47,41,44,129780,41538,25741,8606,10316,5427,7324,2147,,,,,
35:19.0,00:00.0,100,2,67,69,68,1309303,13449,25564,40071,12736,15488,12402,6389,,,,,
35:20.0,00:00.0,100,2,64,77,70,1268252,81711,18881,12280,6023,11368,7146,12681,,,,,
35:21.0,00:00.0,100,2,61,81,71,119620,99308,11536,49359,45719,43674,23253,13441,,,,,
35:22.0,00:00.0,100,2,77,77,77,112994,33398,20636,10123,22182,20367,44565,15151,,,,,
35:23.0,00:00.0,100,2,63,78,70,634152,57317,193417,53754,17426,20319,40563,46696,,,,,
35:24.0,00:00.0,100,1,50,78,64,768029,31996,11542,2114,3383,1184,2354,2805,,,,,
