'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
54:27.0,00:00.0,100,1,54,43,48,231867,51623,12992,12341,9912,12254,8748,6000,,,,,
54:28.0,00:00.0,100,1,24,35,29,46619,133742,13461,7887,1319,2272,1199,1733,,15283.92473,10432.26667,5230.384946,2557.71828
54:29.0,00:00.0,100,1,35,37,36,154628,101147,42548,8270,8246,17456,12197,3037,,,,,
54:30.0,00:00.0,100,1,41,44,42,21212,22587,2732,20313,12924,7526,3835,1777,,,,,
54:31.0,00:00.0,100,1,43,56,49,6945,20872,20373,18891,8924,11061,7305,2780,,,,,
54:32.0,00:00.0,100,2,61,67,64,408964,32168,15109,15184,15680,7987,9489,2545,,,,,
54:33.0,00:00.0,100,2,56,60,58,2085271,149848,20447,4964,14773,10338,5860,1049,,,,,
54:34.0,00:00.0,100,2,61,54,57,186737,35129,14707,4428,7275,15138,7101,3027,,,,,
54:35.0,00:00.0,100,2,64,47,55,17217,16586,7944,16721,25265,11729,3369,4998,,,,,
54:36.0,00:00.0,100,2,69,50,59,26197,21290,11935,17970,11279,11086,7683,2298,,,,,
54:37.0,00:00.0,100,2,88,63,75,6809,6258,7029,11018,12052,12363,20364,4609,,,,,
54:38.0,00:00.0,100,2,93,69,81,10026,3115,5974,8730,8958,9418,8110,3741,,,,,
54:39.0,00:00.0,100,2,88,64,76,5294,43583,9399,6319,6256,7917,6310,2967,,,,,
54:40.0,00:00.0,100,2,81,61,71,58476,35336,4520,36627,43602,7652,4284,1460,,,,,
54:41.0,00:00.0,100,2,77,56,66,16432,8890,5737,1592,7885,5580,3575,4749,,,,,
54:42.0,00:00.0,100,2,70,53,61,8409,17579,4539,10179,5421,8401,9230,1217,,,,,
54:43.0,00:00.0,100,2,81,61,71,4934,11987,11752,33060,20889,24784,12620,5605,,,,,
54:44.0,00:00.0,100,2,90,67,78,13360,11505,7464,53636,35868,17422,8186,2421,,,,,
54:45.0,00:00.0,100,2,83,77,80,17607,11444,11550,31654,32327,8569,2992,1015,,,,,
54:46.0,00:00.0,100,2,83,81,82,25143,11381,21901,7626,13568,9776,4416,1971,,,,,
54:47.0,00:00.0,100,2,75,84,79,5900,19843,27830,2903,3018,9462,3846,2086,,,,,
