'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:17.0,00:00.0,100,4,16,16,16,883818,105058,1016,12798,5658,5778,8375,1618,,26085.60704,22441.1196,11611.11457,5527.21608
12:18.0,00:00.0,100,4,23,20,21,39305,22893,10945,11217,3463,10919,9810,3866,,,,,
12:19.0,00:00.0,100,4,34,37,35,28816,17883,6406,22172,10138,14254,1868,5188,,,,,
12:20.0,00:00.0,100,4,35,41,38,530730,722575,72405,34205,27948,27070,25769,8823,,,,,
12:21.0,00:00.0,100,2,35,37,36,185947,112170,4439,5478,6056,5851,1993,1959,,,,,
12:22.0,00:00.0,100,2,27,30,28,298437,135245,31354,27208,29213,18220,21500,11203,,,,,
12:23.0,00:00.0,100,2,26,35,30,15602,21701,29402,7889,4723,14522,19429,6389,,,,,
12:24.0,00:00.0,100,2,37,44,40,85250,48835,7275,16090,5955,8992,14038,1972,,,,,
12:25.0,00:00.0,100,2,35,50,42,965892,311488,14144,23511,34396,13626,8374,2863,,,,,
12:26.0,00:00.0,100,2,26,60,43,1426755,186311,105376,36947,15753,10262,24911,16692,,,,,
12:27.0,00:00.0,100,2,30,38,34,16430,22296,2711,8097,26424,17996,5341,2482,,,,,
12:28.0,00:00.0,100,2,21,35,28,725524,223576,25659,42331,23416,9802,7328,9663,,,,,
12:29.0,00:00.0,100,2,34,57,45,72388,18813,36175,8759,16800,12509,12918,5469,,,,,
12:30.0,00:00.0,100,2,56,41,48,10853,24751,4212,7330,18269,22615,10430,8971,,,,,
12:31.0,00:00.0,100,2,50,50,50,16511,19168,9353,6895,23156,7514,13785,9639,,,,,
12:32.0,00:00.0,100,2,67,56,61,30132,16417,10508,6517,8792,12948,18061,5843,,,,,
12:33.0,00:00.0,100,2,67,51,59,11243,20771,6880,18815,12688,10146,6762,5086,,,,,
12:34.0,00:00.0,100,2,56,64,60,3913,62075,24293,20120,7546,12666,11005,2578,,,,,
12:35.0,00:00.0,100,2,61,66,63,6871,23277,5455,15162,12909,15728,3383,1631,,,,,
12:36.0,00:00.0,100,2,60,66,63,43850,29537,5915,12810,5776,13411,18621,3679,,,,,
12:37.0,00:00.0,100,2,61,50,55,16001,37824,4575,6350,15588,13227,12677,7110,,,,,
12:38.0,00:00.0,100,2,53,34,43,223535,139672,7487,11975,17925,6453,3510,2649,,,,,
12:39.0,00:00.0,100,2,50,34,42,26448,41767,18498,8334,11585,16707,6975,3087,,,,,
12:40.0,00:00.0,100,2,38,34,36,48044,73857,19128,25739,20958,7682,19320,8091,,,,,
12:41.0,00:00.0,100,2,24,30,27,482310,241649,37493,5395,47343,12328,15170,7726,,,,,
12:42.0,00:00.0,100,2,29,51,40,428522,48738,27083,10201,5096,6830,14583,1500,,,,,
