'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:19.0,00:00.0,100,2,26,61,43,42705,20649,37951,46320,35988,10078,3785,4889,,18398.74667,13262.71238,8081.942857,3965.335238
30:20.0,00:00.0,100,2,1,51,26,1300447,913315,112945,29621,22299,23092,27191,16110,,,,,
30:21.0,00:00.0,100,2,1,61,31,284943,77584,104796,6758,3729,4170,3002,2244,,,,,
30:22.0,00:00.0,100,2,1,84,42,2760734,330867,369746,211661,43245,62010,42200,19210,,,,,
30:23.0,00:00.0,100,2,4,75,39,1204076,36718,7050,15797,4022,8039,7134,5696,,,,,
30:24.0,00:00.0,100,2,8,93,50,175209,12212,10459,1132,1482,762,1231,728,,,,,
30:25.0,00:00.0,100,2,16,80,48,212004,60429,16989,9852,4899,4952,4251,4071,,,,,
30:26.0,00:00.0,100,2,14,75,44,120293,74118,11065,69208,12224,11157,6491,1800,,,,,
30:27.0,00:00.0,100,2,1,50,25,160585,404833,12146,8649,9234,11545,27611,6217,,,,,
30:28.0,00:00.0,100,2,10,35,22,556539,94471,14159,9500,16504,9878,2435,1831,,,,,
30:29.0,00:00.0,100,2,10,27,18,179574,84099,3357,14704,1496,6074,4681,2671,,,,,
30:30.0,00:00.0,100,2,14,26,20,139158,44774,13738,36970,8116,10854,3627,2209,,,,,
30:31.0,00:00.0,100,2,30,50,40,11563,61939,6123,29357,4236,18737,6722,3189,,,,,
30:32.0,00:00.0,100,2,30,47,38,21092,48178,4606,6680,14412,4768,5352,1900,,,,,
30:33.0,00:00.0,100,2,37,64,50,14829,27069,9373,59634,38178,8402,5153,3718,,,,,
30:34.0,00:00.0,100,2,30,44,37,550794,29627,3284,1255,1654,2244,900,2083,,,,,
30:35.0,00:00.0,100,2,20,47,33,377292,169582,95960,26415,65475,17639,26247,2248,,,,,
30:36.0,00:00.0,100,2,8,44,26,1700404,554655,44339,43769,24051,12689,28418,4603,,,,,
30:37.0,00:00.0,100,2,10,44,27,28920,18045,27173,5230,7472,6313,8620,8228,,,,,
30:38.0,00:00.0,100,2,20,64,42,62902,26784,28785,10347,14558,11733,13693,3151,,,,,
30:39.0,00:00.0,100,2,16,69,42,1184754,295343,206876,70214,62166,26772,14207,3952,,,,,
30:40.0,00:00.0,100,2,26,70,48,285836,191865,31115,3894,12993,13917,16326,3467,,,,,
30:41.0,00:00.0,100,2,34,69,51,94403,43487,63551,3461,17149,26224,18784,5395,,,,,
30:42.0,00:00.0,100,2,11,61,36,1405127,283904,67700,41467,13665,5778,3528,2012,,,,,
30:43.0,00:00.0,100,2,23,50,36,347355,147051,27214,22902,29448,31089,5889,3541,,,,,
30:44.0,00:00.0,100,2,21,53,37,284159,76473,2654,19040,12417,5000,1789,1368,,,,,
30:45.0,00:00.0,100,2,3,38,20,1755850,418714,50351,51653,16159,17032,6864,1067,,,,,
30:46.0,00:00.0,100,2,7,38,22,1584082,59311,9486,13304,7318,1883,768,358,,,,,
30:47.0,00:00.0,100,2,1,37,19,1940949,201495,18159,32528,20131,7817,2904,527,,,,,
30:48.0,00:00.0,100,1,1,38,19,486062,13719,3294,2848,3356,1759,627,300,,,,,
30:49.0,00:00.0,100,1,7,48,27,136078,43421,34798,7842,21848,8539,5023,1669,,,,,
30:50.0,00:00.0,100,1,13,60,36,563617,53058,4433,57265,10363,5758,4730,2016,,,,,
30:51.0,00:00.0,100,2,26,66,46,570025,32220,11232,6680,2911,6646,6609,1955,,,,,
30:52.0,00:00.0,100,2,30,66,48,16927,84388,8020,22900,7338,17186,6758,5727,,,,,
30:53.0,00:00.0,100,2,35,70,52,792643,24008,19583,10984,5261,8653,10168,5589,,,,,
30:54.0,00:00.0,100,2,35,53,44,1272825,411235,67663,20887,41371,24737,14595,4427,,,,,
30:55.0,00:00.0,100,2,35,53,44,1113677,12047,6740,2310,6724,2724,1697,1535,,,,,
30:56.0,00:00.0,100,2,24,74,49,228996,71550,127533,34045,4610,11727,15362,7963,,,,,
30:57.0,00:00.0,100,2,24,61,42,356835,79348,7748,18158,4111,15283,15525,5632,,,,,
30:58.0,00:00.0,100,2,34,64,49,337809,82604,13284,11966,6148,15227,12189,2633,,,,,
30:59.0,00:00.0,100,2,29,54,41,108364,226986,24247,22138,13835,24153,3148,2973,,,,,
31:00.0,00:00.0,100,2,43,40,41,10251,34437,1235,25049,8568,14019,9689,3320,,,,,
31:01.0,00:00.0,100,2,35,56,45,43110,31931,22824,37376,11380,5773,9879,2055,,,,,
31:02.0,00:00.0,100,1,27,53,40,413665,227622,25604,23643,39611,15919,9118,2039,,,,,
31:03.0,00:00.0,100,1,30,63,46,46592,43776,14238,10150,3934,9129,10050,2191,,,,,
31:04.0,00:00.0,100,1,23,69,46,114929,74793,52727,27862,9703,14968,6036,3158,,,,,
31:05.0,00:00.0,100,2,16,50,33,851190,462228,52548,54297,44630,15214,4646,4382,,,,,
31:06.0,00:00.0,100,2,14,57,35,661380,168711,67951,8780,19998,12383,6185,1327,,,,,
31:07.0,00:00.0,100,2,11,63,37,1311294,64343,22583,39194,23502,11373,13862,8211,,,,,
31:08.0,00:00.0,100,2,10,47,28,425064,296569,38923,19432,26489,25924,5944,7433,,,,,
31:09.0,00:00.0,100,2,23,67,45,567479,38884,68837,61875,22695,21001,7590,3754,,,,,
31:10.0,00:00.0,100,2,29,66,47,157743,134244,37378,17558,13248,16456,5164,2272,,,,,
31:11.0,00:00.0,100,2,40,63,51,5131,10702,9848,12956,30024,10206,8493,1016,,,,,
31:12.0,00:00.0,100,2,40,67,53,1072550,137652,20192,22386,12444,13676,14350,7262,,,,,
31:13.0,00:00.0,100,2,40,54,47,115911,31608,10205,13420,11409,7111,9795,2374,,,,,
31:14.0,00:00.0,100,2,34,41,37,657231,263393,16010,12965,12348,14088,3748,4343,,,,,
31:15.0,00:00.0,100,2,21,35,28,314751,135692,22989,20479,21704,12548,7591,2729,,,,,
31:16.0,00:00.0,100,2,27,38,32,679039,62796,20191,10253,15864,14715,8438,11550,,,,,
31:17.0,00:00.0,100,2,37,40,38,19645,14260,7336,21720,31336,11521,6679,2231,,,,,
31:18.0,00:00.0,100,2,38,74,56,45560,21479,86772,21771,17313,8162,4774,964,,,,,
31:19.0,00:00.0,100,2,38,87,62,23553,20923,1507,27543,6708,3987,5236,1930,,,,,
31:20.0,00:00.0,100,2,38,96,67,83191,16831,17119,10654,8519,6169,5451,2039,,,,,
31:21.0,00:00.0,100,2,35,97,66,8313,13205,1336,13592,7132,5519,5168,2176,,,,,
31:22.0,00:00.0,100,2,38,97,67,10428,5790,41265,19076,11062,7000,4647,2300,,,,,
31:23.0,00:00.0,100,2,43,93,68,28459,31252,24009,8002,5634,9191,7303,5131,,,,,
31:24.0,00:00.0,100,2,38,84,61,9663,54306,13213,16591,11231,7812,5428,2164,,,,,
31:25.0,00:00.0,100,2,27,87,57,701951,268978,110742,111686,16076,27860,26811,9239,,,,,
31:26.0,00:00.0,100,2,35,66,50,67855,29570,15293,11640,28649,11814,9047,7201,,,,,
31:27.0,00:00.0,100,2,30,70,50,123503,48038,11452,75409,6496,12448,2654,3423,,,,,
31:28.0,00:00.0,100,2,26,67,46,123438,75093,7122,19685,8028,5649,10074,3627,,,,,
31:29.0,00:00.0,100,2,41,64,52,13859,19256,10231,13968,10252,12841,10078,2729,,,,,
31:30.0,00:00.0,100,2,30,56,43,562649,169231,8151,24084,6139,14785,5365,3589,,,,,
31:31.0,00:00.0,100,2,40,53,46,8762,20848,7788,24758,8408,12363,4787,5337,,,,,
31:32.0,00:00.0,100,2,47,50,48,102201,17436,2640,3203,3806,2508,2002,591,,,,,
31:33.0,00:00.0,100,2,41,48,44,79613,7515,5112,876,2708,2343,1603,366,,,,,
31:34.0,00:00.0,100,2,47,63,55,209016,58828,42476,17404,15812,13214,4503,2565,,,,,
31:35.0,00:00.0,100,2,41,66,53,94397,32943,53352,42493,41231,17889,11385,7742,,,,,
31:36.0,00:00.0,100,2,34,74,54,656305,19145,3902,7814,2894,1171,2660,717,,,,,
31:37.0,00:00.0,100,1,21,69,45,970705,113316,20574,28328,5525,7111,4108,3260,,,,,
31:38.0,00:00.0,100,1,4,50,27,1096341,271109,19369,7600,3003,6534,7306,2997,,,,,
