'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:17.0,00:00.0,100,2,56,35,45,1848502,15865,9033,21169,5111,9052,5870,1506,,12613.548,12741.568,9128.046,4021.418
30:18.0,00:00.0,100,2,70,57,63,19183,27691,20832,9830,5382,16125,4795,1830,,,,,
30:19.0,00:00.0,100,2,69,51,60,32642,79809,9548,16749,6746,17655,4082,1520,,,,,
30:20.0,00:00.0,100,2,70,54,62,7734,41158,9269,6509,3297,10368,5506,3678,,,,,
30:21.0,00:00.0,100,2,64,48,56,21555,41746,13542,10215,5601,5641,7969,1986,,,,,
30:22.0,00:00.0,100,2,53,60,56,3079,14187,57438,13538,7103,5843,4491,715,,,,,
30:23.0,00:00.0,100,2,60,69,64,8107,14259,19660,12152,11266,20244,3591,1559,,,,,
30:24.0,00:00.0,100,2,63,66,64,6914,22147,3190,7752,15594,10234,4430,1199,,,,,
30:25.0,00:00.0,100,2,57,70,63,9675,34855,11828,23934,9865,3317,4028,2022,,,,,
30:26.0,00:00.0,100,2,67,54,60,28738,50156,12051,17180,8120,16970,3674,3383,,,,,
30:27.0,00:00.0,100,2,54,66,60,27136,9251,37684,17325,5676,6223,5890,2340,,,,,
30:28.0,00:00.0,100,2,54,66,60,18363,57559,9040,15780,37830,23777,6896,3408,,,,,
30:29.0,00:00.0,100,2,61,66,63,59075,49154,36905,18462,12985,8236,11681,2915,,,,,
30:30.0,00:00.0,100,2,60,66,63,15634,36013,17415,15235,27536,13133,6113,1500,,,,,
30:31.0,00:00.0,100,2,56,51,53,303169,15615,4659,3534,2012,1748,3009,1381,,,,,
30:32.0,00:00.0,100,2,50,57,53,260071,70101,16159,30469,14614,13476,13375,4760,,,,,
30:33.0,00:00.0,100,2,47,56,51,14204,42695,22821,19672,21775,6081,5783,1681,,,,,
30:34.0,00:00.0,100,2,38,70,54,15179,12324,12093,33090,6401,4458,4732,2227,,,,,
30:35.0,00:00.0,100,2,48,84,66,10159,4069,18917,22043,7769,9056,8666,2482,,,,,
30:36.0,00:00.0,100,2,47,87,67,53036,72292,38447,16334,10354,11472,14728,9238,,,,,
30:37.0,00:00.0,100,2,61,84,72,5665,19393,22399,6202,12909,19451,3529,1685,,,,,
30:38.0,00:00.0,100,2,64,87,75,7727,12070,44772,29932,9563,8030,17437,2667,,,,,
30:39.0,00:00.0,100,2,60,66,63,27885,42798,6540,4807,11011,6240,7465,2488,,,,,
30:40.0,00:00.0,100,2,64,74,69,41431,10443,15840,21529,9403,8057,6439,2897,,,,,
30:41.0,00:00.0,100,2,51,77,64,4708,18956,24819,12443,25804,4538,3531,3850,,,,,
30:42.0,00:00.0,100,2,61,64,62,12876,26181,8279,21732,4216,18301,4852,2471,,,,,
30:43.0,00:00.0,100,2,69,64,66,101342,31651,4249,4816,4912,11645,7030,3917,,,,,
30:44.0,00:00.0,100,2,67,53,60,7398,21308,7688,6227,11818,6244,2908,2787,,,,,
30:45.0,00:00.0,100,2,81,53,67,13717,5747,12751,7963,10494,9248,9962,4549,,,,,
30:46.0,00:00.0,100,2,63,53,58,8406,54611,43269,5084,11366,4869,12543,3080,,,,,
30:47.0,00:00.0,100,2,57,56,56,7958,67491,24125,4078,13667,13544,3566,6076,,,,,
30:48.0,00:00.0,100,2,51,51,51,98231,14991,1733,1402,797,1784,1711,337,,,,,
30:49.0,00:00.0,100,2,44,27,35,9765,31590,1277,1748,3035,6348,4453,1160,,,,,
30:50.0,00:00.0,100,2,61,27,44,12563,13189,13710,3916,6638,8946,14300,3090,,,,,
30:51.0,00:00.0,100,2,66,23,44,37289,51419,4215,11444,12342,18954,5788,1216,,,,,
30:52.0,00:00.0,100,2,74,30,52,52986,46917,13392,13838,6937,14885,9377,2650,,,,,
30:53.0,00:00.0,100,2,81,41,61,10000,10787,3644,4122,14614,8232,9638,2127,,,,,
30:54.0,00:00.0,100,2,74,40,57,4150,36909,15664,11651,11714,7604,7922,3791,,,,,
30:55.0,00:00.0,100,2,56,37,46,241885,54167,6898,1799,5529,2596,9703,2796,,,,,
30:56.0,00:00.0,100,2,56,27,41,18986,44885,5081,6642,13088,11258,9667,1365,,,,,
30:57.0,00:00.0,100,2,50,40,45,3982,13895,1998,26069,11783,9385,5576,888,,,,,
30:58.0,00:00.0,100,2,61,41,51,7674,16434,17443,8338,11128,16615,6947,2294,,,,,
30:59.0,00:00.0,100,2,74,60,67,7147,20374,13071,20760,7742,7922,5858,1769,,,,,
31:00.0,00:00.0,100,2,78,75,76,2098,5631,6081,15730,6216,8782,8427,1169,,,,,
31:01.0,00:00.0,100,2,77,84,80,8878,9085,13206,40673,6066,12803,2920,3705,,,,,
31:02.0,00:00.0,100,2,64,84,74,2657,30462,17772,9106,8014,5987,2949,1394,,,,,
31:03.0,00:00.0,100,2,61,80,70,13783,48811,31775,13087,20834,11052,6420,1287,,,,,
31:04.0,00:00.0,100,2,60,66,63,86785,52492,11338,10552,11747,18442,7433,876,,,,,
31:05.0,00:00.0,100,2,60,51,55,8876,49455,9502,16281,17598,14790,5832,1831,,,,,
31:06.0,00:00.0,100,2,64,51,57,189735,52746,52889,10467,8576,21336,6270,3749,,,,,
31:07.0,00:00.0,100,2,77,53,65,34496,15107,13085,11106,6813,18854,9659,6181,,,,,
31:08.0,00:00.0,100,2,77,67,72,9025,19030,23194,45294,14038,20646,5406,2327,,,,,
31:09.0,00:00.0,100,2,78,64,71,2302935,175140,45019,50434,185810,64346,35005,31206,,,,,
31:10.0,00:00.0,100,2,70,51,60,1171785,411296,82998,20682,87680,47955,20850,11030,,,,,
31:11.0,00:00.0,100,2,67,53,60,25021,16525,4474,22839,7608,13355,8809,3146,,,,,
31:12.0,00:00.0,100,2,66,38,52,83301,11547,3245,1742,2378,3613,3728,2193,,,,,
31:13.0,00:00.0,100,2,75,48,61,10373,10801,25932,3305,14951,20525,6723,1887,,,,,
31:14.0,00:00.0,100,2,78,70,74,13788,12191,39963,9286,2443,7743,2347,1581,,,,,
31:15.0,00:00.0,100,2,75,69,72,26314,14098,17721,2597,13049,8807,12837,541,,,,,
31:16.0,00:00.0,100,2,77,80,78,19980,6721,10544,9942,10963,7038,11005,655,,,,,
31:17.0,00:00.0,100,2,64,81,72,1511,46274,27953,30298,2429,14366,1617,850,,,,,
31:18.0,00:00.0,100,2,66,57,61,679798,68985,2883,11724,19081,12375,9720,6652,,,,,
31:19.0,00:00.0,100,2,64,57,60,3059,17853,11692,9944,12084,7425,4953,1752,,,,,
31:20.0,00:00.0,100,2,64,60,62,12468,9666,22082,2944,7607,8639,5011,2098,,,,,
31:21.0,00:00.0,100,2,74,57,65,8521,15638,25535,16123,12969,21563,2926,3614,,,,,
31:22.0,00:00.0,100,2,77,70,73,12035,15891,10723,15839,9571,9082,4509,1759,,,,,
31:23.0,00:00.0,100,2,64,80,72,58587,36280,38053,22032,8855,5489,2996,2053,,,,,
31:24.0,00:00.0,100,2,64,70,67,25573,28713,18384,8413,23953,13011,5237,2713,,,,,
31:25.0,00:00.0,100,2,51,66,58,101810,58476,37877,6608,18834,9484,10201,2758,,,,,
31:26.0,00:00.0,100,2,53,66,59,13556,13863,18959,10931,14630,10291,7514,1919,,,,,
31:27.0,00:00.0,100,2,61,53,57,14917,30459,7346,5975,12805,6126,6005,3910,,,,,
31:28.0,00:00.0,100,2,56,57,56,21852,44194,27921,18576,17209,13301,8806,1629,,,,,
31:29.0,00:00.0,100,2,69,56,62,4038,15881,5602,14354,16056,15277,5226,2871,,,,,
31:30.0,00:00.0,100,2,69,48,58,14861,27467,15584,8961,32035,12966,5589,2801,,,,,
31:31.0,00:00.0,100,2,74,51,62,27970,33520,13518,10745,18427,11586,13702,3116,,,,,
31:32.0,00:00.0,100,2,81,43,62,78767,27645,7064,5381,9709,14750,5649,3482,,,,,
31:33.0,00:00.0,100,2,78,41,59,39654,33003,14779,7472,11158,14093,10299,1911,,,,,
31:34.0,00:00.0,100,2,80,38,59,20888,33737,6709,5078,2326,15249,11580,4569,,,,,
31:35.0,00:00.0,100,2,83,40,61,5673,21843,4557,12233,6284,10315,4646,720,,,,,
31:36.0,00:00.0,100,2,78,40,59,112233,12779,2486,1748,3400,3837,1564,397,,,,,
31:37.0,00:00.0,100,2,63,44,53,21593,54999,24318,23185,11020,5052,2438,1998,,,,,
31:38.0,00:00.0,100,2,54,47,50,7647,55531,9424,7542,8874,8639,5042,2690,,,,,
31:39.0,00:00.0,100,2,51,38,44,35699,27496,3102,4266,8377,7668,3507,2376,,,,,
31:40.0,00:00.0,100,2,38,38,38,322923,193252,24367,25384,22864,10645,11693,4175,,,,,
31:41.0,00:00.0,100,2,48,26,37,374668,65680,12477,4702,19150,13259,13521,4636,,,,,
31:42.0,00:00.0,100,2,54,30,42,75958,40745,6881,22958,17108,19097,13608,2664,,,,,
31:43.0,00:00.0,100,2,40,27,33,2139240,618352,61952,21087,13606,23031,23572,10193,,,,,
31:44.0,00:00.0,100,2,41,34,37,73452,22264,6400,6685,6182,1835,1892,262,,,,,
31:45.0,00:00.0,100,2,43,50,46,1953,23053,39534,16104,12432,15488,9106,2521,,,,,
31:46.0,00:00.0,100,2,27,61,44,55057,39686,16667,70425,10119,6144,7784,1621,,,,,
31:47.0,00:00.0,100,2,44,66,55,84883,26745,3952,5153,4278,7995,3972,2191,,,,,
31:48.0,00:00.0,100,2,54,77,65,8313,5130,19958,20786,16518,7227,6252,2940,,,,,
31:49.0,00:00.0,100,2,56,64,60,32189,39440,4197,13449,8622,13011,24830,2525,,,,,
31:50.0,00:00.0,100,2,66,50,58,168180,83981,2905,47172,44860,23515,15126,6932,,,,,
31:51.0,00:00.0,100,2,69,67,68,14892,7783,19216,23966,4244,14882,4662,2344,,,,,
31:52.0,00:00.0,100,2,70,69,69,21460,9443,32052,25000,9891,13412,14414,1114,,,,,
31:53.0,00:00.0,100,2,66,75,70,80751,34773,6113,26082,17810,10531,4876,5140,,,,,
31:54.0,00:00.0,100,2,80,74,77,25478,14287,6157,4718,10497,16070,6014,5926,,,,,
31:55.0,00:00.0,100,2,77,67,72,21761,22033,10814,26973,10322,11402,3238,1636,,,,,
31:56.0,00:00.0,100,2,81,64,72,16548,5625,4694,22111,7035,11891,4869,1753,,,,,
31:57.0,00:00.0,100,2,93,67,80,4045,12200,7887,17594,3046,20547,6660,2301,,,,,
31:58.0,00:00.0,100,2,78,78,78,34253,31885,28199,20245,14932,11154,7390,2312,,,,,
31:59.0,00:00.0,100,2,87,69,78,10925,26566,11610,14068,7099,24691,12181,2529,,,,,
32:00.0,00:00.0,100,2,69,60,64,12267,80139,20818,11992,18143,5999,13955,2102,,,,,
32:01.0,00:00.0,100,2,64,63,63,17979,12754,34857,11918,10721,18156,5040,5452,,,,,
32:02.0,00:00.0,100,2,57,54,55,115354,16875,3663,2453,1868,1441,1946,751,,,,,
32:03.0,00:00.0,100,2,51,56,53,33158,17849,1749,16082,7844,9097,12477,4213,,,,,
32:04.0,00:00.0,100,2,63,67,65,29709,10841,36763,13358,17872,12753,4330,3475,,,,,
32:05.0,00:00.0,100,2,66,53,59,25688,39258,11865,1741,5018,20233,4559,1842,,,,,
