'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:56.0,00:00.0,100,2,20,57,38,1118653,39640,14738,1976,7139,2521,1672,1705,,18804.18452,14994.07847,7981.674443,3785.208908
38:57.0,00:00.0,100,2,17,53,35,866627,210793,56353,46806,35714,14508,15004,3157,,,,,
38:58.0,00:00.0,100,2,44,50,47,110784,29118,4402,8086,8161,31598,6486,4231,,,,,
38:59.0,00:00.0,100,2,60,60,60,13101,24168,9848,15113,6679,16586,6461,1986,,,,,
39:00.0,00:00.0,100,2,61,57,59,1097712,208422,66938,24765,37591,17100,2712,4830,,,,,
39:01.0,00:00.0,100,2,67,63,65,429886,40709,13142,28887,28111,9226,3408,639,,,,,
39:02.0,00:00.0,100,2,47,80,63,1020852,33453,20782,8848,3065,2465,420,441,,,,,
39:03.0,00:00.0,100,2,37,81,59,403423,17399,3838,9507,4056,2958,1740,508,,,,,
39:04.0,00:00.0,100,2,47,100,73,88641,15131,78532,38954,16499,32347,5208,2671,,,,,
39:05.0,00:00.0,100,2,37,94,65,1125631,73830,25332,8672,7184,2825,4660,2603,,,,,
39:06.0,00:00.0,100,2,43,87,65,710460,143930,15386,48951,12092,22455,5860,1555,,,,,
39:07.0,00:00.0,100,2,44,75,59,1475830,74529,5238,27695,40726,13684,8208,1552,,,,,
39:08.0,00:00.0,100,2,41,57,49,55508,147992,15992,68438,30934,28612,9618,2837,,,,,
39:09.0,00:00.0,100,2,50,63,56,375222,125408,4860,113602,33871,22200,6936,4588,,,,,
39:10.0,00:00.0,100,2,51,63,57,752370,77020,16955,26946,16633,17076,8617,2602,,,,,
39:11.0,00:00.0,100,2,47,77,62,61158,42899,27918,39308,31189,6818,6493,5681,,,,,
39:12.0,00:00.0,100,2,40,61,50,851417,281438,27846,7423,62214,13230,6936,1425,,,,,
39:13.0,00:00.0,100,4,29,50,39,1778131,1252546,145087,193083,58095,30887,18325,7455,,,,,
39:14.0,00:00.0,100,3,23,67,45,634097,4411,8625,4373,1032,1051,415,156,,,,,
39:15.0,00:00.0,100,3,27,64,45,425734,87221,76003,10501,8887,18651,10772,2761,,,,,
39:16.0,00:00.0,100,3,34,81,57,59402,51336,23305,12994,28133,8141,5066,3121,,,,,
39:17.0,00:00.0,100,3,51,84,67,47605,26980,11822,10986,27339,15245,15602,4094,,,,,
39:18.0,00:00.0,100,3,63,60,61,66148,28702,5721,9066,22195,14095,14456,4091,,,,,
39:19.0,00:00.0,100,3,60,57,58,55532,67683,15683,35438,10359,8742,8055,3370,,,,,
39:20.0,00:00.0,100,3,60,41,50,119745,30760,1465,2323,3140,3580,2432,538,,,,,
39:21.0,00:00.0,100,3,50,38,44,444233,250626,42473,25994,17839,21791,16803,7812,,,,,
39:22.0,00:00.0,100,3,29,43,36,716114,333316,90973,39311,22952,9133,17266,5057,,,,,
39:23.0,00:00.0,100,2,35,34,34,116634,71383,12593,9947,8480,13095,7591,1372,,,,,
39:24.0,00:00.0,100,2,35,34,34,1837223,355766,7103,41534,68014,35933,17462,2070,,,,,
39:25.0,00:00.0,100,2,40,29,34,241565,156186,20095,12764,21527,27056,5588,2279,,,,,
39:26.0,00:00.0,100,2,53,40,46,59632,64833,51033,17805,4219,17293,7323,5062,,,,,
39:27.0,00:00.0,100,2,56,51,53,266348,23936,7149,47274,34922,16633,7066,2573,,,,,
39:28.0,00:00.0,100,2,60,64,62,120641,92260,17760,24343,25159,23245,7480,3614,,,,,
39:29.0,00:00.0,100,2,54,64,59,137324,30750,4407,4415,16895,2436,878,552,,,,,
39:30.0,00:00.0,100,2,56,51,53,12222,64509,10507,12979,5604,15001,11545,3917,,,,,
39:31.0,00:00.0,100,2,51,41,46,162503,56807,19357,8123,26151,8434,14136,3614,,,,,
39:32.0,00:00.0,100,2,44,38,41,974669,189356,12595,42333,44178,15452,10081,3780,,,,,
39:33.0,00:00.0,100,4,40,30,35,368679,98507,7515,3563,4100,3126,1403,1482,,,,,
39:34.0,00:00.0,100,2,35,34,34,973654,42076,11053,5603,10036,4543,1420,435,,,,,
39:35.0,00:00.0,100,1,29,35,32,1439941,641925,231934,53995,104969,50125,10522,12980,,,,,
39:36.0,00:00.0,100,1,26,43,34,2356197,106093,38063,13011,9200,6113,1725,2113,,,,,
39:37.0,00:00.0,100,5,21,50,35,765752,499834,51363,38953,11408,10204,9194,1633,,,,,
39:38.0,00:00.0,87,3,21,50,35,438573,9861,2729,2378,1529,1561,620,216,,,,,
39:39.0,00:00.0,100,3,35,47,41,31052,27039,8495,5754,7567,15716,7831,4601,,,,,
39:40.0,00:00.0,100,3,40,66,53,129503,10764,1039,48189,9199,6992,7356,1257,,,,,
39:41.0,00:00.0,100,3,56,53,54,23868,36162,5889,4173,13383,16783,8439,3574,,,,,
39:42.0,00:00.0,100,3,67,54,60,13967,108910,19521,7915,11142,11577,3491,1230,,,,,
39:43.0,00:00.0,100,3,48,35,41,1158953,419838,6465,1987,7086,12256,7779,725,,,,,
39:44.0,00:00.0,100,2,40,10,25,1484639,1406738,144105,46878,57793,51512,17350,7173,,,,,
39:45.0,00:00.0,87,4,40,10,25,241845,15172,6011,8737,19933,10935,2950,1229,,,,,
39:46.0,00:00.0,74,4,40,10,25,728696,33203,18400,7926,20166,30890,16665,10055,,,,,
39:47.0,00:00.0,87,4,40,10,25,95,25,9,14,8,3,0,1,,,,,
39:48.0,00:00.0,87,4,40,10,25,95514,123508,7161,10192,1564,673,220,448,,,,,
39:49.0,00:00.0,87,4,40,10,25,544564,532068,111565,77883,62750,25629,21137,29346,,,,,
39:50.0,00:00.0,100,4,41,14,27,87313,50176,6742,11198,51438,32659,5562,3230,,,,,
39:51.0,00:00.0,100,4,51,20,35,19909,27239,10080,3914,23406,15072,7048,3557,,,,,
39:52.0,00:00.0,100,4,61,54,57,321872,29251,20873,33016,19713,9609,4960,1805,,,,,
39:53.0,00:00.0,100,4,69,63,66,104748,25231,8742,896,2754,3089,3018,643,,,,,
39:54.0,00:00.0,100,4,67,74,70,14160,12365,8718,6006,14947,10504,12359,3440,,,,,
39:55.0,00:00.0,100,4,64,74,69,39169,28961,7785,5022,18515,10379,8011,6147,,,,,
39:56.0,00:00.0,100,4,69,63,66,13636,41808,1845,21728,18341,14187,3754,5081,,,,,
39:57.0,00:00.0,100,4,74,61,67,14499,38808,3330,9150,11410,6420,4043,4607,,,,,
39:58.0,00:00.0,100,4,69,60,64,15887,31271,4316,14211,10872,13229,4054,4145,,,,,
39:59.0,00:00.0,100,4,66,64,65,384918,112717,15625,38620,18243,24920,8496,4353,,,,,
40:00.0,00:00.0,100,3,64,61,62,753266,81596,8856,17714,27288,19598,6558,1910,,,,,
40:01.0,00:00.0,100,2,74,60,67,106709,4838,188,2142,5666,3255,274,136,,,,,
40:02.0,00:00.0,100,2,67,64,65,704934,21072,17222,4028,3422,5244,728,416,,,,,
40:03.0,00:00.0,100,3,66,80,73,1904187,190810,478492,279201,183731,98502,121537,25533,,,,,
40:04.0,00:00.0,87,2,66,80,73,1254401,218396,104023,18343,127513,127069,36114,9024,,,,,
40:05.0,00:00.0,87,2,66,80,73,462801,19516,6803,1704,11121,7012,2193,525,,,,,
40:06.0,00:00.0,74,2,66,80,73,1194016,51001,6691,6641,5183,4240,1431,462,,,,,
40:07.0,00:00.0,100,2,63,90,76,207170,14121,8704,6577,7196,3886,2456,312,,,,,
40:08.0,00:00.0,100,2,63,96,79,13870,12461,5564,9545,16304,9676,3181,4375,,,,,
40:09.0,00:00.0,100,2,61,90,75,168713,143260,32995,26110,27780,18736,8360,7658,,,,,
40:10.0,00:00.0,100,1,56,75,65,186122,70878,7527,18084,2949,5709,3308,980,,,,,
40:11.0,00:00.0,100,1,56,70,63,343049,103325,26924,36188,31771,20811,8317,8333,,,,,
40:12.0,00:00.0,100,1,53,74,63,100552,42379,31827,7562,27444,17044,4942,2928,,,,,
40:13.0,00:00.0,100,1,53,84,68,7962,23472,31508,14634,13451,6527,6382,5070,,,,,
40:14.0,00:00.0,100,1,63,90,76,79295,20702,24313,5434,16053,12662,7827,1538,,,,,
40:15.0,00:00.0,100,1,64,100,82,8383,35024,22635,45807,10167,19533,5604,5450,,,,,
40:16.0,00:00.0,100,1,70,100,85,17506,7294,12155,7259,9910,15832,7170,2581,,,,,
40:17.0,00:00.0,100,1,80,83,81,14998,52920,11632,13313,78302,18646,4928,7306,,,,,
40:18.0,00:00.0,100,1,78,80,79,1998,25562,14099,6476,17235,8473,7586,7963,,,,,
40:19.0,00:00.0,100,1,78,84,81,52016,6187,33958,12940,6182,10751,5522,1542,,,,,
40:20.0,00:00.0,100,2,66,87,76,3101502,102346,99075,36867,105617,36291,14370,8784,,,,,
40:21.0,00:00.0,100,2,57,100,78,120998,20524,6373,23003,7124,3891,2665,825,,,,,
40:22.0,00:00.0,100,2,66,100,83,6779,13555,9568,6813,16987,16493,5496,7417,,,,,
40:23.0,00:00.0,100,2,61,91,76,39526,40895,19176,29136,13067,10977,9743,3650,,,,,
40:24.0,00:00.0,100,2,63,90,76,33608,67787,46543,12567,20195,21975,7840,10299,,,,,
40:25.0,00:00.0,100,2,75,84,79,39905,4453,4700,3187,4660,5971,3062,1103,,,,,
40:26.0,00:00.0,100,2,67,80,73,169777,85024,5150,21277,34002,24230,11128,3347,,,,,
40:27.0,00:00.0,100,2,69,67,68,1267658,124842,36476,13012,70607,23676,5239,4416,,,,,
40:28.0,00:00.0,100,2,60,64,62,2348764,162763,19344,46744,30430,10342,3684,4616,,,,,
40:29.0,00:00.0,100,2,51,67,59,1076544,107095,51457,95738,31012,33149,21085,4988,,,,,
40:30.0,00:00.0,100,2,54,75,64,514635,32276,7743,15711,10546,20366,6593,4476,,,,,
40:31.0,00:00.0,100,2,57,83,70,49342,13644,3814,7579,3913,4400,2098,633,,,,,
40:32.0,00:00.0,100,2,60,78,69,220830,68354,9322,6940,6050,5153,2110,639,,,,,
40:33.0,00:00.0,100,2,60,60,60,152821,149222,14638,8037,17811,24601,6774,2721,,,,,
40:34.0,00:00.0,100,2,60,56,58,18578,39399,4347,15363,15665,18967,4558,2068,,,,,
40:35.0,00:00.0,100,2,51,53,52,227946,42911,10623,9497,7698,4392,2997,1389,,,,,
40:36.0,00:00.0,100,2,60,67,63,89753,13167,27302,13331,13836,9785,3906,1112,,,,,
40:37.0,00:00.0,100,2,60,81,70,141909,61567,46129,14736,41839,16596,7385,8313,,,,,
40:38.0,00:00.0,100,2,53,81,67,1631702,130741,15191,36607,49267,22416,15673,5614,,,,,
40:39.0,00:00.0,100,2,53,84,68,408161,30328,14157,3529,1355,3489,985,499,,,,,
40:40.0,00:00.0,100,2,51,69,60,13012,49055,7351,7532,10022,9980,2484,6484,,,,,
40:41.0,00:00.0,100,2,51,60,55,468374,47786,2091,13149,26625,9854,7007,2451,,,,,
40:42.0,00:00.0,100,2,41,43,42,419584,464411,15658,7459,29458,13276,7336,3849,,,,,
40:43.0,00:00.0,100,2,43,35,39,143027,213266,10459,39730,20554,27498,15759,4736,,,,,
40:44.0,00:00.0,100,2,37,29,33,36670,113052,4144,11477,11830,8516,5711,4380,,,,,
40:45.0,00:00.0,100,2,40,29,34,36567,56124,3467,11294,6424,14347,9382,3124,,,,,
40:46.0,00:00.0,100,2,44,56,50,774337,50092,52301,2754,19448,4631,3764,1647,,,,,
40:47.0,00:00.0,100,2,40,66,53,1086022,46695,27523,8070,7095,4988,2432,980,,,,,
40:48.0,00:00.0,100,2,44,70,57,42392,66367,12155,4569,6877,11011,2082,4887,,,,,
40:49.0,00:00.0,100,2,50,87,68,2049807,47772,39238,175407,54914,116153,16543,5223,,,,,
