'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
55:52.0,00:00.0,100,2,35,48,41,28500,41525,17879,28228,26558,5096,6247,3182,,21799.48832,19897.63057,10429.19745,5178.450106
55:53.0,00:00.0,100,2,51,56,53,25471,16855,1342,16020,23413,9531,2649,2312,,,,,
55:54.0,00:00.0,100,2,57,77,67,24326,11110,33881,5289,8821,12157,5235,1398,,,,,
55:55.0,00:00.0,100,2,53,69,61,123260,41786,699,18602,6969,9373,4437,1461,,,,,
55:56.0,00:00.0,100,2,63,66,64,4547,33435,12098,18486,14940,13191,3868,2208,,,,,
55:57.0,00:00.0,100,2,69,56,62,1879206,169673,27110,17532,51863,123700,10027,22152,,,,,
55:58.0,00:00.0,100,2,67,57,62,1284286,24017,69679,27902,25715,20994,12768,7108,,,,,
55:59.0,00:00.0,100,2,57,53,55,346904,43820,310,7420,2463,2659,1854,787,,,,,
56:00.0,00:00.0,100,2,51,54,52,308187,69938,20032,32739,17277,10470,29490,7354,,,,,
56:01.0,00:00.0,100,2,43,64,53,21926,36472,11552,17007,21900,15021,8837,5362,,,,,
56:02.0,00:00.0,100,2,51,53,52,44341,10931,9198,13351,31594,16224,6366,2509,,,,,
56:03.0,00:00.0,100,2,61,56,58,9511,67151,13196,8513,646,14566,13574,6626,,,,,
56:04.0,00:00.0,100,2,67,57,62,948605,11662,4188,9323,2704,5081,1120,2243,,,,,
56:05.0,00:00.0,100,2,67,60,63,15083,36881,18024,7251,7525,13119,12131,3004,,,,,
56:06.0,00:00.0,100,2,60,57,58,20828,36526,20239,4990,19958,13200,6705,2843,,,,,
56:07.0,00:00.0,100,2,61,53,57,39903,108895,5196,14650,10174,27368,5688,2182,,,,,
56:08.0,00:00.0,100,2,57,50,53,50689,16867,6287,3587,3497,3466,1343,537,,,,,
56:09.0,00:00.0,100,2,60,53,56,52594,6478,12000,2079,9683,6087,1561,1717,,,,,
56:10.0,00:00.0,100,2,44,57,50,65731,40794,18608,15912,7531,2611,2433,3054,,,,,
56:11.0,00:00.0,100,2,41,70,55,60918,36288,12095,31659,23409,9554,6103,6047,,,,,
56:12.0,00:00.0,100,2,37,75,56,24522,98046,49082,20868,7765,12306,3382,2262,,,,,
56:13.0,00:00.0,100,2,34,70,52,46163,38390,9211,16358,8955,11745,4475,3193,,,,,
56:14.0,00:00.0,100,2,50,60,55,34915,63575,13441,3880,13499,19716,6963,2839,,,,,
56:15.0,00:00.0,100,2,57,61,59,9563,9509,5671,22410,17165,13298,7640,4021,,,,,
56:16.0,00:00.0,100,2,69,60,64,10119,13157,10513,9481,10945,10103,6407,3009,,,,,
56:17.0,00:00.0,100,2,63,60,61,159539,247989,76288,49949,33898,35694,8095,4028,,,,,
56:18.0,00:00.0,100,2,61,66,63,40744,60825,29352,1443,8993,19239,12335,3504,,,,,
56:19.0,00:00.0,100,2,66,60,63,3755,9624,5569,6679,15258,11648,2297,4635,,,,,
56:20.0,00:00.0,100,2,53,60,56,21097,64743,29963,12523,10366,6635,8411,2067,,,,,
56:21.0,00:00.0,100,2,56,64,60,11926,20091,6312,32199,24095,8927,5200,2105,,,,,
56:22.0,00:00.0,100,2,48,60,54,140718,116768,26804,2855,10945,10661,8749,5883,,,,,
56:23.0,00:00.0,100,2,44,66,55,37145,19097,2107,29596,7967,16512,6748,2900,,,,,
56:24.0,00:00.0,100,2,40,54,47,158910,62212,8792,1953,4830,2247,791,2042,,,,,
56:25.0,00:00.0,100,2,41,54,47,51411,27694,8341,38566,31484,13852,4728,2846,,,,,
56:26.0,00:00.0,100,2,40,54,47,291000,257077,13587,46217,7827,18495,8097,3770,,,,,
56:27.0,00:00.0,100,2,27,53,40,645757,37032,33077,11954,13420,7487,1996,1390,,,,,
