'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:57.0,00:00.0,100,2,38,69,53,99838,47149,13348,7194,4590,5324,2556,530,,15813.33156,14391.67163,6974.54729,3251.978746
38:58.0,00:00.0,100,2,47,75,61,29187,9409,19399,7117,9096,11402,7659,2902,,,,,
38:59.0,00:00.0,100,2,44,83,63,24773,66763,23365,23903,5416,13812,4684,1647,,,,,
39:00.0,00:00.0,100,2,44,74,59,249848,119552,29206,13807,29644,13112,9974,5319,,,,,
39:01.0,00:00.0,100,2,50,74,62,121527,45440,12364,15155,11790,8231,6147,2488,,,,,
39:02.0,00:00.0,100,2,43,63,53,318493,56101,1801,25790,10702,11911,13424,2505,,,,,
39:03.0,00:00.0,100,2,53,54,53,36636,35927,9819,5526,5405,21202,3964,992,,,,,
39:04.0,00:00.0,100,2,51,56,53,254479,469098,110817,97517,53364,44569,24264,4914,,,,,
39:05.0,00:00.0,100,2,48,50,49,536905,106935,17798,14808,11206,13976,3643,847,,,,,
39:06.0,00:00.0,100,2,53,57,55,83991,23780,8796,18504,4871,11962,3072,2205,,,,,
39:07.0,00:00.0,100,2,37,61,49,88379,26616,6259,5510,5267,2315,3985,2024,,,,,
39:08.0,00:00.0,100,2,38,70,54,121737,50215,56564,5844,7204,8790,3863,1946,,,,,
39:09.0,00:00.0,100,2,44,69,56,12954,53091,5012,9908,13811,14964,1611,1702,,,,,
39:10.0,00:00.0,100,2,44,61,52,55159,46261,17920,6536,6272,16004,3466,1618,,,,,
39:11.0,00:00.0,100,2,50,64,57,118366,70886,35063,12184,16252,11822,3823,3751,,,,,
39:12.0,00:00.0,100,3,43,56,49,1422732,721723,271003,86749,36700,51861,21893,20951,,,,,
39:13.0,00:00.0,100,2,40,66,53,2638004,166259,99294,19382,33384,37714,31772,9354,,,,,
39:14.0,00:00.0,100,2,34,74,54,170639,33551,21573,3717,7333,6784,4629,1682,,,,,
39:15.0,00:00.0,100,2,37,67,52,102403,20952,1277,8796,5304,4530,2168,976,,,,,
39:16.0,00:00.0,100,2,51,63,57,447660,73886,14594,20211,35710,24243,3081,4613,,,,,
39:17.0,00:00.0,100,2,53,56,54,43348,60310,18340,10304,15416,15004,4771,2592,,,,,
39:18.0,00:00.0,100,2,41,53,47,42650,205647,26309,51180,12358,9065,10853,1146,,,,,
