Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
55:51.0,00:00.0,100,1,44,66,55,560038,94250,48558,30213,9832,22834,30107,4179,,17389.67619,17879.77381,8235.640476,3861.519048
55:52.0,00:00.0,100,1,48,57,52,180092,24370,2499,3721,3421,2901,1215,821,,,,,
55:53.0,00:00.0,100,1,38,43,40,784771,721289,31457,55118,26653,33350,7440,8426,,,,,
55:54.0,00:00.0,100,1,35,54,44,40930,17251,19299,16434,7785,7265,4871,3479,,,,,
55:55.0,00:00.0,100,1,44,51,47,22518,29918,9671,17359,9422,22012,3477,1643,,,,,
55:56.0,00:00.0,100,1,63,63,63,12577,6132,15172,11670,8843,20387,5089,1408,,,,,
55:57.0,00:00.0,100,1,83,75,79,43092,30643,5252,34194,18603,26345,3463,1331,,,,,
55:58.0,00:00.0,100,1,87,57,72,10227,41291,1860,8644,24589,9468,4422,1769,,,,,
55:59.0,00:00.0,100,1,87,50,68,34728,31601,6778,5165,10997,16317,5816,1894,,,,,
56:00.0,00:00.0,100,1,75,50,62,24682,18204,27260,12235,27308,11181,6114,961,,,,,
56:01.0,00:00.0,100,1,77,54,65,78615,2036,11585,20749,17878,14043,5617,4101,,,,,
56:02.0,00:00.0,100,1,64,69,66,98816,62775,41323,18576,12383,7856,9495,1509,,,,,
56:03.0,00:00.0,100,1,56,69,62,19742,46464,4756,8565,10259,8217,3885,2244,,,,,
56:04.0,00:00.0,100,1,53,54,53,768622,216940,6112,28732,42165,33255,11815,7380,,,,,
56:05.0,00:00.0,100,1,38,50,44,302246,185368,86559,31847,22774,27957,12487,8091,,,,,
56:06.0,00:00.0,100,1,43,30,36,138087,148099,9364,10516,51604,17460,5429,5870,,,,,
56:07.0,00:00.0,100,1,38,40,39,63820,43411,15203,17526,13703,7731,7717,4237,,,,,
56:08.0,00:00.0,100,1,50,51,50,53539,32128,35971,8578,22149,31923,6243,3445,,,,,
56:09.0,00:00.0,100,1,48,51,49,277638,33372,6579,16147,8200,4090,1290,611,,,,,
56:10.0,00:00.0,100,1,54,66,60,59472,46179,31619,12101,12958,17459,4899,6465,,,,,
56:11.0,00:00.0,100,1,66,61,63,76004,32470,8632,11203,20971,15774,3687,6446,,,,,
56:12.0,00:00.0,100,1,54,61,57,46321,106286,15413,47747,16821,24345,4267,1940,,,,,
56:13.0,00:00.0,100,1,69,60,64,12349,50369,22821,16300,17058,27799,5345,3516,,,,,
56:14.0,00:00.0,100,1,70,57,63,115189,57116,38035,25781,58632,29485,4838,1640,,,,,
56:15.0,00:00.0,100,1,56,48,52,69422,74811,3694,3724,8589,6071,1585,410,,,,,
56:16.0,00:00.0,100,1,54,53,53,23761,63564,59604,12509,13609,15948,6070,5218,,,,,
56:17.0,00:00.0,100,1,47,51,49,44589,72325,2889,36320,16902,14488,6369,720,,,,,
56:18.0,00:00.0,100,2,34,51,42,218165,73099,26450,17802,29247,8799,3825,824,,,,,
56:19.0,00:00.0,100,2,37,67,52,492406,48253,20554,16392,3608,7589,1547,1002,,,,,
56:20.0,00:00.0,100,2,27,60,43,292095,43249,14311,890,2623,3009,1929,256,,,,,
56:21.0,00:00.0,100,2,27,64,45,33476,92056,59040,10287,7445,21620,6425,4209,,,,,
56:22.0,00:00.0,100,2,34,66,50,440679,97100,66708,13314,30849,22200,9505,1961,,,,,
56:23.0,00:00.0,100,2,26,53,39,895807,517603,34476,47043,33991,27767,30821,10565,,,,,
56:24.0,00:00.0,100,2,38,57,47,393636,163220,78903,77425,39324,55571,19286,5830,,,,,
56:25.0,00:00.0,100,2,57,51,54,305262,16991,12949,7662,13262,38136,7904,3984,,,,,
56:26.0,00:00.0,100,2,53,53,53,18053,52995,36323,10530,13930,7496,10560,2917,,,,,
56:27.0,00:00.0,100,2,69,54,61,26809,52405,6600,4951,15267,13485,11187,1923,,,,,
56:28.0,00:00.0,100,2,74,56,65,30044,28724,35028,7312,11088,17649,5358,3006,,,,,
56:29.0,00:00.0,100,2,43,54,48,14858,67579,13807,8166,6404,4601,3847,2908,,,,,
56:30.0,00:00.0,100,2,43,53,48,64681,65666,26785,10508,11218,7293,12618,3688,,,,,
56:31.0,00:00.0,100,2,37,60,48,39126,67306,8840,19685,9904,9772,4789,2305,,,,,
56:32.0,00:00.0,100,2,17,41,29,18352,158632,3678,13537,41366,7125,5395,3413,,,,,
56:33.0,00:00.0,100,2,38,40,39,14220,40093,7040,10436,23107,22881,14077,3589,,,,,
56:34.0,00:00.0,100,2,56,30,43,121219,38223,10130,6998,27597,28541,8128,5085,,,,,
56:35.0,00:00.0,100,2,64,35,49,14492,40424,9191,27203,20348,18152,7888,2043,,,,,
56:36.0,00:00.0,100,2,67,38,52,105919,28312,3949,875,3574,1977,1330,963,,,,,
56:37.0,00:00.0,100,2,60,53,56,159849,28715,34018,24268,7122,14280,7315,3128,,,,,
56:38.0,00:00.0,100,2,44,70,57,1547545,30332,59916,18059,9454,12213,10662,7487,,,,,
56:39.0,00:00.0,100,2,43,77,60,134228,10117,11462,2324,1780,4468,2937,836,,,,,
56:40.0,00:00.0,100,2,54,80,67,125435,69271,18174,1421,7119,16768,10393,6064,,,,,
56:41.0,00:00.0,100,2,61,70,65,15941,17992,10912,28070,61960,15360,7016,2784,,,,,
56:42.0,00:00.0,100,2,74,57,65,11678,27475,13141,9853,25155,16233,7675,1298,,,,,
56:43.0,00:00.0,100,2,66,48,57,91337,100390,7196,29926,29288,15481,5480,1636,,,,,
56:44.0,00:00.0,100,2,60,56,58,514654,52528,22159,23530,21182,10195,8428,1606,,,,,
56:45.0,00:00.0,100,2,54,60,57,37228,39835,25816,15429,15932,13219,4243,901,,,,,
56:46.0,00:00.0,100,2,40,66,53,140064,15624,6398,11430,5006,3000,790,758,,,,,
56:47.0,00:00.0,100,2,44,74,59,74800,30046,22552,6603,12306,9795,8536,6841,,,,,
56:48.0,00:00.0,100,2,51,75,63,57951,25749,29093,4495,17988,13113,4728,1712,,,,,
56:49.0,00:00.0,100,2,53,83,68,150567,6611,30853,4984,9210,8260,5677,1934,,,,,
56:50.0,00:00.0,100,2,40,66,53,659065,149816,8875,8031,1370,3485,9337,1894,,,,,
56:51.0,00:00.0,100,2,43,53,48,80116,26529,2900,2126,4030,6866,6283,1028,,,,,
56:52.0,00:00.0,100,2,38,50,44,89077,11410,4288,2528,4190,2548,2500,954,,,,,
56:53.0,00:00.0,100,2,26,38,32,1549037,98149,37063,15159,19294,9405,7690,7551,,,,,
56:54.0,00:00.0,100,2,51,47,49,541904,33098,22172,10818,58696,20138,13611,4302,,,,,
56:55.0,00:00.0,100,2,54,48,51,32893,73535,12744,8861,31638,24895,11126,4721,,,,,
56:56.0,00:00.0,100,2,50,54,52,23293,67548,62615,2928,10909,12809,5360,3555,,,,,
56:57.0,00:00.0,100,2,77,50,63,16636,22181,8536,9148,14568,36165,6849,3591,,,,,
56:58.0,00:00.0,100,2,80,53,66,23303,31007,11979,16446,12156,22282,9024,3828,,,,,
56:59.0,00:00.0,100,2,60,50,55,683878,396258,37077,9850,20759,15620,13629,4102,,,,,
57:00.0,00:00.0,100,2,69,40,54,16547,48023,20398,3967,27154,19197,5468,12429,,,,,
57:01.0,00:00.0,100,2,61,48,54,23016,12805,18471,9976,9097,16264,8531,9386,,,,,
57:02.0,00:00.0,100,2,66,50,58,10452,3386,14785,4784,19218,13222,5812,1554,,,,,
57:03.0,00:00.0,100,2,83,69,76,41027,16859,32395,12172,13695,11154,7256,7323,,,,,
57:04.0,00:00.0,100,2,74,69,71,31724,89469,21339,8535,23119,14111,9175,2059,,,,,
