'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
10:39.0,00:00.0,100,2,81,70,75,866844,64939,21100,19929,14215,29090,19601,8714,,16763.63172,19030.03584,14112.08154,5639.371864
10:40.0,00:00.0,100,2,70,70,70,231529,55020,17998,10342,11647,16318,19796,4818,,,,,
10:41.0,00:00.0,100,2,70,63,66,478401,24047,2283,8978,20797,5383,8590,1518,,,,,
10:42.0,00:00.0,100,2,91,50,70,236118,30196,17670,13869,8963,55303,16028,3559,,,,,
10:43.0,00:00.0,100,2,87,57,72,153646,1688,3031,1153,2759,1134,1835,351,,,,,
10:44.0,00:00.0,100,2,83,63,73,222036,131366,75889,39185,53009,46372,15447,10449,,,,,
10:45.0,00:00.0,100,2,90,80,85,54686,29305,7882,57738,16019,26578,29077,4683,,,,,
10:46.0,00:00.0,100,2,84,84,84,69126,23266,20508,19661,17372,31471,9256,11124,,,,,
10:47.0,00:00.0,100,2,91,78,84,27705,12686,9941,11679,21706,12978,4583,2094,,,,,
10:48.0,00:00.0,100,2,94,67,80,469397,19632,3517,5673,18614,7749,5584,1482,,,,,
10:49.0,00:00.0,100,2,93,53,73,106275,71823,23462,7940,22278,23537,9439,9206,,,,,
10:50.0,00:00.0,100,2,77,51,64,454679,36104,17355,6286,8290,6614,13648,5208,,,,,
10:51.0,00:00.0,100,2,61,51,56,250618,275541,78798,55630,32186,33002,33184,26735,,,,,
10:52.0,00:00.0,100,2,48,51,49,1071181,69243,8673,7037,11156,6168,9871,8999,,,,,
10:53.0,00:00.0,100,2,34,56,45,2235440,559307,264502,38334,60054,54467,23858,5362,,,,,
10:54.0,00:00.0,100,2,27,54,40,1157664,183335,75444,19412,46056,18022,18483,2844,,,,,
10:55.0,00:00.0,100,2,40,54,47,399926,15820,7745,2584,1258,7056,7530,1428,,,,,
10:56.0,00:00.0,100,2,40,51,45,359688,96901,6817,9271,7636,7505,11391,3036,,,,,
10:57.0,00:00.0,100,2,47,51,49,84668,22553,5300,7224,4021,4090,3456,1951,,,,,
10:58.0,00:00.0,100,2,51,67,59,26430,24373,35437,24383,7279,8796,6745,3094,,,,,
10:59.0,00:00.0,100,2,38,74,56,48974,106715,50875,61633,16420,17033,11650,7937,,,,,
11:00.0,00:00.0,100,2,51,81,66,24894,42375,8526,18693,29364,17509,3124,3541,,,,,
11:01.0,00:00.0,100,2,56,84,70,12003,46427,24083,37883,58581,16539,15872,5322,,,,,
11:02.0,00:00.0,100,2,54,67,60,229084,300511,45505,73796,58841,33273,28644,2918,,,,,
11:03.0,00:00.0,100,2,57,66,61,438537,44449,21271,32087,26667,10765,13699,12964,,,,,
11:04.0,00:00.0,100,2,47,77,62,72628,53166,5086,52778,16752,8323,7955,2835,,,,,
11:05.0,00:00.0,100,2,41,70,55,2419634,224953,16483,84902,22967,32333,17275,4630,,,,,
11:06.0,00:00.0,100,2,48,70,59,34766,86252,14759,23581,10073,24080,9199,4888,,,,,
11:07.0,00:00.0,100,2,50,47,48,84069,168853,6272,9017,11993,23556,3807,4262,,,,,
11:08.0,00:00.0,100,2,54,43,48,50009,101274,45026,28797,10455,22319,10387,3851,,,,,
11:09.0,00:00.0,100,2,48,43,45,121964,165476,35552,29727,4844,13704,4683,9240,,,,,
11:10.0,00:00.0,100,2,47,34,40,172072,228765,20855,17000,19164,45423,7785,8179,,,,,
11:11.0,00:00.0,100,2,41,47,44,685486,239092,43691,34009,38249,24984,12848,18711,,,,,
11:12.0,00:00.0,100,2,40,50,45,314207,137417,71408,56561,16037,29037,52620,4179,,,,,
11:13.0,00:00.0,100,2,51,47,49,301173,167505,25269,35161,14632,36656,33933,22409,,,,,
11:14.0,00:00.0,100,2,57,64,60,20089,28087,24052,26221,9027,25173,13611,4362,,,,,
11:15.0,00:00.0,100,2,67,81,74,31513,71350,33439,102702,19104,34563,5447,4877,,,,,
11:16.0,00:00.0,100,2,69,84,76,22667,40862,24199,48918,23240,14366,6230,3522,,,,,
11:17.0,00:00.0,100,2,75,90,82,25299,20213,16970,18718,43287,13414,4504,1155,,,,,
11:18.0,00:00.0,100,2,70,84,77,30609,30788,19716,9475,18864,15153,5404,2133,,,,,
11:19.0,00:00.0,100,2,66,74,70,40619,39116,6290,13272,4105,6368,1627,8008,,,,,
11:20.0,00:00.0,100,2,57,78,67,89098,10462,7821,15971,2796,2135,755,711,,,,,
11:21.0,00:00.0,100,2,54,80,67,100702,13076,7194,5737,6763,4338,761,571,,,,,
11:22.0,00:00.0,100,2,50,87,68,31636,60890,47447,28155,8169,26350,9406,2474,,,,,
11:23.0,00:00.0,100,2,53,74,63,286418,280376,12272,25191,15273,42156,37288,13157,,,,,
11:24.0,00:00.0,100,2,67,64,65,63302,52326,53065,17904,18094,30352,16844,9917,,,,,
11:25.0,00:00.0,100,2,70,66,68,342578,46397,9299,49298,26861,27220,10019,4015,,,,,
11:26.0,00:00.0,100,2,69,69,69,573536,39891,47143,23812,10699,14909,11116,2594,,,,,
11:27.0,00:00.0,100,2,56,78,67,109243,107616,7973,26326,17617,6231,4115,2107,,,,,
