'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:31.0,00:00.0,100,1,47,30,38,257311,29112,4854,14654,6616,6903,3554,2225,,16641.94687,19982.09677,12422.63947,4682.755218
30:32.0,00:00.0,100,1,60,50,55,17251,29977,19622,12918,12507,34314,12367,5372,,,,,
30:33.0,00:00.0,100,2,63,41,52,1990659,240081,93559,35939,33958,75156,78086,9420,,,,,
30:34.0,00:00.0,100,2,60,43,51,253164,40638,9766,2705,10250,4524,2730,2023,,,,,
30:35.0,00:00.0,100,2,50,37,43,224913,31091,6743,4395,3984,2074,4094,2383,,,,,
30:36.0,00:00.0,100,2,44,24,34,11853,55054,8229,9324,45103,24180,34880,15037,,,,,
30:37.0,00:00.0,100,2,41,37,39,31150,39563,24973,45636,7069,14792,9668,2929,,,,,
30:38.0,00:00.0,100,2,53,30,41,1063437,211538,11697,27836,12929,77611,21318,12138,,,,,
30:39.0,00:00.0,100,2,64,38,51,714103,60829,29564,28297,25328,22179,23330,35269,,,,,
30:40.0,00:00.0,100,2,66,53,59,361803,95712,69379,29367,11348,67910,19806,6425,,,,,
30:41.0,00:00.0,100,2,69,40,54,482465,28822,7432,6936,5954,8871,9144,4505,,,,,
30:42.0,00:00.0,100,2,66,40,53,1578647,93069,13987,4356,18131,23927,14303,7830,,,,,
30:43.0,00:00.0,100,2,75,43,59,5043,11298,18217,11477,9673,16050,12700,1531,,,,,
30:44.0,00:00.0,100,2,63,48,55,33497,24189,14082,28344,15807,8372,7976,1981,,,,,
30:45.0,00:00.0,100,2,70,54,62,27867,8966,10458,7829,4330,12819,6452,2563,,,,,
30:46.0,00:00.0,100,2,66,80,73,40197,18735,18926,34899,7617,9513,14716,2078,,,,,
30:47.0,00:00.0,100,2,57,78,67,34401,29141,18552,11326,9232,9745,7959,1871,,,,,
30:48.0,00:00.0,100,2,56,74,65,594032,59876,14120,33404,20830,12097,17478,6803,,,,,
30:49.0,00:00.0,100,2,56,74,65,54774,18037,26582,10296,15732,23285,13746,7732,,,,,
30:50.0,00:00.0,100,2,50,54,52,1260704,49729,4732,15085,11443,5394,4552,4084,,,,,
30:51.0,00:00.0,100,2,41,56,48,558270,146992,112770,16934,20139,18567,22626,10378,,,,,
30:52.0,00:00.0,100,2,35,51,43,1186470,218665,30296,59070,17183,14634,24464,13545,,,,,
30:53.0,00:00.0,100,2,37,37,37,557842,15226,2096,3401,5359,10954,6499,2623,,,,,
30:54.0,00:00.0,100,2,53,35,44,318370,45014,7974,14535,15396,30702,14482,5557,,,,,
30:55.0,00:00.0,100,2,66,27,46,127368,81630,39286,9053,13761,34537,26470,28620,,,,,
30:56.0,00:00.0,100,2,84,37,60,518470,41978,24132,39787,24596,31256,34757,10126,,,,,
30:57.0,00:00.0,100,2,74,47,60,1453233,24666,10718,3815,4754,5796,6277,3546,,,,,
30:58.0,00:00.0,100,2,64,57,60,27721,42305,16397,42694,12159,16945,35330,4019,,,,,
30:59.0,00:00.0,100,2,61,54,57,203718,131617,16517,28770,16177,36026,27176,12354,,,,,
31:00.0,00:00.0,100,2,56,53,54,140978,22975,12537,5978,2880,7972,5674,4021,,,,,
31:01.0,00:00.0,100,2,66,53,59,700066,10826,7646,5667,10003,10081,14435,2599,,,,,
31:02.0,00:00.0,100,2,66,43,54,85670,16635,5796,2452,6159,4480,1524,1890,,,,,
31:03.0,00:00.0,100,2,70,50,60,21156,42051,43166,17640,41602,31645,9497,10142,,,,,
31:04.0,00:00.0,100,2,75,53,64,790174,68799,28470,63038,17644,42213,15598,14013,,,,,
31:05.0,00:00.0,100,2,63,66,64,558949,34855,68886,56768,19882,20986,8566,3845,,,,,
31:06.0,00:00.0,100,2,61,74,67,63540,78155,22410,43749,22010,18784,3466,3059,,,,,
31:07.0,00:00.0,100,2,53,67,60,249336,158986,32036,31363,34266,28935,4493,3389,,,,,
31:08.0,00:00.0,100,2,44,60,52,470082,95725,4077,46604,33345,15663,31754,10929,,,,,
31:09.0,00:00.0,100,2,40,44,42,636913,146713,29079,41903,17974,20024,16721,5705,,,,,
31:10.0,00:00.0,100,2,41,47,44,28009,33438,7766,39022,17500,11764,17218,3078,,,,,
31:11.0,00:00.0,100,2,41,63,52,30045,31176,52933,19655,5102,14883,7348,3605,,,,,
31:12.0,00:00.0,100,2,44,67,55,34922,39957,17483,16991,12254,12575,5567,3584,,,,,
31:13.0,00:00.0,100,2,54,77,65,14737,20758,9345,43445,16093,16173,6574,5239,,,,,
31:14.0,00:00.0,100,2,53,61,57,43994,61941,4638,7460,8119,9673,17868,2283,,,,,
31:15.0,00:00.0,100,2,40,56,48,16692,36358,34255,5074,9612,3117,5872,1706,,,,,
31:16.0,00:00.0,100,2,34,56,45,19608,32386,17484,23627,27955,5975,6117,1668,,,,,
31:17.0,00:00.0,100,2,27,60,43,111781,41556,68534,5733,8119,15342,5014,2482,,,,,
31:18.0,00:00.0,100,2,29,67,48,213707,78474,9436,31934,11241,18997,5132,6592,,,,,
31:19.0,00:00.0,100,2,40,75,57,391765,57894,75633,51501,10319,20065,16912,6135,,,,,
31:20.0,00:00.0,100,2,50,70,60,122355,11395,3468,4356,2546,4233,1840,1097,,,,,
31:21.0,00:00.0,100,2,51,66,58,449813,152065,112857,43361,24484,53226,17038,27370,,,,,
31:22.0,00:00.0,100,2,50,47,48,384001,781888,23422,28389,130496,100623,29795,14654,,,,,
31:23.0,00:00.0,100,2,64,35,49,276200,50591,31096,14126,9803,45976,31003,5819,,,,,
31:24.0,00:00.0,100,2,51,26,38,333910,376348,44927,33407,29847,25532,13741,8601,,,,,
31:25.0,00:00.0,100,2,43,13,28,847273,380042,41446,36529,51958,30867,22506,3944,,,,,
31:26.0,00:00.0,100,2,47,43,45,40405,11156,9378,26386,16245,7696,14122,13829,,,,,
31:27.0,00:00.0,100,2,24,24,24,568506,210208,8650,8307,17019,12055,20370,4500,,,,,
31:28.0,00:00.0,100,2,27,14,20,1383661,1021174,46035,32359,8542,87406,150615,20496,,,,,
31:29.0,00:00.0,100,2,23,16,19,261510,131979,18705,9242,9354,7215,7773,2284,,,,,
31:30.0,00:00.0,100,2,21,1,11,833851,358708,48391,36241,54451,63604,25832,4283,,,,,
31:31.0,00:00.0,100,2,26,7,16,592189,376261,19428,44931,20860,37706,21420,6239,,,,,
31:32.0,00:00.0,100,2,30,26,28,381544,33424,15831,6223,4754,6727,6120,913,,,,,
31:33.0,00:00.0,100,2,41,24,32,788151,60928,3702,8329,2972,9327,16681,1188,,,,,
31:34.0,00:00.0,100,2,44,27,35,174136,61804,10686,10232,7839,17338,15905,6220,,,,,
31:35.0,00:00.0,100,2,53,47,50,61605,37181,6781,58473,17602,20623,3088,3623,,,,,
31:36.0,00:00.0,100,2,56,38,47,28848,68924,2861,17659,4637,13978,6664,2529,,,,,
31:37.0,00:00.0,100,2,60,41,50,34683,40633,11892,4066,20746,10988,5527,2801,,,,,
31:38.0,00:00.0,100,2,51,56,53,7076,63767,50238,44966,16346,13736,4560,1669,,,,,
31:39.0,00:00.0,100,2,44,53,48,20663,49476,10201,37078,13888,9404,10313,3066,,,,,
31:40.0,00:00.0,100,2,41,61,51,27005,70723,37131,18451,12891,14752,7073,2175,,,,,
31:41.0,00:00.0,100,2,38,74,56,109646,54744,51183,18065,16890,19727,5332,3071,,,,,
31:42.0,00:00.0,100,2,44,80,62,41563,10176,38801,29353,12149,13584,12740,4318,,,,,
31:43.0,00:00.0,100,2,54,77,65,7109,21051,13630,5375,16433,11268,15020,2378,,,,,
31:44.0,00:00.0,100,2,64,77,70,8922,11483,8354,8684,12317,7814,6626,2468,,,,,
31:45.0,00:00.0,100,2,74,70,72,15267,30865,14326,21388,8270,28520,4967,1992,,,,,
31:46.0,00:00.0,100,2,64,50,57,82085,127464,26572,8898,35820,11823,7259,692,,,,,
31:47.0,00:00.0,100,2,54,60,57,88892,32108,24829,39105,14370,9744,5389,2116,,,,,
31:48.0,00:00.0,100,2,43,66,54,30282,40983,30419,44740,18798,11052,4675,698,,,,,
31:49.0,00:00.0,100,2,38,69,53,4697,21165,36905,14265,33337,14445,7789,3061,,,,,
31:50.0,00:00.0,100,2,35,88,61,19007,87090,83605,47669,9313,13027,3484,3143,,,,,
31:51.0,00:00.0,100,2,41,81,61,15477,27185,18674,7494,8826,10387,14830,2320,,,,,
31:52.0,00:00.0,100,2,44,75,59,19695,37397,18021,23593,22311,10059,8977,2540,,,,,
31:53.0,00:00.0,100,2,38,78,58,80047,66744,40549,54715,11035,15806,3150,1235,,,,,
31:54.0,00:00.0,100,2,44,74,59,15989,66450,70938,3724,6351,17614,9735,1215,,,,,
31:55.0,00:00.0,100,2,43,83,63,6997,14015,33775,16400,10158,10289,4136,2539,,,,,
31:56.0,00:00.0,100,2,48,87,67,54572,41536,31846,29765,14021,22318,6165,1562,,,,,
31:57.0,00:00.0,100,2,43,80,61,165920,63965,23852,23452,24764,6409,5612,1976,,,,,
31:58.0,00:00.0,100,2,41,87,64,37294,24978,27592,46911,10299,10658,8260,1796,,,,,
31:59.0,00:00.0,100,2,43,67,55,348334,64423,9697,12711,17445,17931,9165,6015,,,,,
32:00.0,00:00.0,100,2,37,74,55,692690,21622,49807,19423,19838,9942,3733,708,,,,,
32:01.0,00:00.0,100,2,41,70,55,278275,101357,32907,26570,12424,14017,5801,2396,,,,,
32:02.0,00:00.0,100,2,43,44,43,340219,29640,3138,2167,14245,4559,3189,2564,,,,,
32:03.0,00:00.0,100,2,30,51,40,764246,136078,29301,40453,23461,13307,11740,10781,,,,,
32:04.0,00:00.0,100,2,34,30,32,103546,66788,14906,1904,23053,11462,9449,5442,,,,,
32:05.0,00:00.0,100,2,30,27,28,233922,124987,44585,5577,24188,12821,4041,3072,,,,,
32:06.0,00:00.0,100,2,34,43,38,42673,69222,24212,22157,6198,17873,14939,5941,,,,,
32:07.0,00:00.0,100,2,44,38,41,13415,77910,24665,9275,25204,23043,8697,11454,,,,,
32:08.0,00:00.0,100,2,43,40,41,142780,74922,18867,7344,22516,11346,13752,9552,,,,,
32:09.0,00:00.0,100,2,54,48,51,29257,27174,16240,17185,10192,15106,5134,5615,,,,,
32:10.0,00:00.0,100,2,67,51,59,15067,12848,10473,22552,14434,27974,17851,1928,,,,,
32:11.0,00:00.0,100,2,69,53,61,96297,63921,34960,10155,40007,27248,8749,16614,,,,,
32:12.0,00:00.0,100,2,70,60,65,273160,25251,12637,3510,4253,5434,5023,4832,,,,,
32:13.0,00:00.0,100,2,66,51,58,545487,68753,7308,19321,13648,14187,21656,4122,,,,,
32:14.0,00:00.0,100,2,53,48,50,12412,59843,31038,19788,23392,15598,18005,3918,,,,,
32:15.0,00:00.0,100,2,61,50,55,21113,53508,38907,13652,26057,61523,8850,3742,,,,,
32:16.0,00:00.0,100,2,54,53,53,9633,108011,58423,36046,21157,12306,4130,623,,,,,
32:17.0,00:00.0,100,2,53,50,51,17525,50286,2807,13915,18604,9178,8465,3329,,,,,
32:18.0,00:00.0,100,2,43,44,43,131646,113580,19099,31698,27674,7915,8905,1798,,,,,
32:19.0,00:00.0,100,2,26,44,35,29850,43410,11174,9916,10895,7965,4444,1728,,,,,
32:20.0,00:00.0,100,2,26,57,41,7673,24998,32514,60125,3737,7109,5305,2932,,,,,
32:21.0,00:00.0,100,2,26,64,45,14263,57022,14829,24150,20000,11544,11419,2905,,,,,
32:22.0,00:00.0,100,2,34,63,48,19204,76034,12723,11055,6400,9703,5865,2180,,,,,
32:23.0,00:00.0,100,2,24,74,49,26961,27363,2596,32223,8805,3538,9670,3724,,,,,
32:24.0,00:00.0,100,2,38,54,46,1539751,116000,44378,28878,15751,45663,21229,33763,,,,,
32:25.0,00:00.0,100,1,24,51,37,99091,152568,25019,26343,15853,6041,16045,21180,,,,,
32:26.0,00:00.0,100,1,34,56,45,426019,50210,12019,19758,4791,20533,19542,5029,,,,,
32:27.0,00:00.0,100,1,48,53,50,11578,35903,23445,24534,11212,19504,3560,2346,,,,,
32:28.0,00:00.0,100,1,51,51,51,17002,28849,17732,4619,4416,20054,9342,3723,,,,,
32:29.0,00:00.0,100,1,70,56,63,47982,47262,18563,17654,22817,18005,7054,2127,,,,,
32:30.0,00:00.0,100,1,64,56,60,27600,127917,45238,19155,11369,24416,16065,3106,,,,,
32:31.0,00:00.0,100,1,66,47,56,62528,25111,3641,13644,30705,12590,10931,10791,,,,,
32:32.0,00:00.0,100,1,56,44,50,61068,29065,14308,7080,23353,7147,9324,2950,,,,,
32:33.0,00:00.0,100,1,57,47,52,8173,24865,17493,27364,43494,15606,8209,7274,,,,,
32:34.0,00:00.0,100,1,57,48,52,46285,64166,24955,22887,14336,14444,11715,2674,,,,,
32:35.0,00:00.0,100,1,54,61,57,76044,26243,15632,79353,43946,23057,10089,1934,,,,,
32:36.0,00:00.0,100,1,64,74,69,212575,32172,38513,47837,4916,46222,8662,8928,,,,,
32:37.0,00:00.0,100,1,50,66,58,346642,250474,63844,26093,13418,18373,20940,11677,,,,,
32:38.0,00:00.0,100,1,48,63,55,348512,176147,63546,5330,22408,25501,13661,4490,,,,,
32:39.0,00:00.0,100,1,50,44,47,260058,77467,11180,7454,15984,20895,4102,6814,,,,,
32:40.0,00:00.0,100,1,50,40,45,271544,36225,43880,10711,25415,33501,14221,3262,,,,,
32:41.0,00:00.0,100,1,50,38,44,50641,138538,2846,33371,12526,9639,3715,3162,,,,,
32:42.0,00:00.0,100,1,56,41,48,14671,29120,6043,14840,8757,10470,9793,1492,,,,,
32:43.0,00:00.0,100,1,53,56,54,32475,25358,43400,2015,18365,10561,6781,2017,,,,,
32:44.0,00:00.0,100,1,37,51,44,150389,60246,14653,15084,16239,6051,11289,2853,,,,,
32:45.0,00:00.0,100,1,50,63,56,419545,37885,14028,32593,5173,22307,14159,2174,,,,,
32:46.0,00:00.0,100,1,50,74,62,12941,21400,22660,34806,11225,15156,13818,2565,,,,,
32:47.0,00:00.0,100,1,47,63,55,13881,94019,6693,29860,10683,15285,5461,1217,,,,,
32:48.0,00:00.0,100,1,53,61,57,74342,57209,10303,12792,7313,9566,3047,1454,,,,,
32:49.0,00:00.0,100,1,51,47,49,10133,97478,10949,10263,8956,25794,2936,4535,,,,,
