'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
44:51.0,00:00.0,100,2,38,90,64,84130,16341,34348,26333,16128,7461,5032,935,,24393.83684,17985.1041,10193.32432,4771.447447
44:52.0,00:00.0,100,2,23,81,52,59369,48818,2920,9668,6454,2563,1834,582,,,,,
44:53.0,00:00.0,100,2,23,67,45,73464,23438,3524,11185,7397,6376,1993,400,,,,,
44:54.0,00:00.0,100,2,30,69,49,29064,37982,32225,14392,14270,16912,4654,1130,,,,,
44:55.0,00:00.0,100,2,23,75,49,214167,23243,49987,29238,2955,6105,1583,434,,,,,
44:56.0,00:00.0,100,2,61,81,71,18565,10993,9643,19313,20822,36991,10443,3928,,,,,
44:57.0,00:00.0,100,2,60,81,70,80742,15954,5152,6778,6898,4133,2307,776,,,,,
44:58.0,00:00.0,100,2,63,66,64,18661,30011,4583,4410,22034,13298,2973,3200,,,,,
44:59.0,00:00.0,100,2,74,53,63,34985,79480,45605,30809,10058,22595,6293,2688,,,,,
45:00.0,00:00.0,100,2,40,48,44,365676,26791,6916,911,1193,2104,2943,1525,,,,,
45:01.0,00:00.0,100,2,37,41,39,1044119,172283,24533,27086,13655,27196,45851,9911,,,,,
45:02.0,00:00.0,100,2,23,54,38,72099,15842,4797,5512,1837,2971,2205,683,,,,,
45:03.0,00:00.0,100,2,40,51,45,72386,20091,11043,27414,19454,36835,17994,4949,,,,,
45:04.0,00:00.0,100,2,53,67,60,1002515,24965,26232,68607,21355,21363,10069,10854,,,,,
45:05.0,00:00.0,100,2,47,66,56,220589,143866,13286,17483,16212,12733,11379,5269,,,,,
45:06.0,00:00.0,100,2,41,77,59,99595,38954,63374,43612,35191,10260,7512,2738,,,,,
45:07.0,00:00.0,100,2,17,87,52,87833,43549,84617,31421,32006,14193,5673,2287,,,,,
45:08.0,00:00.0,100,2,17,81,49,28347,28686,15157,46294,35906,15459,4957,4685,,,,,
45:09.0,00:00.0,100,2,27,100,63,58042,19225,10951,56999,30899,14506,5692,3774,,,,,
45:10.0,00:00.0,100,2,27,100,63,113867,8779,15561,5086,6279,1934,1913,1032,,,,,
45:11.0,00:00.0,100,2,29,100,64,1031822,51275,72481,69357,25767,19993,8442,2891,,,,,
45:12.0,00:00.0,100,2,44,91,67,9879,38001,16739,15804,26367,37028,7776,3355,,,,,
45:13.0,00:00.0,100,2,54,77,65,21965,88585,7682,46546,50996,61028,10233,2612,,,,,
45:14.0,00:00.0,100,2,51,69,60,499638,69719,35667,23959,14581,6881,5236,5138,,,,,
45:15.0,00:00.0,100,2,60,66,63,89152,30418,65110,22522,20017,23880,4935,1520,,,,,
45:16.0,00:00.0,100,2,40,78,59,17636,14125,39828,24095,40523,8333,3813,1624,,,,,
45:17.0,00:00.0,100,2,8,88,48,88576,36784,19328,8025,3412,1971,1353,916,,,,,
45:18.0,00:00.0,100,2,20,91,55,835075,48714,40248,51662,39327,18295,6284,1914,,,,,
45:19.0,00:00.0,100,2,1,91,46,541644,98953,119553,35140,24503,10488,4963,1168,,,,,
45:20.0,00:00.0,100,2,8,91,49,71069,37010,34529,52112,23887,28395,8275,2440,,,,,
45:21.0,00:00.0,100,2,20,100,60,32114,18317,101704,25847,45594,11345,12939,3581,,,,,
45:22.0,00:00.0,100,2,26,100,63,55267,7252,16306,23076,31466,10373,7910,1426,,,,,
45:23.0,00:00.0,100,2,29,94,61,110538,76411,38792,54233,50553,8515,3086,1930,,,,,
45:24.0,00:00.0,100,2,7,81,44,475905,248168,36687,46652,29885,11004,8291,6574,,,,,
45:25.0,00:00.0,100,2,23,67,45,20363,47115,7274,40189,23033,28105,7516,4282,,,,,
45:26.0,00:00.0,100,2,16,77,46,45956,14415,62803,17662,19753,13133,7887,1506,,,,,
45:27.0,00:00.0,100,2,37,70,53,33474,40755,28268,9801,38526,21310,13282,3664,,,,,
45:28.0,00:00.0,100,2,53,84,68,4811,33342,20037,52388,11499,13261,12836,3360,,,,,
45:29.0,00:00.0,100,2,44,94,69,12666,31369,34155,54632,23949,17790,3229,1652,,,,,
45:30.0,00:00.0,100,2,41,80,60,139280,22606,10670,2338,4250,3785,5070,1350,,,,,
45:31.0,00:00.0,100,2,24,90,57,133227,21926,7072,19271,2359,3202,4995,1818,,,,,
45:32.0,00:00.0,100,2,16,80,48,1898367,229164,72699,58772,15802,22542,16282,7222,,,,,
45:33.0,00:00.0,100,2,23,81,52,12416,10413,48441,15653,18155,20684,8093,2583,,,,,
