'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
02:28.0,00:00.0,100,2,47,53,50,633576,259396,46145,36455,48525,29024,20360,11803,,25242.94241,19619.45026,12780.46073,5819.829843
02:29.0,00:00.0,100,2,34,53,43,2207241,202264,37591,85704,47309,27824,21740,36126,,,,,
02:30.0,00:00.0,100,2,38,56,47,468870,24305,18750,2480,6957,12304,5909,2513,,,,,
02:31.0,00:00.0,100,2,44,47,45,166017,206461,62355,24240,14775,56009,10526,10474,,,,,
02:32.0,00:00.0,100,2,54,51,52,18982,23369,29288,11349,39334,17842,10624,6709,,,,,
02:33.0,00:00.0,100,2,56,51,53,71325,20357,1611,11320,4508,4004,1893,783,,,,,
02:34.0,00:00.0,100,2,51,48,49,128315,22232,1892,9473,4686,5336,1637,1916,,,,,
02:35.0,00:00.0,100,2,56,51,53,9452,21932,2472,17801,11607,14589,7947,2672,,,,,
02:36.0,00:00.0,100,2,54,53,53,120099,30096,9802,36517,25493,17489,9169,5081,,,,,
02:37.0,00:00.0,100,2,70,54,62,2783,18434,14221,23974,18844,39003,4001,4507,,,,,
02:38.0,00:00.0,100,2,64,64,64,550654,65379,27913,74824,13308,13596,7106,7157,,,,,
02:39.0,00:00.0,100,2,48,67,57,452964,128079,21606,84067,30931,12435,3494,4488,,,,,
02:40.0,00:00.0,100,2,38,67,52,228526,79391,54934,8559,21320,11124,10744,6660,,,,,
02:41.0,00:00.0,100,2,23,66,44,164215,110623,45432,28844,37984,23681,6295,2561,,,,,
02:42.0,00:00.0,100,2,16,48,32,1508960,775845,79725,19241,30233,32893,25865,6399,,,,,
02:43.0,00:00.0,100,2,24,40,32,471183,121465,14787,32766,29570,23178,59913,11554,,,,,
02:44.0,00:00.0,100,2,17,21,19,108977,156594,9494,2891,10844,5902,6202,1450,,,,,
02:45.0,00:00.0,100,2,23,21,22,241128,8765,2713,4440,3432,3760,1336,1984,,,,,
02:46.0,00:00.0,100,2,38,29,33,802260,27236,6861,7065,3606,7752,4298,4327,,,,,
02:47.0,00:00.0,100,2,30,16,23,364794,392942,16678,6914,30442,28060,17324,12055,,,,,
02:48.0,00:00.0,100,2,43,30,36,183613,87591,9531,43938,17860,16687,8609,3287,,,,,
02:49.0,00:00.0,100,2,48,30,39,256278,17589,6184,15095,23333,14458,6213,5191,,,,,
02:50.0,00:00.0,100,2,44,40,42,212925,54357,6388,69983,16926,17094,15183,3186,,,,,
02:51.0,00:00.0,100,2,48,50,49,607934,136776,16960,10727,17349,16939,13791,4264,,,,,
02:52.0,00:00.0,100,2,51,54,52,86104,7815,7939,7413,8883,3756,3633,1438,,,,,
02:53.0,00:00.0,100,2,44,50,47,179848,95805,24628,5907,20834,24707,4366,5746,,,,,
02:54.0,00:00.0,100,2,44,43,43,72958,49704,17911,17569,15235,12204,4306,3582,,,,,
02:55.0,00:00.0,100,2,44,60,52,98860,37732,13613,58040,18786,13240,13685,3935,,,,,
02:56.0,00:00.0,100,2,50,53,51,61298,29914,26943,13538,50298,19499,5562,2831,,,,,
02:57.0,00:00.0,100,2,47,64,55,25786,71112,32630,35380,9963,17139,5014,4118,,,,,
02:58.0,00:00.0,100,2,48,70,59,31617,28710,56573,17106,33478,16164,4505,1780,,,,,
02:59.0,00:00.0,100,2,54,64,59,108876,25690,3852,41037,40793,15405,8780,4232,,,,,
03:00.0,00:00.0,100,2,50,61,55,146854,73647,15062,10021,10785,17147,4735,849,,,,,
03:01.0,00:00.0,100,2,43,70,56,25271,30448,39087,157465,33322,13844,3389,2747,,,,,
03:02.0,00:00.0,100,2,38,80,59,32617,17982,25183,120590,24796,13951,8152,2961,,,,,
03:03.0,00:00.0,100,2,40,80,60,125945,9656,3661,10683,11491,5752,3720,1509,,,,,
03:04.0,00:00.0,100,2,38,93,65,21954,49640,34943,39136,8441,22065,13524,6730,,,,,
03:05.0,00:00.0,100,2,44,83,63,134678,21297,16446,10859,5371,5506,3132,1756,,,,,
03:06.0,00:00.0,100,2,43,67,55,161439,34364,6005,13998,3376,3945,2473,660,,,,,
03:07.0,00:00.0,100,2,37,69,53,51397,44102,16744,32838,23701,12828,6772,5071,,,,,
03:08.0,00:00.0,100,2,40,64,52,135935,10925,9147,4039,5228,5250,1211,1273,,,,,
03:09.0,00:00.0,100,2,44,67,55,51545,13335,21421,17952,10070,11078,7258,1959,,,,,
03:10.0,00:00.0,100,2,56,64,60,22650,22581,19581,4124,34295,12875,2627,2346,,,,,
