'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
02:27.0,00:00.0,100,2,74,61,67,158808,184844,178168,63769,35262,42156,4611,4867,,19343.61685,12382.17663,8060.36413,4205.793478
02:28.0,00:00.0,100,2,75,69,72,1850367,225348,24366,92812,28613,31834,7608,5337,,,,,
02:29.0,00:00.0,100,2,80,74,77,309596,53328,22340,25032,25406,11233,15475,11354,,,,,
02:30.0,00:00.0,100,2,75,81,78,59994,20124,6209,15296,5799,5303,1751,1686,,,,,
02:31.0,00:00.0,100,2,75,77,76,60986,50013,21950,14314,10307,8167,10023,3838,,,,,
02:32.0,00:00.0,100,2,77,78,77,60484,59135,26977,14463,14901,12833,10124,1499,,,,,
02:33.0,00:00.0,100,2,78,78,78,174848,40389,23629,26600,27305,10615,8790,2504,,,,,
02:34.0,00:00.0,100,2,83,81,82,21030,13179,29685,9926,14132,12920,6703,2963,,,,,
02:35.0,00:00.0,100,2,90,81,85,66832,25850,14540,8399,14722,8087,6307,3589,,,,,
02:36.0,00:00.0,100,2,91,80,85,66390,21810,13318,4512,18299,5858,4981,866,,,,,
02:37.0,00:00.0,100,2,83,67,75,11777,122207,3324,22298,5860,8051,3337,5412,,,,,
02:38.0,00:00.0,100,2,80,61,70,73211,21614,7549,9345,6308,6730,6762,2199,,,,,
02:39.0,00:00.0,100,2,84,56,70,20432,22171,6501,6790,12545,10937,6200,2430,,,,,
02:40.0,00:00.0,100,2,80,60,70,99041,54599,24847,16641,7004,7343,6799,3344,,,,,
02:41.0,00:00.0,100,2,100,70,85,7235,19445,13064,7770,3018,16749,4320,4297,,,,,
02:42.0,00:00.0,100,2,100,69,84,20298,21718,15091,8877,11891,17466,3692,1923,,,,,
02:43.0,00:00.0,100,2,100,74,87,99750,32963,15014,7862,22533,9411,4231,2448,,,,,
02:44.0,00:00.0,100,2,100,61,80,121215,21902,4567,1566,3766,3146,2537,1086,,,,,
02:45.0,00:00.0,100,2,100,57,78,18267,32499,3985,12495,8315,12017,4257,3897,,,,,
02:46.0,00:00.0,100,2,84,57,70,38863,75113,23164,32177,22239,9486,5976,4514,,,,,
02:47.0,00:00.0,100,2,88,60,74,15291,13865,9344,7397,11436,7736,10192,4919,,,,,
02:48.0,00:00.0,100,2,91,63,77,60810,35745,6755,11606,16176,8051,6341,2756,,,,,
02:49.0,00:00.0,100,2,78,56,67,7101,110433,5371,18954,6444,8720,7568,2536,,,,,
02:50.0,00:00.0,100,2,88,60,74,34330,18490,13675,16128,7945,11133,6522,3960,,,,,
02:51.0,00:00.0,100,2,81,54,67,114380,18782,626,10414,21953,4004,1846,1119,,,,,
02:52.0,00:00.0,100,2,74,63,68,319064,65616,46800,16041,17779,6867,5681,2054,,,,,
02:53.0,00:00.0,100,2,77,81,79,32575,22681,48263,11762,14787,8147,6257,6173,,,,,
02:54.0,00:00.0,100,2,77,60,68,88465,68255,6671,4762,59505,14880,8457,3873,,,,,
02:55.0,00:00.0,100,2,75,51,63,42446,42081,7122,2334,43753,6291,3742,2022,,,,,
02:56.0,00:00.0,100,2,78,44,61,40913,84435,24980,13565,19179,9752,8021,5158,,,,,
02:57.0,00:00.0,100,2,93,27,60,16728,19281,3353,10555,35840,15173,2583,3657,,,,,
02:58.0,00:00.0,100,2,74,38,56,35694,141448,28775,11558,10644,4549,3483,1789,,,,,
02:59.0,00:00.0,100,2,74,50,62,14073,48387,9415,18078,9555,9381,3538,6323,,,,,
03:00.0,00:00.0,100,2,74,35,54,405148,25648,311,2111,6187,1931,921,574,,,,,
03:01.0,00:00.0,100,2,64,47,55,138590,28250,24584,6056,7962,9528,6568,3308,,,,,
03:02.0,00:00.0,100,2,83,56,69,182912,25949,27001,5525,11234,10852,3185,1070,,,,,
03:03.0,00:00.0,100,2,83,60,71,16040,16310,6877,19055,20608,5098,4362,13410,,,,,
03:04.0,00:00.0,100,2,84,75,79,38654,101423,31816,17287,8815,14387,6851,8408,,,,,
03:05.0,00:00.0,100,2,78,75,76,23027,36506,23314,7993,12672,5343,7044,4263,,,,,
03:06.0,00:00.0,100,2,64,81,72,32188,32321,51013,21077,5731,4123,7070,2300,,,,,
03:07.0,00:00.0,100,2,64,70,67,2410,32407,6311,4063,16559,5252,3475,2418,,,,,
03:08.0,00:00.0,100,2,57,83,70,115454,8160,7477,10016,5499,1095,1176,776,,,,,
03:09.0,00:00.0,100,2,69,70,69,94937,66399,8316,8249,24372,21647,6693,2254,,,,,
03:10.0,00:00.0,100,2,70,54,62,100858,105085,12505,23147,14766,8134,5323,1245,,,,,
03:11.0,00:00.0,100,2,77,67,72,89622,3532,1962,6413,4341,2484,975,1752,,,,,
03:12.0,00:00.0,100,2,83,53,68,253050,11457,2264,1752,5067,1475,827,246,,,,,
03:13.0,00:00.0,100,2,66,44,55,518357,88567,1985,5686,16401,4061,10268,2831,,,,,
03:14.0,00:00.0,100,2,77,53,65,280499,89682,68502,23418,16536,26921,13514,3946,,,,,
03:15.0,00:00.0,100,2,78,50,64,30564,37928,17598,33130,19084,24070,7376,2094,,,,,
03:16.0,00:00.0,100,2,75,54,64,923558,362145,115664,73946,85419,32122,5608,9222,,,,,
03:17.0,00:00.0,100,2,78,66,72,57762,60012,9906,5931,6937,4628,2606,1901,,,,,
03:18.0,00:00.0,100,2,63,61,62,2361344,178469,40512,38917,19521,8067,2312,1603,,,,,
03:19.0,00:00.0,100,2,50,60,55,30811,40923,19592,11314,10661,5482,4246,1665,,,,,
03:20.0,00:00.0,100,1,43,61,52,404076,412960,169020,48298,50062,15812,2861,3393,,,,,
03:21.0,00:00.0,100,2,44,64,54,53344,10934,2347,2815,3316,1361,1027,752,,,,,
03:22.0,00:00.0,100,2,47,63,55,301427,61237,3609,20498,9421,3285,8853,4643,,,,,
03:23.0,00:00.0,100,2,35,40,37,654615,440501,1792,21100,13810,10047,5022,3531,,,,,
03:24.0,00:00.0,100,1,44,30,37,381811,61751,10555,3835,4088,6274,3003,1487,,,,,
03:25.0,00:00.0,100,2,41,29,35,625846,281907,48467,17543,23138,17711,11858,3186,,,,,
03:26.0,00:00.0,100,2,44,17,30,301830,171553,8493,6579,4796,11052,8718,1857,,,,,
03:27.0,00:00.0,100,2,67,27,47,240423,88003,16399,3560,8948,26162,13803,9045,,,,,
03:28.0,00:00.0,100,2,69,34,51,1352043,122222,50699,6948,40629,15026,16114,10397,,,,,
03:29.0,00:00.0,100,2,74,27,50,473912,159350,20045,8319,15386,13999,15597,1761,,,,,
03:30.0,00:00.0,100,2,80,35,57,118743,110827,15842,9055,16560,16714,8998,5466,,,,,
03:31.0,00:00.0,100,2,69,43,56,48245,93361,22646,12353,5995,9604,10159,2716,,,,,
03:32.0,00:00.0,100,2,77,40,58,29780,28173,4858,12470,28728,7906,9478,3576,,,,,
03:33.0,00:00.0,100,2,84,51,67,61824,23428,889,22030,15353,8116,7420,4612,,,,,
03:34.0,00:00.0,100,2,83,56,69,31561,41285,11088,12187,28227,7386,7715,2009,,,,,
03:35.0,00:00.0,100,2,87,63,75,88911,36361,23260,26803,21946,7841,6791,3217,,,,,
03:36.0,00:00.0,100,2,84,53,68,27627,59314,1218,8076,27895,11336,7286,2985,,,,,
03:37.0,00:00.0,100,2,75,56,65,98978,10449,4673,5536,1944,1376,1020,1521,,,,,
03:38.0,00:00.0,100,2,70,60,65,20244,67986,14853,20593,12313,7665,4765,3894,,,,,
03:39.0,00:00.0,100,2,77,56,66,53318,26810,9823,13327,15629,8227,2945,5197,,,,,
03:40.0,00:00.0,100,2,80,67,73,38275,61064,16982,13540,4386,19308,4386,5736,,,,,
03:41.0,00:00.0,100,2,94,69,81,23040,13163,13550,9288,2511,10764,8054,3253,,,,,
03:42.0,00:00.0,100,2,91,70,80,104862,46702,18346,27884,38993,5440,9982,6824,,,,,
03:43.0,00:00.0,100,2,88,69,78,475839,68474,28126,9831,24192,13014,8586,10358,,,,,
03:44.0,00:00.0,100,2,75,67,71,1392862,132038,24969,15165,21627,8673,4449,977,,,,,
03:45.0,00:00.0,100,2,64,70,67,318017,87568,170460,35446,22534,30596,8295,2867,,,,,
03:46.0,00:00.0,100,2,67,69,68,409381,373834,91949,86124,30958,44844,98587,15307,,,,,
03:47.0,00:00.0,100,1,64,63,63,692307,196750,8775,41740,34674,24418,3032,2023,,,,,
03:48.0,00:00.0,100,2,67,63,65,2599562,329976,68956,49555,100828,33312,19324,7540,,,,,
03:49.0,00:00.0,100,2,66,38,52,48785,74152,2570,6890,11244,7376,17606,3113,,,,,
03:50.0,00:00.0,100,2,74,37,55,45761,61963,11082,13769,12455,11459,4621,1834,,,,,
03:51.0,00:00.0,100,2,70,38,54,67140,107841,15690,17815,19635,11104,4648,4350,,,,,
03:52.0,00:00.0,100,2,75,38,56,49746,58604,1632,19360,24671,10093,1740,3629,,,,,
03:53.0,00:00.0,100,2,70,44,57,76814,112613,23825,9803,32844,9418,7450,3203,,,,,
03:54.0,00:00.0,100,2,77,44,60,761380,23179,409,13167,19704,8366,10804,3509,,,,,
03:55.0,00:00.0,100,2,90,56,73,667273,20099,12430,26969,9569,19077,3141,4257,,,,,
03:56.0,00:00.0,100,2,87,51,69,45543,106475,13464,6204,12013,12463,7053,6034,,,,,
03:57.0,00:00.0,100,2,91,64,77,20112,26970,22855,37128,32872,8275,3037,3098,,,,,
03:58.0,00:00.0,100,2,84,70,77,147611,47237,24025,21589,11398,11981,7152,4894,,,,,
03:59.0,00:00.0,100,2,70,61,65,67116,109934,19889,19829,33587,12452,7157,3895,,,,,
04:00.0,00:00.0,100,2,67,60,63,911778,49293,2922,4793,8855,3690,2353,3718,,,,,
04:01.0,00:00.0,100,2,66,57,61,100589,59320,49214,11651,12336,10351,10044,5891,,,,,
