'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
24:42.0,00:00.0,100,3,57,51,54,49493,71691,4358,18788,18055,14039,4507,1486,,17057.0314,19505.20171,15045.91246,7658.369172
24:43.0,00:00.0,100,3,44,40,42,75320,45433,2824,2001,5013,2311,4889,1560,,,,,
24:44.0,00:00.0,100,3,34,38,36,373702,19223,1731,12589,6230,3697,2220,2623,,,,,
24:45.0,00:00.0,100,3,47,41,44,21668,9397,10766,13423,32648,9867,6534,4562,,,,,
24:46.0,00:00.0,100,3,47,54,50,121581,34906,39318,17206,4916,11813,4212,2245,,,,,
24:47.0,00:00.0,100,3,41,57,49,349769,139456,2199,23637,20064,4323,16064,4609,,,,,
24:48.0,00:00.0,100,3,47,61,54,20959,19884,20130,6485,5294,8622,3837,5017,,,,,
24:49.0,00:00.0,100,3,41,69,55,12233,20595,15952,36958,21368,11200,9866,6035,,,,,
24:50.0,00:00.0,100,2,29,53,41,2018918,917480,72723,109287,87483,32429,31871,34451,,,,,
24:51.0,00:00.0,100,2,43,56,49,270493,108422,21016,10678,30905,21400,20177,13562,,,,,
24:52.0,00:00.0,100,2,51,54,52,16577,16254,13410,12356,6280,23066,11065,7060,,,,,
24:53.0,00:00.0,100,2,63,43,53,79439,21126,11908,5682,10115,27394,18187,36926,,,,,
24:54.0,00:00.0,100,2,70,44,57,66256,128828,15571,17018,6457,13275,16747,7615,,,,,
24:55.0,00:00.0,100,2,70,63,66,30830,23100,46176,16164,5769,11493,12175,1785,,,,,
24:56.0,00:00.0,100,2,57,56,56,37306,26398,7251,4409,10405,4353,6958,2884,,,,,
24:57.0,00:00.0,100,2,37,48,42,324391,146226,12158,4604,9172,7164,7989,1583,,,,,
24:58.0,00:00.0,100,2,53,50,51,741915,35521,8100,15610,24527,39897,27021,22862,,,,,
24:59.0,00:00.0,100,2,67,30,48,2831,30025,5995,15299,27769,37330,18638,28184,,,,,
25:00.0,00:00.0,100,2,70,29,49,1264640,167815,44130,11049,23001,39776,23186,28546,,,,,
25:01.0,00:00.0,100,2,90,40,65,410705,38567,18056,12250,13878,35838,25070,17926,,,,,
25:02.0,00:00.0,100,2,69,37,53,226403,56195,5152,5815,5715,3832,7013,3384,,,,,
25:03.0,00:00.0,100,2,53,43,48,30244,26986,9234,17047,14631,4885,6039,2687,,,,,
25:04.0,00:00.0,100,2,54,48,51,35695,36271,15193,8665,11908,14072,5175,4488,,,,,
25:05.0,00:00.0,100,2,40,50,45,124853,27873,9541,5767,1885,3205,1448,545,,,,,
25:06.0,00:00.0,100,2,61,60,60,76596,31352,19022,22026,13155,53684,29861,10937,,,,,
25:07.0,00:00.0,100,2,67,66,66,156029,12017,24282,6121,3236,9747,4400,1509,,,,,
25:08.0,00:00.0,100,2,70,64,67,79491,71396,40513,8178,28680,33793,26170,8269,,,,,
25:09.0,00:00.0,100,2,77,64,70,112619,10558,1889,5716,3384,2823,1287,613,,,,,
25:10.0,00:00.0,100,2,64,67,65,12143,11576,4016,8422,4440,4089,3045,2607,,,,,
25:11.0,00:00.0,100,1,54,57,55,540377,536504,41936,181343,59296,41612,26140,22456,,,,,
25:12.0,00:00.0,100,1,50,56,53,163353,40107,10670,4206,8020,8483,9678,2366,,,,,
25:13.0,00:00.0,100,1,64,54,59,118134,6718,7578,3555,3750,16474,4763,1252,,,,,
25:14.0,00:00.0,100,1,74,48,61,103587,5625,2506,2443,3971,5906,6493,701,,,,,
25:15.0,00:00.0,100,1,87,47,67,59121,67239,31953,11997,37772,34682,15698,4763,,,,,
25:16.0,00:00.0,100,1,93,50,71,19645,38712,10687,14100,7875,23758,28441,12632,,,,,
25:17.0,00:00.0,100,1,74,63,68,8993,29972,40220,53904,13027,11095,9655,7995,,,,,
25:18.0,00:00.0,100,1,56,74,65,66428,4138,4906,571,1082,750,802,829,,,,,
25:19.0,00:00.0,100,1,41,81,61,423554,111717,64295,42329,21734,11224,23000,4078,,,,,
25:20.0,00:00.0,100,1,30,78,54,287665,266429,4648,65421,38013,31512,23240,8522,,,,,
25:21.0,00:00.0,100,1,35,63,49,344407,69916,18475,17544,15470,13575,5237,3362,,,,,
25:22.0,00:00.0,100,1,44,51,47,10805,17697,6687,5170,17580,6899,2691,1751,,,,,
25:23.0,00:00.0,100,1,51,43,47,1076028,244143,56636,36533,32318,44082,49744,8944,,,,,
25:24.0,00:00.0,100,1,67,40,53,169575,30495,3015,17390,50737,40370,18670,13733,,,,,
25:25.0,00:00.0,100,1,67,41,54,1388569,139373,56540,12450,20820,25328,23451,10632,,,,,
25:26.0,00:00.0,100,1,60,27,43,3425873,951959,48331,22898,29640,83583,64178,11036,,,,,
25:27.0,00:00.0,100,2,54,16,35,122293,46328,2930,2023,2730,3257,2183,321,,,,,
25:28.0,00:00.0,100,2,35,7,21,1600433,274499,11032,7066,68391,19909,40822,13882,,,,,
25:29.0,00:00.0,100,2,24,1,12,1009450,488573,22731,13403,21988,24535,21754,11894,,,,,
