'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
43:44.0,00:00.0,100,2,53,69,61,93015,12517,10067,2277,2658,3102,1428,2225,,12406.34764,14202.00644,10683.45064,5625.527897
43:45.0,00:00.0,100,2,51,41,46,172964,57566,1667,2151,2278,9810,3462,3792,,,,,
43:46.0,00:00.0,100,2,56,30,43,8041,19922,9527,6001,4797,14157,4911,1653,,,,,
43:47.0,00:00.0,100,2,61,37,49,22505,15549,7078,8167,12315,11078,15206,4184,,,,,
43:48.0,00:00.0,100,2,67,37,52,5595,31153,12704,27239,6711,18131,6749,4622,,,,,
43:49.0,00:00.0,100,2,78,41,59,1856,29705,2429,3469,10832,21841,6930,4523,,,,,
43:50.0,00:00.0,100,2,70,51,60,175198,54586,71748,45585,17310,30206,10006,3992,,,,,
43:51.0,00:00.0,100,2,63,29,46,126084,23224,643,708,1854,2398,1412,1757,,,,,
43:52.0,00:00.0,100,2,57,27,42,284793,117638,33954,50640,10988,30671,19343,15376,,,,,
43:53.0,00:00.0,100,2,41,35,38,1961607,169526,25755,7341,12450,14771,3595,2163,,,,,
43:54.0,00:00.0,100,2,54,8,31,261325,52663,5550,5028,17084,57821,23944,7777,,,,,
43:55.0,00:00.0,100,2,64,30,47,17917,18118,10607,14234,14371,14612,8705,9726,,,,,
43:56.0,00:00.0,100,2,78,23,50,10516,14885,4778,5218,10131,20128,13877,7126,,,,,
43:57.0,00:00.0,100,2,83,24,53,85528,24004,4476,4699,11858,5026,7840,3584,,,,,
43:58.0,00:00.0,100,2,63,27,45,415281,119309,7156,7468,9732,10548,18242,11382,,,,,
43:59.0,00:00.0,100,2,50,24,37,52771,38578,12644,10950,13592,4514,2983,2349,,,,,
44:00.0,00:00.0,100,2,27,30,28,127269,98412,36241,16954,14649,9720,6927,1976,,,,,
44:01.0,00:00.0,100,2,29,37,33,128919,28519,3949,12141,11134,7370,3404,1776,,,,,
44:02.0,00:00.0,100,2,37,64,50,16171,5631,9422,17373,5261,5250,1838,1230,,,,,
44:03.0,00:00.0,100,2,38,61,49,6842,23449,7110,4268,5421,2635,1951,1528,,,,,
44:04.0,00:00.0,100,2,40,70,55,48610,63576,79554,18999,15589,12990,11207,8190,,,,,
44:05.0,00:00.0,100,2,35,69,52,623586,76939,16231,9757,7078,9267,3655,2098,,,,,
44:06.0,00:00.0,100,2,37,60,48,98202,13919,2592,11930,4191,5186,3438,997,,,,,
44:07.0,00:00.0,100,2,41,51,46,955890,180375,28825,12156,47588,30468,36883,20667,,,,,
44:08.0,00:00.0,100,2,41,38,39,252215,203001,61486,17727,31577,24530,13959,4070,,,,,
44:09.0,00:00.0,100,1,44,27,35,703969,136910,14631,4780,44138,25118,15368,5870,,,,,
44:10.0,00:00.0,100,1,47,27,37,40622,13122,6062,7213,3735,5265,4746,1622,,,,,
44:11.0,00:00.0,100,1,47,40,43,1579281,144224,32683,94487,61717,37533,44031,18227,,,,,
44:12.0,00:00.0,100,1,53,43,48,2290787,289253,85914,93351,17446,94875,49321,14270,,,,,
44:13.0,00:00.0,100,1,57,60,58,191036,71814,43031,17755,7712,44061,21914,10877,,,,,
44:14.0,00:00.0,100,1,61,57,59,333710,36155,20190,11454,7825,20094,7822,14711,,,,,
44:15.0,00:00.0,100,1,67,41,54,89477,58688,6741,6303,22073,26493,16241,11612,,,,,
44:16.0,00:00.0,100,2,61,37,49,318324,195199,48053,16961,21416,19518,11252,17696,,,,,
44:17.0,00:00.0,100,2,63,37,50,60434,14711,19807,4957,22783,16247,11089,19968,,,,,
44:18.0,00:00.0,100,2,69,41,55,33716,14083,19078,9923,2110,24064,16911,3705,,,,,
44:19.0,00:00.0,100,2,60,60,60,1255561,99633,104881,33297,56531,28798,36072,9796,,,,,
44:20.0,00:00.0,100,2,69,67,68,53193,8519,6096,3462,4341,4219,3884,2051,,,,,
44:21.0,00:00.0,100,2,56,63,59,410322,162016,7025,47888,14577,17971,19489,28015,,,,,
44:22.0,00:00.0,100,2,53,57,55,19366,25778,24516,3461,15204,19238,11376,13147,,,,,
44:23.0,00:00.0,100,2,64,50,57,26692,23287,8729,9084,12686,19523,8873,9231,,,,,
44:24.0,00:00.0,100,2,74,51,62,12569,8865,21165,6615,4570,25736,20983,8329,,,,,
44:25.0,00:00.0,100,2,83,54,68,430244,21437,16244,4235,19089,11644,13711,22700,,,,,
44:26.0,00:00.0,100,2,83,57,70,119803,13750,18747,2226,5155,13668,5570,1275,,,,,
44:27.0,00:00.0,100,2,81,64,72,38088,37025,24970,21000,6360,31926,18226,28493,,,,,
44:28.0,00:00.0,100,2,75,41,58,405994,91320,3638,6153,22291,30004,12578,10787,,,,,
44:29.0,00:00.0,100,2,78,29,53,480364,45998,5959,6038,19732,25777,38835,7891,,,,,
44:30.0,00:00.0,100,2,83,20,51,527993,34442,4450,18029,6648,43290,16618,12026,,,,,
44:31.0,00:00.0,100,2,83,13,48,12002,40202,5595,15571,7084,20553,10971,7962,,,,,
44:32.0,00:00.0,100,2,84,40,62,9928,19392,13858,35466,1604,24491,11894,11300,,,,,
44:33.0,00:00.0,100,2,75,43,59,375330,195261,7560,25978,14909,29959,11975,7085,,,,,
