'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
24:40.0,00:00.0,100,2,26,64,45,406840,12575,7883,12187,14377,3611,5170,750,,13955.59542,23704.46756,14074.21565,6789.539122
24:41.0,00:00.0,100,2,21,81,51,1165494,170098,140048,39014,17038,31528,10062,3064,,,,,
24:42.0,00:00.0,100,2,29,75,52,313223,49519,16475,8669,2264,5586,5211,2472,,,,,
24:43.0,00:00.0,100,2,40,77,58,235122,9418,2827,4934,3611,4076,7126,1320,,,,,
24:44.0,00:00.0,100,2,50,77,63,80380,5791,1063,6719,2722,4710,3219,1074,,,,,
24:45.0,00:00.0,100,2,69,67,68,11178,9681,751,17418,9262,35998,7243,5783,,,,,
24:46.0,00:00.0,100,2,91,64,77,7938,16861,3575,18342,10811,41876,11677,5008,,,,,
24:47.0,00:00.0,100,2,100,61,80,19078,15041,5208,11630,19815,18689,9444,1764,,,,,
24:48.0,00:00.0,100,2,100,51,75,27758,32847,12588,5394,26514,27766,11079,1685,,,,,
24:49.0,00:00.0,100,2,80,61,70,469758,125470,106300,81130,45008,21123,4984,2680,,,,,
24:50.0,00:00.0,100,2,67,67,67,6782,20190,13448,8867,6462,11393,10690,7761,,,,,
24:51.0,00:00.0,100,2,67,70,68,10962,8059,4277,8171,9068,10560,3685,1856,,,,,
24:52.0,00:00.0,100,2,51,80,65,165111,29451,13707,8616,4968,3535,7374,2804,,,,,
24:53.0,00:00.0,100,2,54,67,60,120222,13777,1631,3906,2523,2458,6150,2337,,,,,
24:54.0,00:00.0,100,2,60,60,60,56346,24063,5282,8979,10386,19951,14878,2788,,,,,
24:55.0,00:00.0,100,2,63,60,61,21420,16899,742,21792,9909,29180,13971,4175,,,,,
24:56.0,00:00.0,100,2,75,60,67,6770,27454,18972,8250,8198,16120,8894,6963,,,,,
24:57.0,00:00.0,100,2,63,67,65,808933,19313,5919,7867,1812,927,2260,359,,,,,
24:58.0,00:00.0,100,2,57,74,65,48035,18480,4814,16942,17353,9676,9023,6280,,,,,
24:59.0,00:00.0,100,2,35,64,49,2349862,238003,44590,12416,34322,14103,8648,4482,,,,,
25:00.0,00:00.0,100,2,34,61,47,37973,50914,19053,15898,12175,23072,23146,5226,,,,,
25:01.0,00:00.0,100,2,54,61,57,9307,15493,24403,15626,15822,22268,9948,4614,,,,,
25:02.0,00:00.0,100,2,66,56,61,4851,20167,16602,5853,8923,42302,21075,5190,,,,,
25:03.0,00:00.0,100,2,83,63,73,11572,22519,13214,3217,10173,15165,10659,7251,,,,,
25:04.0,00:00.0,100,2,84,60,72,126779,13772,5784,1221,1991,6795,5341,1535,,,,,
25:05.0,00:00.0,100,2,81,66,73,47129,9177,43990,20416,25372,18099,20898,5523,,,,,
25:06.0,00:00.0,100,2,64,70,67,172040,82322,38721,11723,5837,15746,10793,10283,,,,,
25:07.0,00:00.0,100,2,64,74,69,1053786,17294,7355,15366,16363,14388,9143,11383,,,,,
25:08.0,00:00.0,100,2,61,66,63,293970,127737,11520,12146,5152,36018,2580,2538,,,,,
25:09.0,00:00.0,87,4,61,66,63,924627,13117,616,4804,3251,793,466,303,,,,,
25:10.0,00:00.0,100,4,63,54,58,19401,21848,6890,12101,14778,10326,22387,2822,,,,,
25:11.0,00:00.0,100,4,64,50,57,148506,101835,6596,31882,17402,24155,14893,6439,,,,,
25:12.0,00:00.0,100,2,48,38,43,817153,66608,8709,3714,8384,3689,4743,2270,,,,,
25:13.0,00:00.0,100,2,61,41,51,60529,19980,528,12509,6798,40028,5351,2768,,,,,
25:14.0,00:00.0,100,2,63,41,52,1728402,59241,15734,39077,29120,36537,15395,3522,,,,,
25:15.0,00:00.0,100,2,67,50,58,418181,51017,27779,30433,15433,31169,13224,7608,,,,,
25:16.0,00:00.0,100,2,81,48,64,499229,62860,6087,6348,13354,21352,9633,9380,,,,,
25:17.0,00:00.0,100,2,74,54,64,527365,55888,24991,17130,21238,34586,11605,2019,,,,,
25:18.0,00:00.0,100,2,66,64,65,540181,91159,109251,57340,31087,33770,17038,6668,,,,,
25:19.0,00:00.0,100,2,54,57,55,104422,45555,12303,6263,7323,4115,3169,2483,,,,,
25:20.0,00:00.0,100,2,51,74,62,117884,31185,44175,26491,63977,19871,6486,7094,,,,,
25:21.0,00:00.0,100,2,34,66,50,391577,744216,137770,31268,59320,31784,10224,14654,,,,,
25:22.0,00:00.0,100,2,37,61,49,142175,31701,21385,17419,16086,15109,8545,7013,,,,,
25:23.0,00:00.0,100,2,51,60,55,737021,24691,15220,5829,17870,20774,29720,6107,,,,,
25:24.0,00:00.0,100,4,44,61,52,465613,171887,44950,105391,26038,26516,10858,4822,,,,,
25:25.0,00:00.0,100,2,41,61,51,949905,142132,20845,8843,7498,4970,1915,1295,,,,,
25:26.0,00:00.0,100,2,34,53,43,1227761,307619,71403,20882,20508,29309,15454,13904,,,,,
25:27.0,00:00.0,100,2,41,53,47,42828,12924,9798,6845,12498,31402,19869,17701,,,,,
25:28.0,00:00.0,100,2,51,43,47,123647,12370,2577,1847,2076,5355,1410,3652,,,,,
25:29.0,00:00.0,100,2,67,57,62,8343,15121,19045,21236,9818,13498,8603,16490,,,,,
25:30.0,00:00.0,100,2,90,56,73,18957,18951,9220,4493,10923,31087,24948,7028,,,,,
25:31.0,00:00.0,100,2,87,61,74,7347,10739,7057,13734,7961,22637,17897,11692,,,,,
25:32.0,00:00.0,100,2,81,69,75,16635,54110,3538,45991,20238,17332,8543,6065,,,,,
25:33.0,00:00.0,100,2,78,56,67,477222,98077,25190,11357,19524,24342,8718,22644,,,,,
25:34.0,00:00.0,100,2,66,67,66,27601,41243,48257,13996,18716,22128,8360,10249,,,,,
25:35.0,00:00.0,100,2,69,67,68,4868,4080,22577,6808,8690,46301,10030,20454,,,,,
25:36.0,00:00.0,100,2,80,61,70,463815,33465,12135,11262,12057,31755,16669,6664,,,,,
25:37.0,00:00.0,100,2,88,67,77,44343,50087,20727,30254,9553,47891,16261,3583,,,,,
25:38.0,00:00.0,100,1,74,54,64,648831,604416,109401,22426,30465,26297,11049,7337,,,,,
25:39.0,00:00.0,87,1,74,54,64,1027544,34706,14719,11169,16075,12989,1368,2531,,,,,
25:40.0,00:00.0,100,1,70,47,58,14721,20264,4635,9161,12653,32299,12074,6084,,,,,
25:41.0,00:00.0,100,1,57,64,60,22114,5638,9811,6750,1642,2069,3464,710,,,,,
25:42.0,00:00.0,100,2,44,51,47,49524,65985,5428,4501,5600,6897,2917,2619,,,,,
25:43.0,00:00.0,100,1,44,54,49,1031517,18435,2946,2686,1330,723,1045,279,,,,,
25:44.0,00:00.0,100,2,21,61,41,1128542,34797,1153,18057,5607,3174,1206,483,,,,,
25:45.0,00:00.0,100,2,20,47,33,713752,21147,5593,4985,4491,2618,1374,940,,,,,
25:46.0,00:00.0,87,4,20,47,33,257953,12142,1003,685,847,338,163,45,,,,,
25:47.0,00:00.0,100,4,34,63,48,27090,11154,8689,18899,7644,18226,8111,4362,,,,,
25:48.0,00:00.0,100,4,51,60,55,558387,99738,21537,7239,10739,44497,16306,6848,,,,,
25:49.0,00:00.0,100,4,70,50,60,21786,36688,10521,4893,28212,33677,9326,10516,,,,,
25:50.0,00:00.0,100,4,96,47,71,11119,14338,15499,6538,11376,61528,18295,4028,,,,,
25:51.0,00:00.0,100,4,100,38,69,13603,30866,11869,9314,8734,34066,21779,23887,,,,,
25:52.0,00:00.0,100,4,100,37,68,14890,6760,4410,7606,10738,51657,15391,8508,,,,,
25:53.0,00:00.0,100,4,100,47,73,20032,13413,11908,6479,9183,15850,17265,17367,,,,,
25:54.0,00:00.0,100,4,97,47,72,14421,34705,5092,12223,10935,22757,29070,5094,,,,,
25:55.0,00:00.0,100,2,81,41,61,91508,309219,27701,40575,19484,35599,14060,5089,,,,,
25:56.0,00:00.0,100,2,54,38,46,1479562,276091,21616,11212,24181,24542,22052,17630,,,,,
25:57.0,00:00.0,100,2,44,27,35,1195149,115647,10315,14455,16018,19373,9034,3689,,,,,
25:58.0,00:00.0,100,2,21,21,21,209526,144495,14306,5769,3416,3486,6392,1883,,,,,
25:59.0,00:00.0,100,2,29,24,26,97534,10335,3714,1590,3721,4804,4724,2736,,,,,
26:00.0,00:00.0,100,2,41,24,32,90595,19484,2101,1321,3449,7509,3399,1100,,,,,
26:01.0,00:00.0,100,2,56,30,43,413293,21456,3203,18482,3462,44010,7640,7406,,,,,
26:02.0,00:00.0,100,2,83,40,61,9743,13713,7047,12080,19233,24405,12137,4850,,,,,
26:03.0,00:00.0,100,2,84,50,67,14337,9330,5354,49783,33301,24385,10568,10090,,,,,
26:04.0,00:00.0,100,2,93,56,74,11102,23135,1120,17166,14194,48248,15697,15712,,,,,
26:05.0,00:00.0,100,2,75,61,68,107605,62545,33786,11390,11707,9937,4537,3511,,,,,
26:06.0,00:00.0,100,2,56,67,61,1374669,35814,12328,19949,11530,3706,4768,3291,,,,,
26:07.0,00:00.0,100,2,54,64,59,444983,27632,10245,23305,17212,19869,13840,9783,,,,,
26:08.0,00:00.0,100,2,53,74,63,9384,9245,10661,8191,4107,25697,15983,7345,,,,,
26:09.0,00:00.0,100,2,69,66,67,10256,37046,10567,14304,14733,43555,13934,3368,,,,,
26:11.0,00:00.0,100,2,87,57,72,38114,14166,3359,9427,2917,18021,21076,6715,,,,,
26:12.0,00:00.0,100,2,70,47,58,1099428,189878,24042,7749,22878,25072,11591,13899,,,,,
26:13.0,00:00.0,100,2,57,44,50,80706,20005,5222,2316,7086,3837,5182,1493,,,,,
26:14.0,00:00.0,100,2,66,43,54,45922,6698,6956,5661,12017,13683,15978,9248,,,,,
26:15.0,00:00.0,100,2,47,50,48,607366,383795,142304,161226,32795,31822,19288,6560,,,,,
26:16.0,00:00.0,100,2,38,53,45,2119038,107266,12909,11268,6770,5970,3143,1862,,,,,
26:17.0,00:00.0,100,2,50,56,53,12485,19788,9062,10755,15289,25962,11854,12393,,,,,
26:18.0,00:00.0,100,2,47,64,55,190523,10623,12684,26609,10724,24126,20782,11947,,,,,
26:19.0,00:00.0,100,2,60,35,47,846916,229729,1833,7979,12977,56859,24256,6231,,,,,
26:20.0,00:00.0,100,2,53,29,41,1650744,718598,51270,22655,14142,16240,12660,7254,,,,,
26:21.0,00:00.0,100,2,37,34,35,63509,22641,9987,1301,3981,2688,921,545,,,,,
26:22.0,00:00.0,100,2,29,34,31,225513,37028,44684,8536,8947,18105,25436,12347,,,,,
26:23.0,00:00.0,100,2,29,53,41,87599,98798,34396,9273,40220,27668,14390,8638,,,,,
26:24.0,00:00.0,100,1,43,61,52,114338,11735,4090,481,1438,2198,1320,461,,,,,
26:25.0,00:00.0,100,1,56,67,61,9488,14033,30159,9336,13793,24044,8311,9302,,,,,
26:26.0,00:00.0,100,1,66,66,66,13807,9099,7387,21594,15361,26751,29865,14448,,,,,
26:27.0,00:00.0,100,1,83,70,76,8024,7639,6507,33378,12920,69225,17905,5378,,,,,
26:28.0,00:00.0,100,1,75,83,79,119057,227916,128617,123398,26163,22991,13180,7393,,,,,
26:29.0,00:00.0,100,2,64,83,73,574963,36687,23953,7328,3537,8186,6072,1534,,,,,
