'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
12:03.0,00:00.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
12:11.0,00:00.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,12793.16296,11284.24198,7662.230864,3676.264198
12:14.0,00:00.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
12:22.0,00:00.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
12:24.0,00:00.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
12:50.0,00:00.0,87,1,0,0,0,3,0,0,1,0,0,1,0,,,,,
12:51.0,00:00.0,87,1,0,0,0,30,2,1,0,1,1,0,0,,,,,
12:52.0,00:00.0,87,1,0,0,0,534351,474061,149357,57321,59174,11505,13869,36997,,,,,
12:53.0,00:00.0,100,1,0,0,0,108976,51950,28096,19470,4089,16887,10960,2492,,,,,
12:54.0,00:00.0,100,1,0,0,0,79812,85044,38579,7436,8734,18318,3929,6790,,,,,
12:55.0,00:00.0,100,1,0,0,0,34352,82581,67602,33102,17336,6175,2901,1851,,,,,
12:56.0,00:00.0,100,1,35,53,44,5645,9051,53455,9483,8642,3119,1998,6274,,,,,
12:57.0,00:00.0,100,1,44,41,42,271736,36961,16115,7910,27980,8169,8272,3053,,,,,
12:58.0,00:00.0,100,1,53,37,45,608346,197132,66255,65037,24475,39530,40849,24438,,,,,
12:59.0,00:00.0,100,1,61,35,48,1115155,23021,23723,2726,4197,5654,2652,2627,,,,,
13:00.0,00:00.0,100,1,70,14,42,2141021,108502,31814,47788,7284,16724,10045,2663,,,,,
13:01.0,00:00.0,100,1,66,8,37,2969658,642752,55360,73533,43516,71077,25543,19308,,,,,
13:02.0,00:00.0,100,1,69,1,35,163027,58364,2623,11837,6529,9466,10563,1604,,,,,
13:03.0,00:00.0,100,1,63,1,32,90917,23297,5306,3801,2256,2378,2548,553,,,,,
13:04.0,00:00.0,100,1,63,1,32,438958,85586,14631,29336,10452,12588,3706,4297,,,,,
13:05.0,00:00.0,100,2,60,1,30,437767,103105,24524,13782,2184,10127,10731,8471,,,,,
