'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
27:58.0,00:00.0,100,2,61,64,62,37639,13750,20321,32600,4003,17496,6522,3447,,13570.54717,12409.70283,8080.481132,4172.679245
27:59.0,00:00.0,100,2,70,60,65,170155,56325,14865,18814,13234,9469,3509,1082,,,,,
28:00.0,00:00.0,100,2,78,63,70,22375,26242,21466,17706,21875,18438,16050,2336,,,,,
28:01.0,00:00.0,100,2,75,61,68,116731,43437,22232,1341,6035,11137,8408,1829,,,,,
28:02.0,00:00.0,100,2,64,53,58,112714,47950,14939,15929,1869,6652,4054,2389,,,,,
28:03.0,00:00.0,100,2,54,69,61,192055,32846,121877,18198,13870,7709,2267,5129,,,,,
28:04.0,00:00.0,100,2,54,53,53,82819,41712,2775,3501,10589,13610,6264,1821,,,,,
28:05.0,00:00.0,100,2,53,57,55,479950,146044,100295,41910,39013,31028,40339,14320,,,,,
28:06.0,00:00.0,100,2,63,54,58,30438,53409,23517,12624,5889,18696,5964,7419,,,,,
28:07.0,00:00.0,100,2,83,26,54,62166,55291,4643,4006,4814,24442,8077,3493,,,,,
28:08.0,00:00.0,100,2,78,40,59,97132,115670,27983,35789,8367,31012,10569,9477,,,,,
28:09.0,00:00.0,100,2,78,38,58,533345,100747,57628,22128,40894,22183,28769,18684,,,,,
28:10.0,00:00.0,100,2,63,38,50,905916,210514,54970,57555,37632,13952,13029,3227,,,,,
28:11.0,00:00.0,100,3,44,51,47,367324,8089,2915,2098,830,718,227,126,,,,,
28:12.0,00:00.0,100,3,38,51,44,439063,118565,40705,26735,12673,16456,4045,3550,,,,,
28:13.0,00:00.0,100,3,37,43,40,64087,54458,463,13142,5157,7584,5062,1906,,,,,
28:14.0,00:00.0,100,3,41,43,42,87745,81744,35065,17963,18962,9372,10932,1516,,,,,
28:15.0,00:00.0,100,3,41,37,39,139619,22143,4925,1953,4922,1872,1219,1328,,,,,
28:16.0,00:00.0,100,3,44,43,43,10882,12680,13615,16054,15233,5753,7942,9734,,,,,
28:17.0,00:00.0,100,3,41,29,35,81330,116135,3237,3494,13396,9572,3536,1529,,,,,
28:18.0,00:00.0,100,3,47,38,42,13264,40004,63922,12887,10852,11404,4890,999,,,,,
28:19.0,00:00.0,100,3,43,40,41,121555,31017,5844,4934,4837,1860,1763,650,,,,,
28:20.0,00:00.0,100,3,44,37,40,24839,41918,24820,16548,25536,13612,10215,3095,,,,,
28:21.0,00:00.0,100,3,41,56,48,89245,34273,11082,6132,3127,3053,2027,473,,,,,
28:22.0,00:00.0,100,3,41,56,48,34297,17474,24246,28854,17635,6932,2740,1315,,,,,
28:23.0,00:00.0,100,3,41,70,55,156915,49103,36818,31337,4691,5337,4563,1122,,,,,
28:24.0,00:00.0,100,3,30,69,49,171522,128681,37683,30816,11660,12336,2398,2353,,,,,
28:25.0,00:00.0,100,3,40,64,52,140673,54082,18028,6328,18499,10160,4168,2418,,,,,
28:26.0,00:00.0,100,3,38,56,47,22566,42318,17243,21421,25524,7022,3302,2194,,,,,
28:27.0,00:00.0,100,3,47,54,50,14109,37345,43203,13563,4017,9345,5097,1525,,,,,
28:28.0,00:00.0,100,3,51,54,52,30673,40674,21949,3837,9409,7133,5896,3678,,,,,
28:29.0,00:00.0,100,3,51,61,56,29308,31122,19380,4306,2911,7112,2115,2157,,,,,
28:30.0,00:00.0,100,3,56,70,63,94749,11780,40309,10493,15516,8208,5669,10082,,,,,
28:31.0,00:00.0,100,3,63,67,65,9447,10580,4633,23800,15982,8786,4193,2599,,,,,
28:32.0,00:00.0,100,3,53,78,65,148679,43034,39828,59154,19320,5259,7094,4710,,,,,
28:33.0,00:00.0,100,3,44,70,57,253554,78432,16049,7565,4513,5040,2414,2185,,,,,
28:34.0,00:00.0,100,3,37,66,51,131187,18506,10832,6151,3862,2456,2356,629,,,,,
28:35.0,00:00.0,100,3,35,67,51,75130,20251,28848,2233,5968,8409,1694,1705,,,,,
28:36.0,00:00.0,100,3,41,63,52,91227,55623,50062,12128,16318,9449,4939,3683,,,,,
28:37.0,00:00.0,100,3,67,64,65,33171,25420,14531,13356,20352,33218,9134,2506,,,,,
28:38.0,00:00.0,100,3,75,66,70,31838,40828,36897,19424,14700,13169,12912,2821,,,,,
28:39.0,00:00.0,100,3,70,61,65,9985,57475,25574,21822,7290,11304,10442,2670,,,,,
28:40.0,00:00.0,100,3,77,56,66,165643,107533,18918,42923,17198,26521,14708,5154,,,,,
28:41.0,00:00.0,100,3,61,63,62,301074,34400,20815,21522,8977,11135,2775,3141,,,,,
28:42.0,00:00.0,100,3,54,63,58,20940,36899,21835,18427,9764,5519,12303,4288,,,,,
28:43.0,00:00.0,100,3,67,56,61,27616,17180,8536,6598,23748,14247,4839,4223,,,,,
28:44.0,00:00.0,100,3,75,53,64,16901,33945,7816,13554,10942,18405,3870,3526,,,,,
28:45.0,00:00.0,100,3,80,48,64,28742,49633,21461,10033,11283,17856,5124,1597,,,,,
28:46.0,00:00.0,100,3,80,50,65,35100,62536,64391,14716,8667,9416,3452,2597,,,,,
28:47.0,00:00.0,100,3,60,57,58,361310,83162,60159,18448,29295,8109,5124,3190,,,,,
28:48.0,00:00.0,100,3,54,67,60,27888,37346,25805,32895,7890,18331,19661,9611,,,,,
28:49.0,00:00.0,100,3,51,75,63,505315,51050,55881,24669,13176,24650,8328,5066,,,,,
28:50.0,00:00.0,100,3,66,67,66,30525,39722,7151,24680,10436,20226,35545,2692,,,,,
28:51.0,00:00.0,100,3,63,67,65,71022,30904,16003,10121,3594,2166,936,814,,,,,
28:52.0,00:00.0,100,3,48,74,61,28837,34042,74867,16467,21605,5683,3523,3217,,,,,
28:53.0,00:00.0,100,3,56,60,58,25114,39464,9409,6338,9734,18822,4131,3120,,,,,
28:54.0,00:00.0,100,3,41,60,50,1266742,190846,92347,11184,22408,17735,16324,11780,,,,,
28:55.0,00:00.0,100,3,50,51,50,728647,126153,29928,13547,11397,17118,6208,6788,,,,,
28:56.0,00:00.0,100,3,57,50,53,1684,18711,32836,12830,10995,6570,4472,4985,,,,,
28:57.0,00:00.0,100,3,44,53,48,146126,77872,13977,20639,20395,9885,15379,6565,,,,,
28:58.0,00:00.0,100,3,51,47,49,94495,28017,7592,1603,4751,5255,1404,2143,,,,,
28:59.0,00:00.0,100,3,57,48,52,47842,53155,1771,25677,26817,15391,26464,6658,,,,,
29:00.0,00:00.0,100,3,66,44,55,105866,33799,28348,35138,12107,19520,10900,2665,,,,,
29:01.0,00:00.0,100,3,70,40,55,22007,100819,10705,14462,20538,18547,13223,6102,,,,,
29:02.0,00:00.0,100,3,70,41,55,76749,86170,23704,16080,29937,17947,3702,3776,,,,,
29:03.0,00:00.0,100,3,78,44,61,19836,18720,4393,20809,17918,18343,8378,5062,,,,,
29:04.0,00:00.0,100,3,75,24,49,44578,92875,4893,8340,9351,15049,5387,3539,,,,,
29:05.0,00:00.0,100,3,67,17,42,87664,52585,3972,3126,14185,4298,5658,1827,,,,,
29:06.0,00:00.0,100,3,66,23,44,31911,55677,14053,17483,6612,8961,7411,1281,,,,,
29:07.0,00:00.0,100,3,51,11,31,68876,115644,4685,12325,4127,13461,15272,11966,,,,,
29:08.0,00:00.0,100,3,41,16,28,47620,173488,18894,12154,10286,10409,5131,1675,,,,,
29:09.0,00:00.0,100,3,38,27,32,190702,111625,9899,34245,7967,8761,13972,1871,,,,,
29:10.0,00:00.0,100,3,34,30,32,130399,69722,45637,11149,8375,8547,8883,4123,,,,,
29:11.0,00:00.0,100,3,48,38,43,2927,60037,19812,12554,12543,36150,10056,2238,,,,,
29:12.0,00:00.0,100,3,51,57,54,12516,22505,8867,39543,7372,5930,3283,2865,,,,,
29:13.0,00:00.0,100,3,56,61,58,14288,76253,14532,35582,16369,11483,14349,9080,,,,,
29:14.0,00:00.0,100,3,63,53,58,504189,54633,7419,11805,9589,11958,10899,4137,,,,,
29:15.0,00:00.0,100,3,60,63,61,52932,18015,23807,12953,8464,14390,4342,3433,,,,,
29:16.0,00:00.0,100,3,64,53,58,16220,46154,18477,8224,11621,7719,4918,2511,,,,,
29:17.0,00:00.0,100,3,69,51,60,294062,32371,8376,15182,9702,8734,10960,10435,,,,,
29:18.0,00:00.0,100,3,63,64,63,41532,60849,73765,18965,10956,11287,22693,2803,,,,,
29:19.0,00:00.0,100,3,47,47,47,9455,89134,11327,1852,12020,5246,5651,5054,,,,,
29:20.0,00:00.0,100,3,26,40,33,6970,206644,36048,8053,16156,3973,6604,3444,,,,,
29:21.0,00:00.0,100,3,29,40,34,55956,65993,13648,32641,15634,22865,11801,5845,,,,,
29:22.0,00:00.0,100,3,30,29,29,56561,82673,22151,15571,11491,11343,14503,3835,,,,,
29:23.0,00:00.0,100,3,40,48,44,15215,23950,31543,1227,10083,6297,1810,2088,,,,,
29:24.0,00:00.0,100,3,61,63,62,66302,28447,24980,14482,3707,8371,3275,1865,,,,,
29:25.0,00:00.0,100,3,51,81,66,43782,13857,97254,15146,14934,11591,5182,9891,,,,,
29:26.0,00:00.0,100,3,60,88,74,26246,24613,8747,27312,7475,12480,5760,2841,,,,,
29:27.0,00:00.0,100,3,74,77,75,35754,31300,8803,6834,5584,21729,4407,1963,,,,,
29:28.0,00:00.0,100,3,66,74,70,14687,42229,9481,32742,11326,5939,10373,6775,,,,,
29:29.0,00:00.0,100,3,77,53,65,53770,54862,21296,8329,22039,19186,3072,2682,,,,,
29:30.0,00:00.0,100,3,66,50,58,81755,16962,8502,4031,3448,2470,2271,1269,,,,,
29:31.0,00:00.0,100,3,54,53,53,64548,63316,8182,25208,11061,12826,5064,8549,,,,,
29:32.0,00:00.0,100,3,61,50,55,53669,55461,25866,17076,15999,13445,5313,2449,,,,,
29:33.0,00:00.0,100,3,54,53,53,179202,33183,8995,13429,1902,6548,3473,1657,,,,,
29:34.0,00:00.0,100,3,57,41,49,756793,396230,36174,24588,11641,47028,16509,9683,,,,,
29:35.0,00:00.0,100,3,61,34,47,114809,154617,4598,36279,24597,31262,19309,13169,,,,,
29:36.0,00:00.0,100,3,54,27,40,340555,115180,23327,19046,28633,12602,7812,2125,,,,,
29:37.0,00:00.0,100,3,66,24,45,12115,33876,8928,8408,6642,15959,8524,2688,,,,,
29:38.0,00:00.0,100,3,81,29,55,151234,6788,1364,2721,3413,5544,2130,1446,,,,,
29:39.0,00:00.0,100,3,84,38,61,29045,30665,9664,11997,4056,12684,6786,2344,,,,,
29:40.0,00:00.0,100,3,94,41,67,28310,32142,9836,12549,5360,12212,13290,6679,,,,,
29:41.0,00:00.0,100,3,93,35,64,4578,46565,7375,3559,10401,16564,6471,5094,,,,,
29:42.0,00:00.0,100,3,77,44,60,210831,41327,21411,16691,7058,6948,8436,4826,,,,,
29:43.0,00:00.0,100,3,64,51,57,72761,24987,6785,30851,12505,5696,7147,2592,,,,,
29:44.0,00:00.0,100,3,67,57,62,29311,16879,29080,5816,3786,13997,8599,3607,,,,,
29:45.0,00:00.0,100,3,61,63,62,17282,59147,13400,8390,12805,12043,9604,6190,,,,,
29:46.0,00:00.0,100,3,66,56,61,478724,156860,54209,6800,15205,32424,14873,8451,,,,,
29:47.0,00:00.0,100,3,81,51,66,56359,22063,19732,17504,21118,20937,5557,5353,,,,,
29:48.0,00:00.0,100,3,77,43,60,33723,18180,10052,15116,34155,7646,13044,3035,,,,,
29:49.0,00:00.0,100,3,77,51,64,47336,16569,10725,11096,10612,5785,3574,2645,,,,,
29:50.0,00:00.0,100,3,60,41,50,230986,131135,12314,2173,6428,3920,4906,2693,,,,,
29:51.0,00:00.0,100,3,53,41,47,89307,8451,7132,3774,4215,3737,2862,675,,,,,
29:52.0,00:00.0,100,3,53,48,50,63767,54532,48482,24585,8587,22335,7915,4232,,,,,
29:53.0,00:00.0,100,3,54,50,52,35015,31884,22454,20813,12910,15059,10395,2877,,,,,
29:54.0,00:00.0,100,3,74,63,68,39566,27125,23102,3517,19119,8715,8665,1891,,,,,
29:55.0,00:00.0,100,3,67,57,62,12875,70216,17032,11800,7267,11811,5128,3051,,,,,
29:56.0,00:00.0,100,3,64,54,59,28311,90485,63050,9332,10499,16856,8167,2513,,,,,
29:57.0,00:00.0,100,3,60,50,55,40440,123708,39203,15259,8164,19947,7028,3210,,,,,
29:58.0,00:00.0,100,3,43,50,46,118908,55742,18953,15569,8483,3113,2070,2508,,,,,
29:59.0,00:00.0,100,3,44,56,50,29107,31547,26585,21625,19178,10773,7592,3263,,,,,
30:00.0,00:00.0,100,3,51,56,53,72290,12680,8227,16389,20047,9150,11954,4101,,,,,
30:01.0,00:00.0,100,3,63,60,61,13961,9751,9949,10514,15687,11007,7892,6946,,,,,
30:02.0,00:00.0,100,3,77,70,73,11956,19865,52175,14809,6729,11033,3947,2698,,,,,
30:03.0,00:00.0,100,3,77,69,73,90381,8160,7948,2020,5034,2673,5665,3142,,,,,
30:04.0,00:00.0,100,3,70,81,75,2818,34473,110900,16841,14542,19940,14515,2200,,,,,
30:05.0,00:00.0,100,3,61,84,72,19916,48058,18936,38970,13472,12681,4359,1912,,,,,
30:06.0,00:00.0,100,3,64,78,71,18338,28378,25831,11233,3543,12071,4624,4356,,,,,
30:07.0,00:00.0,100,3,57,83,70,12201,24107,33981,18320,19811,6982,5360,2369,,,,,
