'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:59.0,00:00.0,100,2,54,51,52,964853,162220,21960,8806,28332,5182,3316,4030,,11445.54515,7929.462555,4872.78304,2450.678414
01:00.0,00:00.0,100,1,54,53,53,143992,49131,7710,8346,3248,3611,1298,1442,,,,,
01:01.0,00:00.0,100,1,66,74,70,361290,27607,28165,36287,16416,9917,6236,3170,,,,,
01:02.0,00:00.0,100,1,57,64,60,58254,26307,8163,5959,10061,11024,6490,2104,,,,,
01:03.0,00:00.0,100,1,64,77,70,498755,106355,22445,49321,14942,10227,3434,1740,,,,,
01:04.0,00:00.0,100,1,60,77,68,103064,69403,9603,14174,9241,3258,2498,1049,,,,,
01:05.0,00:00.0,100,1,51,53,52,559427,230916,4746,37193,24611,10489,17932,7189,,,,,
01:06.0,00:00.0,100,1,47,53,50,109857,44676,13917,4644,17606,11085,3868,1113,,,,,
01:07.0,00:00.0,100,1,47,50,48,573780,17220,6147,1033,3026,1401,479,625,,,,,
01:08.0,00:00.0,100,1,51,38,44,639487,188000,16643,5140,11242,12535,5872,2757,,,,,
01:09.0,00:00.0,100,1,66,50,58,307510,100887,48370,10441,14981,30659,6407,4235,,,,,
01:10.0,00:00.0,100,1,66,44,55,98208,72814,11897,5688,10889,14908,7395,3345,,,,,
01:11.0,00:00.0,100,1,87,48,67,14757,5071,1182,6862,4566,6660,3774,2058,,,,,
01:12.0,00:00.0,100,1,94,61,77,11952,21575,9924,4568,10964,5347,4107,1065,,,,,
01:13.0,00:00.0,100,2,77,57,67,562508,66150,11022,9996,4668,2174,2475,330,,,,,
01:14.0,00:00.0,100,2,84,78,81,131222,5365,10874,24746,5410,18935,5968,5200,,,,,
01:15.0,00:00.0,100,2,77,75,76,6472,21601,5408,9127,8904,7402,5158,1075,,,,,
01:16.0,00:00.0,100,2,77,66,71,36236,55681,6681,6247,15185,10866,7781,4006,,,,,
01:17.0,00:00.0,100,2,94,75,84,905031,38328,10477,43363,25684,20262,11171,4532,,,,,
01:18.0,00:00.0,100,2,88,67,77,149941,5988,150,6464,1128,2358,1443,1281,,,,,
01:19.0,00:00.0,100,2,84,66,75,195328,22055,1572,14131,18438,5666,4227,5286,,,,,
01:20.0,00:00.0,100,2,87,84,85,31419,21755,15407,25591,19046,11373,3535,1798,,,,,
01:21.0,00:00.0,100,2,84,83,83,24124,18320,4542,13566,5511,5868,4047,2462,,,,,
01:22.0,00:00.0,100,2,81,69,75,141711,52784,10238,3755,13388,11018,8978,3252,,,,,
01:23.0,00:00.0,100,2,74,61,67,947690,159092,17119,12891,15687,10473,9893,2934,,,,,
01:24.0,00:00.0,100,2,69,51,60,404821,43499,10927,8318,8245,7532,2789,1688,,,,,
01:25.0,00:00.0,100,2,67,48,57,29587,41642,22342,10571,32174,10815,3886,1600,,,,,
01:26.0,00:00.0,100,2,67,57,62,16404,27268,12625,6357,12654,7265,4685,2593,,,,,
01:27.0,00:00.0,100,2,74,70,72,5959,26813,12971,20512,25694,6223,3260,2297,,,,,
01:28.0,00:00.0,100,2,63,70,66,29181,88930,23061,13169,13570,4087,5672,3688,,,,,
01:29.0,00:00.0,100,2,66,67,66,18260,26564,1951,10732,2945,8509,2037,1339,,,,,
01:30.0,00:00.0,100,2,63,60,61,86280,9747,1288,1076,3231,1056,884,485,,,,,
01:31.0,00:00.0,100,2,61,60,60,61681,67989,38704,13093,10080,11826,1774,1869,,,,,
01:32.0,00:00.0,100,1,63,61,62,188776,93299,33796,14496,22223,4675,3537,2465,,,,,
01:33.0,00:00.0,100,1,54,66,60,24210,57710,49343,3586,14132,10988,6278,2744,,,,,
01:34.0,00:00.0,100,1,56,77,66,128423,10498,2264,3990,2255,2111,667,327,,,,,
01:35.0,00:00.0,100,1,60,75,67,8995,26698,13744,5726,3839,5788,6989,2431,,,,,
01:36.0,00:00.0,100,1,64,80,72,19874,22458,14566,2416,5178,2671,5987,3036,,,,,
01:37.0,00:00.0,100,1,56,70,63,72922,79881,14493,6339,5407,4028,1504,956,,,,,
01:38.0,00:00.0,100,1,54,67,60,126523,75806,16303,13992,12342,8426,2629,2951,,,,,
01:39.0,00:00.0,100,1,51,74,62,80909,21518,8798,21893,9061,4219,6772,2212,,,,,
01:40.0,00:00.0,100,1,61,81,71,11934,6726,26774,2436,9910,8080,2111,2432,,,,,
01:41.0,00:00.0,100,1,69,93,81,23536,18025,5082,14301,6141,3814,5925,1680,,,,,
01:42.0,00:00.0,100,1,70,84,77,167559,212501,27219,15024,40744,24690,7363,4118,,,,,
01:43.0,00:00.0,100,1,63,69,66,1115809,60252,8279,6731,6075,3195,1690,650,,,,,
