'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
17:38.0,00:00.0,100,2,38,34,36,6798,27597,23558,12410,10887,5084,2027,1435,,13679.30784,8944.405882,5830.939216,2753.943137
17:40.0,00:00.0,100,2,21,41,31,393576,46382,15824,6218,13464,1309,1730,597,,,,,
17:40.0,00:00.0,100,2,40,53,46,51647,9982,8793,4671,9830,5743,3789,2145,,,,,
17:41.0,00:00.0,100,2,50,54,52,28213,22208,17853,6215,23606,13805,12113,5765,,,,,
17:42.0,00:00.0,100,2,60,53,56,13863,14521,6511,9999,5320,7662,3665,5774,,,,,
17:43.0,00:00.0,100,2,78,60,69,19877,19308,10293,18856,13083,8189,7770,9494,,,,,
17:44.0,00:00.0,100,2,74,56,65,4255,30646,6565,10382,10291,6263,5449,817,,,,,
17:45.0,00:00.0,100,2,75,56,65,77883,12942,3985,4546,3436,7348,4984,2699,,,,,
17:47.0,00:00.0,100,2,69,50,59,9831,22622,6685,5074,5319,5514,4710,3824,,,,,
17:47.0,00:00.0,100,2,57,51,54,36751,69483,31046,42367,7499,5635,5942,1959,,,,,
17:48.0,00:00.0,100,2,57,51,54,972886,38793,21179,4570,15011,9448,10778,2382,,,,,
17:49.0,00:00.0,100,2,56,53,54,23000,18911,10867,7575,12244,9477,2496,3455,,,,,
17:50.0,00:00.0,100,2,50,44,47,674076,109336,5163,11882,11685,8831,18093,2072,,,,,
17:51.0,00:00.0,100,2,61,40,50,6481,22121,8192,7565,9457,6750,2750,1127,,,,,
17:52.0,00:00.0,100,2,56,38,47,111872,14265,2039,5893,6689,1635,1560,390,,,,,
17:53.0,00:00.0,100,2,51,34,42,19850,22955,7068,5274,16717,5517,4695,2363,,,,,
17:54.0,00:00.0,100,2,54,51,52,41868,15957,9855,15788,2724,4220,6529,901,,,,,
17:55.0,00:00.0,100,2,41,63,52,8516,21947,62663,6355,30568,2860,4120,1641,,,,,
17:56.0,00:00.0,100,2,43,75,59,7860,6804,13727,10559,7836,3002,1353,1904,,,,,
17:57.0,00:00.0,100,2,40,75,57,47450,58266,12998,15521,37996,7869,3401,2423,,,,,
17:58.0,00:00.0,100,2,20,54,37,80856,314707,22300,15756,5581,3430,3025,2606,,,,,
17:59.0,00:00.0,100,2,34,34,34,19806,29703,431,5476,5958,5624,2145,1684,,,,,
18:00.0,00:00.0,100,2,38,23,30,32012,24238,8437,12669,15352,7354,4339,1221,,,,,
18:01.0,00:00.0,100,2,34,24,29,87622,37189,10405,3509,5200,2882,2335,1446,,,,,
18:03.0,00:00.0,100,2,44,27,35,68141,53272,4157,8903,6007,3004,2207,1020,,,,,
18:03.0,00:00.0,100,2,44,48,46,49711,7981,24937,18580,23741,7319,1983,1658,,,,,
18:04.0,00:00.0,100,2,44,54,49,6562,6829,11388,15505,17592,5687,4202,1570,,,,,
18:05.0,00:00.0,100,2,38,37,37,424761,323408,1489,12423,18510,10077,8313,4854,,,,,
18:06.0,00:00.0,100,2,48,44,46,106340,38514,18173,8250,7894,8688,4101,5030,,,,,
18:07.0,00:00.0,100,2,50,40,45,32758,13818,6488,10720,9328,5999,4664,963,,,,,
18:08.0,00:00.0,100,2,50,21,35,27680,55707,7202,1249,7409,11116,7255,2883,,,,,
18:09.0,00:00.0,100,2,67,44,55,23804,23009,10143,7724,8048,8486,6642,3079,,,,,
18:10.0,00:00.0,100,2,74,37,55,31953,16448,1680,8881,26947,6492,2934,1519,,,,,
18:12.0,00:00.0,100,2,77,41,59,13344,10081,8301,13201,5127,8743,8020,2570,,,,,
18:12.0,00:00.0,100,2,81,54,67,29906,14321,13896,5534,7975,10533,3923,1777,,,,,
18:13.0,00:00.0,100,2,74,50,62,13382,40633,5825,9476,15005,5185,7800,2125,,,,,
18:14.0,00:00.0,100,2,78,56,67,4305,22327,23993,7274,32692,22202,5994,4582,,,,,
18:15.0,00:00.0,100,2,69,56,62,4390,18033,8192,23152,8946,4842,3189,3182,,,,,
18:16.0,00:00.0,100,2,75,47,61,12957,14577,2851,3951,17725,12571,4274,4015,,,,,
18:17.0,00:00.0,100,2,74,50,62,43838,45093,20936,4400,11418,5304,2655,1905,,,,,
18:19.0,00:00.0,100,2,77,37,57,12209,34188,3095,4386,20671,23966,9701,3050,,,,,
18:20.0,00:00.0,100,2,78,35,56,1705,13973,15276,8955,10300,5064,9008,3502,,,,,
18:20.0,00:00.0,100,2,63,35,49,113504,79414,3394,13539,10060,9974,2539,1495,,,,,
18:21.0,00:00.0,100,2,70,47,58,11559,5665,5555,21437,6942,6265,4308,2045,,,,,
18:22.0,00:00.0,100,2,51,54,52,43776,45708,7115,4664,3382,3262,941,690,,,,,
18:23.0,00:00.0,100,2,44,48,46,39695,38037,5117,11569,10409,3080,3262,1576,,,,,
18:24.0,00:00.0,100,2,38,48,43,46353,101051,9176,13908,11702,6122,7053,1265,,,,,
18:25.0,00:00.0,100,2,17,23,20,603762,455279,36195,10411,9224,8699,7363,3399,,,,,
18:26.0,00:00.0,100,2,23,27,25,1743563,214841,56753,55700,28574,30464,27004,26117,,,,,
18:27.0,00:00.0,100,2,24,35,29,631465,169229,14605,156930,45807,21761,42895,9443,,,,,
18:28.0,00:00.0,100,2,34,50,42,44694,27368,16197,20702,6237,8607,4564,2478,,,,,
18:29.0,00:00.0,100,2,60,63,61,8819,12840,3640,9592,6390,11124,6022,3326,,,,,
18:30.0,00:00.0,100,2,70,64,67,67702,9511,1637,14652,12837,10922,5776,1895,,,,,
18:31.0,00:00.0,100,2,91,56,73,12864,5467,5569,6529,16262,11654,2796,1641,,,,,
18:32.0,00:00.0,100,2,83,48,65,247417,151834,22692,31957,4447,11058,7320,2530,,,,,
18:33.0,00:00.0,100,2,78,50,64,17471,18890,10768,18849,28977,10697,4299,2708,,,,,
18:34.0,00:00.0,100,2,67,56,61,1178,7602,9086,10786,9578,3583,2110,419,,,,,
18:35.0,00:00.0,100,2,54,60,57,11890,13582,12285,10144,20626,4307,5935,4821,,,,,
18:36.0,00:00.0,100,2,57,54,55,16235,37237,2601,4823,4187,3404,7078,1425,,,,,
18:37.0,00:00.0,100,2,51,61,56,38152,32987,40845,10982,6714,7422,3433,1622,,,,,
18:38.0,00:00.0,100,2,51,57,54,229723,26107,37676,14280,42423,12190,3314,3272,,,,,
18:39.0,00:00.0,100,2,57,56,56,572757,43342,9302,17916,11336,16960,5355,913,,,,,
18:40.0,00:00.0,100,2,67,63,65,21641,30817,12109,3595,3602,14023,4860,2890,,,,,
18:41.0,00:00.0,100,2,77,56,66,48291,18100,9277,9785,3607,9745,4050,604,,,,,
18:42.0,00:00.0,100,2,75,54,64,12060,23239,7495,10685,4144,5063,2214,1652,,,,,
18:44.0,00:00.0,100,2,70,64,67,6572,6209,14476,10515,9494,5703,3021,942,,,,,
18:44.0,00:00.0,100,2,61,67,64,84254,101784,14042,58656,21491,15324,2696,2545,,,,,
18:45.0,00:00.0,100,2,66,54,60,49289,31702,2729,5365,6806,15484,4435,1907,,,,,
18:46.0,00:00.0,100,2,69,54,61,21272,12428,9372,5650,12868,4244,2366,752,,,,,
18:47.0,00:00.0,100,2,77,44,60,11876,15283,12059,3524,10111,12722,4342,1136,,,,,
