'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
00:57.0,00:00.0,100,2,56,43,49,682533,13973,787,1387,6395,4019,2186,498,,23548.98753,22342.69955,15015.18141,7530.393424
00:58.0,00:00.0,100,2,54,38,46,154021,76032,17702,4049,8282,12240,3081,2436,,,,,
00:59.0,00:00.0,100,2,48,20,34,433212,119097,10242,4906,7512,6513,8681,3311,,,,,
01:00.0,00:00.0,100,2,53,21,37,281061,138529,5781,38545,28001,44838,31498,17935,,,,,
01:01.0,00:00.0,100,2,40,34,37,489505,59741,15143,4460,4441,3928,3990,2540,,,,,
01:02.0,00:00.0,100,2,43,48,45,31419,19487,31097,14428,18570,12395,6957,3200,,,,,
01:03.0,00:00.0,100,2,63,64,63,120722,28032,16445,12312,13418,19877,16773,2692,,,,,
01:04.0,00:00.0,100,2,60,67,63,439756,99342,25044,15600,17139,25717,10704,4517,,,,,
01:05.0,00:00.0,100,2,74,75,74,42858,56615,17249,32900,18026,24418,6392,4250,,,,,
01:06.0,00:00.0,100,2,81,60,70,453603,48650,14958,12863,17580,40947,6402,7161,,,,,
01:07.0,00:00.0,100,2,67,63,65,174880,48555,24546,17914,10612,7185,2317,3091,,,,,
01:08.0,00:00.0,100,2,66,60,63,198234,38406,7055,3212,6134,7014,5963,4338,,,,,
01:09.0,00:00.0,100,2,54,57,55,127981,265838,95600,53393,37109,24857,30215,16310,,,,,
01:10.0,00:00.0,100,2,51,67,59,32805,16765,9252,30145,29296,15458,18230,4355,,,,,
01:11.0,00:00.0,100,2,63,70,66,19344,14203,12259,22753,15274,16169,15255,3708,,,,,
01:12.0,00:00.0,100,2,48,53,50,609802,410407,11031,2089,10972,10896,9150,10273,,,,,
01:13.0,00:00.0,100,2,56,53,54,1529625,156876,96491,25916,94168,47604,69577,20927,,,,,
01:14.0,00:00.0,100,2,43,43,43,2771452,96034,9918,14317,14588,8922,10481,3136,,,,,
01:15.0,00:00.0,100,2,30,34,32,561810,226738,40370,26280,10146,22998,9337,7511,,,,,
01:16.0,00:00.0,100,2,40,60,50,664544,38174,5811,12773,6073,3678,3200,2372,,,,,
01:17.0,00:00.0,100,2,35,57,46,247935,26451,6315,5535,5982,3637,2897,654,,,,,
01:18.0,00:00.0,100,2,40,69,54,49076,25883,12039,11836,1467,5994,11163,2770,,,,,
01:19.0,00:00.0,100,2,30,66,48,257501,139358,10365,17836,14561,6316,11400,2247,,,,,
01:20.0,00:00.0,100,2,37,51,44,228478,72672,7298,1846,2741,8247,1620,1389,,,,,
01:21.0,00:00.0,100,2,43,53,48,28232,43115,19289,6634,7597,13924,17055,4276,,,,,
01:22.0,00:00.0,100,2,43,51,47,1808971,32816,17736,11585,17969,7757,12464,7183,,,,,
01:23.0,00:00.0,100,2,61,57,59,234883,128147,43174,26354,8959,51678,15641,4011,,,,,
01:24.0,00:00.0,100,2,66,70,68,1018838,31881,9161,6735,5905,9881,9161,1761,,,,,
01:25.0,00:00.0,100,2,56,64,60,82148,27255,6239,1051,3384,2206,2021,309,,,,,
01:26.0,00:00.0,100,2,63,70,66,38076,37691,55607,26889,15083,30929,23641,5294,,,,,
01:27.0,00:00.0,100,2,57,57,57,421443,278524,7315,27987,33465,47409,13581,10503,,,,,
01:28.0,00:00.0,100,2,64,56,60,521018,35182,7095,19385,21770,30719,15390,6139,,,,,
01:29.0,00:00.0,100,2,60,67,63,107023,117162,64320,36086,28178,7801,6706,7551,,,,,
01:30.0,00:00.0,100,2,51,57,54,106878,75602,22364,5935,1460,9691,9292,3114,,,,,
01:31.0,00:00.0,100,2,61,67,64,104591,9078,6352,3328,14410,8232,8838,967,,,,,
01:32.0,00:00.0,100,2,40,69,54,621873,140799,22455,33498,14625,8261,11647,4680,,,,,
01:33.0,00:00.0,100,2,64,64,64,56630,17323,18757,10558,23265,26203,17843,4250,,,,,
