'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
17:40.0,00:00.0,100,2,53,70,61,796150,922283,86442,78562,47217,30253,40247,9582,,24845.74172,20090.01545,11873.10155,6426.419426
17:40.0,00:00.0,100,2,53,57,55,1277436,280900,56732,46077,21936,59489,27235,49108,,,,,
17:41.0,00:00.0,100,2,27,61,44,966092,300765,185724,116358,112518,21916,19411,5826,,,,,
17:42.0,00:00.0,100,2,26,74,50,54254,68029,5794,79533,12519,8904,18454,9431,,,,,
17:43.0,00:00.0,100,2,35,74,54,107554,191735,20796,18436,18775,15803,20023,5706,,,,,
17:44.0,00:00.0,100,2,34,69,51,104319,104303,21596,4418,9471,16871,7831,7488,,,,,
17:45.0,00:00.0,100,2,64,69,66,13172,2292,16534,8877,7249,25646,6181,2284,,,,,
17:46.0,00:00.0,100,2,67,60,63,623901,226426,4728,114676,53865,30661,13747,8924,,,,,
17:47.0,00:00.0,100,2,77,81,79,35690,17303,21544,36501,10048,12560,3118,3662,,,,,
17:48.0,00:00.0,100,2,63,91,77,288998,36645,15459,4357,3007,1850,572,311,,,,,
17:49.0,00:00.0,100,2,35,78,56,170764,166888,11996,31969,38624,8835,9211,2670,,,,,
17:50.0,00:00.0,100,2,43,75,59,33667,38745,9478,9891,17599,12903,10565,2964,,,,,
17:51.0,00:00.0,100,2,29,56,42,119563,31028,7525,2313,7306,1604,2161,559,,,,,
17:52.0,00:00.0,100,2,40,50,45,153123,129239,3666,33980,22726,16344,9983,4002,,,,,
17:53.0,00:00.0,100,2,40,50,45,57691,45283,7202,2873,3439,2286,1149,1053,,,,,
17:54.0,00:00.0,100,2,38,64,51,60268,22437,29362,20038,9442,12866,20075,8277,,,,,
17:55.0,00:00.0,100,2,40,64,52,158419,168481,13898,38025,14493,10643,15235,2612,,,,,
17:56.0,00:00.0,100,2,43,66,54,1224397,579593,96428,118463,123022,116329,43542,16831,,,,,
17:57.0,00:00.0,100,2,61,81,71,98824,33940,62091,18370,29567,28898,10821,2359,,,,,
17:58.0,00:00.0,100,2,56,70,63,2113328,110243,23189,51079,56990,20431,13090,2243,,,,,
17:59.0,00:00.0,100,2,66,75,70,465682,73820,29494,18916,17347,16433,7695,4445,,,,,
18:00.0,00:00.0,100,2,61,81,71,628203,28082,10968,5867,3677,3668,691,394,,,,,
18:01.0,00:00.0,100,2,44,69,56,39333,23328,3968,3002,3651,1364,777,351,,,,,
18:02.0,00:00.0,100,2,37,43,40,361950,165332,743,1185,14835,7665,6622,1637,,,,,
18:03.0,00:00.0,100,2,14,41,27,1066158,258305,71738,16328,45756,4598,9747,6743,,,,,
18:04.0,00:00.0,100,2,13,41,27,1039859,185957,42321,45242,13211,24444,9859,11344,,,,,
18:05.0,00:00.0,100,2,16,41,28,1172355,265083,11640,44871,57925,18191,7982,4911,,,,,
18:06.0,00:00.0,100,2,13,67,40,568409,73502,17973,7501,2917,3026,1430,1543,,,,,
18:07.0,00:00.0,100,2,27,70,48,96936,32946,17072,3391,6767,3837,3909,5206,,,,,
18:08.0,00:00.0,100,2,24,66,45,448700,71747,9178,5912,4532,4661,4736,2957,,,,,
18:09.0,00:00.0,100,2,27,63,45,876399,123584,6647,8540,2394,12187,21016,3297,,,,,
18:10.0,00:00.0,100,2,40,70,55,1038573,52902,78257,5190,26895,14953,17429,20247,,,,,
18:11.0,00:00.0,100,2,47,74,60,1171042,62763,24349,29917,12302,16921,11669,6553,,,,,
18:12.0,00:00.0,100,1,56,80,68,54876,17496,8802,3383,5251,5259,1487,651,,,,,
18:13.0,00:00.0,100,2,53,90,71,748602,63511,6338,19997,1648,5044,2395,1431,,,,,
18:14.0,00:00.0,100,2,53,78,65,149445,30156,5343,3247,4292,3663,2462,1891,,,,,
18:15.0,00:00.0,100,2,69,67,68,155448,33183,2742,8684,8039,37901,6699,6494,,,,,
18:16.0,00:00.0,100,2,67,60,63,749442,328063,35024,52400,83773,56025,31096,3895,,,,,
18:17.0,00:00.0,100,2,75,61,68,153210,19134,4084,6317,2996,3729,5983,1216,,,,,
18:18.0,00:00.0,100,2,70,61,65,171451,78088,9935,10135,3856,6604,2803,4457,,,,,
18:19.0,00:00.0,100,2,54,74,64,735652,78219,72738,25066,40231,25912,17865,23653,,,,,
18:20.0,00:00.0,100,2,43,74,58,870061,128438,4879,21001,16453,5858,2791,3471,,,,,
18:21.0,00:00.0,100,2,40,69,54,462452,297436,58853,49073,27967,38514,6776,2766,,,,,
