'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
44:35.0,00:00.0,100,2,43,35,39,61605,63894,41093,23180,32156,7146,1937,2931,,14206.06942,11562.08419,6377.903988,2910.410635
44:35.0,00:00.0,100,2,67,34,50,255519,62885,16046,14625,10993,28308,10428,4485,,,,,
44:36.0,00:00.0,100,2,70,40,55,90171,59883,9196,28580,20278,7660,5223,1120,,,,,
44:37.0,00:00.0,100,2,84,56,70,40482,24774,12440,18999,2969,12136,3229,1444,,,,,
44:38.0,00:00.0,100,2,100,50,75,428869,9213,871,11596,16821,12843,2747,2092,,,,,
44:39.0,00:00.0,100,2,81,37,59,240977,268243,9976,14147,12265,8745,3836,6943,,,,,
44:40.0,00:00.0,100,2,74,26,50,1116878,242704,21948,19996,3363,11980,3582,2911,,,,,
44:41.0,00:00.0,100,2,57,14,35,61092,71456,4967,17259,6236,4667,5940,1460,,,,,
44:42.0,00:00.0,100,2,40,13,26,313271,54656,12350,10156,8031,7463,4726,2380,,,,,
44:43.0,00:00.0,100,2,53,27,40,2569482,112334,28718,23263,17873,22490,8682,1867,,,,,
44:44.0,00:00.0,100,2,57,40,48,1660447,253722,121361,71180,42285,32209,49065,13523,,,,,
44:45.0,00:00.0,100,2,56,38,47,755028,175093,13227,24724,6030,8554,7943,5556,,,,,
44:46.0,00:00.0,100,2,48,35,41,751904,673099,145162,27891,52142,28769,21134,6586,,,,,
44:47.0,00:00.0,100,2,43,43,43,441725,161448,67600,65990,20792,24630,12503,5774,,,,,
44:48.0,00:00.0,100,2,57,41,49,76463,52837,33262,10178,14517,31609,6253,5557,,,,,
44:49.0,00:00.0,100,2,64,35,49,131097,57295,3357,5089,2618,5887,2082,806,,,,,
44:50.0,00:00.0,100,2,70,37,53,97251,39685,3921,9600,7251,4172,1305,308,,,,,
44:51.0,00:00.0,100,2,66,26,46,431818,187512,41838,10996,17332,10812,3154,2625,,,,,
44:52.0,00:00.0,100,2,51,26,38,92436,81320,21155,25046,23518,7908,3101,4442,,,,,
44:53.0,00:00.0,100,2,54,38,46,109474,8231,3488,2864,4606,1794,1310,712,,,,,
44:54.0,00:00.0,100,2,54,34,44,50598,89815,5774,16261,24429,10009,2573,2401,,,,,
44:55.0,00:00.0,100,2,57,48,52,997437,47923,52666,35357,22865,9081,4459,2729,,,,,
44:56.0,00:00.0,100,2,57,48,52,88911,62063,25662,8239,20974,6082,3188,1565,,,,,
44:57.0,00:00.0,100,2,64,50,57,107177,5478,5561,3087,9608,3651,729,448,,,,,
44:58.0,00:00.0,100,2,70,64,67,99890,27245,45305,20601,55705,15197,3026,4353,,,,,
44:59.0,00:00.0,100,2,64,63,63,60150,63621,52512,9725,6244,4066,3391,1750,,,,,
45:00.0,00:00.0,100,2,61,60,60,87899,90957,14439,19323,9931,6258,3918,2083,,,,,
45:01.0,00:00.0,100,2,51,67,59,8119,43139,18238,47845,10063,8694,5297,1313,,,,,
45:02.0,00:00.0,100,2,47,69,58,22484,35815,49516,3610,12343,7721,2004,1476,,,,,
45:03.0,00:00.0,100,2,54,70,62,25128,33941,49977,5881,8943,7559,4151,1025,,,,,
45:04.0,00:00.0,100,2,67,78,72,19224,24237,1437,24473,8158,8895,2929,1635,,,,,
45:05.0,00:00.0,100,2,63,60,61,119404,193165,21213,13374,24782,10813,4706,1551,,,,,
45:06.0,00:00.0,100,2,64,64,64,11121,31920,48099,35570,14400,13699,2517,1810,,,,,
45:07.0,00:00.0,100,2,57,50,53,220931,49923,7189,7438,3554,3002,3378,3921,,,,,
45:08.0,00:00.0,100,2,61,53,57,835761,35540,36621,27318,24027,27557,23826,12770,,,,,
45:09.0,00:00.0,100,2,57,63,60,116587,22084,6714,4023,2499,1137,1554,2489,,,,,
45:10.0,00:00.0,100,2,53,48,50,1139185,445197,110594,77347,13909,43341,27960,16127,,,,,
45:11.0,00:00.0,100,2,57,50,53,130582,129812,43979,5084,10282,12752,8982,10727,,,,,
45:12.0,00:00.0,100,2,50,23,36,533044,138233,3551,6917,32418,19280,12125,23855,,,,,
45:13.0,00:00.0,100,2,63,27,45,104353,17254,7269,8145,2652,3710,4494,3607,,,,,
45:14.0,00:00.0,100,2,74,34,54,2019978,13845,9492,2932,3706,4987,1921,1560,,,,,
45:15.0,00:00.0,100,2,88,44,66,150089,10913,34051,7652,11522,19125,7364,2555,,,,,
45:16.0,00:00.0,100,2,81,50,65,613498,133323,9429,8845,41068,9822,7136,6579,,,,,
45:17.0,00:00.0,100,1,78,44,61,644186,264985,39420,86307,15176,28818,7679,9033,,,,,
45:18.0,00:00.0,100,2,57,30,43,85237,17964,886,1777,888,416,435,240,,,,,
45:19.0,00:00.0,100,2,51,24,37,979456,119637,61332,43884,19676,44376,32460,8184,,,,,
45:20.0,00:00.0,100,2,60,30,45,1565786,368878,37974,54235,57905,66464,25236,9390,,,,,
45:21.0,00:00.0,100,1,60,26,43,264770,452338,46665,106494,27401,50221,68869,13937,,,,,
45:22.0,00:00.0,100,1,70,24,47,1030061,88433,2489,9323,3300,7667,3643,1418,,,,,
45:23.0,00:00.0,100,1,69,34,51,20071,18268,42428,8436,11919,11685,3430,4350,,,,,
45:24.0,00:00.0,100,1,53,37,45,9965,125246,23661,15069,18773,4367,7352,7572,,,,,
45:25.0,00:00.0,100,1,61,48,54,8193,16064,8926,18473,4465,8227,6364,1793,,,,,
45:26.0,00:00.0,100,1,75,63,69,17196,17362,24193,1399,20824,13221,4387,2191,,,,,
45:27.0,00:00.0,100,1,75,64,69,33836,34510,46981,38321,4050,21319,6917,1338,,,,,
45:28.0,00:00.0,100,1,90,84,87,38644,20123,31703,23595,2878,9070,7932,1567,,,,,
45:29.0,00:00.0,100,1,83,78,80,29418,74977,20105,25635,6895,12812,4200,3071,,,,,
45:30.0,00:00.0,100,1,61,69,65,288001,79400,13446,5628,10734,3165,3643,573,,,,,
45:31.0,00:00.0,100,1,63,54,58,5235,30580,1888,15523,14983,8510,5312,3156,,,,,
45:32.0,00:00.0,100,1,54,50,52,11019,52130,42175,24756,10364,5397,10291,2308,,,,,
45:33.0,00:00.0,100,1,56,53,54,36564,45741,23144,27855,14128,12594,1818,3457,,,,,
45:34.0,00:00.0,100,1,67,67,67,28157,43072,49355,45638,28817,15611,7275,946,,,,,
45:35.0,00:00.0,100,2,61,78,69,205633,77579,52213,22353,10939,14567,3155,1640,,,,,
45:36.0,00:00.0,100,2,60,63,61,282462,34769,4679,3580,4047,1597,865,516,,,,,
45:37.0,00:00.0,100,2,64,63,63,24352,31097,24874,24357,18122,15754,5787,1596,,,,,
45:38.0,00:00.0,100,2,57,61,59,102047,21365,16480,5077,2774,2358,1962,1565,,,,,
45:39.0,00:00.0,100,2,50,50,50,112946,15133,487,3100,376,714,826,1054,,,,,
45:40.0,00:00.0,100,2,54,51,52,534542,250170,61428,18559,12260,21633,12426,4785,,,,,
45:41.0,00:00.0,100,2,44,50,47,1044271,65460,45323,12213,16109,9233,28277,5572,,,,,
45:42.0,00:00.0,100,2,66,40,53,91672,36585,16751,18141,23708,51237,17425,9588,,,,,
45:43.0,00:00.0,100,2,83,48,65,18044,27754,7757,17564,8571,12440,31235,5610,,,,,
45:44.0,00:00.0,100,2,84,57,70,63347,17905,8498,8569,2805,3558,3631,1730,,,,,
45:45.0,00:00.0,100,2,90,51,70,103896,12189,1988,4692,5819,2626,2569,940,,,,,
45:46.0,00:00.0,100,2,67,56,61,70918,16675,6150,6977,6036,1882,1820,373,,,,,
45:47.0,00:00.0,100,2,61,47,54,22993,111543,5094,21573,14398,15698,6076,1552,,,,,
45:48.0,00:00.0,100,2,63,37,50,19454,72182,12623,15865,12309,10614,7776,2647,,,,,
45:49.0,00:00.0,100,2,60,50,55,211978,36169,42355,15064,3001,9200,3203,2499,,,,,
45:50.0,00:00.0,100,2,75,51,63,9764,13466,11850,9967,11063,13113,5745,1221,,,,,
45:51.0,00:00.0,100,2,77,61,69,27928,34552,20853,14919,19375,10349,8760,1650,,,,,
45:52.0,00:00.0,100,2,78,61,69,331144,20010,1454,6340,4045,3574,1557,419,,,,,
45:53.0,00:00.0,100,2,83,51,67,39112,38626,19200,15541,22399,12117,4388,5270,,,,,
45:54.0,00:00.0,100,2,69,50,59,17540,74403,38174,6596,10377,9320,2741,2147,,,,,
45:55.0,00:00.0,100,2,75,53,64,137548,59256,40282,43087,22259,38878,9583,9821,,,,,
45:56.0,00:00.0,100,1,67,51,59,608247,23845,5467,3428,6462,1694,609,242,,,,,
45:57.0,00:00.0,100,1,61,54,57,9679,39495,25696,5498,5073,5662,9156,1361,,,,,
45:58.0,00:00.0,100,1,57,64,60,67631,68990,49696,55494,2652,9184,3145,1504,,,,,
45:59.0,00:00.0,100,1,50,64,57,28684,37800,16569,28470,16833,8626,3596,3008,,,,,
46:00.0,00:00.0,100,2,51,67,59,915598,362591,119463,30821,21734,38105,12075,3231,,,,,
46:01.0,00:00.0,100,2,53,66,59,28922,69344,43128,14701,20389,12609,7893,3333,,,,,
46:02.0,00:00.0,100,2,47,43,45,333423,693646,11474,87249,25573,20126,15404,19349,,,,,
46:03.0,00:00.0,100,2,53,37,45,749165,20108,5288,11734,28044,8048,9534,4113,,,,,
46:04.0,00:00.0,100,2,48,30,39,101815,75504,10130,6880,3582,3657,3367,8245,,,,,
46:05.0,00:00.0,100,2,38,23,30,141448,38248,11926,1108,5555,1739,2151,785,,,,,
46:06.0,00:00.0,100,2,48,21,34,909631,58164,8549,845,11398,5261,8371,1617,,,,,
46:07.0,00:00.0,100,2,51,26,38,14370,32705,26190,10241,11680,23942,26544,8123,,,,,
46:08.0,00:00.0,100,2,64,23,43,16195,58603,3206,10800,26838,11088,10347,2631,,,,,
46:09.0,00:00.0,100,2,75,40,57,1295785,66456,57826,70255,5725,19898,10518,3096,,,,,
46:10.0,00:00.0,100,2,67,44,55,260825,30039,5421,1485,1804,1463,1473,130,,,,,
46:11.0,00:00.0,100,2,56,54,55,112559,35714,62916,36926,19279,12740,9827,4284,,,,,
46:12.0,00:00.0,100,2,61,69,65,176418,7209,7889,3341,1981,5367,2626,748,,,,,
46:13.0,00:00.0,100,2,60,53,56,664244,47929,11890,5391,13691,5528,5655,1846,,,,,
46:14.0,00:00.0,100,2,67,64,65,839936,22004,6037,18314,8173,4711,4545,2577,,,,,
46:15.0,00:00.0,100,2,75,48,61,262039,35148,9032,3498,7705,7324,2946,1720,,,,,
46:16.0,00:00.0,100,2,70,44,57,18744,62152,52565,6722,22975,24238,7087,2108,,,,,
46:17.0,00:00.0,100,2,83,48,65,19595,36225,3497,25631,29811,16726,5902,4184,,,,,
46:18.0,00:00.0,100,2,94,43,68,19129,38447,6558,18486,3569,22848,8475,1744,,,,,
46:19.0,00:00.0,100,1,94,56,75,843335,94732,69106,54748,13763,36579,25859,7897,,,,,
46:20.0,00:00.0,100,2,88,54,71,293797,22424,10555,4807,5500,3848,2194,720,,,,,
46:21.0,00:00.0,100,2,80,64,72,113264,29831,43528,4719,7362,8703,4254,2087,,,,,
46:22.0,00:00.0,100,2,70,64,67,12471,33057,6927,9911,9948,6304,2587,1357,,,,,
46:23.0,00:00.0,100,2,66,60,63,61942,45491,27816,15578,12231,7844,3571,1762,,,,,
46:24.0,00:00.0,100,2,63,43,53,91302,116025,6385,7510,9405,9421,3335,3641,,,,,
46:25.0,00:00.0,100,2,69,41,55,91936,21736,16830,20303,16024,14608,8598,5852,,,,,
46:26.0,00:00.0,100,2,66,47,56,97758,55545,12995,27999,13160,8460,6677,2508,,,,,
46:27.0,00:00.0,100,2,70,56,63,160416,27904,98899,6780,10614,22197,12754,9345,,,,,
46:28.0,00:00.0,100,2,75,77,76,108521,71412,42211,24330,9774,16307,7809,2027,,,,,
46:29.0,00:00.0,100,2,67,77,72,73760,55931,34918,27142,17446,12614,4249,2264,,,,,
46:30.0,00:00.0,100,2,56,75,65,2779823,299432,107909,41020,21528,12624,5185,3363,,,,,
46:31.0,00:00.0,100,2,50,66,58,13237,46228,20592,21284,11298,6711,1871,793,,,,,
46:32.0,00:00.0,100,2,51,54,52,18787,51423,9265,9728,8670,9170,5476,935,,,,,
46:33.0,00:00.0,100,2,50,48,49,5636,45372,11550,10871,7433,6420,684,2212,,,,,
46:34.0,00:00.0,100,2,63,48,55,68216,26424,5479,12060,2244,4784,612,237,,,,,
46:35.0,00:00.0,100,2,74,30,52,183677,22220,1561,2981,9519,6711,4189,1824,,,,,
46:36.0,00:00.0,100,2,69,27,48,404403,88645,9827,10961,12230,10521,5002,4067,,,,,
46:37.0,00:00.0,100,2,81,38,59,29921,17132,7175,42781,13088,18760,9519,6391,,,,,
46:38.0,00:00.0,100,2,83,30,56,147695,254729,63674,18962,62495,46060,37312,12465,,,,,
46:39.0,00:00.0,100,2,69,35,52,833371,258811,22912,28525,28939,18784,14088,4937,,,,,
46:40.0,00:00.0,100,2,69,53,61,30597,53098,75161,20173,14480,13948,5546,8645,,,,,
46:41.0,00:00.0,100,2,74,48,61,183373,14345,14203,13623,9297,16286,9627,4930,,,,,
46:42.0,00:00.0,100,2,69,51,60,53290,40381,11449,6295,8236,6000,2891,2131,,,,,
46:43.0,00:00.0,100,2,81,60,70,18646,32961,13127,7698,9639,12717,4079,3177,,,,,
46:44.0,00:00.0,100,2,78,47,62,20327,42277,12102,11248,19419,4146,2376,1130,,,,,
46:45.0,00:00.0,100,2,61,29,45,179159,83882,9421,3416,1214,5671,1775,410,,,,,
46:46.0,00:00.0,100,2,64,26,45,118115,28183,5989,2636,6259,5564,2291,2770,,,,,
46:47.0,00:00.0,100,2,57,27,42,533415,61590,2986,31296,15438,8604,7507,4790,,,,,
46:48.0,00:00.0,100,2,57,27,42,73077,127562,6610,37401,9049,10337,5074,1969,,,,,
46:49.0,00:00.0,100,2,67,34,50,25944,64464,7885,16044,8548,17578,3466,1593,,,,,
46:50.0,00:00.0,100,2,75,40,57,34509,22311,5465,17588,19366,12843,4167,1620,,,,,
46:51.0,00:00.0,100,2,70,47,58,15313,54418,45180,16400,16225,7944,2384,1613,,,,,
46:52.0,00:00.0,100,2,75,53,64,173867,44964,16798,22428,16301,7490,2985,1793,,,,,
46:53.0,00:00.0,100,2,61,53,57,737744,184822,26776,25291,4190,14193,3193,1310,,,,,
46:54.0,00:00.0,100,2,37,57,47,127133,163371,81704,45224,14820,5104,4372,976,,,,,
46:55.0,00:00.0,100,2,44,56,50,90264,25444,16642,21787,13447,11817,3995,4436,,,,,
46:56.0,00:00.0,100,2,40,51,45,333125,367192,73508,69107,71976,23850,12690,4463,,,,,
46:57.0,00:00.0,100,2,41,54,47,1256743,153578,60312,10438,37929,15870,17452,9759,,,,,
46:58.0,00:00.0,100,2,54,43,48,88130,187953,34862,15658,13230,15655,3647,4256,,,,,
46:59.0,00:00.0,100,2,56,37,46,46184,30304,29069,2013,40799,13892,7607,5152,,,,,
47:00.0,00:00.0,100,2,64,35,49,98147,38854,9072,10649,24003,6734,6323,1572,,,,,
47:01.0,00:00.0,100,2,67,34,50,205714,123990,21322,21787,9124,16953,6734,4257,,,,,
47:02.0,00:00.0,100,2,77,51,64,69381,15312,14476,27261,5756,8861,3096,1937,,,,,
47:03.0,00:00.0,100,2,61,50,55,898884,140784,24486,29268,12561,8039,10357,4118,,,,,
47:04.0,00:00.0,100,2,53,61,57,293241,56879,42687,46618,36436,6470,6129,3195,,,,,
47:05.0,00:00.0,100,2,53,60,56,251036,113419,25558,8422,15865,15119,9889,6299,,,,,
47:06.0,00:00.0,100,2,43,54,48,118149,20129,15325,4812,3407,2334,1028,639,,,,,
47:07.0,00:00.0,100,2,44,53,48,910435,152530,52841,7745,22353,10984,6828,6199,,,,,
47:08.0,00:00.0,100,2,57,44,50,166075,17675,6878,2628,2439,4638,972,500,,,,,
47:09.0,00:00.0,100,2,61,43,52,102295,181099,29304,14934,12747,33092,3442,1737,,,,,
47:10.0,00:00.0,100,2,61,43,52,669514,86585,48607,53089,20906,11155,7729,6596,,,,,
47:11.0,00:00.0,100,2,60,44,52,192695,125366,20009,36465,17106,8098,6093,1961,,,,,
47:12.0,00:00.0,100,2,51,48,49,65401,67254,35716,9005,10681,7583,4582,2189,,,,,
47:13.0,00:00.0,100,2,50,61,55,22134,32022,12817,32799,14956,12281,7433,2736,,,,,
47:14.0,00:00.0,100,2,54,53,53,45354,82962,26644,6572,5104,10603,1758,1101,,,,,
47:15.0,00:00.0,100,2,51,54,52,1538796,285384,63121,81516,42247,14297,5368,1286,,,,,
47:16.0,00:00.0,100,2,50,53,51,630185,159347,51498,37186,14741,16145,3200,6070,,,,,
47:17.0,00:00.0,100,2,47,60,53,436486,16756,11587,28270,5648,5335,2593,2803,,,,,
47:18.0,00:00.0,100,2,38,75,56,159822,38663,52467,27569,9575,4813,3883,1177,,,,,
47:19.0,00:00.0,100,2,48,69,58,28502,71268,13134,12604,11482,7535,4684,1001,,,,,
47:20.0,00:00.0,100,2,51,64,57,115593,159581,37098,13879,9344,21786,4693,3130,,,,,
47:21.0,00:00.0,100,2,53,47,50,60469,82754,13999,8821,3894,11724,3166,2098,,,,,
47:22.0,00:00.0,100,2,66,44,55,35486,15932,26355,26051,17481,10346,1850,1426,,,,,
47:23.0,00:00.0,100,2,57,48,52,66482,91450,20365,24534,8492,5522,7977,1817,,,,,
47:24.0,00:00.0,100,2,56,64,60,77325,10011,16366,9590,3077,3576,914,401,,,,,
47:25.0,00:00.0,100,2,63,74,68,31219,25290,6649,10212,5053,10250,3991,1152,,,,,
47:26.0,00:00.0,100,2,53,69,61,517949,66853,63372,12415,8018,7359,5585,986,,,,,
47:27.0,00:00.0,100,2,61,70,65,35568,65515,27249,18247,10373,11087,2261,4182,,,,,
47:28.0,00:00.0,100,2,53,48,50,112329,174192,5313,19448,8007,8327,4773,2653,,,,,
47:29.0,00:00.0,100,2,50,35,42,682919,67437,9254,5892,39741,13535,6588,1625,,,,,
47:30.0,00:00.0,100,2,57,27,42,450690,42383,11925,15957,10352,8970,3357,4587,,,,,
47:31.0,00:00.0,100,2,56,14,35,196022,202506,21036,15027,14835,18289,5000,1696,,,,,
47:32.0,00:00.0,100,2,64,20,42,266324,31742,2160,7819,7982,4942,3105,1378,,,,,
47:33.0,00:00.0,100,2,56,29,42,436875,31781,2764,9767,3644,2977,3071,857,,,,,
47:34.0,00:00.0,100,2,50,21,35,586734,53904,13048,2167,16781,3971,1853,978,,,,,
47:35.0,00:00.0,100,2,60,30,45,73016,57913,5577,30767,4700,23050,5978,2540,,,,,
47:36.0,00:00.0,100,2,66,26,46,38819,72084,7620,5593,9242,19226,3087,1147,,,,,
47:37.0,00:00.0,100,2,74,26,50,115065,84533,12949,22189,10958,14776,5914,1430,,,,,
47:38.0,00:00.0,100,2,84,37,60,49785,12496,15020,10276,22335,8611,4227,1605,,,,,
47:39.0,00:00.0,100,2,83,40,61,125605,14463,6365,7605,3364,5144,1730,715,,,,,
47:40.0,00:00.0,100,2,75,51,63,200483,92336,14876,31754,13209,14143,8780,3149,,,,,
47:41.0,00:00.0,100,2,81,51,66,106866,40863,23278,2913,16486,16436,4583,1519,,,,,
47:42.0,00:00.0,100,2,74,61,67,42411,22350,42282,15858,10120,7265,3532,2144,,,,,
47:43.0,00:00.0,100,2,64,61,62,54595,126662,75084,15072,17902,18855,9771,3959,,,,,
47:44.0,00:00.0,100,2,66,66,66,65181,68365,27747,23121,7296,13130,7046,2083,,,,,
47:45.0,00:00.0,100,2,57,69,63,72103,62261,13464,23059,6137,10340,8507,1330,,,,,
47:46.0,00:00.0,100,2,56,53,54,1028969,121879,9287,38433,22940,13513,7318,4631,,,,,
47:47.0,00:00.0,100,2,60,54,57,740299,51246,30809,26580,16662,14241,9518,4422,,,,,
47:48.0,00:00.0,100,2,60,56,58,397294,74913,47065,34703,24548,13963,5883,1794,,,,,
47:49.0,00:00.0,100,2,61,60,60,20884,28975,32700,13655,21961,10628,3274,2769,,,,,
47:50.0,00:00.0,100,2,64,60,62,295647,74490,13928,15226,20118,11208,2573,3224,,,,,
47:51.0,00:00.0,100,2,69,60,64,73044,13078,5839,12076,5010,7000,1152,607,,,,,
47:52.0,00:00.0,100,4,83,54,68,1846953,47273,14366,14702,6224,28179,4144,1243,,,,,
47:53.0,00:00.0,100,2,77,43,60,96042,14146,1676,2609,1281,1209,343,192,,,,,
47:54.0,00:00.0,100,2,75,38,56,563095,188537,13541,29727,22192,22119,6448,1621,,,,,
47:55.0,00:00.0,100,2,64,34,49,216342,39253,7984,20728,25174,5671,3452,2639,,,,,
47:56.0,00:00.0,100,5,44,29,36,1944554,419563,113611,23577,51946,26715,8171,4295,,,,,
47:57.0,00:00.0,100,2,51,37,44,1531507,41144,20090,17268,35168,11705,6307,2093,,,,,
47:58.0,00:00.0,100,3,57,41,49,624235,82576,29031,12553,24438,26084,9711,1746,,,,,
47:59.0,00:00.0,100,3,75,29,52,1671071,152550,5434,35338,88406,75404,13236,1481,,,,,
48:00.0,00:00.0,100,2,90,35,62,1094276,60143,29734,15001,13905,23332,6792,757,,,,,
48:01.0,00:00.0,100,2,78,30,54,1302731,23593,5840,4036,3948,1571,550,304,,,,,
48:02.0,00:00.0,100,2,81,35,58,118832,46308,27566,8459,10481,23558,4812,2569,,,,,
48:03.0,00:00.0,100,2,61,44,52,25897,103098,19843,24808,14323,9029,7325,4738,,,,,
48:04.0,00:00.0,100,2,51,53,52,62433,51039,60520,14992,6444,9477,6035,4158,,,,,
48:05.0,00:00.0,100,2,64,54,59,1185887,136125,70491,10010,40184,38503,5840,3788,,,,,
48:06.0,00:00.0,100,2,56,40,48,35707,82692,10704,1775,15303,10398,7321,4804,,,,,
48:07.0,00:00.0,100,2,61,50,55,55929,58015,70535,17737,20227,14005,7538,2823,,,,,
48:08.0,00:00.0,100,2,56,35,45,188680,14461,1138,2690,613,886,567,194,,,,,
48:09.0,00:00.0,100,2,60,41,50,55299,19346,22178,6997,14178,11219,4030,1116,,,,,
48:10.0,00:00.0,100,2,61,61,61,24114,18171,41576,10951,31814,9693,3379,1392,,,,,
48:11.0,00:00.0,100,2,51,69,60,26896,35825,102885,5422,15322,5159,7734,2777,,,,,
48:12.0,00:00.0,100,2,57,74,65,80458,21074,6482,3559,6550,3172,1603,200,,,,,
48:13.0,00:00.0,100,2,51,74,62,17271,26343,9202,23333,15431,6966,10827,6124,,,,,
48:14.0,00:00.0,100,2,47,69,58,13117,54353,27681,29169,27301,8546,6452,2529,,,,,
48:15.0,00:00.0,100,2,51,48,49,137828,35252,1119,9838,10513,2779,2223,557,,,,,
