'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
57:00.0,00:00.0,100,2,51,56,53,375206,88775,19704,15059,10074,12623,3530,2629,,13960.12293,10708.13475,5316.65721,2619.638298
57:01.0,00:00.0,100,2,51,43,47,67838,99954,15056,9589,15725,10958,4660,3245,,,,,
57:02.0,00:00.0,100,2,57,50,53,10531,40449,20268,20058,12482,16452,4506,3392,,,,,
57:03.0,00:00.0,100,2,64,63,63,46249,11264,13902,22060,4024,6553,3244,2013,,,,,
57:04.0,00:00.0,100,2,75,75,75,22097,24780,20212,30543,5512,20706,5477,4926,,,,,
57:05.0,00:00.0,100,2,80,91,85,57226,23875,32800,21164,10336,11975,11772,1401,,,,,
57:06.0,00:00.0,100,2,74,81,77,114115,175121,21632,24626,22048,25195,4808,3905,,,,,
57:07.0,00:00.0,100,2,64,80,72,70405,58404,59097,56671,26581,8198,5830,2121,,,,,
57:08.0,00:00.0,100,2,53,74,63,70139,40631,23271,3591,6762,6363,2434,1434,,,,,
57:09.0,00:00.0,100,2,50,67,58,95348,18876,7181,9780,4285,3696,931,789,,,,,
57:10.0,00:00.0,100,2,51,69,60,21201,88347,31040,2341,22922,16137,8960,1836,,,,,
57:11.0,00:00.0,100,2,53,54,53,23030,117319,33284,2841,5039,10225,7754,2993,,,,,
57:12.0,00:00.0,100,2,60,54,57,173460,61466,26655,13149,9350,16115,9890,5074,,,,,
57:13.0,00:00.0,100,2,51,40,45,34185,123739,4906,18788,26342,6538,5823,5097,,,,,
57:14.0,00:00.0,100,2,47,50,48,402662,68329,15623,44765,6199,9424,4253,4652,,,,,
57:15.0,00:00.0,100,2,47,53,50,27147,61274,15151,17607,21105,6315,6960,1647,,,,,
57:16.0,00:00.0,100,2,53,56,54,26602,19606,19101,12484,11586,14630,5039,2381,,,,,
57:17.0,00:00.0,100,2,53,75,64,17396,51039,44310,33983,9893,6443,4064,3559,,,,,
57:18.0,00:00.0,100,2,63,77,70,27973,20013,17776,11886,8622,10741,2050,1483,,,,,
57:19.0,00:00.0,100,2,67,81,74,76326,54950,52239,51395,67816,16423,8617,2238,,,,,
57:20.0,00:00.0,100,2,48,83,65,45658,142521,79243,64358,18562,9800,6622,2616,,,,,
57:21.0,00:00.0,100,2,48,80,64,331519,104164,40580,44382,9470,9502,6434,2770,,,,,
57:22.0,00:00.0,100,2,43,77,60,1085166,92206,63131,11187,12574,20916,7207,1523,,,,,
57:23.0,00:00.0,100,2,47,78,62,29849,53230,10045,59354,13494,18123,3649,1300,,,,,
57:24.0,00:00.0,100,2,43,69,56,119410,86730,24158,4938,6312,3229,893,655,,,,,
57:25.0,00:00.0,100,2,64,63,63,26717,16238,17585,10041,36619,23034,2006,895,,,,,
57:26.0,00:00.0,100,2,63,63,63,1238581,64844,13851,27583,7363,10306,6227,1663,,,,,
57:27.0,00:00.0,100,2,54,64,59,12000,46121,44676,16991,6950,5701,8488,2263,,,,,
57:28.0,00:00.0,100,2,64,77,70,13633,22756,27432,9588,10011,5103,14034,2955,,,,,
57:29.0,00:00.0,100,2,47,81,64,23701,69861,55736,6060,26239,11928,6033,2447,,,,,
