'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
56:59.0,00:00.0,100,3,48,67,57,1319973,149416,14155,47315,31748,17068,19997,5293,,21251.46422,13221.81835,7320.836697,4941.207339
57:00.0,00:00.0,100,2,41,48,44,20942,41739,5454,1666,2056,2138,3244,518,,,,,
57:01.0,00:00.0,86,2,41,48,44,1534319,62122,2135,496,3631,4235,2584,2086,,,,,
57:02.0,00:00.0,100,2,47,51,49,529877,109040,24639,7273,4430,2868,3115,1232,,,,,
57:03.0,00:00.0,100,2,50,43,46,608877,189873,9463,17082,12811,10282,4482,5772,,,,,
57:04.0,00:00.0,100,2,41,44,42,920339,192560,78843,9258,19417,11177,11834,6732,,,,,
57:05.0,00:00.0,100,2,40,56,48,1065822,451471,212264,49966,20114,29246,20093,8442,,,,,
57:06.0,00:00.0,100,2,47,64,55,561093,83797,29494,34446,11160,6315,3999,3775,,,,,
57:07.0,00:00.0,100,1,51,91,71,510089,23114,68614,11097,7231,7932,6090,4075,,,,,
57:08.0,00:00.0,100,1,56,87,71,220940,50284,9072,4007,1305,3798,2057,1347,,,,,
57:09.0,00:00.0,100,1,43,70,56,1084993,769955,76544,13016,11265,11082,12567,2960,,,,,
57:10.0,00:00.0,100,1,35,70,52,2001929,249903,186962,18057,7407,7649,4998,3461,,,,,
57:11.0,00:00.0,100,1,27,60,43,791895,127268,45143,24252,9755,9160,2486,2219,,,,,
57:12.0,00:00.0,100,2,30,69,49,391564,15302,12041,2726,3452,2416,577,343,,,,,
57:13.0,00:00.0,100,1,37,88,62,521604,121534,81741,11618,4090,4038,2063,3029,,,,,
57:14.0,00:00.0,100,2,40,88,64,2152236,1208326,796553,243155,83001,53571,39903,21526,,,,,
57:15.0,00:00.0,100,2,44,97,70,348910,46601,43261,60815,6261,11837,2551,3190,,,,,
57:16.0,00:00.0,74,5,44,97,70,43492,17483,13117,4542,4677,5956,2197,875,,,,,
57:17.0,00:00.0,74,6,44,97,70,1859729,107040,14187,39651,26272,31604,13175,2248,,,,,
57:18.0,00:00.0,87,6,44,97,70,1959031,137311,13374,50667,11430,34194,3537,1426,,,,,
