'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
07:30.0,00:00.0,100,2,77,54,65,127444,43992,12270,2489,2661,4074,1332,1170,,17733.56295,20526.96827,14767.14739,8012.558854
07:31.0,00:00.0,100,2,60,56,58,94181,31817,7923,26815,11361,9232,6253,2543,,,,,
07:32.0,00:00.0,100,2,64,61,62,43242,10270,17559,7826,10452,19319,6001,5320,,,,,
07:33.0,00:00.0,100,2,77,57,67,48620,20214,10984,14342,13835,13921,7608,2981,,,,,
07:34.0,00:00.0,100,2,69,60,64,91246,19160,6011,3919,2851,1358,909,1013,,,,,
07:35.0,00:00.0,100,2,63,63,63,423069,51632,25728,55632,18866,10251,6344,2055,,,,,
07:36.0,00:00.0,100,2,48,60,54,261534,45598,10916,24462,22452,14203,6674,4124,,,,,
07:37.0,00:00.0,100,2,44,57,50,19425,41633,24055,12807,13872,16254,8171,1280,,,,,
07:38.0,00:00.0,100,2,69,60,64,25179,36328,19690,19584,16510,25913,31374,5730,,,,,
07:39.0,00:00.0,100,2,63,51,57,166183,25233,3825,4419,2212,1644,1838,1094,,,,,
07:40.0,00:00.0,100,2,51,53,52,6947,52085,26250,14401,5302,6757,4003,2694,,,,,
07:41.0,00:00.0,100,2,40,54,47,18493,80244,36362,17960,13759,11924,7198,2067,,,,,
07:42.0,00:00.0,100,2,35,48,41,22788,53302,7934,10214,10386,16009,14015,5512,,,,,
07:43.0,00:00.0,100,2,44,57,50,8417,33769,40394,21259,12700,8640,9360,4319,,,,,
07:44.0,00:00.0,100,2,34,53,43,216681,265540,30284,48459,14489,9222,10694,4133,,,,,
07:45.0,00:00.0,100,2,37,54,45,45941,44719,6586,41311,6201,9893,6690,2523,,,,,
07:46.0,00:00.0,100,2,27,61,44,10081,46617,17021,19064,23060,9232,11938,1868,,,,,
07:47.0,00:00.0,100,2,40,56,48,47190,34790,26504,19170,22269,19452,7583,4232,,,,,
07:48.0,00:00.0,100,2,54,63,58,19487,50084,29985,18953,5963,9564,3879,1719,,,,,
07:50.0,00:00.0,100,2,74,57,65,14877,17967,14012,12970,24103,19934,8034,2659,,,,,
07:50.0,00:00.0,100,2,67,63,65,8127,33868,24038,48914,26277,7812,12563,2517,,,,,
07:51.0,00:00.0,100,2,56,63,59,22320,94414,53638,10299,8827,15671,4830,4527,,,,,
07:52.0,00:00.0,100,2,51,66,58,630978,68022,59028,20314,9080,9083,13596,1668,,,,,
07:53.0,00:00.0,100,2,21,61,41,1302840,202464,13253,41586,10845,11133,4692,4619,,,,,
07:54.0,00:00.0,100,2,21,60,40,57540,66942,29229,35713,11174,12267,22604,6934,,,,,
07:55.0,00:00.0,100,2,17,63,40,26276,59517,35710,28407,3472,9691,7558,5048,,,,,
07:56.0,00:00.0,100,2,16,53,34,6764,156221,18389,30086,13863,11737,5620,5956,,,,,
