'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
24:56.0,00:00.0,100,2,38,64,51,19500,25331,14688,19622,11101,12703,15334,2199,,16774.04634,19153.20976,12173.19268,6267.617073
24:57.0,00:00.0,100,2,38,66,52,3960,18059,17572,7766,16064,10911,6839,3835,,,,,
24:58.0,00:00.0,100,2,54,74,64,18990,16241,20990,16547,35259,15053,3841,5970,,,,,
24:59.0,00:00.0,100,2,48,80,64,12174,50522,38549,37334,11592,9334,5900,2324,,,,,
25:00.0,00:00.0,100,2,47,77,62,551238,24845,12798,2732,4723,5831,5804,2152,,,,,
25:01.0,00:00.0,100,2,40,70,55,39920,110924,30542,15796,3372,20723,16573,3049,,,,,
25:02.0,00:00.0,100,2,20,61,40,284434,79276,7788,4698,5487,3029,4350,3492,,,,,
25:03.0,00:00.0,100,2,34,60,47,5945,16704,13069,19396,4991,14022,7764,4370,,,,,
25:04.0,00:00.0,100,2,37,51,44,16341,43235,8413,4399,7778,12918,6666,3744,,,,,
25:05.0,00:00.0,100,2,38,51,44,6828,90697,34993,6614,10414,23017,8633,1801,,,,,
25:06.0,00:00.0,100,2,53,64,58,62989,28539,31002,12084,11567,12187,9659,2435,,,,,
25:07.0,00:00.0,100,2,43,57,50,6203,81884,22930,26705,37669,12774,11920,6014,,,,,
25:08.0,00:00.0,100,1,35,66,50,126038,103707,24198,52177,11276,15721,5899,6552,,,,,
25:09.0,00:00.0,100,1,30,70,50,1833157,53514,16870,24511,2935,9610,3596,746,,,,,
25:10.0,00:00.0,100,1,23,56,39,186024,141797,9494,13093,23916,12506,12772,11319,,,,,
25:11.0,00:00.0,100,1,35,41,38,43809,69598,1149,4802,31827,24239,9600,5138,,,,,
25:12.0,00:00.0,100,1,44,50,47,11142,13227,30376,89527,12279,39605,8007,5185,,,,,
25:13.0,00:00.0,100,1,51,53,52,68244,42251,36561,33591,9518,24646,6496,12358,,,,,
25:14.0,00:00.0,100,1,54,67,60,24401,68189,56460,32505,12291,17211,10905,7597,,,,,
25:15.0,00:00.0,100,1,54,91,72,428683,13236,28526,15368,13471,15178,8684,3481,,,,,
25:16.0,00:00.0,100,1,47,90,68,14414,33841,31225,38800,3789,11851,12207,5566,,,,,
