'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
10:02.0,00:00.0,100,2,40,1,20,148754,201566,10576,23670,21868,18219,36770,7194,,24732.76107,20276.91658,10264.81256,4982.54068
10:03.0,00:00.0,100,2,56,1,28,33317,40783,25209,21434,19755,9702,4385,1621,,,,,
10:04.0,00:00.0,100,2,48,1,24,106847,308337,14948,37203,45663,15266,7661,10818,,,,,
10:05.0,00:00.0,100,2,40,26,33,80225,13334,9070,5224,6597,3108,2221,1095,,,,,
10:06.0,00:00.0,100,2,44,43,43,180071,27274,2402,15528,9184,5394,4525,2980,,,,,
10:07.0,00:00.0,100,2,41,29,35,1016909,134201,17410,30507,10922,16060,21016,5896,,,,,
10:08.0,00:00.0,100,2,51,40,45,258565,212884,48860,16808,40817,27249,32932,3342,,,,,
10:09.0,00:00.0,100,2,51,23,37,271354,148229,19854,13082,12695,21718,9763,3130,,,,,
10:10.0,00:00.0,100,2,53,7,30,1405046,209028,39078,6318,44469,36237,23118,1058,,,,,
10:11.0,00:00.0,100,2,48,24,36,46276,63946,13075,56658,9527,8047,17630,4703,,,,,
10:12.0,00:00.0,100,2,56,38,47,395067,42875,25323,17731,14051,17595,15009,7723,,,,,
10:13.0,00:00.0,100,2,61,51,56,129480,31665,7769,17933,15238,9304,2832,1610,,,,,
10:14.0,00:00.0,100,2,57,63,60,127860,77451,3171,25953,9019,11801,6795,5038,,,,,
10:15.0,00:00.0,100,2,74,41,57,173351,37492,4969,6337,2312,8309,1099,1800,,,,,
10:16.0,00:00.0,100,2,81,48,64,5236,7795,13639,27432,22919,20500,6757,2187,,,,,
10:17.0,00:00.0,100,1,94,48,71,563710,54229,25959,24755,8879,55793,8553,2425,,,,,
10:18.0,00:00.0,100,2,88,43,65,1076187,914981,157658,102130,47370,64782,13168,10175,,,,,
10:19.0,00:00.0,100,2,74,30,52,446871,314158,29123,11794,34996,17898,14632,3868,,,,,
10:20.0,00:00.0,100,2,54,23,38,1470021,457110,265651,75380,101414,79448,34122,31980,,,,,
10:21.0,00:00.0,100,2,35,26,30,27091,112862,29168,48778,21145,15978,8532,4120,,,,,
