'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
58:02.0,00:00.0,100,2,57,64,60,51514,35293,24550,35427,26122,7723,15117,6964,,14815.02552,13091.05743,7352.205105,3788.636281
58:03.0,00:00.0,100,2,61,64,62,1075515,55085,3898,29989,14822,11572,3612,2815,,,,,
58:04.0,00:00.0,100,2,77,64,70,52231,10250,5804,8171,8016,9070,5125,1646,,,,,
58:05.0,00:00.0,100,2,74,80,77,18639,14127,11207,51929,5219,7098,4623,3698,,,,,
58:06.0,00:00.0,100,2,75,80,77,28093,23774,20991,19606,12879,8007,3380,2103,,,,,
58:07.0,00:00.0,100,2,56,75,65,387673,103473,5094,24334,6765,1970,4529,1060,,,,,
58:08.0,00:00.0,100,2,38,66,52,288662,318553,28399,40745,17204,13127,7323,2398,,,,,
58:09.0,00:00.0,100,2,44,51,47,85756,27568,3792,23192,12131,13180,7618,4625,,,,,
58:10.0,00:00.0,100,2,48,44,46,63960,27834,25727,2549,20494,9764,4084,2032,,,,,
58:11.0,00:00.0,100,2,74,51,62,30515,15316,16284,5638,9425,12981,6398,4642,,,,,
58:12.0,00:00.0,100,2,80,50,65,168797,161742,13484,18445,14345,14033,10164,4169,,,,,
58:13.0,00:00.0,100,2,66,48,57,550401,129159,22159,59581,29465,9845,8573,2051,,,,,
58:14.0,00:00.0,100,2,63,61,62,5872,10147,13692,35381,10279,7458,4714,3312,,,,,
58:15.0,00:00.0,100,2,57,51,54,36945,58994,14480,2231,9973,12913,4555,2348,,,,,
58:16.0,00:00.0,100,2,69,56,62,35242,29266,11792,5400,15973,14342,5838,3963,,,,,
58:17.0,00:00.0,100,2,80,57,68,221360,11591,1969,6413,3209,3013,1876,1234,,,,,
58:18.0,00:00.0,100,1,74,41,57,170345,181550,50944,38719,47425,17530,18818,8759,,,,,
58:19.0,00:00.0,100,2,64,47,55,1183673,106329,40740,19957,31791,10114,9967,1787,,,,,
58:20.0,00:00.0,100,2,56,47,51,592103,27145,4438,5865,2894,4416,843,482,,,,,
58:21.0,00:00.0,100,2,54,43,48,34186,32132,10073,8331,15103,5750,5636,3966,,,,,
58:22.0,00:00.0,100,2,63,48,55,58938,53399,8049,33207,8021,14749,5031,3856,,,,,
58:23.0,00:00.0,100,2,74,54,64,156283,26916,28177,19250,18900,14585,8953,6787,,,,,
58:24.0,00:00.0,100,2,70,61,65,186412,15862,10755,3402,5437,2954,3472,1898,,,,,
58:25.0,00:00.0,100,2,77,75,76,28306,26618,29180,32971,8838,19750,4934,1455,,,,,
58:26.0,00:00.0,100,2,67,67,67,156874,126372,15892,21463,10637,7837,4882,1825,,,,,
58:27.0,00:00.0,100,2,66,61,63,119551,33645,8283,10981,9936,8743,4695,1353,,,,,
58:28.0,00:00.0,100,2,74,64,69,9529,24045,9164,27190,6552,11634,7348,1100,,,,,
58:29.0,00:00.0,100,2,70,57,63,3161,17382,4014,23083,12789,8748,3586,2127,,,,,
58:30.0,00:00.0,100,2,81,54,67,2331506,88523,13181,12472,22693,19489,7924,3109,,,,,
58:31.0,00:00.0,100,2,83,54,68,35271,21038,1789,23039,33226,11236,4690,4164,,,,,
58:32.0,00:00.0,100,2,81,30,55,379085,78557,3451,4068,8402,13801,8284,2042,,,,,
58:33.0,00:00.0,100,2,75,27,51,46056,60342,12328,33423,15487,8365,3501,2591,,,,,
58:34.0,00:00.0,100,2,77,38,57,44397,27647,8186,11903,2751,9225,7502,2507,,,,,
58:35.0,00:00.0,100,2,78,35,56,16848,11504,5709,11918,37642,8248,3405,3081,,,,,
58:36.0,00:00.0,100,2,84,63,73,27643,14220,11113,40522,4921,23130,5849,2987,,,,,
58:37.0,00:00.0,100,2,81,53,67,197627,47418,5828,4597,3131,3980,2800,265,,,,,
58:38.0,00:00.0,100,2,81,54,67,565035,17235,9269,13917,9796,7735,3923,1339,,,,,
58:39.0,00:00.0,100,2,84,61,72,9483,8222,8056,10278,16908,10476,6307,2025,,,,,
58:40.0,00:00.0,100,2,77,63,70,4082,9356,24163,10134,10156,6320,2487,3280,,,,,
58:41.0,00:00.0,100,2,83,75,79,27050,49519,22709,24825,6367,14749,8127,1514,,,,,
58:42.0,00:00.0,100,2,83,81,82,15346,15145,12485,42996,14929,16292,6013,1458,,,,,
58:43.0,00:00.0,100,2,64,75,69,366757,283490,44854,39376,7518,15194,5110,3703,,,,,
58:44.0,00:00.0,100,2,70,66,68,35103,21257,13463,13490,6171,15492,3630,3175,,,,,
58:45.0,00:00.0,100,2,70,60,65,6619,21661,2547,8637,5786,5188,5913,1182,,,,,
58:46.0,00:00.0,100,2,54,43,48,324078,246040,54965,10741,17170,9644,10377,2238,,,,,
58:47.0,00:00.0,100,2,69,57,63,37077,13317,13952,31819,9124,16362,18380,1454,,,,,
58:48.0,00:00.0,100,2,77,57,67,58291,9326,4607,29941,18173,29772,20135,4086,,,,,
58:49.0,00:00.0,100,2,84,56,70,40508,11867,148,13045,28132,10862,4713,3436,,,,,
58:50.0,00:00.0,100,2,100,70,85,6174,6862,24129,5785,11445,8708,3774,2170,,,,,
58:51.0,00:00.0,100,2,91,64,77,20554,33841,27759,26511,45555,6804,3861,2441,,,,,
58:52.0,00:00.0,100,2,80,67,73,34741,22497,22337,14096,10714,9886,5101,2450,,,,,
58:53.0,00:00.0,100,2,77,77,77,46086,38517,27663,14197,4903,23377,4555,4071,,,,,
58:54.0,00:00.0,100,2,63,57,60,48183,102285,5306,19813,25418,7091,3050,6497,,,,,
58:55.0,00:00.0,100,2,63,54,58,109861,56303,9759,23201,11494,6661,7160,568,,,,,
58:56.0,00:00.0,100,2,66,48,57,42581,32267,8407,15741,8131,14088,6072,3808,,,,,
58:57.0,00:00.0,100,2,57,47,52,23421,62898,23391,19155,9494,9788,11174,2025,,,,,
58:58.0,00:00.0,100,2,63,60,61,7172,33892,12312,32856,32284,7168,3555,5150,,,,,
58:59.0,00:00.0,100,2,70,67,68,6528,17711,37332,14613,11773,15188,11281,3270,,,,,
59:00.0,00:00.0,100,2,69,69,69,10084,25529,10237,13850,10247,10575,4312,3181,,,,,
59:01.0,00:00.0,100,2,81,70,75,13543,12269,5843,14663,7783,14222,6363,2838,,,,,
59:02.0,00:00.0,100,2,69,61,65,95377,76875,12624,5392,4245,2376,3184,592,,,,,
59:03.0,00:00.0,100,2,61,48,54,225509,91463,19450,20543,16558,9648,20644,3618,,,,,
59:04.0,00:00.0,100,2,63,47,55,2909,14727,9125,5420,11266,7295,3977,2505,,,,,
59:05.0,00:00.0,100,2,48,47,47,553318,89734,31010,45642,18015,10842,5907,2632,,,,,
59:06.0,00:00.0,100,2,50,38,44,507260,359183,13189,24097,35865,14157,17334,7114,,,,,
59:07.0,00:00.0,100,2,57,43,50,609119,66544,10665,51568,52518,23110,17552,10669,,,,,
59:08.0,00:00.0,100,2,54,40,47,140200,115645,21321,30839,5091,29807,11335,2154,,,,,
59:09.0,00:00.0,100,2,57,50,53,26620,26001,38219,44607,15656,10901,6708,1994,,,,,
59:10.0,00:00.0,100,2,54,57,55,53825,84917,11891,9721,10288,2426,2922,1149,,,,,
59:11.0,00:00.0,100,2,56,57,56,875090,23330,9531,6894,7251,8014,4326,754,,,,,
59:12.0,00:00.0,100,2,53,77,65,115237,20393,11636,95794,16485,14523,8275,2627,,,,,
59:13.0,00:00.0,100,2,44,67,55,38246,60107,37182,23242,25517,4366,5150,3739,,,,,
59:14.0,00:00.0,100,2,61,77,69,13624,16578,5038,19321,20027,6721,6271,2759,,,,,
59:15.0,00:00.0,100,2,64,83,73,32737,18638,16486,24723,10320,16926,4488,4984,,,,,
59:16.0,00:00.0,100,2,63,80,71,9751,17124,12192,40774,12066,7154,5234,2446,,,,,
59:17.0,00:00.0,100,2,80,78,79,9199,21199,6992,25203,20060,15430,5423,1767,,,,,
59:18.0,00:00.0,100,2,80,84,82,87299,3440,3109,6275,2566,2444,1322,344,,,,,
59:19.0,00:00.0,100,2,69,81,75,146422,125067,79150,16692,16617,17541,6671,2908,,,,,
59:20.0,00:00.0,100,2,67,67,67,335486,114822,27471,33087,8508,13083,4689,2004,,,,,
59:21.0,00:00.0,100,2,61,63,62,50661,73424,18177,15567,11629,14197,6129,1962,,,,,
59:22.0,00:00.0,100,2,61,50,55,477493,38889,14986,6744,21036,11581,16418,1499,,,,,
59:23.0,00:00.0,100,2,67,44,55,21020,23391,7535,6491,8226,7204,2369,2082,,,,,
59:24.0,00:00.0,100,2,77,56,66,38511,6940,20126,15452,12929,8111,1739,3495,,,,,
59:25.0,00:00.0,100,2,75,60,67,95878,71620,25584,28421,23002,14829,4752,3026,,,,,
59:26.0,00:00.0,100,2,69,70,69,192618,80707,50673,49007,15927,17966,6741,5865,,,,,
59:27.0,00:00.0,100,2,69,81,75,5028,34735,7929,56812,8236,20417,12028,6159,,,,,
59:28.0,00:00.0,100,2,64,87,75,9560,15983,24199,40101,6661,7945,10341,2412,,,,,
59:29.0,00:00.0,100,2,67,94,80,8584,23516,26592,20437,8871,12397,4493,1035,,,,,
59:30.0,00:00.0,100,2,67,83,75,25056,146643,15273,45949,37039,18975,6575,4467,,,,,
59:31.0,00:00.0,100,2,63,77,70,97964,102112,49177,17697,20332,15951,6028,3208,,,,,
59:32.0,00:00.0,100,2,67,75,71,92459,7850,26694,17839,6214,9575,5488,4178,,,,,
59:33.0,00:00.0,100,2,64,64,64,28187,43339,14516,11141,8530,9152,4092,2527,,,,,
59:34.0,00:00.0,100,2,64,60,62,51472,42483,2627,10799,38660,4643,4512,4292,,,,,
59:35.0,00:00.0,100,2,64,60,62,160959,48980,28111,5401,4982,9898,1789,446,,,,,
59:36.0,00:00.0,100,2,66,47,56,26280,40967,26896,8696,14415,18309,14376,2989,,,,,
59:37.0,00:00.0,100,2,64,38,51,117922,21677,1876,4053,7571,2612,1215,550,,,,,
59:38.0,00:00.0,100,2,66,53,59,16448,56362,33809,27166,20660,13007,10085,2335,,,,,
59:39.0,00:00.0,100,2,67,51,59,11683,86068,9771,47515,7773,20486,5042,3242,,,,,
59:40.0,00:00.0,100,2,75,51,63,18686,25843,24153,3493,8739,26368,5985,3318,,,,,
59:41.0,00:00.0,100,2,81,54,67,73199,39186,11687,9863,24761,14844,3160,3794,,,,,
59:42.0,00:00.0,100,2,80,43,61,89895,119740,9797,21156,33175,12251,5366,741,,,,,
59:43.0,00:00.0,100,2,78,44,61,55112,44328,24814,16270,13006,10000,9812,2902,,,,,
59:44.0,00:00.0,100,2,63,60,61,6218,20679,4786,75694,6951,7604,5003,2209,,,,,
59:45.0,00:00.0,100,2,66,63,64,6810,16587,10555,2834,5431,11563,4232,3435,,,,,
59:46.0,00:00.0,100,2,70,78,74,129865,12820,19153,4015,5886,6057,1785,738,,,,,
59:47.0,00:00.0,100,2,74,78,76,62281,18164,7344,6691,2428,4996,2638,1255,,,,,
59:48.0,00:00.0,100,2,78,64,71,425517,99015,53125,21704,19258,25168,11088,3942,,,,,
59:49.0,00:00.0,100,2,75,63,69,229888,37495,11905,16413,17371,20389,10882,6519,,,,,
59:50.0,00:00.0,100,2,67,61,64,86837,58110,8908,62906,15567,9737,8618,2749,,,,,
59:51.0,00:00.0,100,2,70,66,68,14541,8597,2550,13002,3614,4905,5762,1695,,,,,
59:52.0,00:00.0,100,2,70,61,65,18075,62399,16621,10610,13795,13410,7691,7459,,,,,
59:53.0,00:00.0,100,2,63,66,64,18418,96089,27325,42027,6108,15408,6663,3910,,,,,
59:54.0,00:00.0,100,2,67,66,66,634194,20678,13408,22932,14502,7853,10418,2210,,,,,
59:55.0,00:00.0,100,2,61,66,63,32910,46271,17512,47750,18006,8406,13511,1435,,,,,
59:56.0,00:00.0,100,2,69,67,68,12220,7149,3258,5078,11924,7065,4938,1258,,,,,
59:57.0,00:00.0,100,2,78,57,67,230593,94724,22972,9155,18367,31235,10898,1554,,,,,
59:58.0,00:00.0,100,2,80,51,65,33478,58045,23732,13147,16709,16270,6548,3245,,,,,
59:59.0,00:00.0,100,2,90,43,66,20477,62774,24893,18897,15294,31856,11242,4289,,,,,
00:00.0,00:00.0,100,2,74,43,58,546256,69547,6059,27443,23941,6753,4507,1644,,,,,
00:01.0,00:00.0,100,2,64,48,56,372652,43198,22548,4641,19338,6256,4584,3369,,,,,
00:02.0,00:00.0,100,2,64,56,60,9052,11002,9896,18574,10220,7315,7856,3469,,,,,
00:03.0,00:00.0,100,2,57,69,63,11449,19625,16510,38615,9585,13023,2038,2578,,,,,
00:04.0,00:00.0,100,3,69,77,73,1620591,27276,27527,10219,8186,15414,8723,4168,,,,,
00:05.0,00:00.0,100,3,78,88,83,32565,9590,7684,21232,8388,9290,4824,4448,,,,,
00:06.0,00:00.0,100,3,74,83,78,20108,24085,18357,6838,9450,5996,5171,5613,,,,,
00:07.0,00:00.0,100,3,74,84,79,21754,21181,39124,25778,13210,14199,5959,3513,,,,,
00:08.0,00:00.0,100,3,67,81,74,1487103,57742,32277,22688,28927,13654,11472,1550,,,,,
00:09.0,00:00.0,100,2,48,63,55,447597,47541,2451,9709,10707,1770,1577,570,,,,,
00:10.0,00:00.0,87,5,48,63,55,1673026,73011,2341,3135,4323,3792,817,370,,,,,
00:11.0,00:00.0,100,5,51,57,54,193190,35570,17047,3625,11145,8685,4145,4817,,,,,
00:12.0,00:00.0,100,5,54,51,52,66752,18863,13698,11653,7862,9053,9961,2650,,,,,
00:13.0,00:00.0,100,5,57,57,57,6527,13519,461,36678,12484,9757,4964,1715,,,,,
00:14.0,00:00.0,100,5,66,60,63,239388,153328,23851,12630,12632,12308,1431,2306,,,,,
00:15.0,00:00.0,100,5,66,66,66,33754,33977,29072,17336,7794,12387,3463,5280,,,,,
00:16.0,00:00.0,100,2,67,70,68,1958493,20365,34858,40596,20141,23271,4866,2031,,,,,
00:17.0,00:00.0,100,2,61,67,64,150315,15693,19553,5020,11471,3721,1504,1402,,,,,
00:18.0,00:00.0,100,2,67,80,73,59712,24181,8397,20185,6405,6706,6517,2570,,,,,
