'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
17:57.0,00:00.0,100,2,64,53,58,188482,15414,27916,18965,6343,23831,4226,2407,,14330.68293,12147.93126,6004.10643,2964.898004
17:58.0,00:00.0,100,2,61,61,61,649821,190918,33711,26013,7342,9307,9147,5300,,,,,
17:59.0,00:00.0,100,2,56,67,61,339342,24278,30913,7635,15925,12830,4691,7187,,,,,
18:00.0,00:00.0,100,2,56,66,61,707945,70488,14851,31367,15313,24665,3182,4586,,,,,
18:01.0,00:00.0,100,2,56,64,60,84754,12285,5445,24117,10666,15758,5002,2985,,,,,
18:02.0,00:00.0,100,2,60,75,67,285048,68409,64107,15450,6389,7843,2713,4016,,,,,
18:03.0,00:00.0,100,2,51,83,67,135609,28165,32250,39110,9208,7249,4773,1323,,,,,
18:04.0,00:00.0,100,2,34,75,54,459109,373371,37283,30160,33663,14076,9245,5454,,,,,
18:05.0,00:00.0,100,2,20,57,38,275929,81525,8504,5539,13851,8373,14774,841,,,,,
18:06.0,00:00.0,100,2,21,40,30,194716,65286,4898,6764,5950,4582,3343,1642,,,,,
18:07.0,00:00.0,100,2,26,21,23,52010,111459,20720,22581,31198,21225,6755,2328,,,,,
18:08.0,00:00.0,100,2,44,24,34,92327,70442,10955,15648,23100,21052,17047,3055,,,,,
18:09.0,00:00.0,100,2,48,29,38,221323,44828,6365,10349,15771,10034,2832,3331,,,,,
18:10.0,00:00.0,100,2,60,43,51,68226,21384,9805,14590,9053,7714,7672,3526,,,,,
18:11.0,00:00.0,100,1,48,48,48,257266,43771,11991,6950,4102,2834,4048,609,,,,,
18:12.0,00:00.0,100,1,43,56,49,76923,49443,19775,22956,14194,10976,5847,4730,,,,,
18:13.0,00:00.0,100,1,44,61,52,127242,27695,5236,24710,30441,11090,8702,1819,,,,,
18:14.0,00:00.0,100,1,37,53,45,1345544,98509,19758,19492,29280,10973,4212,1074,,,,,
18:15.0,00:00.0,100,1,53,50,51,167462,31350,14473,4995,22246,14137,7671,7247,,,,,
18:16.0,00:00.0,100,1,57,47,52,1884638,58156,5396,26915,22062,18035,6561,3319,,,,,
18:17.0,00:00.0,100,1,63,47,55,56225,41804,28157,11791,18779,23274,4401,2467,,,,,
18:18.0,00:00.0,100,1,70,54,62,188053,35614,683,36468,8448,13796,6309,4795,,,,,
18:19.0,00:00.0,100,1,54,48,51,1437155,323369,25703,17927,11659,16888,4616,7098,,,,,
18:20.0,00:00.0,100,1,56,54,55,72815,40223,44647,12557,8154,21076,2912,2792,,,,,
18:21.0,00:00.0,100,1,43,56,49,238534,22788,8839,13200,12024,2997,1213,802,,,,,
18:22.0,00:00.0,100,1,44,63,53,298117,15436,37749,24243,18708,16722,7150,1494,,,,,
18:23.0,00:00.0,100,1,51,81,66,40343,47826,37523,21590,13666,10978,6251,1908,,,,,
18:24.0,00:00.0,100,1,38,81,59,112668,16088,5077,10727,3801,1690,1858,869,,,,,
18:25.0,00:00.0,100,1,56,80,68,23024,6754,9688,5712,14471,11849,3517,2380,,,,,
18:26.0,00:00.0,100,1,51,80,65,37827,19322,24983,29103,16974,8650,4880,2574,,,,,
18:27.0,00:00.0,100,1,56,69,62,176395,106092,30503,13188,14650,26483,4330,3081,,,,,
18:28.0,00:00.0,100,1,57,80,68,58158,31918,62302,49825,14832,9923,4651,1567,,,,,
18:29.0,00:00.0,100,1,56,91,73,132659,3893,28090,17389,5697,20257,6129,2142,,,,,
18:30.0,00:00.0,100,1,56,84,70,49189,33606,27938,6796,10459,10581,9737,4355,,,,,
18:31.0,00:00.0,100,1,48,81,64,465301,148793,19646,16630,4846,11308,11677,1466,,,,,
18:32.0,00:00.0,100,2,44,75,59,1471388,192979,142535,157347,93963,23796,9402,3347,,,,,
18:33.0,00:00.0,100,2,26,63,44,1055079,53539,8034,26046,14521,4669,2483,1037,,,,,
18:34.0,00:00.0,100,2,29,66,47,37891,30911,19300,46196,31482,19321,3176,1478,,,,,
18:35.0,00:00.0,100,2,43,80,61,66561,29275,38634,6090,3772,19687,4910,4730,,,,,
18:36.0,00:00.0,100,2,53,63,58,59538,116883,13434,16456,24131,20609,7706,1889,,,,,
18:37.0,00:00.0,100,2,56,66,61,554815,74649,22813,55798,23626,12714,3218,8029,,,,,
18:38.0,00:00.0,100,2,35,50,42,1235669,200476,18190,10788,4616,4318,3016,1497,,,,,
