'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
58:04.0,00:00.0,100,2,38,41,39,720459,121534,7701,2600,11232,3740,617,847,,14023.12375,12423.29299,8870.520473,4431.178344
58:05.0,00:00.0,100,1,38,48,43,131632,38476,26562,4415,2632,4460,2735,431,,,,,
58:06.0,00:00.0,100,1,44,51,47,227008,35598,4176,10673,9758,6365,3305,5867,,,,,
58:07.0,00:00.0,100,2,30,48,39,603405,479302,32396,66321,28808,23075,31308,7493,,,,,
58:08.0,00:00.0,100,2,50,78,64,429396,19876,41895,14470,8206,18089,14360,6672,,,,,
58:09.0,00:00.0,100,2,57,69,63,883872,65394,7534,22860,10989,15807,14377,4028,,,,,
58:10.0,00:00.0,100,1,63,77,70,253736,44576,30554,18787,25374,21363,4033,2769,,,,,
58:11.0,00:00.0,100,1,81,83,82,82846,49243,4203,21421,14968,24556,5786,3491,,,,,
58:12.0,00:00.0,100,1,77,80,78,10771,11476,16170,9852,11683,5320,3529,3669,,,,,
58:13.0,00:00.0,100,1,63,69,66,1034586,260240,10758,30050,25570,11178,6185,16076,,,,,
58:14.0,00:00.0,100,1,60,78,69,37463,16636,27208,39697,21843,15194,14368,4444,,,,,
58:15.0,00:00.0,100,1,44,90,67,11204,43102,43839,18851,29065,4736,11827,2988,,,,,
58:16.0,00:00.0,100,1,51,63,57,32672,61853,7056,1062,19614,24042,17385,2334,,,,,
58:17.0,00:00.0,100,1,66,77,71,39228,8433,10377,20591,58692,7305,8900,7334,,,,,
58:18.0,00:00.0,100,1,77,67,72,14109,7988,15242,5125,9220,14326,3752,4511,,,,,
58:19.0,00:00.0,100,1,80,53,66,74269,24153,3254,2985,2976,2350,1773,1235,,,,,
58:20.0,00:00.0,100,2,66,66,66,477191,263976,53179,40813,10152,21085,6838,4397,,,,,
58:21.0,00:00.0,100,2,61,80,70,4487,15246,7953,22199,2497,5467,3427,3127,,,,,
58:22.0,00:00.0,100,2,37,70,53,612548,87759,13915,14864,8372,3105,2393,2388,,,,,
