'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
17:56.0,00:00.0,100,2,94,77,85,198345,23290,17576,15643,3153,12313,3641,3948,,12592.04564,11564.361,7545.369295,3760.377593
17:57.0,00:00.0,100,2,83,70,76,273937,94419,12324,23172,14816,11402,7845,804,,,,,
17:58.0,00:00.0,100,2,81,61,71,2596,29677,2876,4915,5202,23922,22922,3289,,,,,
17:59.0,00:00.0,100,2,75,60,67,12849,13053,16136,14579,10721,8442,11790,2304,,,,,
18:00.0,00:00.0,100,2,75,61,68,23322,23866,30038,20625,9265,17511,17565,5797,,,,,
18:01.0,00:00.0,100,2,81,77,79,5630,15922,30499,6312,2583,9123,8151,2257,,,,,
18:02.0,00:00.0,100,2,77,90,83,78763,18400,8296,21931,15862,15465,5506,6216,,,,,
18:03.0,00:00.0,100,2,75,84,79,82731,32445,14744,23789,28900,12769,8662,4934,,,,,
18:04.0,00:00.0,100,2,67,84,75,315681,15219,12610,11286,5227,3596,4969,2644,,,,,
18:05.0,00:00.0,100,2,56,69,62,1253739,285389,55503,40952,10131,19428,14047,10534,,,,,
18:06.0,00:00.0,100,2,29,54,41,1765753,183729,13709,11855,7793,3445,4255,2823,,,,,
18:07.0,00:00.0,100,2,26,61,43,868830,42188,36724,21711,8750,12234,5251,1148,,,,,
18:08.0,00:00.0,100,2,30,40,35,417552,208769,8299,23765,18402,40665,15073,3976,,,,,
18:09.0,00:00.0,100,2,51,34,42,405468,37311,7383,4737,15969,27887,26131,2456,,,,,
18:10.0,00:00.0,100,2,75,48,61,6282,13548,15886,15118,27118,10828,7785,4902,,,,,
18:11.0,00:00.0,100,2,84,50,67,23260,5054,11364,18962,11037,10695,9837,2300,,,,,
18:12.0,00:00.0,100,2,83,51,67,18181,40203,2382,6358,15733,6318,6835,862,,,,,
18:13.0,00:00.0,100,2,74,74,74,10602,31457,9939,53542,3915,15887,13019,3815,,,,,
18:14.0,00:00.0,100,2,51,63,57,321570,330138,57242,19809,13135,9879,9468,3388,,,,,
18:15.0,00:00.0,100,2,51,66,58,12348,3020,18782,10271,7529,8635,3853,2168,,,,,
18:16.0,00:00.0,100,2,40,67,53,291582,262852,20353,29103,14736,11278,9161,2605,,,,,
18:17.0,00:00.0,100,2,30,54,42,220152,29172,7008,5393,3611,3386,1097,559,,,,,
18:18.0,00:00.0,100,2,50,67,58,7063,22359,35353,7141,14568,12811,3833,2662,,,,,
18:19.0,00:00.0,100,2,41,50,45,51145,30140,2851,5838,454,3697,3719,2303,,,,,
18:20.0,00:00.0,100,2,51,54,52,23242,82914,18650,17098,18086,13862,6765,1614,,,,,
18:21.0,00:00.0,100,2,67,54,60,1404988,41425,12616,23735,24919,40931,5012,11136,,,,,
18:22.0,00:00.0,100,2,63,51,57,8251,50475,16117,32414,9831,10680,9905,3806,,,,,
18:23.0,00:00.0,100,2,56,57,56,118063,152206,62009,29070,21200,12579,4716,9902,,,,,
18:24.0,00:00.0,100,2,60,70,65,3073,11115,24545,8229,16576,6886,7504,3857,,,,,
18:25.0,00:00.0,100,2,51,78,64,26399,28129,5420,26397,14087,10798,9253,5950,,,,,
18:26.0,00:00.0,100,2,61,75,68,11431,16532,12612,5620,11706,12592,8403,2443,,,,,
18:27.0,00:00.0,100,2,75,66,70,18090,26777,3875,11683,32341,9976,5230,4708,,,,,
18:28.0,00:00.0,100,2,75,51,63,153855,119019,11005,20135,17670,26553,12109,2720,,,,,
18:29.0,00:00.0,100,2,80,47,63,10276,14450,18280,2432,22693,12051,7219,3246,,,,,
18:30.0,00:00.0,100,2,75,48,61,14877,35850,13176,14445,3550,12458,7611,5716,,,,,
18:31.0,00:00.0,100,2,69,53,61,3366,25914,15386,2811,17507,5682,11331,2415,,,,,
18:32.0,00:00.0,100,2,70,61,65,14998,28099,6351,18148,18703,8390,13257,3773,,,,,
18:33.0,00:00.0,100,2,61,54,57,146868,99551,12789,22250,22805,18298,3464,7032,,,,,
18:34.0,00:00.0,100,2,67,43,55,5908,33361,5130,6075,22628,15336,7513,5831,,,,,
18:35.0,00:00.0,100,2,70,48,59,72135,11657,10670,4500,2884,6411,1353,543,,,,,
18:36.0,00:00.0,100,2,66,40,53,236583,79012,19015,3406,31822,9039,17786,3493,,,,,
18:37.0,00:00.0,100,2,63,51,57,13209,20194,2582,23816,4518,4595,11563,4342,,,,,
18:38.0,00:00.0,100,2,61,66,63,45329,20311,10639,22035,16658,12670,15051,5974,,,,,
18:39.0,00:00.0,100,2,50,70,60,8422,29396,21197,24368,8141,4799,11349,4959,,,,,
18:40.0,00:00.0,100,2,64,78,71,576557,13993,9114,8717,19594,16301,16390,5169,,,,,
18:41.0,00:00.0,100,2,74,75,74,36940,10412,9542,5379,8777,6615,7694,3297,,,,,
18:42.0,00:00.0,100,2,61,66,63,162654,237881,57501,21621,21844,23029,13287,10479,,,,,
18:43.0,00:00.0,100,2,75,54,64,652573,23381,12342,1523,4323,10864,4058,1503,,,,,
18:44.0,00:00.0,100,2,57,64,60,197880,76664,87954,6590,15636,12921,13535,5067,,,,,
18:45.0,00:00.0,100,2,50,70,60,34285,21764,8776,40382,11468,6448,6531,3244,,,,,
18:46.0,00:00.0,100,2,61,69,65,11979,21525,1081,8193,16602,9457,7568,3210,,,,,
18:47.0,00:00.0,100,2,50,75,62,106203,91988,71938,10861,30949,12473,6189,2371,,,,,
18:48.0,00:00.0,100,2,61,69,65,11921,12212,8131,7109,8132,7171,2824,3692,,,,,
18:49.0,00:00.0,100,2,67,61,64,58019,32522,4525,31078,11231,12665,3447,6021,,,,,
18:50.0,00:00.0,100,2,51,84,67,37587,25708,64756,11735,5493,4309,7555,1598,,,,,
18:51.0,00:00.0,100,2,63,81,72,1785782,198515,7792,121593,28999,97668,29735,14541,,,,,
18:52.0,00:00.0,100,2,51,78,64,2190427,164957,14328,52147,20590,17659,13434,2395,,,,,
18:53.0,00:00.0,100,2,40,78,59,523156,158526,63058,65128,12488,13749,11721,2821,,,,,
18:54.0,00:00.0,100,2,53,63,58,441859,23110,9241,14458,19228,9272,6160,3273,,,,,
18:55.0,00:00.0,100,2,60,64,62,12017,9449,12919,10376,24270,16709,4640,3512,,,,,
18:56.0,00:00.0,100,2,69,74,71,5653,15214,10570,19457,9430,11368,5978,3055,,,,,
18:57.0,00:00.0,100,2,93,69,81,2065,8090,11500,9430,12169,18025,7722,5147,,,,,
18:58.0,00:00.0,100,2,84,75,79,1302123,67891,31204,36539,22966,12319,8856,3663,,,,,
18:59.0,00:00.0,100,2,75,56,65,52501,13421,796,683,2261,2619,943,286,,,,,
