'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
52:38.0,00:00.0,0,5,0,0,0,411562,170801,207949,47944,19672,17588,2313,4090,,15453.9932,10873.21845,5099.673786,3872.695146
52:39.0,00:00.0,0,5,0,0,0,676509,147179,152324,42430,21328,32127,4069,4761,,,,,
52:40.0,00:00.0,0,5,0,0,0,103011,302672,91583,40769,9279,15805,4787,2927,,,,,
52:41.0,00:00.0,0,5,0,0,0,703084,94409,55479,21148,5038,7911,2919,1805,,,,,
52:42.0,00:00.0,0,5,0,0,0,76207,118184,96884,30544,15657,7034,3821,1908,,,,,
52:43.0,00:00.0,0,5,0,0,0,764878,76195,452705,100660,51276,45173,9278,6992,,,,,
52:44.0,00:00.0,0,5,0,0,0,248815,97803,78460,12967,15760,7483,1253,2842,,,,,
52:45.0,00:00.0,0,5,0,0,0,1025370,448920,209718,79834,186801,24139,10073,10889,,,,,
52:46.0,00:00.0,0,5,0,0,0,245518,383932,156368,35026,99010,14549,4241,14147,,,,,
52:47.0,00:00.0,0,5,0,0,0,251569,535153,84912,92655,49507,30031,9767,11500,,,,,
52:48.0,00:00.0,0,5,0,0,0,1204709,257210,171293,46857,33209,18443,6804,6358,,,,,
52:49.0,00:00.0,0,5,0,0,0,591784,432714,29319,35844,27052,10284,6081,3266,,,,,
52:50.0,00:00.0,0,5,0,0,0,186986,46281,63509,18726,9655,4983,1537,1323,,,,,
52:51.0,00:00.0,0,5,0,0,0,161442,77104,117991,30819,51988,3981,1565,3212,,,,,
52:52.0,00:00.0,0,5,0,0,0,214404,237711,161570,38870,51592,46781,6848,5294,,,,,
52:53.0,00:00.0,0,5,0,0,0,427631,306607,135680,111568,59209,25269,7221,22202,,,,,
52:54.0,00:00.0,0,5,0,0,0,277842,321336,27888,81522,78642,13737,8738,7934,,,,,
52:55.0,00:00.0,0,5,0,0,0,231480,78102,19567,13725,10799,10149,2269,1540,,,,,
52:56.0,00:00.0,0,5,0,0,0,251485,620896,51818,95879,179340,41650,7139,9956,,,,,
52:57.0,00:00.0,0,5,0,0,0,328959,104260,225882,32786,17844,29084,6730,4184,,,,,
52:58.0,00:00.0,0,5,0,0,0,244753,73162,26923,24415,20179,6399,2260,1431,,,,,
52:59.0,00:00.0,0,5,0,0,0,2238466,702080,774793,670699,241394,155245,156118,92544,,,,,
53:00.0,00:00.0,0,5,0,0,0,1514421,1361745,445790,647761,218686,213141,176832,129834,,,,,
53:01.0,00:00.0,74,5,0,0,0,84524,27922,27016,48661,26774,19651,9428,10877,,,,,
53:02.0,00:00.0,74,5,0,0,0,2167262,520304,121977,65624,148389,117731,120014,54302,,,,,
53:03.0,00:00.0,74,5,0,0,0,255467,18774,2919,4971,9890,19651,17765,3428,,,,,
53:04.0,00:00.0,74,5,0,0,0,843925,18618,16537,9479,5840,2960,3855,2767,,,,,
53:05.0,00:00.0,100,5,0,0,0,29475,2166,1918,2426,1301,415,146,158,,,,,
53:06.0,00:00.0,100,2,0,0,0,867746,514199,86449,44209,91178,38460,14526,2716,,,,,
53:07.0,00:00.0,100,2,0,0,0,1063709,67506,6528,43918,17734,8156,2884,1914,,,,,
53:08.0,00:00.0,100,2,57,75,66,440176,74913,65103,28362,8276,14486,2592,1205,,,,,
53:09.0,00:00.0,100,2,77,75,76,1899701,59657,7873,21148,14710,7168,4235,1335,,,,,
53:10.0,00:00.0,100,2,100,70,85,531435,101787,7594,71830,110159,38384,3482,1340,,,,,
53:11.0,00:00.0,74,4,100,70,85,332655,1068442,189867,44671,37726,97259,14652,47534,,,,,
53:12.0,00:00.0,74,4,100,70,85,1591618,152146,54949,52933,14790,71396,5096,3343,,,,,
53:13.0,00:00.0,87,4,100,70,85,941102,30823,13938,7443,4694,5662,2260,1084,,,,,
53:14.0,00:00.0,74,4,100,70,85,1361888,93788,204053,49427,76747,69734,56349,87318,,,,,
53:15.0,00:00.0,74,4,100,70,85,628799,249993,54447,55975,131938,94813,59946,19464,,,,,
53:16.0,00:00.0,74,4,100,70,85,2117755,53216,100299,31115,213011,190304,106968,76454,,,,,
53:17.0,00:00.0,87,4,100,70,85,852632,13572,7366,4341,2389,1714,1691,475,,,,,
53:18.0,00:00.0,100,4,69,60,64,10605,6541,2371,4482,592,594,193,159,,,,,
53:19.0,00:00.0,100,4,70,40,55,592300,49922,7071,8482,6311,9538,7227,1347,,,,,
53:20.0,00:00.0,100,4,70,47,58,232662,54073,20741,44463,34699,16743,8057,4175,,,,,
53:21.0,00:00.0,100,2,29,34,31,1466890,335275,30537,13036,18916,7679,3476,1046,,,,,
53:22.0,00:00.0,100,3,56,20,38,647716,218903,70101,15559,9406,27360,11253,1971,,,,,
53:23.0,00:00.0,74,5,56,20,38,1093881,227959,90509,43586,37621,29749,7922,9493,,,,,
53:24.0,00:00.0,100,5,48,13,30,1814458,105784,12053,13692,63741,10875,4886,1970,,,,,
53:25.0,00:00.0,100,5,57,13,35,85136,39448,36090,9816,15034,17503,1219,3936,,,,,
53:26.0,00:00.0,100,5,84,34,59,24348,43721,7148,19912,7434,6175,5029,2867,,,,,
53:27.0,00:00.0,100,5,88,24,56,75811,52523,2091,10666,7550,7161,4553,1675,,,,,
53:28.0,00:00.0,100,5,87,47,67,840767,19432,11523,8868,4581,2765,669,1107,,,,,
