'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
11:26.0,00:00.0,100,2,47,34,40,229658,81041,12561,8300,10769,9242,5327,2795,,18042.79705,13505.0491,6527.947627,3087.679214
11:27.0,00:00.0,100,2,43,35,39,894976,31223,10612,13254,3527,2241,1195,793,,,,,
11:28.0,00:00.0,100,2,56,37,46,112270,29298,7687,7044,10397,17982,9968,3031,,,,,
11:29.0,00:00.0,100,2,44,47,45,77709,19212,8924,4698,3641,2600,1601,530,,,,,
11:30.0,00:00.0,100,2,50,54,52,18314,12178,3636,17150,15509,5322,4446,2986,,,,,
11:31.0,00:00.0,100,2,57,51,54,74642,88513,29730,27498,41584,16346,4085,3897,,,,,
11:32.0,00:00.0,100,2,47,57,52,106335,72563,52534,11877,33445,15151,3915,2605,,,,,
11:33.0,00:00.0,100,2,51,47,49,462970,101806,4626,12031,12985,16020,9685,3466,,,,,
11:34.0,00:00.0,100,2,57,41,49,18765,11684,1332,10846,17858,6778,8307,2247,,,,,
11:35.0,00:00.0,100,2,67,37,52,65048,15278,3853,3817,3747,10210,1988,510,,,,,
11:36.0,00:00.0,100,2,81,30,55,111627,14316,7556,21292,65501,20441,14736,5124,,,,,
11:37.0,00:00.0,100,2,91,41,66,5769,12564,4931,14413,13103,15972,8085,5427,,,,,
11:38.0,00:00.0,100,2,87,41,64,17615,28795,9507,8024,24028,7619,4995,3979,,,,,
11:39.0,00:00.0,100,2,80,50,65,12421,44881,21265,26812,18556,17594,4352,3470,,,,,
11:40.0,00:00.0,100,2,70,57,63,54366,8663,2886,7118,1438,2934,1604,376,,,,,
11:41.0,00:00.0,100,2,51,38,44,626911,417639,11178,15383,56275,20996,3975,2832,,,,,
11:42.0,00:00.0,100,2,43,50,46,1832300,96644,176140,62863,62832,23337,14705,6058,,,,,
11:43.0,00:00.0,100,2,34,44,39,632319,388362,74321,50392,14180,29762,16127,6736,,,,,
11:44.0,00:00.0,100,2,29,40,34,2812252,51540,16369,26860,28884,9849,4651,1918,,,,,
11:45.0,00:00.0,100,2,38,57,47,92378,67185,21224,14353,21541,14046,10944,2373,,,,,
11:46.0,00:00.0,100,2,53,47,50,49555,23244,9510,20626,38365,18605,8767,2584,,,,,
11:47.0,00:00.0,100,2,61,61,61,36877,25725,31779,36325,12859,14585,3412,1138,,,,,
11:48.0,00:00.0,100,1,54,67,60,761282,22885,27098,7927,5220,3068,2013,779,,,,,
11:49.0,00:00.0,100,1,50,74,62,555316,75211,10541,43187,9578,8612,10779,2861,,,,,
11:50.0,00:00.0,100,2,53,67,60,854671,79697,35425,11923,82406,62536,4954,3471,,,,,
11:51.0,00:00.0,100,2,60,57,58,29277,39832,27424,10336,16080,29946,6951,1136,,,,,
11:52.0,00:00.0,100,2,66,47,56,26234,57336,1535,21954,16036,7773,7928,2484,,,,,
11:53.0,00:00.0,100,2,75,43,59,1134540,59416,19631,26923,28440,18498,2009,386,,,,,
