'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
09:18.0,00:00.0,100,2,29,81,55,66609,41733,21370,31974,19475,10744,7694,1985,,19155.85228,17250.45092,12444.37609,6010.471331
09:19.0,00:00.0,100,2,41,91,66,50553,26756,36385,52209,11305,11764,14720,3800,,,,,
09:20.0,00:00.0,100,2,38,70,54,125308,17579,717,2714,4257,2430,1086,1247,,,,,
09:21.0,00:00.0,100,2,50,57,53,23556,33293,6827,6929,7682,9898,9439,13455,,,,,
09:22.0,00:00.0,100,2,61,51,56,16073,18463,8655,6920,9414,11256,3729,1293,,,,,
09:23.0,00:00.0,100,2,78,37,57,31565,9873,5150,3086,8211,6238,6564,2352,,,,,
09:24.0,00:00.0,100,2,90,48,69,24245,18642,1333,20001,13360,12026,16006,3343,,,,,
09:25.0,00:00.0,100,2,88,56,72,2601340,130750,79953,36102,49022,46940,30388,7944,,,,,
09:26.0,00:00.0,100,2,88,60,74,66808,17330,5012,31532,21320,15756,17783,4862,,,,,
09:27.0,00:00.0,100,2,66,74,70,63678,65210,85422,37278,19511,13311,8246,11331,,,,,
09:28.0,00:00.0,100,2,56,61,58,54868,117345,12910,17171,33618,17182,15596,5771,,,,,
09:29.0,00:00.0,100,2,48,43,45,76617,365048,25594,11466,45672,33394,15090,13533,,,,,
09:30.0,00:00.0,100,2,27,41,34,1247148,72121,24083,31002,16627,8993,4694,3149,,,,,
09:31.0,00:00.0,100,2,48,30,39,18791,32215,10573,17652,8022,17622,8210,3408,,,,,
09:32.0,00:00.0,100,2,30,30,30,441705,206033,31574,10858,23306,8471,10271,5706,,,,,
09:33.0,00:00.0,100,2,27,48,37,52140,103654,40503,62845,126997,14320,19767,8925,,,,,
09:34.0,00:00.0,100,2,24,38,31,147731,29964,5859,2738,1209,2123,1188,1085,,,,,
09:35.0,00:00.0,100,2,16,48,32,356804,15716,44772,7908,22157,10571,25114,5696,,,,,
