'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
27:40.0,00:00.0,100,2,48,48,48,934984,861490,66993,83258,32072,106507,40484,34826,,22323.03401,18014.29932,12871.01587,6433.707483
27:41.0,00:00.0,100,2,50,50,50,1815937,225460,38745,79655,30294,38588,35497,16261,,,,,
27:42.0,00:00.0,100,2,43,40,41,391520,200012,15228,26865,15620,19157,14491,6303,,,,,
27:43.0,00:00.0,100,2,48,41,44,90986,7385,4934,4258,2291,4375,2358,3195,,,,,
27:44.0,00:00.0,100,2,63,50,56,12461,25219,9742,16065,17360,25349,6356,5767,,,,,
27:45.0,00:00.0,100,2,57,48,52,140445,36536,3591,11845,6777,3196,7241,1220,,,,,
27:46.0,00:00.0,100,2,70,61,65,84381,16220,31872,11758,28669,20335,7456,5134,,,,,
27:47.0,00:00.0,100,2,69,66,67,85337,32416,33895,50525,9189,24842,11155,16711,,,,,
27:48.0,00:00.0,100,2,60,67,63,30171,64190,23552,24876,30845,19393,31102,1768,,,,,
27:49.0,00:00.0,100,2,64,67,65,143374,36967,6286,8687,3993,5532,5026,2474,,,,,
27:50.0,00:00.0,100,2,51,66,58,172640,33864,17700,8946,7301,5203,3859,2374,,,,,
27:51.0,00:00.0,100,2,48,54,51,36445,56103,8333,21048,11693,12404,11119,3327,,,,,
27:52.0,00:00.0,100,2,50,54,52,158335,16255,7673,6562,13031,6049,5109,2610,,,,,
27:53.0,00:00.0,100,2,66,57,61,8014,24028,10611,23231,20496,33985,14106,2653,,,,,
27:54.0,00:00.0,100,2,83,54,68,180079,17212,5267,13247,16610,16106,18575,6473,,,,,
27:55.0,00:00.0,100,2,78,50,64,1337051,214545,29911,48713,20736,27760,15382,10790,,,,,
27:56.0,00:00.0,100,2,77,57,67,6507,24542,22775,21567,10038,11595,3170,2980,,,,,
27:57.0,00:00.0,100,1,53,53,53,700305,451187,38297,107504,28794,36194,42945,4542,,,,,
27:58.0,00:00.0,100,1,41,38,39,755849,156280,6374,19608,127570,23192,31909,12661,,,,,
27:59.0,00:00.0,100,1,51,48,49,20172,25037,25425,33476,16806,26464,15704,6666,,,,,
28:00.0,00:00.0,100,1,56,44,50,1481059,63241,66441,24916,35115,37252,25600,8522,,,,,
28:01.0,00:00.0,100,1,70,47,58,2670,14936,6632,12871,34494,8693,8001,8720,,,,,
28:02.0,00:00.0,100,1,70,63,66,63493,75476,20515,27109,14376,17264,18435,4916,,,,,
28:03.0,00:00.0,100,1,74,56,65,29717,35297,16055,15024,19622,24376,22443,20627,,,,,
28:04.0,00:00.0,100,1,66,51,58,59213,87440,7768,31694,9317,15376,12493,5659,,,,,
28:05.0,00:00.0,100,1,64,63,63,15552,33679,37947,28284,10700,22500,13092,4120,,,,,
28:06.0,00:00.0,100,1,67,61,64,61585,39676,7083,22637,28404,13587,8466,18164,,,,,
28:07.0,00:00.0,100,1,64,61,62,475090,34389,11734,37084,50762,21641,17971,6121,,,,,
28:08.0,00:00.0,100,1,64,66,65,39291,79002,53549,13801,27183,17280,15208,9045,,,,,
28:09.0,00:00.0,100,1,75,57,66,14728,12188,21651,4233,25481,21412,14719,10796,,,,,
28:10.0,00:00.0,100,1,70,54,62,535033,88901,11351,23726,7210,18168,8933,2495,,,,,
28:11.0,00:00.0,100,1,51,47,49,1214117,154518,19918,10417,10955,6761,6016,2233,,,,,
28:12.0,00:00.0,100,1,54,47,50,49328,22405,25740,6946,30874,8906,9270,3090,,,,,
28:13.0,00:00.0,100,1,40,48,44,132522,23367,15546,2004,4548,4698,5917,1189,,,,,
28:14.0,00:00.0,100,1,35,40,37,87990,168269,20576,4497,8154,14991,17687,6122,,,,,
28:15.0,00:00.0,100,1,50,53,51,350275,82065,64563,15757,11406,26014,11771,2055,,,,,
28:16.0,00:00.0,100,1,38,43,40,437012,94759,15211,5686,7048,6296,5156,1382,,,,,
28:17.0,00:00.0,100,1,34,50,42,922127,96664,78508,54013,27361,16107,21991,34224,,,,,
28:18.0,00:00.0,100,1,35,61,48,117478,29003,13551,3436,10369,4876,5379,2197,,,,,
28:19.0,00:00.0,100,1,40,54,47,61984,50710,14670,17529,25713,20854,20085,17507,,,,,
28:20.0,00:00.0,100,1,44,60,52,302566,128767,17115,35978,19984,17635,14857,4808,,,,,
28:21.0,00:00.0,100,1,43,50,46,956425,115450,31380,37778,45287,11978,12283,11624,,,,,
28:22.0,00:00.0,100,1,60,41,50,14831,23647,1588,11241,27757,19889,8760,2242,,,,,
28:23.0,00:00.0,100,1,54,41,47,182606,103880,30960,22646,32388,22861,9393,11027,,,,,
28:24.0,00:00.0,100,1,61,47,54,54608,48485,17243,17119,16345,13834,3510,4420,,,,,
28:25.0,00:00.0,100,1,74,48,61,2545,30729,23606,13236,17602,15015,7832,5737,,,,,
28:26.0,00:00.0,100,2,50,56,53,627189,243001,82144,34732,43841,20435,26269,9044,,,,,
28:27.0,00:00.0,100,2,51,60,55,40140,24993,15602,6413,12173,8125,15255,1300,,,,,
28:28.0,00:00.0,100,2,57,54,55,343618,137404,24323,59696,47807,71417,28967,7556,,,,,
28:29.0,00:00.0,100,2,54,57,55,1430970,58506,47844,12206,13406,17302,15786,15038,,,,,
28:30.0,00:00.0,100,2,61,44,52,202532,86057,4735,6922,4053,9317,6612,2379,,,,,
28:31.0,00:00.0,100,2,63,51,57,8578,11026,14415,36325,30564,14254,21460,3030,,,,,
28:32.0,00:00.0,100,2,61,53,57,31346,43808,11116,18171,26049,19376,6762,5133,,,,,
28:33.0,00:00.0,100,2,67,51,59,8096,19932,24219,10639,27148,17953,10760,6447,,,,,
28:34.0,00:00.0,100,2,84,56,70,63498,27131,7596,6474,12067,23726,16595,10863,,,,,
28:35.0,00:00.0,100,2,83,50,66,584994,43902,25772,15635,40130,13429,9806,5405,,,,,
28:36.0,00:00.0,100,2,84,54,69,556568,21510,18293,20367,21674,19916,8325,5222,,,,,
28:37.0,00:00.0,100,2,78,48,63,30934,102494,12824,30195,31827,24061,23657,8318,,,,,
28:38.0,00:00.0,100,2,75,54,64,42022,17770,11650,14197,23119,17389,7455,2797,,,,,
28:39.0,00:00.0,100,2,67,61,64,721550,68468,57056,12588,7521,10545,2354,4533,,,,,
28:40.0,00:00.0,100,2,53,57,55,719360,146593,31366,66232,30885,19133,16888,14876,,,,,
28:41.0,00:00.0,100,2,56,66,61,495525,40537,34463,6699,7815,18187,15392,7594,,,,,
28:42.0,00:00.0,100,2,41,60,50,723907,68629,18333,1639,12396,7656,4314,1630,,,,,
28:43.0,00:00.0,100,2,34,51,42,697699,87935,19072,13133,11750,3970,2200,1500,,,,,
28:44.0,00:00.0,100,2,26,48,37,2156871,219938,71723,30957,55185,13209,10902,5201,,,,,
28:45.0,00:00.0,100,2,16,53,34,19459,41892,53599,25309,27185,9922,17827,8462,,,,,
28:46.0,00:00.0,100,2,24,66,45,59399,17477,20648,16866,20998,12645,19668,5475,,,,,
28:47.0,00:00.0,100,2,54,75,64,12559,6207,13191,31534,19913,30763,17394,11387,,,,,
28:48.0,00:00.0,100,2,77,75,76,1236,22590,10624,8932,14065,14280,26628,3278,,,,,
28:49.0,00:00.0,100,2,94,70,82,2248,12142,10203,17119,9480,20715,9890,1773,,,,,
28:50.0,00:00.0,100,2,90,66,78,247864,32270,8928,17333,13290,7243,4221,1034,,,,,
28:51.0,00:00.0,100,2,77,61,69,624646,50867,8173,31559,20055,16716,8034,9412,,,,,
28:52.0,00:00.0,100,2,69,64,66,796325,38169,27602,21074,41697,12704,29100,3803,,,,,
28:53.0,00:00.0,100,2,53,63,58,239462,50482,11011,34282,15035,10378,8509,8392,,,,,
28:54.0,00:00.0,100,2,50,75,62,1719424,34253,17815,70078,11051,10475,7558,4835,,,,,
28:55.0,00:00.0,100,2,53,80,66,3529,13875,22922,10047,17053,11296,4156,1222,,,,,
28:56.0,00:00.0,100,2,38,75,56,126036,49348,8597,7074,2793,2493,3109,1014,,,,,
28:57.0,00:00.0,100,1,40,67,53,517084,33833,4560,9802,11766,6324,5163,1472,,,,,
28:58.0,00:00.0,100,2,35,47,41,228701,59428,4284,7704,2546,3480,1034,661,,,,,
28:59.0,00:00.0,100,2,40,47,43,64105,31792,13729,52060,10941,32914,19360,4727,,,,,
29:00.0,00:00.0,100,2,54,56,55,28146,19343,16896,37255,37429,11938,5559,4358,,,,,
29:01.0,00:00.0,100,2,64,63,63,37026,8811,9661,8528,10067,10884,6054,5092,,,,,
29:02.0,00:00.0,100,2,83,77,80,9191,15344,12518,8847,6953,12143,9466,3814,,,,,
29:03.0,00:00.0,100,2,64,67,65,147947,37853,12445,9317,11130,3747,2835,2962,,,,,
29:04.0,00:00.0,100,2,74,66,70,182291,12918,14490,16884,24494,16157,16831,3870,,,,,
29:05.0,00:00.0,100,2,77,66,71,32499,22821,14678,34964,26496,33483,13793,9974,,,,,
29:06.0,00:00.0,100,2,67,66,66,28367,27286,23160,9442,14524,9093,7945,3269,,,,,
29:07.0,00:00.0,100,2,84,70,77,10727,25212,40228,8067,22385,23262,6996,3197,,,,,
29:08.0,00:00.0,100,2,90,54,72,5448,30264,4500,5450,20806,25562,15198,2145,,,,,
29:09.0,00:00.0,100,2,75,56,65,102851,68349,50449,21753,17838,14912,11626,6489,,,,,
29:10.0,00:00.0,100,2,80,56,68,3182,33085,18322,28521,18642,22158,10915,7299,,,,,
29:11.0,00:00.0,100,2,74,54,64,19977,45817,28027,15260,12976,12732,21931,10351,,,,,
29:12.0,00:00.0,100,2,60,70,65,48136,61544,36468,32531,36843,23054,25214,12860,,,,,
29:13.0,00:00.0,100,2,66,74,70,45034,20852,20447,17628,16442,11607,10218,8300,,,,,
29:14.0,00:00.0,100,2,67,64,65,16384,33967,7272,18424,29499,21793,18821,5948,,,,,
29:15.0,00:00.0,100,2,83,53,68,337746,20750,4819,6473,22089,20356,16745,13513,,,,,
29:16.0,00:00.0,100,2,80,38,59,21507,82210,3869,13539,40045,12924,11140,4895,,,,,
29:17.0,00:00.0,100,2,77,14,45,23081,126183,3071,11403,32516,23844,10963,6134,,,,,
29:18.0,00:00.0,100,2,69,17,43,691369,73765,14585,32392,8906,26360,15611,6107,,,,,
29:19.0,00:00.0,100,2,57,38,47,405111,22903,29306,52160,20429,18386,5988,8733,,,,,
29:20.0,00:00.0,100,2,53,60,56,61007,43341,35455,41934,10182,11563,7632,4525,,,,,
29:21.0,00:00.0,100,2,51,74,62,122944,115059,50625,17067,91553,24140,24772,2980,,,,,
29:22.0,00:00.0,100,2,48,70,59,774554,165124,40016,35471,23553,33865,15169,1977,,,,,
29:23.0,00:00.0,100,2,41,57,49,550726,57088,11529,29359,49680,8831,10123,6329,,,,,
29:24.0,00:00.0,100,2,35,40,37,605414,81849,13419,6742,5602,4710,3899,1576,,,,,
29:25.0,00:00.0,100,2,23,40,31,100039,230916,61425,31426,62971,12176,19611,7188,,,,,
29:26.0,00:00.0,100,2,21,50,35,17566,29476,38107,26463,26251,12708,7436,4664,,,,,
29:27.0,00:00.0,100,2,30,53,41,37043,29079,14039,13390,18329,13649,10837,5387,,,,,
29:28.0,00:00.0,100,2,37,50,43,196844,107291,598,21822,20706,10579,7368,4450,,,,,
29:29.0,00:00.0,100,2,48,57,52,186897,53817,41276,9541,13190,12124,13911,3560,,,,,
29:30.0,00:00.0,100,2,43,51,47,576002,148611,16525,78672,26226,23662,21553,4631,,,,,
29:31.0,00:00.0,100,2,44,53,48,66567,27212,23590,9506,21809,15933,12032,4866,,,,,
29:32.0,00:00.0,100,2,54,66,60,939402,43444,22545,21864,6970,16704,6565,5378,,,,,
29:33.0,00:00.0,100,2,67,66,66,38575,2980,2050,5272,4862,4828,4251,1212,,,,,
29:34.0,00:00.0,100,2,74,67,70,96986,96033,31228,47262,13415,27147,15138,14391,,,,,
29:35.0,00:00.0,100,2,64,57,60,273996,85405,4121,26731,32907,13569,12818,3474,,,,,
29:36.0,00:00.0,100,2,70,60,65,3195,36373,26344,38328,17305,38095,6380,3900,,,,,
29:37.0,00:00.0,100,2,57,48,52,225882,35719,1323,6367,5989,5196,4866,3079,,,,,
29:38.0,00:00.0,100,2,57,57,57,12896,12498,53555,22886,23547,14179,13304,3918,,,,,
29:39.0,00:00.0,100,2,56,60,58,2084205,131379,27230,23214,30749,18678,7846,6299,,,,,
29:40.0,00:00.0,87,5,56,60,58,1276233,224224,77319,22238,221414,156263,58652,7125,,,,,
29:41.0,00:00.0,100,5,38,41,39,876424,146690,9582,10494,9921,10842,4634,1112,,,,,
29:42.0,00:00.0,100,5,37,44,40,21154,49888,12594,3533,6245,6750,2304,1019,,,,,
29:43.0,00:00.0,100,5,27,35,31,182051,138372,18984,74554,28769,17319,13290,9270,,,,,
29:44.0,00:00.0,100,5,37,35,36,202100,75657,19146,12674,5876,26485,17425,6243,,,,,
29:45.0,00:00.0,100,5,53,51,52,68218,29646,14150,37373,33356,27848,9656,5454,,,,,
29:46.0,00:00.0,100,5,48,51,49,287770,17172,3795,1371,3388,1170,1484,565,,,,,
29:47.0,00:00.0,100,5,66,51,58,4749,18639,20431,6285,15808,20736,11419,12338,,,,,
29:48.0,00:00.0,100,5,64,50,57,294341,85676,5124,26534,11233,20950,11740,9574,,,,,
29:49.0,00:00.0,100,5,61,53,57,232471,48882,25959,36116,16014,28553,12350,12644,,,,,
29:50.0,00:00.0,100,5,77,57,67,15844,33894,15720,16482,14084,21899,6829,6174,,,,,
29:51.0,00:00.0,100,5,66,61,63,476871,51454,26306,30232,17677,15687,12167,6087,,,,,
29:52.0,00:00.0,100,5,75,70,72,78460,12174,10583,26466,21505,23591,16415,8234,,,,,
29:53.0,00:00.0,100,5,75,67,71,685552,61584,35790,12254,8819,27887,9356,7294,,,,,
29:54.0,00:00.0,100,5,74,66,70,20339,18344,9687,27852,68665,12818,8249,7391,,,,,
29:55.0,00:00.0,100,5,70,53,61,160190,108542,16054,19631,62361,16611,18173,26113,,,,,
29:56.0,00:00.0,100,5,57,57,57,21229,28585,31807,42614,33067,14012,21622,8503,,,,,
29:57.0,00:00.0,100,5,67,57,62,7972,7097,16337,8884,22896,18975,9711,3937,,,,,
29:58.0,00:00.0,100,5,63,64,63,15835,46394,36868,35671,28458,16576,19778,4587,,,,,
29:59.0,00:00.0,100,1,53,66,59,1572727,167087,25115,14962,9160,8578,5886,1826,,,,,
30:00.0,00:00.0,100,1,38,37,37,215914,148448,3335,6723,22166,5559,6770,4311,,,,,
30:01.0,00:00.0,100,1,30,35,32,80894,42281,23856,19246,37298,26651,8797,15356,,,,,
30:02.0,00:00.0,100,2,20,23,21,315414,307622,48239,39582,27840,18825,12314,6188,,,,,
30:03.0,00:00.0,100,2,43,26,34,127589,37954,6159,14551,16901,24761,7376,6277,,,,,
30:04.0,00:00.0,100,1,50,48,49,225401,55739,28659,9066,5250,5526,3991,3956,,,,,
