'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
09:19.0,00:00.0,100,2,27,61,44,1517828,216729,68963,22978,4209,5928,2106,1627,,10356.60659,7629.780039,2998.745155,4103.446705
09:20.0,00:00.0,100,2,50,38,44,1304775,172057,14479,23388,8110,15482,1987,1955,,,,,
09:21.0,00:00.0,100,2,54,54,54,885378,107970,70773,39568,7845,6307,2305,2470,,,,,
09:22.0,00:00.0,100,2,60,54,57,1253276,114539,27972,39296,17725,5897,2886,3996,,,,,
09:23.0,00:00.0,100,2,64,61,62,944685,315220,212462,21613,8295,13583,6457,2338,,,,,
09:24.0,00:00.0,100,2,40,51,45,1287786,224252,8938,14368,5368,4180,610,1068,,,,,
09:25.0,00:00.0,100,2,40,37,38,1659054,133216,30680,1796,7514,5122,1567,1182,,,,,
09:26.0,00:00.0,100,2,30,35,32,796960,146022,62651,3422,744,3755,2176,574,,,,,
09:27.0,00:00.0,100,2,37,20,28,1188500,192953,8696,29058,5661,7623,2653,1226,,,,,
09:28.0,00:00.0,100,2,38,41,39,872596,68548,45742,2372,1780,2487,346,253,,,,,
09:29.0,00:00.0,100,2,35,60,47,563353,55465,54491,3077,2785,2690,1397,1249,,,,,
09:30.0,00:00.0,100,2,35,56,45,367871,473185,174222,16947,15173,13283,5290,3178,,,,,
09:31.0,00:00.0,100,2,29,57,43,1074815,105155,17404,7309,1551,2901,683,683,,,,,
09:32.0,00:00.0,100,2,40,48,44,947934,173404,43807,5524,3765,8047,1740,1202,,,,,
09:33.0,00:00.0,100,2,40,38,39,1283303,316050,100881,37141,23731,11447,2972,2692,,,,,
09:34.0,00:00.0,100,2,41,47,44,897472,41055,22513,13792,9155,1547,965,1480,,,,,
09:35.0,00:00.0,100,2,35,53,44,948636,125442,33996,21603,2150,2786,4485,1121,,,,,
09:36.0,00:00.0,100,2,20,70,45,704232,44404,61471,11989,3599,1726,788,333,,,,,
09:37.0,00:00.0,100,2,26,75,50,732896,64548,7854,31991,2473,3963,1499,542,,,,,
09:38.0,00:00.0,100,2,20,75,47,570910,382244,165372,111818,27155,8699,2782,4070,,,,,
09:39.0,00:00.0,100,2,34,80,57,495001,418874,263851,16081,3144,22822,3593,2650,,,,,
09:40.0,00:00.0,100,2,35,81,58,2256406,140827,212306,18305,4390,5805,2595,1298,,,,,
09:41.0,00:00.0,100,1,26,81,53,1650451,78127,19585,27674,8331,3205,1900,1481,,,,,
09:42.0,00:00.0,100,1,27,90,58,988655,221492,292038,42747,8041,8861,2788,3952,,,,,
09:43.0,00:00.0,86,1,27,90,58,487248,13989,6662,474,784,556,204,221,,,,,
09:44.0,00:00.0,100,1,13,80,46,270708,99968,10569,17519,2472,1763,574,472,,,,,
09:45.0,00:00.0,100,1,23,60,41,61671,118154,5989,34069,4130,4250,1089,512,,,,,
09:46.0,00:00.0,100,1,23,44,33,651871,176104,6665,21412,4004,4495,641,1391,,,,,
09:47.0,00:00.0,100,1,27,21,24,821451,86738,16545,1826,2674,2154,865,1071,,,,,
09:48.0,00:00.0,100,2,30,34,32,1574100,93267,20889,52346,4353,2666,1249,1129,,,,,
09:49.0,00:00.0,100,2,35,20,27,2068034,517487,33910,17403,7631,20565,3934,4674,,,,,
09:50.0,00:00.0,100,2,29,21,25,980746,82015,7883,6456,877,1435,641,490,,,,,
09:51.0,00:00.0,100,2,23,29,26,327651,273075,68222,59964,19251,6307,6049,4023,,,,,
09:52.0,00:00.0,100,2,35,17,26,200976,78573,11895,7606,1380,2978,399,1140,,,,,
09:53.0,00:00.0,100,2,34,40,37,1298665,127036,63312,40712,14096,7829,3846,2198,,,,,
09:54.0,00:00.0,100,2,44,54,49,1344881,36528,17513,9656,3189,2063,1552,406,,,,,
09:55.0,00:00.0,100,2,53,44,48,531577,346269,51405,13092,8137,9920,1644,3294,,,,,
09:56.0,00:00.0,100,2,61,53,57,167437,28154,4538,9637,2126,2359,701,650,,,,,
09:57.0,00:00.0,100,2,56,50,53,480073,37956,19157,1656,905,1520,323,286,,,,,
09:58.0,00:00.0,100,2,54,40,47,1039438,34736,8322,2232,4797,1487,508,571,,,,,
09:59.0,00:00.0,100,2,63,56,59,1073564,169122,113478,29503,3141,11606,2346,2495,,,,,
10:00.0,00:00.0,100,2,48,57,52,973325,101839,40975,8773,5828,3523,1083,582,,,,,
10:01.0,00:00.0,100,1,44,53,48,1618656,243827,51437,47172,14276,6998,5192,2129,,,,,
10:02.0,00:00.0,100,2,41,57,49,1145214,102509,34011,10699,6280,3679,1041,928,,,,,
10:03.0,00:00.0,100,1,44,47,45,366939,130695,34018,9891,6863,7327,1132,1078,,,,,
10:04.0,00:00.0,100,1,44,47,45,338078,212438,97391,13733,12219,7655,5931,731,,,,,
10:05.0,00:00.0,100,1,41,34,37,116598,115597,3956,9387,921,1937,753,707,,,,,
10:06.0,00:00.0,100,1,43,38,40,1642646,205228,109353,15049,8101,9414,1436,500,,,,,
10:07.0,00:00.0,100,1,23,20,21,1105852,351867,688,5948,17421,4379,1093,2703,,,,,
10:08.0,00:00.0,100,1,11,20,15,1664965,207380,16101,34255,8703,2936,3022,1186,,,,,
10:09.0,00:00.0,100,1,11,30,20,1916465,236896,35165,11149,6069,4179,971,782,,,,,
10:10.0,00:00.0,100,2,13,26,19,3342812,92474,1718,20061,6938,3740,2005,1010,,,,,
10:11.0,00:00.0,100,1,34,51,42,119819,21394,5266,2845,2312,1371,223,194,,,,,
10:12.0,00:00.0,100,2,54,60,57,1189455,144018,34891,56098,7259,11099,4534,4494,,,,,
10:13.0,00:00.0,100,2,44,54,49,1710176,594875,46897,15670,8654,5580,2113,1781,,,,,
10:14.0,00:00.0,100,2,21,47,34,632784,124759,7044,4092,2799,1009,677,394,,,,,
10:15.0,00:00.0,100,2,1,48,24,661152,294822,103796,8009,11537,4686,1071,2253,,,,,
10:16.0,00:00.0,100,2,1,37,19,113018,771480,111547,17666,25797,10681,3292,4168,,,,,
10:17.0,00:00.0,100,2,3,41,22,1340679,43736,1797,7861,5257,1515,361,1224,,,,,
