'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
27:39.0,00:00.0,100,2,43,74,58,1423407,61611,36744,6923,6751,4960,3753,2519,,11615.81401,9192.475845,3512.92029,3446.543478
27:40.0,00:00.0,100,2,48,48,48,1280720,254712,6739,12522,7268,17053,9558,7407,,,,,
27:41.0,00:00.0,100,2,41,48,44,746826,934145,184862,62049,17541,26289,10362,8755,,,,,
27:42.0,00:00.0,100,2,41,56,48,270802,64712,15946,18434,6231,8443,6115,2366,,,,,
27:43.0,00:00.0,100,2,41,40,40,80710,102865,763,9304,4922,6589,5099,3801,,,,,
27:44.0,00:00.0,100,2,57,53,55,151705,26135,13741,8525,10995,24873,7240,3754,,,,,
27:45.0,00:00.0,100,2,67,53,60,228762,116104,23773,15765,21917,10149,3831,4308,,,,,
27:46.0,00:00.0,100,2,64,56,60,1238623,68021,52432,8215,10881,8038,7901,3965,,,,,
27:47.0,00:00.0,100,2,83,69,76,33065,11546,3786,10126,8675,13680,3895,3506,,,,,
27:48.0,00:00.0,100,2,70,74,72,820520,15743,5877,6208,3200,3410,1482,827,,,,,
27:49.0,00:00.0,100,2,81,78,79,10914,31276,20926,6109,16904,15218,4552,3313,,,,,
27:50.0,00:00.0,100,2,87,75,81,822985,58917,27154,10845,10208,11391,2389,3506,,,,,
27:51.0,00:00.0,100,2,75,83,79,16543,18643,32604,13250,22682,7755,2646,2821,,,,,
27:52.0,00:00.0,100,2,78,94,86,19133,8735,36781,10588,4741,10499,4846,2984,,,,,
27:53.0,00:00.0,100,2,74,93,83,25242,58434,3558,24164,7217,11417,10556,1761,,,,,
27:54.0,00:00.0,100,2,61,88,74,116168,166022,23374,33858,16027,6108,3670,1790,,,,,
27:55.0,00:00.0,100,2,63,77,70,1455554,69352,12814,11236,9051,15352,1890,2241,,,,,
27:56.0,00:00.0,100,2,64,64,64,51077,13051,4673,4375,1496,4562,688,1101,,,,,
27:57.0,00:00.0,100,2,64,61,62,78733,32398,1720,10632,10404,6629,1805,1572,,,,,
27:58.0,00:00.0,100,2,74,60,67,1358258,91703,15398,16246,20793,10956,6403,2012,,,,,
27:59.0,00:00.0,100,2,74,64,69,112232,38538,19711,12458,29829,9714,3962,1987,,,,,
28:00.0,00:00.0,100,2,66,64,65,176371,40524,20120,15373,17613,7503,6036,1887,,,,,
28:01.0,00:00.0,100,2,61,69,65,129831,43081,20518,3876,6615,5568,6579,2921,,,,,
28:02.0,00:00.0,100,2,70,77,73,40423,32385,9288,23605,16415,16533,5459,1234,,,,,
28:03.0,00:00.0,100,2,66,67,66,519038,45707,4614,4770,3930,3892,2078,1104,,,,,
28:04.0,00:00.0,100,2,70,75,72,68756,15507,24591,5854,3803,9659,1654,3753,,,,,
28:05.0,00:00.0,100,2,74,63,68,87756,25359,2432,943,2758,2781,810,747,,,,,
28:06.0,00:00.0,100,2,75,57,66,20707,40452,14344,10806,7789,21188,2608,2059,,,,,
28:07.0,00:00.0,100,2,74,66,70,480780,55703,7732,25125,18844,5886,6894,5197,,,,,
28:08.0,00:00.0,100,2,66,60,63,117234,36535,10149,11975,8875,4999,3532,2145,,,,,
28:09.0,00:00.0,100,2,67,80,73,69162,9619,4611,7950,1238,2413,1680,1579,,,,,
28:10.0,00:00.0,100,2,56,81,68,279100,18267,6485,4157,4944,2036,566,429,,,,,
28:11.0,00:00.0,100,2,63,84,73,18209,11167,6216,14881,12754,6029,6602,1632,,,,,
28:12.0,00:00.0,100,2,67,80,73,23933,68083,8461,14267,23706,12538,2741,2358,,,,,
28:13.0,00:00.0,100,2,69,78,73,7256,34476,24716,32396,14401,12499,2052,2701,,,,,
28:14.0,00:00.0,100,2,80,70,75,10646,36244,5965,3731,1934,12762,2340,1872,,,,,
28:15.0,00:00.0,100,2,69,57,63,2155512,98531,17101,1547,36717,6578,2467,1868,,,,,
28:16.0,00:00.0,100,2,67,67,67,21897,38991,21503,32422,13266,9930,9943,2482,,,,,
28:17.0,00:00.0,100,2,74,57,65,8618,25873,7520,3844,10614,10794,2445,4893,,,,,
28:18.0,00:00.0,100,2,74,54,64,529192,45345,1937,9099,8596,16239,4318,2426,,,,,
