'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
38:53.0,00:00.0,100,2,70,63,66,63940,9447,1371,5064,11356,2875,3256,2053,,16153.40018,16633.27875,10669.71389,5518.723091
38:54.0,00:00.0,100,2,67,80,73,17054,22368,38039,10723,7467,6192,16896,6842,,,,,
38:55.0,00:00.0,100,2,69,78,73,83736,5469,4828,1603,2030,6236,4171,1969,,,,,
38:56.0,00:00.0,100,2,61,78,69,11714,36567,29026,9521,14965,8199,9657,5242,,,,,
38:57.0,00:00.0,100,2,69,77,73,20088,62286,17147,7743,8709,31642,9452,2026,,,,,
38:58.0,00:00.0,100,2,80,69,74,9636,19295,21022,21427,33098,15942,11432,5834,,,,,
38:59.0,00:00.0,100,2,67,77,72,351402,7635,9731,1336,1177,2856,3214,1119,,,,,
39:00.0,00:00.0,100,2,83,70,76,24195,38272,13892,25315,9681,43599,30744,10954,,,,,
39:01.0,00:00.0,100,2,90,67,78,4662,27680,9883,2032,5726,30283,20443,8592,,,,,
39:02.0,00:00.0,100,2,84,67,75,79381,14781,8923,1989,2319,3353,4880,3419,,,,,
39:03.0,00:00.0,100,2,90,61,75,3908,26241,12978,14287,16526,13459,5906,5985,,,,,
39:04.0,00:00.0,100,2,84,57,70,108654,29459,4646,14482,21840,15563,9962,7567,,,,,
39:05.0,00:00.0,100,2,78,70,74,251745,18390,7957,29152,12847,20708,8448,12463,,,,,
39:06.0,00:00.0,100,2,74,66,70,80245,31656,5600,6218,4050,3776,3644,580,,,,,
39:07.0,00:00.0,100,2,74,69,71,75670,22168,29839,30390,34022,19309,10667,6839,,,,,
39:08.0,00:00.0,100,2,67,75,71,27718,26032,5435,16881,12160,9844,7204,1353,,,,,
39:09.0,00:00.0,100,2,67,78,72,45288,19312,81038,8866,15408,41823,7365,2468,,,,,
