'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
59:04.0,00:00.0,100,2,38,51,44,23853,22235,6988,5494,17353,14711,5864,1518,,18616.23765,13671.07059,7351.823529,4287.548235
59:05.0,00:00.0,100,2,44,60,52,10828,14455,34350,23173,13142,13609,3165,1577,,,,,
59:06.0,00:00.0,100,2,66,61,63,9685,13045,22552,9175,11025,11803,5099,3034,,,,,
59:07.0,00:00.0,100,2,90,67,78,13024,7368,845,16709,29646,9265,1559,726,,,,,
59:08.0,00:00.0,100,2,74,78,76,33811,49026,41216,6367,8705,9045,1864,736,,,,,
59:09.0,00:00.0,100,2,67,69,68,66235,11429,8980,1471,3926,2310,1113,820,,,,,
59:10.0,00:00.0,100,2,67,66,66,10045,18396,20383,6354,11818,12259,4245,4677,,,,,
59:11.0,00:00.0,100,2,61,77,69,19962,12441,26794,4031,7677,9069,11644,2388,,,,,
59:12.0,00:00.0,100,2,54,80,67,22835,41778,40230,5676,8905,3990,6647,1336,,,,,
59:13.0,00:00.0,100,2,48,63,55,1076269,419370,41515,14475,12620,32279,18102,2060,,,,,
59:14.0,00:00.0,100,2,50,53,51,72695,56268,8405,12636,17772,21328,2404,4361,,,,,
59:15.0,00:00.0,100,2,34,57,45,72011,29064,51075,32120,12219,5083,5293,5910,,,,,
59:16.0,00:00.0,100,2,48,51,49,6547,33113,11643,13203,7958,12193,9350,2562,,,,,
59:17.0,00:00.0,100,2,60,69,64,22310,9029,6984,13031,13831,6171,7666,1575,,,,,
59:18.0,00:00.0,100,2,38,75,56,23288,92310,28992,18053,17124,5616,7426,2028,,,,,
59:19.0,00:00.0,100,2,57,60,58,13613,24340,7285,9619,4361,12661,4303,1537,,,,,
59:20.0,00:00.0,100,2,56,64,60,1675,23362,11796,20098,10522,9216,1989,1928,,,,,
59:21.0,00:00.0,100,2,60,51,55,25780,57206,11155,5286,23929,18784,6133,2941,,,,,
59:22.0,00:00.0,100,2,70,43,56,47806,57504,4910,8042,10052,7789,7118,1711,,,,,
59:23.0,00:00.0,100,2,77,41,59,4127,23066,14208,5990,11882,21133,7349,1750,,,,,
59:24.0,00:00.0,100,2,75,50,62,5182,14860,23878,34872,6891,10403,2887,1504,,,,,
59:25.0,00:00.0,100,2,69,53,61,212342,51978,5727,17538,30168,12835,13800,2197,,,,,
59:26.0,00:00.0,100,2,74,74,74,18840,18159,29538,26465,17230,12538,3194,5284,,,,,
59:27.0,00:00.0,100,2,64,74,69,30031,32090,10181,10226,12770,10448,9306,2929,,,,,
59:28.0,00:00.0,100,2,70,51,60,7080,28567,6123,2569,6462,10393,7521,1477,,,,,
59:29.0,00:00.0,100,2,74,57,65,20755,36135,11621,15428,6417,12938,7250,2036,,,,,
59:30.0,00:00.0,100,2,70,44,57,60333,50134,12481,12019,13052,10478,6290,3522,,,,,
59:31.0,00:00.0,100,2,63,60,61,32385,31925,18785,59480,8728,10393,3774,5015,,,,,
59:32.0,00:00.0,100,2,47,64,55,125143,127118,42635,8611,19531,9198,3036,2819,,,,,
59:33.0,00:00.0,100,2,38,75,56,23880,30948,51579,6141,6025,8101,7206,1940,,,,,
59:34.0,00:00.0,100,2,35,77,56,506959,75193,16902,26690,21383,12733,3926,3952,,,,,
59:35.0,00:00.0,100,2,37,66,51,41411,49990,35670,580,6296,9049,4242,4492,,,,,
59:36.0,00:00.0,100,2,38,66,52,30407,99285,21462,18747,7563,9551,2974,1937,,,,,
59:37.0,00:00.0,100,2,24,50,37,907806,354149,61801,29290,13015,11198,10579,5102,,,,,
59:38.0,00:00.0,100,2,29,61,45,37195,12411,36747,7391,7651,9320,12884,2758,,,,,
59:39.0,00:00.0,100,2,17,54,35,371335,431916,71313,52918,21758,18473,14954,8622,,,,,
59:40.0,00:00.0,100,2,43,60,51,61786,4053,15373,1042,15832,14764,5054,3814,,,,,
59:41.0,00:00.0,100,2,69,69,69,8645,18574,33256,5843,20332,17898,6627,1370,,,,,
59:42.0,00:00.0,100,2,69,64,66,20545,24430,48290,8764,21156,14334,9703,4110,,,,,
59:43.0,00:00.0,100,2,90,69,79,27573,15563,7257,7224,17516,7331,10007,3101,,,,,
59:44.0,00:00.0,100,2,54,70,62,53144,118264,57127,25853,3894,4781,2540,1756,,,,,
59:45.0,00:00.0,100,2,44,80,62,89898,8506,14504,13371,2661,4356,938,1999,,,,,
59:46.0,00:00.0,100,2,44,69,56,38129,48094,18672,7249,20904,14060,4211,2689,,,,,
