'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
16:53.0,00:00.0,100,2,64,38,51,80327,24802,3454,6671,30047,25781,9667,15730,,20742.18496,29676.53557,19023.42378,9028.35061
16:54.0,00:00.0,100,2,80,53,66,16889,16423,147,27142,13327,28279,16304,12210,,,,,
16:55.0,00:00.0,100,2,80,54,67,192832,58739,18839,41250,68896,27785,14798,5551,,,,,
16:56.0,00:00.0,100,2,93,57,75,227924,16701,10105,20034,37622,40325,11715,5630,,,,,
16:57.0,00:00.0,100,2,84,67,75,39958,26609,18264,8260,27242,16124,10320,8523,,,,,
16:58.0,00:00.0,100,2,64,56,60,523196,112968,17333,5118,10259,15138,29414,11397,,,,,
16:59.0,00:00.0,100,2,50,47,48,583615,655058,74363,30300,38285,44699,32189,30457,,,,,
17:00.0,00:00.0,100,2,48,41,44,1122441,60573,6742,20723,25710,55005,16097,6552,,,,,
17:01.0,00:00.0,100,2,43,48,45,174662,8981,6713,4471,1427,4040,924,363,,,,,
17:02.0,00:00.0,100,2,41,60,50,2263706,293331,147045,42510,24794,43456,14727,7943,,,,,
17:03.0,00:00.0,100,2,67,66,66,6478,27287,6532,12128,15103,32154,13734,11162,,,,,
17:04.0,00:00.0,100,2,56,70,63,895400,37951,3991,13639,8521,12851,7258,5685,,,,,
17:05.0,00:00.0,100,2,61,50,55,453402,191131,14982,12976,39495,68151,29731,15275,,,,,
17:06.0,00:00.0,100,2,67,50,58,282377,382039,251485,18134,75626,94946,45297,13496,,,,,
17:07.0,00:00.0,100,2,54,57,55,673885,18107,8651,11124,8258,7958,3288,5087,,,,,
17:08.0,00:00.0,100,2,61,61,61,597870,99559,18616,81772,22869,94297,50593,27714,,,,,
17:09.0,00:00.0,100,2,54,75,64,737943,184342,5773,69915,23558,49058,25574,8637,,,,,
17:10.0,00:00.0,100,2,57,67,62,81721,40487,6475,7024,2489,12067,7617,1593,,,,,
17:11.0,00:00.0,100,2,74,67,70,36329,16447,25040,21294,14132,53749,23258,15512,,,,,
17:12.0,00:00.0,100,2,61,69,65,391377,96190,9092,68292,16831,26166,19527,4646,,,,,
17:13.0,00:00.0,100,2,69,60,64,914272,26807,1510,3773,4763,11860,10371,1416,,,,,
17:14.0,00:00.0,100,2,56,61,58,995019,449409,72054,60319,35606,36162,23373,24152,,,,,
17:15.0,00:00.0,100,2,30,66,48,692228,108322,90295,38030,26640,23826,29385,13034,,,,,
17:16.0,00:00.0,100,2,41,54,47,820763,69115,6083,26348,70019,35723,34486,9302,,,,,
17:17.0,00:00.0,100,2,44,63,53,252509,53303,9431,26550,50394,39290,11651,5146,,,,,
