'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
34:42.0,00:00.0,100,2,27,51,39,571829,564664,41034,23802,81911,84302,28892,25157,,21891.84368,26615.40257,17529.56317,8416.835118
34:43.0,00:00.0,100,2,38,54,46,918879,113579,52701,35164,33784,32552,25621,12077,,,,,
34:44.0,00:00.0,100,2,40,50,45,359325,168769,15285,3239,11917,11280,8725,5017,,,,,
34:45.0,00:00.0,100,2,48,47,47,732034,24890,7451,18083,18745,32004,18023,4517,,,,,
34:46.0,00:00.0,100,2,54,53,53,58255,27203,6230,11570,58252,12816,11784,8995,,,,,
34:47.0,00:00.0,100,2,64,51,57,50972,11661,3156,6995,3012,10171,5517,3328,,,,,
34:48.0,00:00.0,100,2,83,61,72,12900,56792,10985,38796,39951,49905,10466,10329,,,,,
34:49.0,00:00.0,100,2,75,60,67,145082,10553,2081,3987,6922,4278,2832,1837,,,,,
34:50.0,00:00.0,100,2,80,70,75,4392,7861,42621,7245,32157,35201,11048,11713,,,,,
34:51.0,00:00.0,100,2,69,67,68,296111,184052,58734,21295,25603,38342,25869,16147,,,,,
34:52.0,00:00.0,100,2,56,63,59,123712,34585,4198,4838,6279,5422,5003,4906,,,,,
34:53.0,00:00.0,100,2,56,60,58,737097,125568,22253,10028,25217,39532,13909,12976,,,,,
34:54.0,00:00.0,100,2,53,56,54,74343,11068,6603,2651,1865,6786,4685,1964,,,,,
34:55.0,00:00.0,100,2,60,57,58,49082,49799,2544,24617,3316,24816,15374,7705,,,,,
34:56.0,00:00.0,100,2,57,56,56,1301461,149071,5694,21146,26619,16519,7804,5776,,,,,
34:57.0,00:00.0,100,2,54,64,59,483127,114503,36444,51742,19288,31403,19193,14843,,,,,
34:58.0,00:00.0,100,2,41,54,47,769447,215934,30328,10415,8948,23461,11888,8021,,,,,
34:59.0,00:00.0,100,2,37,44,40,204608,178424,12654,18345,48378,36315,17868,8533,,,,,
35:00.0,00:00.0,100,2,29,48,38,205363,44356,6691,3083,1950,2691,1923,844,,,,,
35:01.0,00:00.0,100,2,30,34,32,135554,73774,7362,2139,8338,17947,8804,2248,,,,,
35:02.0,00:00.0,100,2,44,30,37,321487,35067,4670,2219,3708,14508,6744,3103,,,,,
35:03.0,00:00.0,100,2,54,37,45,226304,65016,23312,19194,94782,55924,20716,8377,,,,,
35:04.0,00:00.0,100,2,75,35,55,1158276,50443,13810,9710,29499,34246,11529,10252,,,,,
35:05.0,00:00.0,100,2,70,44,57,1156179,118464,29626,26737,48222,25877,36567,4226,,,,,
35:06.0,00:00.0,100,2,75,61,68,103309,27114,11152,39363,19409,33109,13984,8453,,,,,
35:07.0,00:00.0,100,2,74,69,71,85749,58990,59486,8043,11885,60747,26782,8288,,,,,
35:08.0,00:00.0,100,2,64,74,69,478047,33662,9296,4969,8495,8186,5569,5736,,,,,
35:09.0,00:00.0,100,2,63,66,64,171516,88677,876,18732,14113,12911,2906,1073,,,,,
35:10.0,00:00.0,100,2,51,53,52,282689,98271,14872,3384,3667,15463,6189,2650,,,,,
35:11.0,00:00.0,100,2,37,56,46,1600654,155716,90916,31283,10594,27820,17735,7130,,,,,
35:12.0,00:00.0,100,2,41,64,52,15005,26801,34093,11423,18035,20894,14031,9014,,,,,
35:13.0,00:00.0,100,2,50,66,58,779252,39141,12649,4833,24788,14579,6811,2562,,,,,
35:14.0,00:00.0,100,2,51,60,55,61967,58492,3688,1840,3056,12024,10100,4746,,,,,
35:15.0,00:00.0,100,2,64,60,62,30953,21245,38672,12792,26275,28446,12719,9286,,,,,
35:16.0,00:00.0,100,2,64,50,57,37617,72393,20523,17478,98267,32106,13715,5227,,,,,
35:17.0,00:00.0,100,2,48,61,54,1658533,346801,230187,118636,34833,30835,23319,30922,,,,,
35:18.0,00:00.0,100,2,40,75,57,853577,43616,14839,7358,14554,5251,8420,8189,,,,,
35:19.0,00:00.0,100,2,34,70,52,50200,55667,12777,26505,14304,18182,18491,4017,,,,,
35:20.0,00:00.0,100,2,27,67,47,234067,14261,1293,1104,1939,2560,905,519,,,,,
35:21.0,00:00.0,100,2,37,64,50,607139,47454,36796,7479,12767,11785,8284,6249,,,,,
35:22.0,00:00.0,100,2,37,51,44,936722,584290,14355,42298,63457,49977,68739,50313,,,,,
35:23.0,00:00.0,100,2,43,43,43,1535408,102687,19856,17805,71920,52243,18198,17073,,,,,
35:24.0,00:00.0,100,2,44,53,48,959964,287204,102384,39694,41813,76319,46568,10896,,,,,
35:25.0,00:00.0,100,2,43,43,43,1279039,243547,41756,23470,19472,34778,20925,7325,,,,,
35:26.0,00:00.0,100,2,57,64,60,926421,25936,31048,31145,19783,32333,15001,8768,,,,,
35:27.0,00:00.0,100,2,61,69,65,52538,59062,12315,26462,27008,43385,13723,14175,,,,,
35:28.0,00:00.0,100,2,61,78,69,302593,8590,19180,5471,10739,6698,5923,2748,,,,,
35:29.0,00:00.0,100,2,77,78,77,117047,54692,15163,12478,39857,45931,55821,21179,,,,,
35:30.0,00:00.0,100,2,69,63,66,663155,43257,3669,6252,3564,9444,6036,890,,,,,
35:31.0,00:00.0,100,2,69,57,63,431601,77388,15108,8768,12191,46321,13833,12043,,,,,
35:32.0,00:00.0,100,2,67,44,55,1995420,300950,33578,61290,60495,66729,16056,19340,,,,,
35:33.0,00:00.0,100,2,57,50,53,74895,126301,48351,29562,41280,31831,11227,8005,,,,,
35:34.0,00:00.0,100,2,56,63,59,576629,60394,53989,22026,20614,25968,8513,9477,,,,,
35:35.0,00:00.0,100,2,38,64,51,694707,472539,87693,34381,46807,33463,66695,11420,,,,,
35:36.0,00:00.0,100,2,38,70,54,1171981,119999,28260,41793,12103,33721,21751,20049,,,,,
35:37.0,00:00.0,100,2,37,67,52,251273,103007,27479,10987,14224,19885,28426,18434,,,,,
35:38.0,00:00.0,100,2,35,50,42,778603,214089,9861,14619,3592,34765,9263,3643,,,,,
35:39.0,00:00.0,100,2,44,48,46,760591,112576,19891,7674,3678,25240,8420,6645,,,,,
35:40.0,00:00.0,100,2,47,50,48,44292,50556,16811,39915,33202,23050,17693,10887,,,,,
35:41.0,00:00.0,100,2,47,57,52,767895,142101,74833,44908,30374,33021,14772,13645,,,,,
35:42.0,00:00.0,100,2,51,69,60,1662630,163557,62778,43718,63651,76120,26181,19544,,,,,
35:43.0,00:00.0,100,2,43,67,55,415450,198791,16203,18927,10390,17315,10091,2061,,,,,
35:44.0,00:00.0,100,2,30,56,43,148036,173247,9715,15429,4063,12073,9694,3181,,,,,
35:45.0,00:00.0,100,2,27,51,39,274642,96167,21965,15666,3112,13355,16080,1212,,,,,
