'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
52:38.0,00:00.0,100,2,47,57,52,14205,13626,30603,8135,3185,7855,17819,6053,,23603.55567,25048.27935,13860.69534,6413.130567
52:39.0,00:00.0,100,2,57,64,60,8190,19026,8829,16089,5025,7587,12827,3603,,,,,
52:40.0,00:00.0,100,2,74,63,68,848310,156492,90177,21473,41526,79717,16832,11654,,,,,
52:41.0,00:00.0,100,2,41,61,51,1299905,262251,21155,19991,12610,11695,9447,4622,,,,,
52:42.0,00:00.0,100,2,51,41,46,263022,42415,4325,18857,16111,25853,11184,16104,,,,,
52:43.0,00:00.0,100,2,43,48,45,27669,47002,56786,35935,12350,12656,4657,11423,,,,,
52:44.0,00:00.0,100,2,35,50,42,37039,70265,34447,13908,9819,17707,8354,5239,,,,,
52:45.0,00:00.0,100,2,64,61,62,159785,24844,17115,6197,16108,16148,9234,5942,,,,,
52:46.0,00:00.0,100,2,50,70,60,78337,38990,30293,19183,23911,9629,4679,5209,,,,,
52:47.0,00:00.0,100,2,57,54,55,913341,206478,14601,69761,55635,45171,19212,7307,,,,,
52:48.0,00:00.0,100,2,47,37,42,447562,60192,1003,5574,8651,4263,5375,2509,,,,,
52:49.0,00:00.0,100,2,34,26,30,736138,154702,29470,13923,39122,26453,14630,2370,,,,,
52:50.0,00:00.0,100,2,47,11,29,687020,203203,5684,50185,29640,84427,18418,17935,,,,,
52:51.0,00:00.0,100,2,30,13,21,213121,382553,24206,109120,75540,28267,31744,10870,,,,,
52:52.0,00:00.0,100,2,30,41,35,79272,22594,8624,27906,3275,3426,3919,3271,,,,,
52:53.0,00:00.0,100,2,27,37,32,1157518,188119,17842,10749,21872,20918,9007,9112,,,,,
52:54.0,00:00.0,100,2,17,47,32,416514,70844,31738,13675,15943,20149,6490,2289,,,,,
52:55.0,00:00.0,100,2,35,40,37,66141,42020,6869,4186,11483,8298,5598,5397,,,,,
52:56.0,00:00.0,100,2,51,20,35,231754,128988,16150,29990,47748,38635,5492,4225,,,,,
52:57.0,00:00.0,100,2,60,34,47,517550,153251,41865,28038,13144,42350,14670,8961,,,,,
52:58.0,00:00.0,100,2,61,29,45,44890,39167,11472,9507,11290,10346,11667,3961,,,,,
52:59.0,00:00.0,100,2,57,44,50,283417,167498,114915,68667,73637,48247,34597,8171,,,,,
53:00.0,00:00.0,100,2,61,61,61,540482,30218,22012,66577,33278,32996,27180,8054,,,,,
53:01.0,00:00.0,100,2,48,47,47,955017,60848,6515,3163,34725,5068,6740,3092,,,,,
53:02.0,00:00.0,100,2,30,44,37,621690,321697,38464,64938,22747,18717,15580,8907,,,,,
53:03.0,00:00.0,100,2,41,34,37,34861,46054,9241,17005,33742,20867,3381,4608,,,,,
