'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
52:40.0,00:00.0,100,2,53,60,56,1958272,160852,13974,35903,31793,61456,49452,12650,,24468.2697,31549,18174.17071,6985.958586
52:41.0,00:00.0,100,2,56,66,61,353631,53009,37653,72339,18897,40170,15885,5445,,,,,
52:42.0,00:00.0,100,2,63,80,71,98901,26632,32923,58182,24506,27775,35415,5719,,,,,
52:43.0,00:00.0,100,2,44,74,59,152139,65508,10087,29928,8529,5403,3641,391,,,,,
52:44.0,00:00.0,100,2,41,78,59,83880,27298,9690,5868,15264,10614,4070,1021,,,,,
52:45.0,00:00.0,100,2,48,70,59,1003710,23359,34868,55521,105392,50948,13934,7081,,,,,
52:46.0,00:00.0,100,2,40,66,53,852978,132533,75526,89941,72914,33046,71496,7136,,,,,
52:47.0,00:00.0,100,2,48,66,57,1769035,256137,43302,95244,28885,42621,40174,12507,,,,,
52:48.0,00:00.0,100,2,44,78,61,597269,76931,35147,127659,25428,47822,31107,7432,,,,,
52:49.0,00:00.0,100,2,30,80,55,261275,154291,77913,86039,46305,42728,28474,15125,,,,,
52:50.0,00:00.0,100,2,37,77,57,211630,64844,37469,22981,33738,23396,8184,2107,,,,,
52:51.0,00:00.0,100,2,48,70,59,93463,18297,4701,2495,3056,7129,3780,552,,,,,
52:52.0,00:00.0,100,2,44,64,54,420075,135041,57703,75010,55671,44524,17783,12276,,,,,
52:53.0,00:00.0,100,2,51,66,58,19556,39574,38532,50253,30913,32460,19094,11546,,,,,
52:54.0,00:00.0,100,2,54,57,55,341623,258566,49660,27541,51476,79522,29630,8306,,,,,
52:55.0,00:00.0,100,2,48,67,57,707230,29430,17630,13973,9634,9975,5840,5321,,,,,
52:56.0,00:00.0,100,2,51,67,59,1964845,82936,33608,37336,16602,29816,7319,4769,,,,,
52:57.0,00:00.0,100,2,48,64,56,39217,32178,15847,21437,17051,13297,15072,3890,,,,,
52:58.0,00:00.0,100,2,47,67,57,724137,30097,7930,8059,15093,9952,4558,4705,,,,,
52:59.0,00:00.0,100,2,43,75,59,146129,102037,184236,53689,22409,39559,34063,3848,,,,,
53:00.0,00:00.0,100,2,34,81,57,119191,48799,62659,38508,43230,13962,23976,3928,,,,,
53:01.0,00:00.0,100,2,35,75,55,764350,325950,71334,91286,35198,95902,21988,9081,,,,,
53:02.0,00:00.0,100,2,26,87,56,72019,78532,33831,74336,24155,21730,18008,16584,,,,,
53:03.0,00:00.0,100,2,27,80,53,333601,130676,50696,76860,11159,32359,20719,23067,,,,,
53:04.0,00:00.0,100,2,30,54,42,459618,87706,6490,1868,4044,11431,1476,279,,,,,
53:05.0,00:00.0,100,2,30,41,35,889698,246323,6980,34728,144272,53610,5687,7612,,,,,
53:06.0,00:00.0,100,2,43,34,38,271432,47412,13989,16740,16169,23603,4901,4810,,,,,
53:07.0,00:00.0,100,2,41,24,32,88726,61470,16596,11012,10203,8334,11999,1811,,,,,
