'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
11:14.0,00:00.0,100,2,64,67,65,15163,43705,5673,2588,29476,22114,17122,3574,,24202.08483,30500.07969,17616.17738,7044.267352
11:15.0,00:00.0,100,2,74,69,71,25690,21635,10956,35680,9498,49913,27933,4021,,,,,
11:16.0,00:00.0,100,2,57,74,65,739883,52915,57562,54222,28775,24552,20038,12021,,,,,
11:17.0,00:00.0,100,2,50,53,51,307266,302104,560,43214,31102,30092,18882,8333,,,,,
11:18.0,00:00.0,100,2,41,56,48,159864,66198,5530,7275,11448,12631,3626,2808,,,,,
11:19.0,00:00.0,100,2,26,50,38,572477,88180,24970,10985,19040,18338,9710,4030,,,,,
11:20.0,00:00.0,100,2,29,47,38,21747,33168,32416,25344,23160,16162,24642,25516,,,,,
11:21.0,00:00.0,100,2,43,57,50,13104,23496,5589,18566,22811,18386,17100,3185,,,,,
11:22.0,00:00.0,100,2,56,63,59,6714,33744,17183,13933,34955,48411,5713,7254,,,,,
11:23.0,00:00.0,100,2,60,69,64,96097,17988,832,14859,6896,6879,6484,914,,,,,
11:24.0,00:00.0,100,2,74,64,69,20718,10485,16168,12822,24757,30130,27831,7152,,,,,
11:25.0,00:00.0,100,2,63,67,65,92934,13861,5445,6428,5300,3644,2889,1465,,,,,
11:26.0,00:00.0,100,2,57,70,63,121846,15917,3240,11020,7283,12138,7601,3064,,,,,
11:27.0,00:00.0,100,2,67,77,72,9121,15114,9808,55690,12697,41830,17131,3468,,,,,
11:28.0,00:00.0,100,2,57,78,67,227861,73222,33966,38615,14987,34188,11456,17395,,,,,
11:29.0,00:00.0,100,2,66,80,73,16166,40205,23215,28981,15355,37263,17331,4011,,,,,
11:30.0,00:00.0,100,2,61,84,72,841778,85314,60630,43450,6722,41078,5388,9297,,,,,
11:31.0,00:00.0,100,2,54,75,64,917759,81304,20110,22331,31235,32220,13352,3275,,,,,
11:32.0,00:00.0,100,2,63,69,66,285281,43292,33646,16837,29117,60450,15542,3763,,,,,
11:33.0,00:00.0,100,2,64,75,69,7318,15446,44680,15131,9232,34076,9910,6319,,,,,
11:34.0,00:00.0,100,2,60,83,71,146529,6329,4844,23615,7380,4429,2846,1010,,,,,
11:35.0,00:00.0,100,2,50,90,70,287251,141487,91047,25939,20123,24435,7395,7962,,,,,
11:36.0,00:00.0,100,2,51,83,67,23649,20366,1423,10004,26898,23877,9176,6315,,,,,
11:37.0,00:00.0,100,2,29,63,46,203335,268756,4253,28642,28147,13264,8362,3435,,,,,
11:38.0,00:00.0,100,2,29,50,39,16452,32303,12734,7167,12633,7649,10945,4299,,,,,
11:39.0,00:00.0,100,2,44,47,45,10206,32733,25552,14114,17768,32671,14487,2853,,,,,
11:40.0,00:00.0,100,2,54,50,52,3853,10785,4503,17146,21686,62784,21296,2708,,,,,
11:41.0,00:00.0,100,2,66,70,68,19795,16838,18340,36406,16730,11622,11414,5390,,,,,
11:42.0,00:00.0,100,2,78,80,79,8538,10451,10308,28362,6059,22861,12150,2496,,,,,
11:43.0,00:00.0,100,2,77,78,77,5947,47498,13486,18753,13376,32013,9764,1470,,,,,
11:44.0,00:00.0,100,2,54,84,69,110469,25399,7619,8386,1071,7398,3664,1741,,,,,
11:45.0,00:00.0,100,2,56,77,66,18375,40643,23527,20454,23563,15021,16392,4699,,,,,
11:46.0,00:00.0,100,2,54,75,64,4905,21050,42038,21205,19150,38494,20020,3430,,,,,
11:47.0,00:00.0,100,2,48,77,62,417577,106369,7701,55800,22633,31538,13836,4239,,,,,
11:48.0,00:00.0,100,2,57,80,68,99389,31452,24155,63190,36671,58335,12289,11132,,,,,
11:49.0,00:00.0,100,2,48,75,61,194729,30428,5120,5614,3376,2361,756,293,,,,,
11:50.0,00:00.0,100,2,48,67,57,5862,59617,22903,36773,32502,59969,5938,2418,,,,,
11:51.0,00:00.0,100,2,44,61,52,138590,53499,2879,13865,20215,9826,6391,4233,,,,,
11:52.0,00:00.0,100,2,30,43,36,161544,89317,4044,7178,7773,11096,8596,1676,,,,,
11:53.0,00:00.0,100,2,37,37,37,243347,104665,10641,4995,5242,12409,4003,5164,,,,,
11:54.0,00:00.0,100,2,37,41,39,199482,38774,32125,27327,7641,47468,47790,16898,,,,,
11:55.0,00:00.0,100,2,41,48,44,1905554,50614,14831,36654,32709,23213,32141,64554,,,,,
11:56.0,00:00.0,100,2,44,48,46,263539,310827,20773,19661,39537,52466,11022,23788,,,,,
11:57.0,00:00.0,100,2,54,61,57,16628,26804,33383,31533,51623,31291,8828,4525,,,,,
11:58.0,00:00.0,100,2,54,64,59,10986,16981,29690,33804,16382,33428,20172,7238,,,,,
11:59.0,00:00.0,100,2,61,63,62,25838,25241,17565,9585,27123,28107,25490,10414,,,,,
12:00.0,00:00.0,100,2,63,77,70,750391,92995,13454,48834,14248,28658,16600,3274,,,,,
12:01.0,00:00.0,100,2,61,75,68,85468,50043,22896,18792,14121,25931,17096,7588,,,,,
12:02.0,00:00.0,100,2,51,75,63,53331,43564,39357,41091,19071,19939,13456,1728,,,,,
12:03.0,00:00.0,100,2,37,80,58,61039,31256,8227,19589,9440,6460,2959,833,,,,,
12:04.0,00:00.0,100,2,41,84,62,15399,44521,22730,52904,22100,34909,10296,2091,,,,,
12:05.0,00:00.0,100,2,38,80,59,318201,311133,74064,35324,60606,74123,28772,18304,,,,,
12:06.0,00:00.0,100,2,40,67,53,550409,48601,12677,9197,7257,12403,7743,1622,,,,,
12:07.0,00:00.0,100,2,48,63,55,1817770,99714,13797,72277,107255,53146,28179,6736,,,,,
12:08.0,00:00.0,100,2,44,47,45,256793,47883,4990,3641,11126,10258,3834,2053,,,,,
12:09.0,00:00.0,100,2,56,48,52,22386,53688,22325,30343,25375,78624,20560,7248,,,,,
12:10.0,00:00.0,100,2,57,48,52,139152,129697,34170,23123,20615,38775,31434,2471,,,,,
12:11.0,00:00.0,100,2,60,60,60,1919,17468,19299,69751,18749,30895,26091,3564,,,,,
12:12.0,00:00.0,100,2,57,70,63,38609,31128,5368,15452,6641,8151,3703,2084,,,,,
12:13.0,00:00.0,100,2,47,81,64,327697,83524,150334,12357,29340,59059,20526,9584,,,,,
12:14.0,00:00.0,100,2,56,84,70,88436,11385,2754,10561,10347,13955,19621,3092,,,,,
12:15.0,00:00.0,100,2,43,69,56,81041,170824,27827,25175,41027,16100,24445,10946,,,,,
12:16.0,00:00.0,100,2,47,75,61,145216,12967,3932,14177,3146,7510,5126,2576,,,,,
12:17.0,00:00.0,100,2,47,64,55,13743,74666,16455,37193,55736,30905,19776,7438,,,,,
12:18.0,00:00.0,100,2,47,67,57,12120,28263,18210,30171,23206,40971,33529,7812,,,,,
12:19.0,00:00.0,100,2,56,83,69,401010,60146,62210,75800,10365,39506,27948,9332,,,,,
12:20.0,00:00.0,100,2,60,78,69,8985,38717,12322,35600,37217,30944,14482,7425,,,,,
12:21.0,00:00.0,100,2,66,77,71,76064,8338,2007,3549,2848,7011,6801,1658,,,,,
12:22.0,00:00.0,100,2,61,70,65,65639,39511,20060,8541,21436,22683,11585,3964,,,,,
12:23.0,00:00.0,100,2,60,64,62,131200,86977,25556,45203,14028,26279,47396,2707,,,,,
12:24.0,00:00.0,100,2,56,66,61,547033,18864,13083,9326,11824,9661,2835,844,,,,,
12:25.0,00:00.0,100,2,47,70,58,31125,53197,17543,17800,3819,15242,15973,957,,,,,
12:26.0,00:00.0,100,2,43,67,55,712675,61236,9692,14761,14373,16469,4798,2100,,,,,
12:27.0,00:00.0,100,2,43,70,56,451026,20480,30696,8200,14659,9769,5979,4256,,,,,
12:28.0,00:00.0,100,2,34,77,55,426888,114097,140443,20711,16368,22978,15060,5035,,,,,
12:29.0,00:00.0,100,2,30,66,48,1190295,86925,12261,4475,10442,14445,4566,822,,,,,
12:30.0,00:00.0,100,2,30,61,45,229507,43360,10865,1612,26693,12600,3053,1219,,,,,
12:31.0,00:00.0,100,2,37,41,39,1585987,193082,2462,29145,70312,58658,28743,19256,,,,,
12:32.0,00:00.0,100,2,47,24,35,935134,123859,8892,21991,24288,37074,40790,17120,,,,,
12:33.0,00:00.0,100,2,51,29,40,107780,36524,2576,12552,8118,14171,11308,1724,,,,,
12:34.0,00:00.0,100,2,50,38,44,559544,271818,63437,89186,19716,76473,30297,6317,,,,,
12:35.0,00:00.0,100,2,51,56,53,97587,18298,37059,16105,37043,22918,34690,6706,,,,,
12:36.0,00:00.0,100,2,56,63,59,185462,84321,59210,9751,43107,63900,34365,6743,,,,,
12:37.0,00:00.0,100,2,61,69,65,18290,25169,14121,18643,13694,25393,19602,7166,,,,,
12:38.0,00:00.0,100,2,78,60,69,7077,21096,9486,5329,29154,41856,27612,6921,,,,,
12:39.0,00:00.0,100,2,75,64,69,192994,6070,15271,4061,6343,5833,7901,1523,,,,,
12:40.0,00:00.0,100,2,78,60,69,471175,29604,11154,8258,26161,27883,10573,10124,,,,,
12:41.0,00:00.0,100,2,75,61,68,5500,34647,20088,21708,14287,21314,26535,6323,,,,,
12:42.0,00:00.0,100,2,64,57,60,76095,19828,569,3295,4411,9963,12131,3278,,,,,
12:43.0,00:00.0,100,2,69,53,61,44965,43504,18781,41031,32421,38349,22778,4733,,,,,
12:44.0,00:00.0,100,2,66,64,65,459301,19422,7140,56622,14275,33699,16857,8555,,,,,
12:45.0,00:00.0,100,2,63,70,66,231831,25117,46723,39752,16946,22928,31028,10136,,,,,
12:46.0,00:00.0,100,2,61,83,72,29724,18828,11909,7506,21799,12473,28059,5657,,,,,
12:47.0,00:00.0,100,2,57,81,69,13534,23880,19019,22491,52881,16565,23067,13518,,,,,
12:48.0,00:00.0,100,2,63,70,66,29842,25410,11831,24657,51047,38308,50244,7616,,,,,
12:49.0,00:00.0,100,2,70,61,65,79321,7654,2000,13261,10596,13296,3870,2115,,,,,
12:50.0,00:00.0,100,2,74,64,69,15431,14356,37456,9296,45552,23374,22688,13796,,,,,
12:51.0,00:00.0,100,2,61,63,62,45215,117069,46307,11923,31447,13311,24234,9146,,,,,
12:52.0,00:00.0,100,2,67,57,62,30893,16900,5853,7321,17228,38678,34073,36339,,,,,
12:53.0,00:00.0,100,2,64,53,58,581791,93090,15383,24200,20114,51476,11512,9066,,,,,
12:54.0,00:00.0,100,2,74,51,62,2409,8615,17979,22186,24164,47401,27203,12289,,,,,
12:55.0,00:00.0,100,2,93,48,70,22282,32228,17499,12943,37166,40343,11126,7857,,,,,
12:56.0,00:00.0,100,2,78,54,66,253377,142360,36462,25570,13677,55179,51210,17135,,,,,
12:57.0,00:00.0,100,2,63,63,63,334656,186891,68260,57948,18309,20551,39610,22290,,,,,
12:58.0,00:00.0,100,2,56,60,58,117721,6965,4073,3878,9123,8129,4607,4574,,,,,
12:59.0,00:00.0,100,2,63,64,63,7795,8314,9693,21979,17067,48259,20268,7825,,,,,
13:00.0,00:00.0,100,2,60,77,68,15621,30475,13125,82527,24451,24908,20717,20163,,,,,
13:01.0,00:00.0,100,2,70,64,67,39942,61332,8151,16196,82407,19369,18695,7985,,,,,
13:02.0,00:00.0,100,2,66,48,57,36833,141507,4192,10770,30031,47100,30153,12085,,,,,
13:03.0,00:00.0,100,2,69,43,56,4011,17357,11158,14548,16384,79187,41332,9807,,,,,
13:04.0,00:00.0,100,2,84,34,59,30169,14957,24791,15041,29128,46211,21614,14797,,,,,
13:05.0,00:00.0,100,2,84,40,62,132765,52703,17813,9432,12189,17721,3598,4703,,,,,
13:06.0,00:00.0,100,2,91,57,74,400621,17195,11076,22814,41104,28769,27377,17476,,,,,
13:07.0,00:00.0,100,2,80,69,74,37480,28431,33940,40092,19209,58281,40820,15314,,,,,
13:08.0,00:00.0,100,2,56,61,58,470867,518679,38866,65198,28665,41183,20240,14118,,,,,
13:09.0,00:00.0,100,2,57,61,59,90893,17456,6316,6847,8313,8630,1698,985,,,,,
13:10.0,00:00.0,100,2,60,60,60,24797,32673,16257,11970,12258,40009,3838,3475,,,,,
13:11.0,00:00.0,100,2,41,43,42,1585561,84197,1402,16126,24586,9421,10296,7528,,,,,
13:12.0,00:00.0,100,2,61,51,56,1557939,47689,20934,42948,54639,59644,33151,6169,,,,,
13:13.0,00:00.0,100,2,51,61,56,222167,26613,12226,23432,6727,7071,1913,1696,,,,,
13:14.0,00:00.0,100,2,44,56,50,1986896,67014,17709,13091,54273,27438,17141,3852,,,,,
13:15.0,00:00.0,100,2,54,70,62,176319,46363,40517,24514,20943,29767,16091,10920,,,,,
