'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
48:42.0,00:00.0,100,5,57,63,60,59547,66793,10385,28097,21098,5435,14995,2820,,19240.72436,23526.94231,20063.17949,8943.897436
48:43.0,00:00.0,100,5,53,54,53,122944,33000,3071,6597,5315,2773,1999,2846,,,,,
48:44.0,00:00.0,100,5,57,61,59,45834,42532,29152,14526,25010,20093,5487,2599,,,,,
48:45.0,00:00.0,100,5,48,60,54,154970,49458,11347,26151,18818,17080,7230,6287,,,,,
48:46.0,00:00.0,100,5,51,63,57,56950,74534,15039,47706,18551,10663,6345,5124,,,,,
48:47.0,00:00.0,100,5,66,74,70,5837,10376,8359,6649,6462,9019,12113,5532,,,,,
48:48.0,00:00.0,100,5,60,70,65,416936,125458,52077,19211,17207,24575,7880,6619,,,,,
48:49.0,00:00.0,100,5,54,57,55,22783,63689,5306,5616,12126,8089,7649,9226,,,,,
48:50.0,00:00.0,100,5,61,47,54,29637,37244,4202,9274,22118,8255,7719,2659,,,,,
48:51.0,00:00.0,100,5,60,48,54,37634,17523,1414,26385,4918,15262,2931,1524,,,,,
48:52.0,00:00.0,100,5,63,43,53,40996,43150,12965,7044,19746,9639,3866,1331,,,,,
48:53.0,00:00.0,100,5,66,50,58,345984,129172,21779,20309,10724,27012,9387,4736,,,,,
48:54.0,00:00.0,100,5,74,48,61,41471,84485,17339,6336,10588,39042,5987,5472,,,,,
48:55.0,00:00.0,100,5,70,41,55,179237,4823,2012,1760,2730,2545,1602,428,,,,,
48:56.0,00:00.0,100,5,80,50,65,671794,47299,41394,14819,16987,40102,19775,2939,,,,,
48:57.0,00:00.0,100,5,81,60,70,35836,44352,31907,29972,33309,23118,15095,4128,,,,,
48:58.0,00:00.0,100,5,78,66,72,32902,59847,12402,15143,13970,18402,8607,10910,,,,,
48:59.0,00:00.0,100,5,74,64,69,47238,48587,22379,3943,6987,11402,15606,4220,,,,,
49:00.0,00:00.0,100,5,51,67,59,158116,51520,42187,5761,2969,3458,3713,3058,,,,,
49:01.0,00:00.0,100,5,54,57,55,69296,53594,5310,14822,11995,23091,26444,7551,,,,,
49:02.0,00:00.0,100,5,60,61,60,58533,11849,4966,17256,20879,14782,10527,8287,,,,,
49:03.0,00:00.0,100,1,66,61,63,1874559,169461,73475,42213,90786,95953,62605,18545,,,,,
49:04.0,00:00.0,100,1,77,53,65,253436,16877,5393,2062,2515,2228,1630,868,,,,,
49:05.0,00:00.0,100,1,63,57,60,160846,67990,11425,18182,8588,7325,11327,3139,,,,,
49:06.0,00:00.0,100,2,54,51,52,2257956,380663,87183,43529,85189,76309,124474,26350,,,,,
49:07.0,00:00.0,100,2,43,60,51,903762,82229,60096,21934,5809,13070,12386,6315,,,,,
49:08.0,00:00.0,100,2,41,53,47,261149,77085,11617,2849,2415,7523,2928,4043,,,,,
49:09.0,00:00.0,100,2,34,43,38,152650,28061,5424,188,4131,1253,2819,484,,,,,
49:10.0,00:00.0,100,2,30,44,37,1235116,247917,39941,45993,78405,33737,30166,19325,,,,,
49:11.0,00:00.0,100,1,27,40,33,1453776,399878,106243,201317,102723,39872,45335,42808,,,,,
49:12.0,00:00.0,87,2,27,40,33,666254,69779,14584,17177,8096,4684,6720,1696,,,,,
49:13.0,00:00.0,100,2,24,50,37,890762,524510,25578,224492,49953,34556,21468,12822,,,,,
49:14.0,00:00.0,100,2,21,47,34,168790,100434,8913,4202,6187,2764,1380,635,,,,,
49:15.0,00:00.0,100,2,11,44,27,2014143,633481,74249,49728,46601,27204,68879,19391,,,,,
49:16.0,00:00.0,100,2,13,35,24,376267,35728,4001,5663,6367,2888,2947,3914,,,,,
49:17.0,00:00.0,100,2,17,47,32,829002,60359,79392,21587,8970,14468,13740,5723,,,,,
49:18.0,00:00.0,100,2,29,56,42,125527,132821,32882,13837,9949,13426,12384,3495,,,,,
49:19.0,00:00.0,100,2,38,80,59,156313,16817,16120,29387,2468,6242,13109,4586,,,,,
49:20.0,00:00.0,100,2,41,75,58,1790555,330075,31811,28870,14290,27466,16524,10557,,,,,
49:21.0,00:00.0,100,2,41,51,46,977880,189168,18164,8276,6573,20365,20753,6011,,,,,
49:22.0,00:00.0,100,2,41,43,42,1894891,1323480,95009,121033,115222,115590,60185,34004,,,,,
49:23.0,00:00.0,100,2,35,21,28,222247,42440,3721,5880,1635,2514,6544,1679,,,,,
49:24.0,00:00.0,100,2,26,13,19,621168,1308245,27363,71562,8979,44559,46293,9062,,,,,
49:25.0,00:00.0,100,2,37,30,33,106391,7984,7661,1632,1143,4290,1800,811,,,,,
49:26.0,00:00.0,100,2,29,41,35,1229374,325376,17156,129934,34448,18869,49918,6928,,,,,
49:27.0,00:00.0,100,2,41,44,42,997745,112560,23707,20331,11867,28057,27585,8421,,,,,
49:28.0,00:00.0,100,1,61,70,65,1998251,37113,48894,39314,18489,36401,32667,19753,,,,,
49:29.0,00:00.0,100,1,47,54,50,236009,42247,3112,3813,3151,2467,2100,2293,,,,,
49:30.0,00:00.0,100,1,63,50,56,3084344,44382,7231,12193,14274,17710,34407,5293,,,,,
49:31.0,00:00.0,100,1,64,43,53,623196,43677,3203,6802,8630,11412,9602,3671,,,,,
49:32.0,00:00.0,100,1,63,34,48,778871,206084,59024,41244,7002,74325,62884,2240,,,,,
49:33.0,00:00.0,100,1,77,43,60,140073,36619,13426,2022,2137,9484,9162,2457,,,,,
49:34.0,00:00.0,100,1,80,56,68,42196,23328,46221,20135,14007,36720,16562,10623,,,,,
49:35.0,00:00.0,100,1,78,69,73,301929,40408,21892,12337,19544,13734,19767,17985,,,,,
49:36.0,00:00.0,100,1,69,64,66,1236601,191329,14199,40100,20747,21400,19622,9828,,,,,
49:37.0,00:00.0,100,1,64,69,66,823598,197309,6471,152321,14476,40564,19562,30503,,,,,
49:38.0,00:00.0,100,1,56,54,55,502083,101005,15921,14333,12856,24337,21235,4670,,,,,
49:39.0,00:00.0,100,1,70,51,60,542563,24196,9812,18932,9864,51851,20047,6013,,,,,
49:40.0,00:00.0,100,1,80,61,70,1067557,52081,14035,42834,16987,24772,11694,9117,,,,,
49:41.0,00:00.0,100,1,78,48,63,229606,32947,4745,2400,3041,3739,1936,1554,,,,,
49:42.0,00:00.0,100,1,69,43,56,69569,37705,3595,1934,3336,2676,4769,1952,,,,,
49:43.0,00:00.0,100,1,47,41,44,413743,172306,22345,36452,6544,15365,6939,13095,,,,,
49:44.0,00:00.0,100,1,38,41,39,383115,57496,7904,36076,12492,10116,24972,3855,,,,,
49:45.0,00:00.0,100,1,40,50,45,90153,22731,4330,5981,748,3801,3227,616,,,,,
49:46.0,00:00.0,100,1,48,60,54,299252,104908,77738,11910,102161,30121,18320,21371,,,,,
49:47.0,00:00.0,100,1,53,74,63,43258,36378,35288,54349,15758,14743,11991,3651,,,,,
49:48.0,00:00.0,100,2,54,67,60,246654,68906,22338,3720,6656,12996,5591,5758,,,,,
49:49.0,00:00.0,100,2,53,63,58,91769,170833,27481,42523,57136,20991,5966,3563,,,,,
49:50.0,00:00.0,100,2,50,74,62,1204886,31274,32124,11295,8914,7923,5745,4808,,,,,
49:51.0,00:00.0,100,2,50,74,62,440147,81817,112538,37968,28039,26497,34451,5197,,,,,
49:52.0,00:00.0,100,2,47,74,60,260971,103173,8587,39993,28454,14639,18475,6266,,,,,
49:53.0,00:00.0,100,2,44,83,63,64459,65773,47796,11483,11009,10140,4998,2016,,,,,
