'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:14.0,00:00.0,100,1,74,35,54,46913,49986,4391,9480,11242,13077,6288,3161,,10022.64782,9492.469246,6117.612103,3119.016865
30:15.0,00:00.0,100,1,77,43,60,13989,13575,17028,5529,4994,4513,5964,2714,,,,,
30:16.0,00:00.0,100,1,63,41,52,48896,116861,38178,10489,13554,18026,8142,10871,,,,,
30:17.0,00:00.0,100,1,70,61,65,28961,12776,16043,11798,9365,13863,10319,7173,,,,,
30:18.0,00:00.0,100,1,80,69,74,10386,21339,13106,6396,6255,20024,6149,2762,,,,,
30:19.0,00:00.0,100,1,88,53,70,6687,25783,6420,3346,21686,12874,8331,3775,,,,,
30:20.0,00:00.0,100,1,96,61,78,9022,10273,2404,29756,20394,10357,15033,2146,,,,,
30:21.0,00:00.0,100,1,91,43,67,25581,34163,445,5460,9828,7363,6194,3702,,,,,
30:22.0,00:00.0,100,1,81,48,64,12187,12068,8210,6483,3868,4615,3076,1352,,,,,
30:23.0,00:00.0,100,1,75,51,63,3965,28851,4847,4116,6042,6036,4154,2008,,,,,
30:24.0,00:00.0,100,1,70,51,60,155661,29374,11817,33057,18069,12834,7046,2539,,,,,
30:25.0,00:00.0,100,1,66,66,66,118549,13397,5855,6390,2380,3246,3479,1089,,,,,
30:26.0,00:00.0,100,1,66,69,67,17383,15296,11886,16102,6538,7110,4600,2507,,,,,
30:27.0,00:00.0,100,1,66,83,74,7514,17070,20953,7169,3180,7252,3863,1411,,,,,
30:28.0,00:00.0,100,1,66,93,79,5685,16090,52369,7367,2696,12754,6074,3008,,,,,
30:29.0,00:00.0,100,1,69,94,81,14064,15856,13501,11226,8764,6241,2799,1272,,,,,
30:30.0,00:00.0,100,1,75,87,81,14593,13806,3167,10462,11821,8910,1112,1563,,,,,
30:31.0,00:00.0,100,1,70,78,74,21870,55669,8476,21462,12647,8466,3900,2510,,,,,
30:32.0,00:00.0,100,1,77,67,72,72568,22953,6950,19713,6067,14288,8394,1394,,,,,
30:33.0,00:00.0,100,1,74,77,75,4420,4716,29658,9248,10839,5070,3825,2092,,,,,
30:34.0,00:00.0,100,1,64,83,73,24854,35697,29021,13909,11195,8439,5158,2682,,,,,
30:35.0,00:00.0,100,1,78,88,83,166339,28953,11470,38388,8584,37748,26376,10682,,,,,
30:36.0,00:00.0,100,1,66,88,77,65771,41486,23339,9470,6555,6415,8140,3763,,,,,
30:37.0,00:00.0,100,1,69,78,73,138289,32251,31258,25163,32427,14005,23923,14644,,,,,
30:38.0,00:00.0,100,1,80,81,80,15877,20189,14192,56166,9800,34574,7179,3640,,,,,
30:39.0,00:00.0,100,1,70,87,78,23704,8670,16580,10347,13113,6336,2740,3619,,,,,
30:40.0,00:00.0,100,1,84,78,81,19209,16937,4489,6558,6858,10757,7605,3422,,,,,
30:41.0,00:00.0,100,1,88,66,77,19378,25018,11776,2381,19104,9247,5010,2606,,,,,
30:42.0,00:00.0,100,1,88,54,71,8427,12865,5589,6197,14567,8919,7237,2481,,,,,
30:43.0,00:00.0,100,1,84,29,56,52998,102334,2276,9900,26419,14559,7337,1541,,,,,
30:44.0,00:00.0,100,1,78,30,54,1141786,76760,38981,2373,17588,20954,9282,10586,,,,,
30:45.0,00:00.0,100,1,75,38,56,41934,47779,10200,31650,20994,13815,5494,3589,,,,,
30:46.0,00:00.0,100,1,60,38,49,198831,143120,39525,12554,6384,11361,3282,3812,,,,,
30:47.0,00:00.0,100,1,56,53,54,255353,22180,2426,10571,4740,2921,2551,1312,,,,,
30:48.0,00:00.0,100,1,53,56,54,314467,52338,12512,31986,25270,11520,7768,3975,,,,,
30:49.0,00:00.0,100,1,56,63,59,355226,22212,24667,40777,21473,21095,22388,5696,,,,,
30:50.0,00:00.0,100,1,74,69,71,9397,14331,3269,28323,17692,21877,13088,4958,,,,,
30:51.0,00:00.0,100,1,91,70,80,4549,6605,4277,17428,10552,19898,3406,8150,,,,,
30:52.0,00:00.0,100,1,91,70,80,23929,44931,10844,24075,23056,10148,4332,1737,,,,,
30:53.0,00:00.0,100,1,96,64,80,25908,9261,8312,4972,6293,10450,4468,1487,,,,,
30:54.0,00:00.0,100,1,88,67,77,7599,20470,22827,8460,6747,7634,2980,1810,,,,,
30:55.0,00:00.0,100,1,74,78,76,18504,5456,9446,42367,17942,7350,7585,7614,,,,,
30:56.0,00:00.0,100,1,78,77,77,12356,29422,10497,5182,7468,9963,4421,2293,,,,,
30:57.0,00:00.0,100,1,75,81,78,16078,4699,1992,10696,4839,5767,5339,3029,,,,,
30:58.0,00:00.0,100,1,75,64,69,8992,33032,7288,2820,18122,6902,3336,4024,,,,,
30:59.0,00:00.0,100,1,75,47,61,81317,55537,2099,14294,8344,9618,7783,3391,,,,,
31:00.0,00:00.0,100,1,80,50,65,316936,32720,27878,8445,13205,23275,15082,10580,,,,,
31:01.0,00:00.0,100,1,81,51,66,4765,5915,9227,29647,15579,18848,3200,7752,,,,,
31:02.0,00:00.0,100,1,77,77,77,29696,16271,18318,46661,8588,6148,4245,1241,,,,,
31:03.0,00:00.0,100,1,83,91,87,1195900,24614,56739,28173,6372,32370,19269,1954,,,,,
31:04.0,00:00.0,100,1,78,97,87,125842,24099,1468,45333,9407,12874,4108,5534,,,,,
