'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
48:43.0,00:00.0,100,2,66,90,78,31735,35638,8609,31026,14566,8368,9443,3196,,10277.28784,9614.617866,6305.890819,3145.16129
48:44.0,00:00.0,100,2,56,81,68,506653,143974,46982,25512,40491,27908,9114,7115,,,,,
48:45.0,00:00.0,100,2,54,61,57,950215,42824,12755,3116,13350,8899,8030,1602,,,,,
48:46.0,00:00.0,100,2,51,56,53,15557,13828,13915,7974,5600,5082,5909,2306,,,,,
48:47.0,00:00.0,100,2,53,56,54,2382,18510,9085,7232,3012,4933,2076,2992,,,,,
48:48.0,00:00.0,100,2,54,66,60,21674,16879,21889,3282,3205,6480,2455,992,,,,,
48:49.0,00:00.0,100,2,48,75,61,80518,52511,32603,5593,7104,7028,4016,2588,,,,,
48:50.0,00:00.0,100,2,47,67,57,10604,20921,9998,2350,4021,4217,3372,1180,,,,,
48:51.0,00:00.0,100,2,53,63,58,1816,18644,11474,3592,10893,9893,6524,1708,,,,,
48:52.0,00:00.0,100,2,53,48,50,49497,26278,2277,6584,8432,5428,3013,1645,,,,,
48:53.0,00:00.0,100,2,48,43,45,1413,42401,12272,6148,11243,2420,2750,1589,,,,,
48:54.0,00:00.0,100,2,47,43,45,7422,19273,5034,7432,5104,3794,6432,4638,,,,,
48:55.0,00:00.0,100,2,47,44,45,8079,18968,14413,6770,16731,10531,7134,1403,,,,,
48:55.0,00:00.0,100,2,50,53,51,12105,12875,11924,1610,7697,5279,4471,2164,,,,,
48:57.0,00:00.0,100,2,50,60,55,22885,55768,6269,30957,13636,3760,4537,2461,,,,,
48:58.0,00:00.0,100,2,51,57,54,19880,32468,16465,1017,2672,6457,2443,3556,,,,,
48:59.0,00:00.0,100,2,43,60,51,29048,19493,4954,8979,4342,4106,10212,2740,,,,,
49:00.0,00:00.0,100,2,53,47,50,16204,23944,4956,3570,13272,18423,6838,5803,,,,,
49:00.0,00:00.0,100,2,66,47,56,27517,16639,3654,11598,8011,5195,4065,2181,,,,,
49:02.0,00:00.0,100,2,66,51,58,7102,33490,21943,13619,4871,9166,7312,1189,,,,,
49:03.0,00:00.0,100,2,69,50,59,13645,14248,4716,8686,12540,5011,4509,2618,,,,,
49:04.0,00:00.0,100,2,63,67,65,11293,4228,5377,6256,3449,4919,7540,5915,,,,,
49:05.0,00:00.0,100,2,63,67,65,110745,55277,14503,25586,10926,14910,3188,2990,,,,,
49:06.0,00:00.0,100,2,56,60,58,6347,50491,9368,16424,11328,4099,4691,1446,,,,,
49:07.0,00:00.0,100,2,57,60,58,29629,25048,14685,1943,3289,8952,3101,1040,,,,,
49:08.0,00:00.0,100,2,44,53,48,25925,57564,15434,18420,14370,6812,2320,1303,,,,,
49:09.0,00:00.0,100,2,30,47,38,99117,20027,3307,2023,993,1079,1472,830,,,,,
49:10.0,00:00.0,100,2,47,53,50,56754,18052,19355,3346,8220,10035,5546,7437,,,,,
49:11.0,00:00.0,100,2,48,56,52,6355,20549,20212,6296,6590,11910,8534,4708,,,,,
49:12.0,00:00.0,100,2,57,70,63,12969,7520,75298,4471,8703,17659,8160,8743,,,,,
49:13.0,00:00.0,100,2,60,77,68,348491,260035,90870,22220,7934,19348,11339,5460,,,,,
49:14.0,00:00.0,100,2,64,67,65,9255,12374,3573,7693,15485,9983,7699,3695,,,,,
49:15.0,00:00.0,100,2,66,64,65,8748,22943,6819,10532,6408,11982,20154,3592,,,,,
49:16.0,00:00.0,100,2,66,50,58,7736,21561,8988,10212,2929,9171,5592,2597,,,,,
49:17.0,00:00.0,100,2,81,47,64,18655,26637,8543,6200,17689,9645,4273,3863,,,,,
49:18.0,00:00.0,100,2,75,51,63,17696,20752,8890,7800,4959,8622,6852,2490,,,,,
49:18.0,00:00.0,100,2,70,64,67,13521,12895,24661,15587,4882,10127,2607,2005,,,,,
49:20.0,00:00.0,100,2,67,57,62,11950,39539,11464,5338,4710,9273,5487,1553,,,,,
49:21.0,00:00.0,100,2,63,63,63,5258,13561,1756,6083,2053,3007,4222,3365,,,,,
49:22.0,00:00.0,100,2,67,57,62,28599,35245,2270,14433,9328,16451,5321,2775,,,,,
49:23.0,00:00.0,100,2,64,60,62,7483,10958,3113,33647,3887,6900,5711,6496,,,,,
49:24.0,00:00.0,100,2,63,54,58,9797,48526,7269,6565,11305,9407,4313,1348,,,,,
49:25.0,00:00.0,100,2,67,48,57,20212,33122,1365,9362,5038,9834,3689,2549,,,,,
49:26.0,00:00.0,100,2,64,56,60,10649,18151,5392,19842,7657,9862,18361,4769,,,,,
49:27.0,00:00.0,100,2,67,50,58,11257,26057,16716,18577,3163,12680,6596,2213,,,,,
49:27.0,00:00.0,100,2,69,69,69,27042,8885,34511,6494,10983,8829,11531,2046,,,,,
49:28.0,00:00.0,100,2,69,81,75,495483,17588,22236,4728,6803,10733,7792,3632,,,,,
49:30.0,00:00.0,100,2,80,75,77,19933,13925,3207,10649,8158,16655,3610,3271,,,,,
49:31.0,00:00.0,100,2,70,69,69,40528,67459,16332,22234,7743,10869,5773,7578,,,,,
49:32.0,00:00.0,100,2,67,53,60,70823,28579,6364,5714,3874,5270,2728,420,,,,,
49:33.0,00:00.0,100,2,78,51,64,41887,7512,14312,3041,6319,16537,8089,5650,,,,,
49:34.0,00:00.0,100,2,69,47,58,24929,53057,10982,4745,4439,22452,7035,2570,,,,,
49:35.0,00:00.0,100,2,83,30,56,4608,26724,4382,1452,16341,12612,4630,3458,,,,,
49:36.0,00:00.0,100,2,88,24,56,195985,65293,8708,5621,12129,15981,12637,1389,,,,,
49:37.0,00:00.0,100,2,66,24,45,149940,93795,41544,24936,10619,12690,16912,8207,,,,,
49:38.0,00:00.0,100,2,56,34,45,549056,170345,62188,57329,11751,30934,25235,9058,,,,,
49:39.0,00:00.0,100,2,48,41,44,121523,23923,5009,2145,3257,5181,3880,5572,,,,,
49:39.0,00:00.0,100,2,44,50,47,697627,266700,50685,67917,10657,53784,28747,22151,,,,,
49:41.0,00:00.0,100,2,43,40,41,518481,60267,5969,13401,14332,5572,12532,10298,,,,,
49:41.0,00:00.0,100,2,41,30,35,569583,62542,14177,1718,4646,8163,6144,4232,,,,,
49:43.0,00:00.0,100,2,53,29,41,815935,60879,9965,15054,17943,44965,28508,13947,,,,,
49:44.0,00:00.0,100,2,64,40,52,4683,4263,24519,16980,19826,24452,20306,5211,,,,,
49:45.0,00:00.0,100,2,67,51,59,210855,61366,59861,6489,13256,12632,22084,11175,,,,,
49:46.0,00:00.0,100,2,91,57,74,185522,1592,4519,975,4582,8052,5026,1649,,,,,
49:46.0,00:00.0,100,2,100,51,75,16558,7533,3218,1836,13215,26235,26413,12723,,,,,
49:48.0,00:00.0,100,2,84,50,67,74082,5633,6542,4251,6369,2425,5939,1614,,,,,
49:48.0,00:00.0,100,2,77,40,58,380186,266085,81250,29653,30745,15387,13551,11791,,,,,
49:50.0,00:00.0,100,2,35,34,34,883332,220516,20380,27229,28550,5112,10676,4056,,,,,
49:51.0,00:00.0,100,2,1,40,20,508554,138177,12099,23013,11384,4878,5882,2299,,,,,
49:51.0,00:00.0,100,2,1,40,20,327175,57693,39182,8617,6014,8298,2689,2037,,,,,
