'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
31:50.0,00:00.0,100,2,44,94,69,14632,17007,41525,25629,5415,6374,3535,3086,,11223.82582,7800.997951,4090.114754,2120.67623
31:51.0,00:00.0,100,2,63,97,80,23322,13928,15151,6349,7148,8163,3298,2612,,,,,
31:52.0,00:00.0,100,2,67,91,79,8628,23180,3483,6201,6584,8660,1210,1341,,,,,
31:53.0,00:00.0,100,2,69,83,76,4351,34874,9623,5231,7516,4083,1218,887,,,,,
31:54.0,00:00.0,100,2,75,69,72,76161,8228,4392,2102,1687,1906,803,292,,,,,
31:55.0,00:00.0,100,2,80,69,74,165944,20988,17559,15096,7586,21455,3439,4870,,,,,
31:56.0,00:00.0,100,2,75,74,74,4997,16125,8377,4698,14171,4351,2020,1303,,,,,
31:57.0,00:00.0,100,1,74,67,70,117889,51140,9046,3069,4592,4656,2993,1731,,,,,
31:58.0,00:00.0,100,2,66,56,61,322801,22586,2166,2197,3362,1568,1071,384,,,,,
31:59.0,00:00.0,100,2,57,51,54,49385,45656,17336,8895,10399,13087,3075,1388,,,,,
32:00.0,00:00.0,100,2,56,63,59,15333,16741,30776,3807,4521,6121,6964,2983,,,,,
32:01.0,00:00.0,100,2,66,69,67,10740,21313,4951,10015,9870,7581,5224,2502,,,,,
32:02.0,00:00.0,100,2,70,75,72,234176,33363,10096,4145,10683,4812,950,534,,,,,
32:03.0,00:00.0,100,2,74,87,80,43008,15478,22902,13591,3852,9447,4971,3736,,,,,
32:04.0,00:00.0,100,2,70,67,68,117246,100071,6689,14745,8576,11387,6442,2397,,,,,
32:05.0,00:00.0,100,2,69,54,61,75523,45241,1590,5794,24171,9599,3143,1773,,,,,
32:06.0,00:00.0,100,2,67,57,62,28477,32034,12569,4568,8516,4274,4263,1820,,,,,
32:07.0,00:00.0,100,2,54,43,48,59564,22790,2482,3426,802,1319,1587,261,,,,,
32:08.0,00:00.0,100,2,66,54,60,15805,8254,2034,10405,6140,6747,4572,2469,,,,,
32:09.0,00:00.0,100,2,60,67,63,196419,73731,27767,24351,27112,13702,8579,3326,,,,,
32:10.0,00:00.0,100,2,63,63,63,121887,19861,4589,1431,4071,3003,466,598,,,,,
32:11.0,00:00.0,100,2,88,63,75,43186,14572,2015,6496,5414,13600,8806,5917,,,,,
32:12.0,00:00.0,100,2,80,51,65,58324,19068,942,3359,3660,3332,707,392,,,,,
32:13.0,00:00.0,100,2,90,51,70,11403,13597,2685,9689,7724,7312,4658,1221,,,,,
32:14.0,00:00.0,100,2,90,64,77,24875,41447,19374,44685,16108,11403,8261,3650,,,,,
32:15.0,00:00.0,100,2,81,75,78,683703,21212,21647,44086,52666,18478,8090,1393,,,,,
32:16.0,00:00.0,100,2,81,80,80,30579,46294,11422,11095,14933,12034,9743,1817,,,,,
32:17.0,00:00.0,100,2,67,80,73,328627,16379,4244,5454,1002,1819,860,601,,,,,
32:18.0,00:00.0,100,2,74,81,77,15402,24002,31901,9053,4530,12128,3856,1210,,,,,
32:19.0,00:00.0,100,2,74,77,75,14344,22478,6377,8593,5266,8869,4984,1471,,,,,
32:20.0,00:00.0,100,2,66,78,72,117293,16541,7216,2662,6963,2063,387,336,,,,,
32:21.0,00:00.0,100,2,67,75,71,1917922,156185,49782,14622,29869,17324,10492,2559,,,,,
