'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
13:20.0,00:00.0,100,2,78,77,77,13695,26464,13523,16672,4482,6712,4287,1774,,11227.39941,7797.950446,3739.75223,1901.526264
13:21.0,00:00.0,100,2,80,78,79,1135568,123974,39951,51507,52290,18986,14317,2097,,,,,
13:22.0,00:00.0,100,2,77,75,76,19414,34883,8315,13812,13171,11826,3245,3971,,,,,
13:23.0,00:00.0,100,2,74,50,62,184067,70253,3978,5049,26004,8295,4459,3087,,,,,
13:24.0,00:00.0,100,2,69,43,56,65286,59360,24505,10060,7761,9106,3031,2250,,,,,
13:25.0,00:00.0,100,2,83,44,63,8253,16339,8101,10224,4988,8287,2463,1194,,,,,
13:26.0,00:00.0,100,2,75,54,64,12587,21538,17445,5737,3913,4546,4403,2639,,,,,
13:27.0,00:00.0,100,2,64,93,78,15537,18410,8629,41515,9678,4002,4175,1355,,,,,
13:28.0,00:00.0,100,2,69,67,68,356306,30595,1938,369,2889,4656,1072,322,,,,,
13:29.0,00:00.0,100,2,64,60,62,51158,40738,10773,9338,11855,11710,5330,4527,,,,,
13:30.0,00:00.0,100,2,67,30,48,137951,118580,10213,5927,56926,18741,4723,1512,,,,,
13:31.0,00:00.0,100,2,78,14,46,112060,61472,19795,16077,4911,10489,2913,1254,,,,,
13:32.0,00:00.0,100,2,69,41,55,9469,59700,28856,6125,3968,7040,3175,1351,,,,,
13:33.0,00:00.0,100,2,54,27,40,1043572,166931,2523,20527,30280,12264,7122,3793,,,,,
13:34.0,00:00.0,100,2,57,53,55,10460,36203,32594,9464,20105,12740,6316,2752,,,,,
13:35.0,00:00.0,100,2,75,54,64,5850,11603,5150,8173,5011,11250,4152,2342,,,,,
13:36.0,00:00.0,100,2,84,50,67,77696,28354,4145,10259,8839,7078,2517,2615,,,,,
13:37.0,00:00.0,100,2,91,67,79,31430,51074,33799,3979,14280,8954,3391,970,,,,,
13:38.0,00:00.0,100,2,87,67,77,26863,50618,38381,15911,35054,11506,4103,4755,,,,,
13:39.0,00:00.0,100,1,63,57,60,168479,28417,2825,5790,6914,2782,1799,801,,,,,
13:40.0,00:00.0,100,1,60,41,50,224801,44119,2083,3164,4922,6198,1173,369,,,,,
13:41.0,00:00.0,100,1,63,41,52,111922,38363,9053,17347,3489,8427,2132,1760,,,,,
13:42.0,00:00.0,100,1,56,50,53,22327,15993,23075,12853,13044,3467,4778,1761,,,,,
13:43.0,00:00.0,100,1,57,56,56,51485,87704,24439,27709,23436,10357,5543,4006,,,,,
13:44.0,00:00.0,100,1,53,91,72,85557,46497,102418,42198,42350,16075,7565,4062,,,,,
13:45.0,00:00.0,100,1,47,88,67,49336,52249,7266,22200,18254,6646,5324,3413,,,,,
13:46.0,00:00.0,100,1,27,63,45,157275,273220,32172,14085,7464,5458,4909,1603,,,,,
13:47.0,00:00.0,100,1,29,50,39,24591,87102,12038,3067,18252,8736,5153,1344,,,,,
13:48.0,00:00.0,100,1,40,40,40,14530,23771,6794,17927,5484,8393,2293,1236,,,,,
13:49.0,00:00.0,100,2,40,53,46,25275,27373,26539,17638,7784,5594,5056,9660,,,,,
13:50.0,00:00.0,100,2,66,66,66,17688,33079,2622,26135,21040,8307,3359,2978,,,,,
13:51.0,00:00.0,100,2,74,91,82,58160,8718,12524,10717,7405,5009,1992,1567,,,,,
13:52.0,00:00.0,100,2,80,96,88,29755,10405,9398,11546,4657,9283,3106,704,,,,,
