'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:31.0,00:00.0,0,5,0,0,0,179924,13670,6074,967,3886,3053,493,1449,,50835.25177,42675.68262,19671.71011,16750.875
08:32.0,00:00.0,0,5,0,0,0,2011137,136434,87121,92252,152846,41653,15098,27580,,,,,
08:33.0,00:00.0,0,5,0,0,0,1849008,69677,91292,16291,47586,13286,15104,36497,,,,,
08:34.0,00:00.0,0,5,0,0,0,1820687,510303,55127,34168,55293,39560,5848,31909,,,,,
08:35.0,00:00.0,0,5,0,0,0,563674,250236,32941,73911,29799,24050,20059,12723,,,,,
08:36.0,00:00.0,0,5,0,0,0,1422688,45381,14475,14234,12116,14439,11272,34492,,,,,
08:37.0,00:00.0,0,5,0,0,0,1025585,37724,7359,9286,14970,8770,5287,11485,,,,,
08:38.0,00:00.0,0,5,0,0,0,107032,35771,10844,8228,9682,6770,4145,947,,,,,
08:39.0,00:00.0,0,5,0,0,0,196054,87985,26777,39769,91225,27501,15905,25069,,,,,
08:40.0,00:00.0,0,5,0,0,0,676639,71418,13812,13283,13397,7252,5921,19098,,,,,
08:41.0,00:00.0,0,5,0,0,0,310295,497285,50061,309346,61460,84112,95179,149344,,,,,
08:42.0,00:00.0,0,5,0,0,0,40776,25288,2023,2879,3422,1650,884,3267,,,,,
08:43.0,00:00.0,0,5,0,0,0,135520,31818,3091,22026,7426,7548,1526,2366,,,,,
08:44.0,00:00.0,0,5,0,0,0,249992,152461,75442,223730,229937,65586,6948,7188,,,,,
08:45.0,00:00.0,0,5,0,0,0,698939,360189,44223,177441,257290,156148,29767,9076,,,,,
08:46.0,00:00.0,0,5,0,0,0,3529347,1646831,234825,63138,226192,194816,58532,11602,,,,,
08:47.0,00:00.0,0,5,0,0,0,483296,70091,16380,15422,4004,12830,4461,6044,,,,,
08:48.0,00:00.0,0,5,0,0,0,1351370,138353,19114,20565,37984,8296,3863,21934,,,,,
08:49.0,00:00.0,0,5,0,0,0,1048928,105371,53886,73056,74229,20818,34971,61788,,,,,
08:50.0,00:00.0,0,5,0,0,0,242870,191251,31159,31292,32943,9845,2937,19235,,,,,
08:51.0,00:00.0,0,5,0,0,0,610173,949339,32048,22313,26451,17567,27128,123045,,,,,
08:52.0,00:00.0,0,5,0,0,0,1607592,118954,56776,14378,27453,21500,7497,12351,,,,,
08:53.0,00:00.0,0,5,0,0,0,89194,71972,8094,8727,8231,3494,1303,1837,,,,,
08:54.0,00:00.0,0,5,0,0,0,341769,52444,3894,27442,15755,7997,3573,35770,,,,,
08:55.0,00:00.0,0,5,0,0,0,488439,10608,5158,2464,5533,2167,431,14505,,,,,
08:56.0,00:00.0,0,5,0,0,0,825189,194571,22324,27034,22519,27105,9782,79166,,,,,
08:57.0,00:00.0,0,5,0,0,0,292597,55802,22156,6688,12996,18900,4594,69758,,,,,
08:58.0,00:00.0,0,5,0,0,0,1207239,12940,2115,1045,4974,1812,1086,23028,,,,,
08:59.0,00:00.0,0,5,0,0,0,1099090,72199,34018,40585,63061,37471,17313,377981,,,,,
09:00.0,00:00.0,0,5,0,0,0,209075,343988,27276,38395,21847,18205,6023,56656,,,,,
09:01.0,00:00.0,0,5,0,0,0,142985,61546,27485,6474,5485,1015,744,24639,,,,,
09:02.0,00:00.0,0,5,0,0,0,1981016,136921,32920,25337,27308,13826,7110,50663,,,,,
09:03.0,00:00.0,0,5,0,0,0,215660,193451,26845,11098,22741,17121,8359,33748,,,,,
09:04.0,00:00.0,0,5,0,0,0,1735733,342254,369818,93613,534292,102477,99250,44960,,,,,
09:05.0,00:00.0,0,5,0,0,0,797832,117270,43392,22155,24441,34922,6325,18398,,,,,
09:06.0,00:00.0,0,5,0,0,0,2131078,805360,79254,77521,79953,53032,25422,35747,,,,,
09:07.0,00:00.0,0,5,0,0,0,1377805,250212,103892,194494,88840,66829,8802,41735,,,,,
09:08.0,00:00.0,0,5,0,0,0,233511,87270,1779,29498,55538,11042,9846,10738,,,,,
09:09.0,00:00.0,0,5,0,0,0,715479,212707,45044,72550,35206,36611,12875,200093,,,,,
09:10.0,00:00.0,0,5,0,0,0,717939,54300,22638,4121,6555,9750,3115,101259,,,,,
09:11.0,00:00.0,0,5,0,0,0,357463,185661,12673,9340,7697,10963,2021,119608,,,,,
