'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
30:33.0,00:00.0,87,2,84,57,70,833469,153262,43511,50875,41918,19324,4750,1666,,32924.59951,30307.69042,16843.38084,9510.287469
30:34.0,00:00.0,74,2,84,57,70,2759526,137619,144011,89909,45060,62858,93087,44072,,,,,
30:35.0,00:00.0,74,2,84,57,70,643483,5257,896,2765,1204,2405,1798,797,,,,,
30:36.0,00:00.0,100,2,77,54,65,947589,166327,72486,35886,62018,16090,6022,3247,,,,,
30:37.0,00:00.0,100,1,67,54,60,1273069,526585,129912,355846,88337,138167,9572,9024,,,,,
30:38.0,00:00.0,87,3,67,54,60,782271,64080,17283,18735,13225,11186,1195,910,,,,,
30:39.0,00:00.0,74,3,67,54,60,1830433,47554,15273,16335,18139,10548,528,482,,,,,
30:40.0,00:00.0,74,3,67,54,60,305213,148063,91406,72445,58602,57309,16213,4692,,,,,
30:41.0,00:00.0,74,3,67,54,60,2125722,936324,309203,747929,259864,222337,297633,59420,,,,,
30:42.0,00:00.0,74,3,67,54,60,1422637,841768,568503,645952,180863,440553,437355,162900,,,,,
30:43.0,00:00.0,74,3,67,54,60,1823917,41414,22945,37405,6647,26170,3100,1173,,,,,
30:44.0,00:00.0,87,3,67,54,60,1512507,142353,10044,26071,33315,19920,9913,3321,,,,,
30:45.0,00:00.0,74,3,67,54,60,668116,59869,3619,20076,22350,18987,17080,7654,,,,,
30:46.0,00:00.0,74,3,67,54,60,881592,79908,8427,10142,6063,10161,3704,841,,,,,
30:47.0,00:00.0,74,3,67,54,60,692045,66192,7231,7802,5870,8920,1494,417,,,,,
30:48.0,00:00.0,74,3,67,54,60,569374,13542,8371,4891,4270,3807,713,282,,,,,
30:49.0,00:00.0,87,3,67,54,60,1281273,8512,2954,2674,1701,1435,1130,674,,,,,
30:50.0,00:00.0,74,3,67,54,60,386076,187964,121228,153205,11596,79384,41219,7781,,,,,
30:51.0,00:00.0,74,3,67,54,60,795027,177040,26326,117218,75423,93405,18616,9444,,,,,
30:52.0,00:00.0,87,3,67,54,60,908190,16021,3976,14755,25424,15734,1770,680,,,,,
30:53.0,00:00.0,100,3,78,70,74,260574,22015,12888,8476,10946,17479,2738,1487,,,,,
30:54.0,00:00.0,87,5,78,70,74,173928,13697,680,2899,1829,2151,3166,785,,,,,
30:55.0,00:00.0,74,5,78,70,74,1820718,344576,58069,128514,107447,98211,112572,24843,,,,,
30:56.0,00:00.0,74,5,78,70,74,1328345,47916,8604,17830,18340,13967,2016,4216,,,,,
