'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
08:29.0,00:00.0,100,2,50,63,56,754789,176253,104380,93050,35983,38407,6083,3427,,42551.09059,37772.65364,16113.1714,12543.10657
08:30.0,00:00.0,100,2,60,81,70,50216,19706,16461,21350,5475,11070,4214,5734,,,,,
08:31.0,00:00.0,100,2,74,81,77,17680,18904,3041,2816,5163,7973,5948,1943,,,,,
08:32.0,00:00.0,100,2,78,77,77,26921,16104,7497,23219,9580,8462,2613,3427,,,,,
08:33.0,00:00.0,100,2,77,74,75,36822,21997,16461,7482,13731,4293,2725,601,,,,,
08:34.0,00:00.0,100,2,67,50,58,761417,131911,4851,17690,8639,11195,4502,2329,,,,,
08:35.0,00:00.0,100,2,61,57,59,16630,25076,4523,9349,11912,6814,2902,2297,,,,,
08:36.0,00:00.0,100,2,57,54,55,73278,19454,14684,7913,6509,5662,6025,2916,,,,,
08:37.0,00:00.0,100,2,51,60,55,617524,42687,46063,17831,24644,6002,7343,1865,,,,,
08:38.0,00:00.0,100,2,63,70,66,26644,20886,13985,2520,16169,8671,2621,1170,,,,,
08:39.0,00:00.0,100,2,60,80,70,35868,48687,33216,19871,7655,12315,8681,1827,,,,,
08:40.0,00:00.0,100,2,60,69,64,74337,30942,8908,2190,3702,5265,3559,2735,,,,,
08:41.0,00:00.0,100,2,66,66,66,685484,35988,14503,21352,5778,7385,2848,3498,,,,,
08:42.0,00:00.0,100,2,64,69,66,65837,15691,6525,5551,3595,4969,284,280,,,,,
08:43.0,00:00.0,100,2,69,56,62,24626,45158,4496,9269,5047,13108,1276,1929,,,,,
08:44.0,00:00.0,100,2,60,51,55,589375,40432,4549,3522,2152,2232,751,234,,,,,
08:45.0,00:00.0,100,2,56,38,47,353550,136030,24570,18542,56002,14081,4907,2020,,,,,
08:46.0,00:00.0,100,2,44,37,40,33448,76250,16333,30077,18003,6901,5062,2845,,,,,
08:47.0,00:00.0,100,2,38,47,42,621608,33689,2061,27640,21085,6261,1735,379,,,,,
08:48.0,00:00.0,100,2,40,53,46,2580635,360824,60916,76723,63162,29482,13777,5607,,,,,
08:49.0,00:00.0,100,2,30,51,40,354284,215910,27587,22638,23781,9801,6229,4445,,,,,
08:50.0,00:00.0,100,2,38,51,44,545669,70887,40607,5192,8393,12767,970,1094,,,,,
08:51.0,00:00.0,100,1,35,54,44,941489,7705,4773,7010,7880,1652,640,511,,,,,
08:52.0,00:00.0,100,1,24,48,36,943875,225016,10877,31354,12682,5188,1099,1533,,,,,
08:53.0,00:00.0,100,1,38,60,49,117786,158791,76772,39609,41550,43277,24484,17182,,,,,
08:54.0,00:00.0,74,3,38,60,49,470146,12030,3270,5957,3502,2935,477,207,,,,,
